episode,agent,env_id,algorithm,timestep,episode_reward,episode_length,atk_invalid,atk_valid,atk_cj_reached,atk_cj_step,atk_won,atk_max_owned,atk_hold_reward,atk_eviction,def_reimage,def_block,def_allow,def_stop_svc,def_stop_svc_clean,def_start_svc,def_invalid,def_recovered,def_sla_break_steps
1,attacker,CyberBattleChain-thesis-v0,PPO,18,5261.98,18,0,18,1,18,1,10,0.98,0.0,,,,,,,,,
2,attacker,CyberBattleChain-thesis-v0,PPO,40,5262.25,22,0,22,1,22,1,10,1.2499999999999998,0.0,,,,,,,,,
3,attacker,CyberBattleChain-thesis-v0,PPO,59,5262.01,19,0,19,1,19,1,10,1.01,0.0,,,,,,,,,
4,attacker,CyberBattleChain-thesis-v0,PPO,77,5261.98,18,0,18,1,18,1,10,0.98,0.0,,,,,,,,,
5,attacker,CyberBattleChain-thesis-v0,PPO,96,5262.01,19,0,19,1,19,1,10,1.01,0.0,,,,,,,,,
6,attacker,CyberBattleChain-thesis-v0,PPO,115,5262.115,19,0,19,1,19,1,10,1.115,0.0,,,,,,,,,
7,attacker,CyberBattleChain-thesis-v0,PPO,133,5261.98,18,0,18,1,18,1,10,0.98,0.0,,,,,,,,,
8,attacker,CyberBattleChain-thesis-v0,PPO,156,5274.335,23,0,23,1,23,1,10,1.335,0.0,,,,,,,,,
9,attacker,CyberBattleChain-thesis-v0,PPO,177,5268.325,21,0,21,1,21,1,10,1.325,0.0,,,,,,,,,
10,attacker,CyberBattleChain-thesis-v0,PPO,197,5262.09,20,0,20,1,20,1,10,1.0899999999999999,0.0,,,,,,,,,
11,attacker,CyberBattleChain-thesis-v0,PPO,217,5262.125,20,0,20,1,20,1,10,1.125,0.0,,,,,,,,,
12,attacker,CyberBattleChain-thesis-v0,PPO,236,5262.115,19,0,19,1,19,1,10,1.115,0.0,,,,,,,,,
13,attacker,CyberBattleChain-thesis-v0,PPO,255,5261.99,19,0,19,1,19,1,10,0.99,0.0,,,,,,,,,
14,attacker,CyberBattleChain-thesis-v0,PPO,275,5262.14,20,0,20,1,20,1,10,1.14,0.0,,,,,,,,,
15,attacker,CyberBattleChain-thesis-v0,PPO,294,5262.045,19,0,19,1,19,1,10,1.045,0.0,,,,,,,,,
16,attacker,CyberBattleChain-thesis-v0,PPO,312,5261.98,18,0,18,1,18,1,10,0.98,0.0,,,,,,,,,
17,attacker,CyberBattleChain-thesis-v0,PPO,334,5262.26,22,0,22,1,22,1,10,1.26,0.0,,,,,,,,,
18,attacker,CyberBattleChain-thesis-v0,PPO,353,5267.98,19,0,19,1,19,1,10,0.98,0.0,,,,,,,,,
19,attacker,CyberBattleChain-thesis-v0,PPO,371,5261.98,18,0,18,1,18,1,10,0.98,0.0,,,,,,,,,
20,attacker,CyberBattleChain-thesis-v0,PPO,390,5262.025,19,0,19,1,19,1,10,1.025,0.0,,,,,,,,,
21,attacker,CyberBattleChain-thesis-v0,PPO,409,5261.99,19,0,19,1,19,1,10,0.99,0.0,,,,,,,,,
22,attacker,CyberBattleChain-thesis-v0,PPO,428,5262.115,19,0,19,1,19,1,10,1.115,0.0,,,,,,,,,
23,attacker,CyberBattleChain-thesis-v0,PPO,447,5262.06,19,0,19,1,19,1,10,1.06,0.0,,,,,,,,,
24,attacker,CyberBattleChain-thesis-v0,PPO,466,5262.01,19,0,19,1,19,1,10,1.01,0.0,,,,,,,,,
25,attacker,CyberBattleChain-thesis-v0,PPO,485,5262.045,19,0,19,1,19,1,10,1.045,0.0,,,,,,,,,
26,attacker,CyberBattleChain-thesis-v0,PPO,504,5262.115,19,0,19,1,19,1,10,1.115,0.0,,,,,,,,,
27,attacker,CyberBattleChain-thesis-v0,PPO,523,5262.045,19,0,19,1,19,1,10,1.045,0.0,,,,,,,,,
28,attacker,CyberBattleChain-thesis-v0,PPO,541,5261.98,18,0,18,1,18,1,10,0.98,0.0,,,,,,,,,
29,attacker,CyberBattleChain-thesis-v0,PPO,559,5261.98,18,0,18,1,18,1,10,0.98,0.0,,,,,,,,,
30,attacker,CyberBattleChain-thesis-v0,PPO,578,5262.01,19,0,19,1,19,1,10,1.01,0.0,,,,,,,,,
31,attacker,CyberBattleChain-thesis-v0,PPO,597,5262.115,19,0,19,1,19,1,10,1.115,0.0,,,,,,,,,
32,attacker,CyberBattleChain-thesis-v0,PPO,616,5262.115,19,0,19,1,19,1,10,1.115,0.0,,,,,,,,,
33,attacker,CyberBattleChain-thesis-v0,PPO,636,5262.01,20,0,20,1,20,1,10,1.01,0.0,,,,,,,,,
34,attacker,CyberBattleChain-thesis-v0,PPO,655,5262.045,19,0,19,1,19,1,10,1.045,0.0,,,,,,,,,
35,attacker,CyberBattleChain-thesis-v0,PPO,675,5268.14,20,0,20,1,20,1,10,1.14,0.0,,,,,,,,,
36,attacker,CyberBattleChain-thesis-v0,PPO,694,5268.01,19,0,19,1,19,1,10,1.01,0.0,,,,,,,,,
37,attacker,CyberBattleChain-thesis-v0,PPO,712,5261.98,18,0,18,1,18,1,10,0.98,0.0,,,,,,,,,
38,attacker,CyberBattleChain-thesis-v0,PPO,733,5262.135,21,0,21,1,21,1,10,1.135,0.0,,,,,,,,,
39,attacker,CyberBattleChain-thesis-v0,PPO,752,5262.085,19,0,19,1,19,1,10,1.085,0.0,,,,,,,,,
40,attacker,CyberBattleChain-thesis-v0,PPO,773,5262.185,21,0,21,1,21,1,10,1.1849999999999998,0.0,,,,,,,,,
41,attacker,CyberBattleChain-thesis-v0,PPO,793,5268.125,20,0,20,1,20,1,10,1.125,0.0,,,,,,,,,
42,attacker,CyberBattleChain-thesis-v0,PPO,811,5261.98,18,0,18,1,18,1,10,0.98,0.0,,,,,,,,,
43,attacker,CyberBattleChain-thesis-v0,PPO,830,5268.06,19,0,19,1,19,1,10,1.06,0.0,,,,,,,,,
44,attacker,CyberBattleChain-thesis-v0,PPO,850,5262.09,20,0,20,1,20,1,10,1.0899999999999999,0.0,,,,,,,,,
45,attacker,CyberBattleChain-thesis-v0,PPO,869,5262.0,19,0,19,1,19,1,10,1.0,0.0,,,,,,,,,
46,attacker,CyberBattleChain-thesis-v0,PPO,888,5262.06,19,0,19,1,19,1,10,1.06,0.0,,,,,,,,,
47,attacker,CyberBattleChain-thesis-v0,PPO,906,5261.98,18,0,18,1,18,1,10,0.98,0.0,,,,,,,,,
48,attacker,CyberBattleChain-thesis-v0,PPO,926,5268.055,20,0,20,1,20,1,10,1.055,0.0,,,,,,,,,
49,attacker,CyberBattleChain-thesis-v0,PPO,944,5261.98,18,0,18,1,18,1,10,0.98,0.0,,,,,,,,,
50,attacker,CyberBattleChain-thesis-v0,PPO,963,5262.025,19,0,19,1,19,1,10,1.025,0.0,,,,,,,,,
51,attacker,CyberBattleChain-thesis-v0,PPO,984,5262.22,21,0,21,1,21,1,10,1.22,0.0,,,,,,,,,
52,attacker,CyberBattleChain-thesis-v0,PPO,1003,5268.06,19,0,19,1,19,1,10,1.06,0.0,,,,,,,,,
53,attacker,CyberBattleChain-thesis-v0,PPO,1024,5262.175,21,0,21,1,21,1,10,1.1749999999999998,0.0,,,,,,,,,
54,attacker,CyberBattleChain-thesis-v0,PPO,1044,5262.105,20,0,20,1,20,1,10,1.105,0.0,,,,,,,,,
55,attacker,CyberBattleChain-thesis-v0,PPO,1064,5262.18,20,0,20,1,20,1,10,1.18,0.0,,,,,,,,,
56,attacker,CyberBattleChain-thesis-v0,PPO,1085,5262.175,21,0,21,1,21,1,10,1.175,0.0,,,,,,,,,
57,attacker,CyberBattleChain-thesis-v0,PPO,1107,5268.11,22,0,22,1,22,1,10,1.1099999999999999,0.0,,,,,,,,,
58,attacker,CyberBattleChain-thesis-v0,PPO,1126,5262.0,19,0,19,1,19,1,10,1.0,0.0,,,,,,,,,
59,attacker,CyberBattleChain-thesis-v0,PPO,1147,5268.175,21,0,21,1,21,1,10,1.175,0.0,,,,,,,,,
60,attacker,CyberBattleChain-thesis-v0,PPO,1166,5267.98,19,0,19,1,19,1,10,0.98,0.0,,,,,,,,,
61,attacker,CyberBattleChain-thesis-v0,PPO,1186,5268.125,20,0,20,1,20,1,10,1.125,0.0,,,,,,,,,
62,attacker,CyberBattleChain-thesis-v0,PPO,1205,5262.01,19,0,19,1,19,1,10,1.01,0.0,,,,,,,,,
63,attacker,CyberBattleChain-thesis-v0,PPO,1224,5261.99,19,0,19,1,19,1,10,0.99,0.0,,,,,,,,,
64,attacker,CyberBattleChain-thesis-v0,PPO,1242,5261.98,18,0,18,1,18,1,10,0.98,0.0,,,,,,,,,
65,attacker,CyberBattleChain-thesis-v0,PPO,1262,5262.145,20,0,20,1,20,1,10,1.145,0.0,,,,,,,,,
66,attacker,CyberBattleChain-thesis-v0,PPO,1282,5268.04,20,0,20,1,20,1,10,1.04,0.0,,,,,,,,,
67,attacker,CyberBattleChain-thesis-v0,PPO,1300,5261.98,18,0,18,1,18,1,10,0.98,0.0,,,,,,,,,
68,attacker,CyberBattleChain-thesis-v0,PPO,1319,5262.06,19,0,19,1,19,1,10,1.06,0.0,,,,,,,,,
69,attacker,CyberBattleChain-thesis-v0,PPO,1337,5261.98,18,0,18,1,18,1,10,0.98,0.0,,,,,,,,,
70,attacker,CyberBattleChain-thesis-v0,PPO,1356,5262.025,19,0,19,1,19,1,10,1.025,0.0,,,,,,,,,
71,attacker,CyberBattleChain-thesis-v0,PPO,1376,5262.11,20,0,20,1,20,1,10,1.1099999999999999,0.0,,,,,,,,,
72,attacker,CyberBattleChain-thesis-v0,PPO,1394,5261.98,18,0,18,1,18,1,10,0.98,0.0,,,,,,,,,
