episode,agent,env_id,algorithm,timestep,episode_reward,episode_length,atk_invalid,atk_valid,atk_cj_reached,atk_cj_step,atk_won,atk_max_owned,atk_hold_reward,atk_eviction,def_reimage,def_block,def_allow,def_stop_svc,def_stop_svc_clean,def_start_svc,def_invalid,def_recovered,def_sla_break_steps
1,attacker,CyberBattleDMZ-thesis-v0,PPO,16,5316.79,16,0,16,1,9,1,10,1.7900000000000003,0.0,,,,,,,,,
2,attacker,CyberBattleDMZ-thesis-v0,PPO,35,5226.445,19,0,19,1,19,1,10,1.445,0.0,,,,,,,,,
3,attacker,CyberBattleDMZ-thesis-v0,PPO,55,5307.305,20,0,20,1,10,1,10,2.305,0.0,,,,,,,,,
4,attacker,CyberBattleDMZ-thesis-v0,PPO,72,5311.845,17,0,17,1,10,1,10,1.845,0.0,,,,,,,,,
5,attacker,CyberBattleDMZ-thesis-v0,PPO,90,5317.3,18,0,18,1,7,1,10,2.3000000000000003,0.0,,,,,,,,,
6,attacker,CyberBattleDMZ-thesis-v0,PPO,106,5306.83,16,0,16,1,9,1,10,1.8300000000000005,0.0,,,,,,,,,
7,attacker,CyberBattleDMZ-thesis-v0,PPO,147,5316.985,41,0,41,1,10,1,10,6.9849999999999985,0.0,,,,,,,,,
8,attacker,CyberBattleDMZ-thesis-v0,PPO,180,5309.825,33,0,33,1,12,1,10,4.824999999999998,0.0,,,,,,,,,
9,attacker,CyberBattleDMZ-thesis-v0,PPO,213,5320.21,33,0,33,1,8,1,10,5.209999999999997,0.0,,,,,,,,,
10,attacker,CyberBattleDMZ-thesis-v0,PPO,236,5308.43,23,0,23,1,6,1,10,3.4299999999999997,0.0,,,,,,,,,
11,attacker,CyberBattleDMZ-thesis-v0,PPO,259,5317.425,23,0,23,1,16,1,10,2.4250000000000003,0.0,,,,,,,,,
12,attacker,CyberBattleDMZ-thesis-v0,PPO,278,5317.795,19,0,19,1,5,1,10,2.7950000000000004,0.0,,,,,,,,,
13,attacker,CyberBattleDMZ-thesis-v0,PPO,302,5227.185,24,0,24,1,24,1,10,2.1849999999999996,0.0,,,,,,,,,
14,attacker,CyberBattleDMZ-thesis-v0,PPO,326,5318.47,24,0,24,1,10,1,10,3.470000000000001,0.0,,,,,,,,,
15,attacker,CyberBattleDMZ-thesis-v0,PPO,359,5315.095,33,0,33,1,12,1,10,5.095000000000001,0.0,,,,,,,,,
16,attacker,CyberBattleDMZ-thesis-v0,PPO,391,5326.18,32,0,32,1,10,1,10,5.179999999999999,0.0,,,,,,,,,
17,attacker,CyberBattleDMZ-thesis-v0,PPO,417,5308.9,26,0,26,1,8,1,10,3.8999999999999995,0.0,,,,,,,,,
18,attacker,CyberBattleDMZ-thesis-v0,PPO,440,5308.39,23,0,23,1,7,1,10,3.3899999999999992,0.0,,,,,,,,,
19,attacker,CyberBattleDMZ-thesis-v0,PPO,473,5315.845,33,0,33,1,5,1,10,5.845,0.0,,,,,,,,,
