episode,agent,env_id,algorithm,timestep,episode_reward,episode_length,atk_invalid,atk_valid,atk_cj_reached,atk_cj_step,atk_won,atk_max_owned,atk_hold_reward,atk_eviction,def_reimage,def_block,def_allow,def_stop_svc,def_stop_svc_clean,def_start_svc,def_invalid,def_recovered,def_sla_break_steps
1,attacker,CyberBattleFlat-thesis-v0,PPO,1229,5621.81,1229,0,1229,1,63,1,10,240.8100000000022,0.0,,,,,,,,,
2,attacker,CyberBattleFlat-thesis-v0,PPO,2819,5715.22,1590,0,1590,1,11,1,10,308.2199999999968,0.0,,,,,,,,,
3,attacker,CyberBattleFlat-thesis-v0,PPO,4153,5583.24,1334,0,1334,1,82,1,10,200.24000000000336,0.0,,,,,,,,,
4,attacker,CyberBattleFlat-thesis-v0,PPO,4951,5517.315,798,0,798,1,148,1,10,144.31500000000133,0.0,,,,,,,,,
5,attacker,CyberBattleFlat-thesis-v0,PPO,6940,5842.665,1989,0,1989,1,10,1,10,423.6650000000157,0.0,,,,,,,,,
6,attacker,CyberBattleFlat-thesis-v0,PPO,8702,5748.16,1762,0,1762,1,17,1,10,343.160000000014,0.0,,,,,,,,,
7,attacker,CyberBattleFlat-thesis-v0,PPO,10703,735.06,2001,0,2001,1,123,0,9,346.05999999999165,0.0,,,,,,,,,
8,attacker,CyberBattleFlat-thesis-v0,PPO,11634,5475.625,931,0,931,1,12,1,10,148.62499999999997,0.0,,,,,,,,,
9,attacker,CyberBattleFlat-thesis-v0,PPO,12638,5587.2,1004,0,1004,1,125,1,10,188.20000000000024,0.0,,,,,,,,,
10,attacker,CyberBattleFlat-thesis-v0,PPO,13247,5473.44,609,0,609,1,47,1,10,85.43999999999977,0.0,,,,,,,,,
11,attacker,CyberBattleFlat-thesis-v0,PPO,14036,5454.65,789,0,789,1,367,1,10,100.64999999999932,0.0,,,,,,,,,
12,attacker,CyberBattleFlat-thesis-v0,PPO,14908,5431.93,872,0,872,1,623,1,10,95.92999999999918,0.0,,,,,,,,,
13,attacker,CyberBattleFlat-thesis-v0,PPO,15558,5467.46,650,0,650,1,155,1,10,106.45999999999898,0.0,,,,,,,,,
14,attacker,CyberBattleFlat-thesis-v0,PPO,16872,5664.365,1314,0,1314,1,10,1,10,267.36500000000166,0.0,,,,,,,,,
15,attacker,CyberBattleFlat-thesis-v0,PPO,17741,5574.075,869,0,869,1,115,1,10,175.07499999999743,0.0,,,,,,,,,
16,attacker,CyberBattleFlat-thesis-v0,PPO,19029,5535.59,1288,0,1288,1,635,1,10,160.58999999999926,0.0,,,,,,,,,
17,attacker,CyberBattleFlat-thesis-v0,PPO,20074,5539.735,1045,0,1045,1,54,1,10,182.73500000000055,0.0,,,,,,,,,
18,attacker,CyberBattleFlat-thesis-v0,PPO,22075,666.725,2001,0,2001,1,1544,0,9,255.72500000000005,0.0,,,,,,,,,
19,attacker,CyberBattleFlat-thesis-v0,PPO,22563,5481.485,488,0,488,1,46,1,10,88.48499999999991,0.0,,,,,,,,,
20,attacker,CyberBattleFlat-thesis-v0,PPO,23877,5635.585,1314,0,1314,1,11,1,10,248.58500000000464,0.0,,,,,,,,,
21,attacker,CyberBattleFlat-thesis-v0,PPO,25533,5787.21,1656,0,1656,1,13,1,10,360.21000000000606,0.0,,,,,,,,,
