episode,agent,env_id,algorithm,timestep,episode_reward,episode_length,atk_invalid,atk_valid,atk_cj_reached,atk_cj_step,atk_won,atk_max_owned,atk_hold_reward,atk_eviction,def_reimage,def_block,def_allow,def_stop_svc,def_stop_svc_clean,def_start_svc,def_invalid,def_recovered,def_sla_break_steps
1,attacker,CyberBattleHubSpoke-thesis-v0,PPO,22,5324.44,22,0,22,1,5,1,10,3.440000000000001,0.0,,,,,,,,,
2,attacker,CyberBattleHubSpoke-thesis-v0,PPO,43,5323.795,21,0,21,1,7,1,10,2.7950000000000004,0.0,,,,,,,,,
3,attacker,CyberBattleHubSpoke-thesis-v0,PPO,61,5323.345,18,0,18,1,5,1,10,2.345,0.0,,,,,,,,,
4,attacker,CyberBattleHubSpoke-thesis-v0,PPO,86,5323.425,25,0,25,1,20,1,10,2.4250000000000003,0.0,,,,,,,,,
5,attacker,CyberBattleHubSpoke-thesis-v0,PPO,112,5323.92,26,0,26,1,16,1,10,2.92,0.0,,,,,,,,,
6,attacker,CyberBattleHubSpoke-thesis-v0,PPO,135,5330.485,23,0,23,1,5,1,10,3.4850000000000003,0.0,,,,,,,,,
7,attacker,CyberBattleHubSpoke-thesis-v0,PPO,154,5323.28,19,0,19,1,7,1,10,2.2800000000000002,0.0,,,,,,,,,
8,attacker,CyberBattleHubSpoke-thesis-v0,PPO,168,5322.55,14,0,14,1,6,1,10,1.5500000000000003,0.0,,,,,,,,,
9,attacker,CyberBattleHubSpoke-thesis-v0,PPO,186,5323.1,18,0,18,1,7,1,10,2.0999999999999996,0.0,,,,,,,,,
10,attacker,CyberBattleHubSpoke-thesis-v0,PPO,205,5329.22,19,0,19,1,6,1,10,2.22,0.0,,,,,,,,,
11,attacker,CyberBattleHubSpoke-thesis-v0,PPO,222,5329.075,17,0,17,1,5,1,10,2.0749999999999997,0.0,,,,,,,,,
12,attacker,CyberBattleHubSpoke-thesis-v0,PPO,239,5322.875,17,0,17,1,7,1,10,1.8750000000000002,0.0,,,,,,,,,
13,attacker,CyberBattleHubSpoke-thesis-v0,PPO,264,5324.02,25,0,25,1,12,1,10,3.02,0.0,,,,,,,,,
14,attacker,CyberBattleHubSpoke-thesis-v0,PPO,285,5318.74,21,0,21,1,9,1,10,2.7400000000000007,0.0,,,,,,,,,
15,attacker,CyberBattleHubSpoke-thesis-v0,PPO,304,5308.085,19,0,19,1,8,1,10,2.085,0.0,,,,,,,,,
16,attacker,CyberBattleHubSpoke-thesis-v0,PPO,322,5323.235,18,0,18,1,6,1,10,2.2350000000000003,0.0,,,,,,,,,
17,attacker,CyberBattleHubSpoke-thesis-v0,PPO,353,5324.145,31,0,31,1,23,1,10,3.1449999999999996,0.0,,,,,,,,,
18,attacker,CyberBattleHubSpoke-thesis-v0,PPO,369,5322.605,16,0,16,1,7,1,10,1.6050000000000002,0.0,,,,,,,,,
19,attacker,CyberBattleHubSpoke-thesis-v0,PPO,383,5312.555,14,0,14,1,5,1,10,1.555,0.0,,,,,,,,,
20,attacker,CyberBattleHubSpoke-thesis-v0,PPO,400,5322.97,17,0,17,1,5,1,10,1.9700000000000002,0.0,,,,,,,,,
21,attacker,CyberBattleHubSpoke-thesis-v0,PPO,425,5315.5,25,0,25,1,5,1,10,3.4999999999999996,0.0,,,,,,,,,
22,attacker,CyberBattleHubSpoke-thesis-v0,PPO,455,5324.88,30,0,30,1,10,1,10,3.8800000000000012,0.0,,,,,,,,,
23,attacker,CyberBattleHubSpoke-thesis-v0,PPO,2456,252.99,2001,0,2001,0,-1,0,4,90.99000000000281,0.0,,,,,,,,,
24,attacker,CyberBattleHubSpoke-thesis-v0,PPO,2480,5324.315,24,0,24,1,6,1,10,3.3149999999999995,0.0,,,,,,,,,
25,attacker,CyberBattleHubSpoke-thesis-v0,PPO,2496,5307.775,16,0,16,1,7,1,10,1.775,0.0,,,,,,,,,
26,attacker,CyberBattleHubSpoke-thesis-v0,PPO,2513,5308.035,17,0,17,1,5,1,10,2.035,0.0,,,,,,,,,
27,attacker,CyberBattleHubSpoke-thesis-v0,PPO,2528,5322.83,15,0,15,1,5,1,10,1.83,0.0,,,,,,,,,
28,attacker,CyberBattleHubSpoke-thesis-v0,PPO,2550,5323.845,22,0,22,1,8,1,10,2.845,0.0,,,,,,,,,
29,attacker,CyberBattleHubSpoke-thesis-v0,PPO,2577,5324.925,27,0,27,1,5,1,10,3.9250000000000007,0.0,,,,,,,,,
30,attacker,CyberBattleHubSpoke-thesis-v0,PPO,2595,5323.015,18,0,18,1,6,1,10,2.0149999999999997,0.0,,,,,,,,,
31,attacker,CyberBattleHubSpoke-thesis-v0,PPO,2616,5323.24,21,0,21,1,12,1,10,2.24,0.0,,,,,,,,,
32,attacker,CyberBattleHubSpoke-thesis-v0,PPO,2642,5324.135,26,0,26,1,13,1,10,3.1350000000000007,0.0,,,,,,,,,
33,attacker,CyberBattleHubSpoke-thesis-v0,PPO,2664,5308.845,22,0,22,1,5,1,10,2.8449999999999998,0.0,,,,,,,,,
34,attacker,CyberBattleHubSpoke-thesis-v0,PPO,2681,5322.96,17,0,17,1,6,1,10,1.96,0.0,,,,,,,,,
35,attacker,CyberBattleHubSpoke-thesis-v0,PPO,2702,5308.74,21,0,21,1,5,1,10,2.74,0.0,,,,,,,,,
36,attacker,CyberBattleHubSpoke-thesis-v0,PPO,2725,5323.995,23,0,23,1,7,1,10,2.995,0.0,,,,,,,,,
37,attacker,CyberBattleHubSpoke-thesis-v0,PPO,2751,5330.97,26,0,26,1,6,1,10,3.970000000000001,0.0,,,,,,,,,
38,attacker,CyberBattleHubSpoke-thesis-v0,PPO,2773,5323.64,22,0,22,1,10,1,10,2.64,0.0,,,,,,,,,
39,attacker,CyberBattleHubSpoke-thesis-v0,PPO,2797,5330.675,24,0,24,1,5,1,10,3.6750000000000007,0.0,,,,,,,,,
40,attacker,CyberBattleHubSpoke-thesis-v0,PPO,2817,5323.835,20,0,20,1,6,1,10,2.835000000000001,0.0,,,,,,,,,
41,attacker,CyberBattleHubSpoke-thesis-v0,PPO,2832,5307.605,15,0,15,1,6,1,10,1.605,0.0,,,,,,,,,
42,attacker,CyberBattleHubSpoke-thesis-v0,PPO,2854,5313.545,22,0,22,1,10,1,10,2.545,0.0,,,,,,,,,
43,attacker,CyberBattleHubSpoke-thesis-v0,PPO,2871,5318.185,17,0,17,1,6,1,10,2.185,0.0,,,,,,,,,
44,attacker,CyberBattleHubSpoke-thesis-v0,PPO,2892,5313.75,21,0,21,1,6,1,10,2.7499999999999996,0.0,,,,,,,,,
45,attacker,CyberBattleHubSpoke-thesis-v0,PPO,2910,5323.195,18,0,18,1,5,1,10,2.1950000000000003,0.0,,,,,,,,,
46,attacker,CyberBattleHubSpoke-thesis-v0,PPO,2941,5331.19,31,0,31,1,12,1,10,4.19,0.0,,,,,,,,,
47,attacker,CyberBattleHubSpoke-thesis-v0,PPO,2958,5322.9,17,0,17,1,6,1,10,1.9000000000000001,0.0,,,,,,,,,
48,attacker,CyberBattleHubSpoke-thesis-v0,PPO,2989,5326.035,31,0,31,1,5,1,10,5.034999999999998,0.0,,,,,,,,,
49,attacker,CyberBattleHubSpoke-thesis-v0,PPO,3010,5314.46,21,0,21,1,6,1,10,2.46,0.0,,,,,,,,,
50,attacker,CyberBattleHubSpoke-thesis-v0,PPO,3026,5312.925,16,0,16,1,6,1,10,1.9250000000000003,0.0,,,,,,,,,
51,attacker,CyberBattleHubSpoke-thesis-v0,PPO,3047,5323.62,21,0,21,1,10,1,10,2.62,0.0,,,,,,,,,
52,attacker,CyberBattleHubSpoke-thesis-v0,PPO,3066,5308.295,19,0,19,1,7,1,10,2.2950000000000004,0.0,,,,,,,,,
53,attacker,CyberBattleHubSpoke-thesis-v0,PPO,3086,5318.69,20,0,20,1,5,1,10,2.6900000000000004,0.0,,,,,,,,,
54,attacker,CyberBattleHubSpoke-thesis-v0,PPO,3102,5323.005,16,0,16,1,6,1,10,2.0050000000000003,0.0,,,,,,,,,
55,attacker,CyberBattleHubSpoke-thesis-v0,PPO,3118,5322.765,16,0,16,1,6,1,10,1.7650000000000001,0.0,,,,,,,,,
56,attacker,CyberBattleHubSpoke-thesis-v0,PPO,3136,5308.055,18,0,18,1,5,1,10,2.0549999999999997,0.0,,,,,,,,,
57,attacker,CyberBattleHubSpoke-thesis-v0,PPO,3160,5334.14,24,0,24,1,7,1,10,3.1400000000000006,0.0,,,,,,,,,
58,attacker,CyberBattleHubSpoke-thesis-v0,PPO,5161,528.095,2001,0,2001,1,717,0,5,219.09500000000511,0.0,,,,,,,,,
59,attacker,CyberBattleHubSpoke-thesis-v0,PPO,5179,5323.28,18,0,18,1,6,1,10,2.2800000000000002,0.0,,,,,,,,,
60,attacker,CyberBattleHubSpoke-thesis-v0,PPO,5197,5328.53,18,0,18,1,12,1,10,1.5300000000000002,0.0,,,,,,,,,
61,attacker,CyberBattleHubSpoke-thesis-v0,PPO,5219,5308.79,22,0,22,1,6,1,10,2.79,0.0,,,,,,,,,
62,attacker,CyberBattleHubSpoke-thesis-v0,PPO,5236,5323.0,17,0,17,1,7,1,10,2.0000000000000004,0.0,,,,,,,,,
63,attacker,CyberBattleHubSpoke-thesis-v0,PPO,5257,5308.405,21,0,21,1,8,1,10,2.405,0.0,,,,,,,,,
64,attacker,CyberBattleHubSpoke-thesis-v0,PPO,5276,5329.515,19,0,19,1,5,1,10,2.515,0.0,,,,,,,,,
65,attacker,CyberBattleHubSpoke-thesis-v0,PPO,5300,5319.285,24,0,24,1,6,1,10,3.2850000000000006,0.0,,,,,,,,,
66,attacker,CyberBattleHubSpoke-thesis-v0,PPO,5321,5323.69,21,0,21,1,9,1,10,2.6900000000000004,0.0,,,,,,,,,
67,attacker,CyberBattleHubSpoke-thesis-v0,PPO,5341,5329.49,20,0,20,1,7,1,10,2.49,0.0,,,,,,,,,
68,attacker,CyberBattleHubSpoke-thesis-v0,PPO,5358,5317.975,17,0,17,1,7,1,10,1.975,0.0,,,,,,,,,
69,attacker,CyberBattleHubSpoke-thesis-v0,PPO,5375,5307.97,17,0,17,1,5,1,10,1.97,0.0,,,,,,,,,
70,attacker,CyberBattleHubSpoke-thesis-v0,PPO,5397,5309.105,22,0,22,1,6,1,10,3.1049999999999995,0.0,,,,,,,,,
71,attacker,CyberBattleHubSpoke-thesis-v0,PPO,5410,5307.325,13,0,13,1,6,1,10,1.325,0.0,,,,,,,,,
72,attacker,CyberBattleHubSpoke-thesis-v0,PPO,7411,351.57,2001,0,2001,0,-1,0,6,129.57000000000122,0.0,,,,,,,,,
73,attacker,CyberBattleHubSpoke-thesis-v0,PPO,7427,5312.79,16,0,16,1,6,1,10,1.7900000000000003,0.0,,,,,,,,,
74,attacker,CyberBattleHubSpoke-thesis-v0,PPO,7443,5322.665,16,0,16,1,10,1,10,1.6650000000000003,0.0,,,,,,,,,
75,attacker,CyberBattleHubSpoke-thesis-v0,PPO,7475,5341.705,32,0,32,1,9,1,10,4.705,0.0,,,,,,,,,
76,attacker,CyberBattleHubSpoke-thesis-v0,PPO,7496,5318.6,21,0,21,1,10,1,10,2.6,0.0,,,,,,,,,
77,attacker,CyberBattleHubSpoke-thesis-v0,PPO,7518,5314.945,22,0,22,1,5,1,10,2.9450000000000007,0.0,,,,,,,,,
78,attacker,CyberBattleHubSpoke-thesis-v0,PPO,7548,5316.1,30,0,30,1,9,1,10,4.1000000000000005,0.0,,,,,,,,,
79,attacker,CyberBattleHubSpoke-thesis-v0,PPO,7567,5313.275,19,0,19,1,7,1,10,2.2750000000000004,0.0,,,,,,,,,
