episode,agent,env_id,algorithm,timestep,episode_reward,episode_length,atk_invalid,atk_valid,atk_cj_reached,atk_cj_step,atk_won,atk_max_owned,atk_hold_reward,atk_eviction,def_reimage,def_block,def_allow,def_stop_svc,def_stop_svc_clean,def_start_svc,def_invalid,def_recovered,def_sla_break_steps
1,attacker,CyberBattleMicroSeg-thesis-v0,PPO,2001,638.395,2001,0,2001,1,6,0,4,289.3950000000037,0.0,,,,,,,,,
2,attacker,CyberBattleMicroSeg-thesis-v0,PPO,4002,638.195,2001,0,2001,1,8,0,4,289.19500000000374,0.0,,,,,,,,,
3,attacker,CyberBattleMicroSeg-thesis-v0,PPO,6003,638.195,2001,0,2001,1,8,0,4,289.19500000000374,0.0,,,,,,,,,
4,attacker,CyberBattleMicroSeg-thesis-v0,PPO,8004,638.165,2001,0,2001,1,8,0,4,289.1650000000037,0.0,,,,,,,,,
5,attacker,CyberBattleMicroSeg-thesis-v0,PPO,10005,637.995,2001,0,2001,1,10,0,4,288.99500000000376,0.0,,,,,,,,,
6,attacker,CyberBattleMicroSeg-thesis-v0,PPO,12006,638.295,2001,0,2001,1,7,0,4,289.2950000000037,0.0,,,,,,,,,
7,attacker,CyberBattleMicroSeg-thesis-v0,PPO,14007,638.395,2001,0,2001,1,6,0,4,289.3950000000037,0.0,,,,,,,,,
8,attacker,CyberBattleMicroSeg-thesis-v0,PPO,16008,637.695,2001,0,2001,1,13,0,4,288.6950000000038,0.0,,,,,,,,,
9,attacker,CyberBattleMicroSeg-thesis-v0,PPO,18009,637.405,2001,0,2001,1,15,0,4,288.40500000000384,0.0,,,,,,,,,
10,attacker,CyberBattleMicroSeg-thesis-v0,PPO,20010,638.135,2001,0,2001,1,8,0,4,289.13500000000374,0.0,,,,,,,,,
11,attacker,CyberBattleMicroSeg-thesis-v0,PPO,22011,637.805,2001,0,2001,1,11,0,4,288.80500000000376,0.0,,,,,,,,,
12,attacker,CyberBattleMicroSeg-thesis-v0,PPO,24012,638.035,2001,0,2001,1,9,0,4,289.0350000000038,0.0,,,,,,,,,
13,attacker,CyberBattleMicroSeg-thesis-v0,PPO,26013,637.605,2001,0,2001,1,13,0,4,288.6050000000038,0.0,,,,,,,,,
14,attacker,CyberBattleMicroSeg-thesis-v0,PPO,28014,638.295,2001,0,2001,1,7,0,4,289.2950000000037,0.0,,,,,,,,,
15,attacker,CyberBattleMicroSeg-thesis-v0,PPO,30015,638.195,2001,0,2001,1,8,0,4,289.19500000000374,0.0,,,,,,,,,
16,attacker,CyberBattleMicroSeg-thesis-v0,PPO,32016,638.395,2001,0,2001,1,6,0,4,289.3950000000037,0.0,,,,,,,,,
17,attacker,CyberBattleMicroSeg-thesis-v0,PPO,34017,498.535,2001,0,2001,1,1444,0,4,145.5350000000013,0.0,,,,,,,,,
18,attacker,CyberBattleMicroSeg-thesis-v0,PPO,36018,638.095,2001,0,2001,1,9,0,4,289.0950000000037,0.0,,,,,,,,,
19,attacker,CyberBattleMicroSeg-thesis-v0,PPO,38019,637.995,2001,0,2001,1,10,0,4,288.99500000000376,0.0,,,,,,,,,
20,attacker,CyberBattleMicroSeg-thesis-v0,PPO,40020,638.265,2001,0,2001,1,7,0,4,289.26500000000374,0.0,,,,,,,,,
21,attacker,CyberBattleMicroSeg-thesis-v0,PPO,42021,637.995,2001,0,2001,1,10,0,4,288.99500000000376,0.0,,,,,,,,,
22,attacker,CyberBattleMicroSeg-thesis-v0,PPO,44022,638.395,2001,0,2001,1,6,0,4,289.3950000000037,0.0,,,,,,,,,
23,attacker,CyberBattleMicroSeg-thesis-v0,PPO,46023,638.295,2001,0,2001,1,7,0,4,289.2950000000037,0.0,,,,,,,,,
24,attacker,CyberBattleMicroSeg-thesis-v0,PPO,48024,637.905,2001,0,2001,1,10,0,4,288.9050000000038,0.0,,,,,,,,,
25,attacker,CyberBattleMicroSeg-thesis-v0,PPO,50025,638.265,2001,0,2001,1,7,0,4,289.26500000000374,0.0,,,,,,,,,
