episode,agent,env_id,algorithm,timestep,episode_reward,episode_length,atk_invalid,atk_valid,atk_cj_reached,atk_cj_step,atk_won,atk_max_owned,atk_hold_reward,atk_eviction,def_reimage,def_block,def_allow,def_stop_svc,def_stop_svc_clean,def_start_svc,def_invalid,def_recovered,def_sla_break_steps
1,attacker,CyberBattleChain-thesis-v0,PPO,20,5268.01,20,0,20,1,20,1,10,1.01,0.0,,,,,,,,,
2,attacker,CyberBattleChain-thesis-v0,PPO,38,5261.98,18,0,18,1,18,1,10,0.98,0.0,,,,,,,,,
3,attacker,CyberBattleChain-thesis-v0,PPO,62,5274.33,24,0,24,1,24,1,10,1.3299999999999998,0.0,,,,,,,,,
4,attacker,CyberBattleChain-thesis-v0,PPO,83,5262.045,21,0,21,1,21,1,10,1.045,0.0,,,,,,,,,
5,attacker,CyberBattleChain-thesis-v0,PPO,101,5261.98,18,0,18,1,18,1,10,0.98,0.0,,,,,,,,,
6,attacker,CyberBattleChain-thesis-v0,PPO,120,5261.99,19,0,19,1,19,1,10,0.99,0.0,,,,,,,,,
7,attacker,CyberBattleChain-thesis-v0,PPO,141,5262.23,21,0,21,1,21,1,10,1.2299999999999998,0.0,,,,,,,,,
8,attacker,CyberBattleChain-thesis-v0,PPO,160,5262.045,19,0,19,1,19,1,10,1.045,0.0,,,,,,,,,
9,attacker,CyberBattleChain-thesis-v0,PPO,181,5268.165,21,0,21,1,21,1,10,1.1649999999999998,0.0,,,,,,,,,
10,attacker,CyberBattleChain-thesis-v0,PPO,202,5268.135,21,0,21,1,21,1,10,1.135,0.0,,,,,,,,,
11,attacker,CyberBattleChain-thesis-v0,PPO,223,5262.16,21,0,21,1,21,1,10,1.16,0.0,,,,,,,,,
12,attacker,CyberBattleChain-thesis-v0,PPO,241,5261.98,18,0,18,1,18,1,10,0.98,0.0,,,,,,,,,
13,attacker,CyberBattleChain-thesis-v0,PPO,261,5274.025,20,0,20,1,20,1,10,1.025,0.0,,,,,,,,,
14,attacker,CyberBattleChain-thesis-v0,PPO,279,5261.98,18,0,18,1,18,1,10,0.98,0.0,,,,,,,,,
15,attacker,CyberBattleChain-thesis-v0,PPO,299,5262.055,20,0,20,1,20,1,10,1.055,0.0,,,,,,,,,
16,attacker,CyberBattleChain-thesis-v0,PPO,317,5261.98,18,0,18,1,18,1,10,0.98,0.0,,,,,,,,,
17,attacker,CyberBattleChain-thesis-v0,PPO,338,5268.17,21,0,21,1,21,1,10,1.17,0.0,,,,,,,,,
18,attacker,CyberBattleChain-thesis-v0,PPO,360,5280.035,22,0,22,1,22,1,10,1.035,0.0,,,,,,,,,
19,attacker,CyberBattleChain-thesis-v0,PPO,378,5261.98,18,0,18,1,18,1,10,0.98,0.0,,,,,,,,,
20,attacker,CyberBattleChain-thesis-v0,PPO,399,5262.105,21,0,21,1,21,1,10,1.105,0.0,,,,,,,,,
21,attacker,CyberBattleChain-thesis-v0,PPO,419,5262.11,20,0,20,1,20,1,10,1.1099999999999999,0.0,,,,,,,,,
22,attacker,CyberBattleChain-thesis-v0,PPO,438,5268.025,19,0,19,1,19,1,10,1.025,0.0,,,,,,,,,
23,attacker,CyberBattleChain-thesis-v0,PPO,459,5262.2,21,0,21,1,21,1,10,1.2,0.0,,,,,,,,,
24,attacker,CyberBattleChain-thesis-v0,PPO,480,5262.05,21,0,21,1,21,1,10,1.0499999999999998,0.0,,,,,,,,,
25,attacker,CyberBattleChain-thesis-v0,PPO,498,5261.98,18,0,18,1,18,1,10,0.98,0.0,,,,,,,,,
26,attacker,CyberBattleChain-thesis-v0,PPO,518,5272.01,20,0,20,1,20,1,10,1.01,0.0,,,,,,,,,
27,attacker,CyberBattleChain-thesis-v0,PPO,538,5262.145,20,0,20,1,20,1,10,1.145,0.0,,,,,,,,,
28,attacker,CyberBattleChain-thesis-v0,PPO,559,5262.355,21,0,21,1,21,1,10,1.355,0.0,,,,,,,,,
29,attacker,CyberBattleChain-thesis-v0,PPO,578,5262.025,19,0,19,1,19,1,10,1.025,0.0,,,,,,,,,
30,attacker,CyberBattleChain-thesis-v0,PPO,599,5272.085,21,0,21,1,21,1,10,1.085,0.0,,,,,,,,,
31,attacker,CyberBattleChain-thesis-v0,PPO,621,5262.255,22,0,22,1,22,1,10,1.2549999999999997,0.0,,,,,,,,,
32,attacker,CyberBattleChain-thesis-v0,PPO,639,5261.98,18,0,18,1,18,1,10,0.98,0.0,,,,,,,,,
33,attacker,CyberBattleChain-thesis-v0,PPO,658,5262.06,19,0,19,1,19,1,10,1.06,0.0,,,,,,,,,
34,attacker,CyberBattleChain-thesis-v0,PPO,679,5262.11,21,0,21,1,21,1,10,1.1099999999999999,0.0,,,,,,,,,
35,attacker,CyberBattleChain-thesis-v0,PPO,698,5262.025,19,0,19,1,19,1,10,1.025,0.0,,,,,,,,,
36,attacker,CyberBattleChain-thesis-v0,PPO,719,5262.12,21,0,21,1,21,1,10,1.1199999999999999,0.0,,,,,,,,,
37,attacker,CyberBattleChain-thesis-v0,PPO,740,5262.195,21,0,21,1,21,1,10,1.195,0.0,,,,,,,,,
38,attacker,CyberBattleChain-thesis-v0,PPO,759,5262.085,19,0,19,1,19,1,10,1.085,0.0,,,,,,,,,
