episode,agent,env_id,algorithm,timestep,episode_reward,episode_length,atk_invalid,atk_valid,atk_cj_reached,atk_cj_step,atk_won,atk_max_owned,atk_hold_reward,atk_eviction,def_reimage,def_block,def_allow,def_stop_svc,def_stop_svc_clean,def_start_svc,def_invalid,def_recovered,def_sla_break_steps
1,attacker,CyberBattleFlat-thesis-v0,PPO,995,5591.695,995,0,995,1,146,1,10,176.69499999999704,0.0,,,,,,,,,
2,attacker,CyberBattleFlat-thesis-v0,PPO,2284,5694.845,1289,0,1289,1,72,1,10,241.84500000000213,0.0,,,,,,,,,
3,attacker,CyberBattleFlat-thesis-v0,PPO,2933,5551.875,649,0,649,1,56,1,10,114.8749999999992,0.0,,,,,,,,,
4,attacker,CyberBattleFlat-thesis-v0,PPO,4934,736.66,2001,0,2001,1,468,0,9,305.6599999999969,0.0,,,,,,,,,
5,attacker,CyberBattleFlat-thesis-v0,PPO,5850,5588.165,916,0,916,1,357,1,10,146.16499999999965,0.0,,,,,,,,,
6,attacker,CyberBattleFlat-thesis-v0,PPO,6586,5527.385,736,0,736,1,337,1,10,98.38499999999974,0.0,,,,,,,,,
7,attacker,CyberBattleFlat-thesis-v0,PPO,7867,5630.01,1281,0,1281,1,303,1,10,213.00999999999894,0.0,,,,,,,,,
8,attacker,CyberBattleFlat-thesis-v0,PPO,9868,5840.375,2001,0,2001,1,127,1,10,400.37500000001523,0.0,,,,,,,,,
9,attacker,CyberBattleFlat-thesis-v0,PPO,10654,5536.095,786,0,786,1,35,1,10,145.09499999999846,0.0,,,,,,,,,
10,attacker,CyberBattleFlat-thesis-v0,PPO,11880,5667.87,1226,0,1226,1,12,1,10,242.87000000000117,0.0,,,,,,,,,
11,attacker,CyberBattleFlat-thesis-v0,PPO,12569,5404.11,689,0,689,1,689,1,10,69.10999999999983,0.0,,,,,,,,,
12,attacker,CyberBattleFlat-thesis-v0,PPO,13327,5556.055,758,0,758,1,175,1,10,119.05500000000114,0.0,,,,,,,,,
13,attacker,CyberBattleFlat-thesis-v0,PPO,13732,5455.935,405,0,405,1,144,1,10,58.93500000000015,0.0,,,,,,,,,
14,attacker,CyberBattleFlat-thesis-v0,PPO,14503,5560.745,771,0,771,1,90,1,10,129.7450000000012,0.0,,,,,,,,,
15,attacker,CyberBattleFlat-thesis-v0,PPO,15756,5637.65,1253,0,1253,1,358,1,10,218.65000000000296,0.0,,,,,,,,,
16,attacker,CyberBattleFlat-thesis-v0,PPO,17299,5750.055,1543,0,1543,1,122,1,10,305.0550000000034,0.0,,,,,,,,,
17,attacker,CyberBattleFlat-thesis-v0,PPO,18630,5693.92,1331,0,1331,1,102,1,10,250.92000000000283,0.0,,,,,,,,,
18,attacker,CyberBattleFlat-thesis-v0,PPO,20070,5687.885,1440,0,1440,1,60,1,10,266.8850000000019,0.0,,,,,,,,,
19,attacker,CyberBattleFlat-thesis-v0,PPO,20569,5492.845,499,0,499,1,82,1,10,73.84500000000006,0.0,,,,,,,,,
20,attacker,CyberBattleFlat-thesis-v0,PPO,21214,5516.845,645,0,645,1,202,1,10,97.84499999999957,0.0,,,,,,,,,
21,attacker,CyberBattleFlat-thesis-v0,PPO,22076,5602.29,862,0,862,1,192,1,10,163.2899999999978,0.0,,,,,,,,,
22,attacker,CyberBattleFlat-thesis-v0,PPO,23200,5649.76,1124,0,1124,1,101,1,10,214.75999999999596,0.0,,,,,,,,,
23,attacker,CyberBattleFlat-thesis-v0,PPO,23985,5552.145,785,0,785,1,154,1,10,123.1449999999983,0.0,,,,,,,,,
24,attacker,CyberBattleFlat-thesis-v0,PPO,25513,5727.355,1528,0,1528,1,40,1,10,304.3549999999935,0.0,,,,,,,,,
25,attacker,CyberBattleFlat-thesis-v0,PPO,25859,5452.685,346,0,346,1,68,1,10,48.68499999999993,0.0,,,,,,,,,
26,attacker,CyberBattleFlat-thesis-v0,PPO,27305,5712.645,1446,0,1446,1,115,1,10,283.64499999999816,0.0,,,,,,,,,
27,attacker,CyberBattleFlat-thesis-v0,PPO,28479,5612.61,1174,0,1174,1,202,1,10,187.6099999999984,0.0,,,,,,,,,
28,attacker,CyberBattleFlat-thesis-v0,PPO,29020,5492.235,541,0,541,1,21,1,10,92.23499999999908,0.0,,,,,,,,,
29,attacker,CyberBattleFlat-thesis-v0,PPO,30127,5639.475,1107,0,1107,1,39,1,10,208.47499999999803,0.0,,,,,,,,,
30,attacker,CyberBattleFlat-thesis-v0,PPO,31890,5767.49,1763,0,1763,1,372,1,10,340.49000000000655,0.0,,,,,,,,,
31,attacker,CyberBattleFlat-thesis-v0,PPO,32604,5528.98,714,0,714,1,62,1,10,137.9800000000011,0.0,,,,,,,,,
32,attacker,CyberBattleFlat-thesis-v0,PPO,33004,5478.02,400,0,400,1,190,1,10,54.020000000000095,0.0,,,,,,,,,
33,attacker,CyberBattleFlat-thesis-v0,PPO,34328,5645.46,1324,0,1324,1,371,1,10,214.45999999999933,0.0,,,,,,,,,
34,attacker,CyberBattleFlat-thesis-v0,PPO,36329,807.565,2001,0,2001,1,237,0,9,388.5649999999882,0.0,,,,,,,,,
35,attacker,CyberBattleFlat-thesis-v0,PPO,36707,5463.245,378,0,378,1,65,1,10,60.2450000000005,0.0,,,,,,,,,
36,attacker,CyberBattleFlat-thesis-v0,PPO,38708,615.2,2001,0,2001,1,1025,0,9,178.20000000000007,0.0,,,,,,,,,
37,attacker,CyberBattleFlat-thesis-v0,PPO,39259,5494.315,551,0,551,1,30,1,10,97.31500000000041,0.0,,,,,,,,,
38,attacker,CyberBattleFlat-thesis-v0,PPO,39780,5487.035,521,0,521,1,341,1,10,64.0350000000002,0.0,,,,,,,,,
39,attacker,CyberBattleFlat-thesis-v0,PPO,40708,5602.96,928,0,928,1,31,1,10,191.959999999997,0.0,,,,,,,,,
40,attacker,CyberBattleFlat-thesis-v0,PPO,41551,5516.595,843,0,843,1,689,1,10,101.59500000000105,0.0,,,,,,,,,
41,attacker,CyberBattleFlat-thesis-v0,PPO,41883,5468.89,332,0,332,1,31,1,10,57.89000000000016,0.0,,,,,,,,,
42,attacker,CyberBattleFlat-thesis-v0,PPO,43605,5754.46,1722,0,1722,1,32,1,10,341.46000000001345,0.0,,,,,,,,,
43,attacker,CyberBattleFlat-thesis-v0,PPO,45606,688.32,2001,0,2001,1,705,0,9,241.31999999999806,0.0,,,,,,,,,
44,attacker,CyberBattleFlat-thesis-v0,PPO,46034,5342.435,428,0,428,1,428,1,10,43.434999999999924,0.0,,,,,,,,,
45,attacker,CyberBattleFlat-thesis-v0,PPO,46384,5470.265,350,0,350,1,81,1,10,46.264999999999866,0.0,,,,,,,,,
46,attacker,CyberBattleFlat-thesis-v0,PPO,47274,5596.28,890,0,890,1,58,1,10,160.2799999999982,0.0,,,,,,,,,
47,attacker,CyberBattleFlat-thesis-v0,PPO,47623,5475.7,349,0,349,1,81,1,10,50.700000000000145,0.0,,,,,,,,,
48,attacker,CyberBattleFlat-thesis-v0,PPO,48676,5609.93,1053,0,1053,1,220,1,10,174.9299999999986,0.0,,,,,,,,,
49,attacker,CyberBattleFlat-thesis-v0,PPO,50670,5756.13,1994,0,1994,1,637,1,10,315.13000000001034,0.0,,,,,,,,,
50,attacker,CyberBattleFlat-thesis-v0,PPO,51809,5668.425,1139,0,1139,1,39,1,10,233.42499999999905,0.0,,,,,,,,,
51,attacker,CyberBattleFlat-thesis-v0,PPO,53004,5621.05,1195,0,1195,1,509,1,10,167.04999999999907,0.0,,,,,,,,,
52,attacker,CyberBattleFlat-thesis-v0,PPO,54418,5713.59,1414,0,1414,1,82,1,10,269.5900000000014,0.0,,,,,,,,,
53,attacker,CyberBattleFlat-thesis-v0,PPO,55063,5487.37,645,0,645,1,321,1,10,78.36999999999964,0.0,,,,,,,,,
54,attacker,CyberBattleFlat-thesis-v0,PPO,55640,5522.275,577,0,577,1,87,1,10,103.27499999999928,0.0,,,,,,,,,
55,attacker,CyberBattleFlat-thesis-v0,PPO,57305,5799.85,1665,0,1665,1,115,1,10,346.8500000000044,0.0,,,,,,,,,
56,attacker,CyberBattleFlat-thesis-v0,PPO,57912,5512.93,607,0,607,1,33,1,10,110.92999999999991,0.0,,,,,,,,,
57,attacker,CyberBattleFlat-thesis-v0,PPO,58822,5593.865,910,0,910,1,153,1,10,162.8650000000016,0.0,,,,,,,,,
58,attacker,CyberBattleFlat-thesis-v0,PPO,59688,5590.62,866,0,866,1,53,1,10,164.61999999999972,0.0,,,,,,,,,
59,attacker,CyberBattleFlat-thesis-v0,PPO,60377,5510.455,689,0,689,1,294,1,10,100.45499999999987,0.0,,,,,,,,,
60,attacker,CyberBattleFlat-thesis-v0,PPO,61030,5515.63,653,0,653,1,206,1,10,107.6299999999999,0.0,,,,,,,,,
61,attacker,CyberBattleFlat-thesis-v0,PPO,61597,5531.19,567,0,567,1,117,1,10,96.18999999999939,0.0,,,,,,,,,
62,attacker,CyberBattleFlat-thesis-v0,PPO,63598,667.735,2001,0,2001,1,902,0,9,232.7350000000007,0.0,,,,,,,,,
63,attacker,CyberBattleFlat-thesis-v0,PPO,63909,5327.75,311,0,311,1,311,1,10,20.750000000000036,0.0,,,,,,,,,
64,attacker,CyberBattleFlat-thesis-v0,PPO,64373,5480.71,464,0,464,1,314,1,10,51.710000000000086,0.0,,,,,,,,,
65,attacker,CyberBattleFlat-thesis-v0,PPO,66374,561.315,2001,0,2001,1,1326,0,9,130.31500000000014,0.0,,,,,,,,,
66,attacker,CyberBattleFlat-thesis-v0,PPO,67045,5518.74,671,0,671,1,290,1,10,104.73999999999931,0.0,,,,,,,,,
67,attacker,CyberBattleFlat-thesis-v0,PPO,68285,5663.415,1240,0,1240,1,34,1,10,260.41499999999803,0.0,,,,,,,,,
68,attacker,CyberBattleFlat-thesis-v0,PPO,70083,5603.41,1798,0,1798,1,933,1,10,166.4099999999999,0.0,,,,,,,,,
69,attacker,CyberBattleFlat-thesis-v0,PPO,71268,5653.085,1185,0,1185,1,97,1,10,230.08499999999603,0.0,,,,,,,,,
70,attacker,CyberBattleFlat-thesis-v0,PPO,72250,5608.11,982,0,982,1,108,1,10,171.1099999999999,0.0,,,,,,,,,
71,attacker,CyberBattleFlat-thesis-v0,PPO,72906,5539.725,656,0,656,1,169,1,10,104.72499999999907,0.0,,,,,,,,,
72,attacker,CyberBattleFlat-thesis-v0,PPO,73314,5488.935,408,0,408,1,55,1,10,65.9350000000005,0.0,,,,,,,,,
73,attacker,CyberBattleFlat-thesis-v0,PPO,74356,5618.765,1042,0,1042,1,43,1,10,197.76499999999749,0.0,,,,,,,,,
74,attacker,CyberBattleFlat-thesis-v0,PPO,76319,5789.75,1963,0,1963,1,352,1,10,354.75000000000824,0.0,,,,,,,,,
75,attacker,CyberBattleFlat-thesis-v0,PPO,77179,5538.24,860,0,860,1,156,1,10,123.24000000000088,0.0,,,,,,,,,
76,attacker,CyberBattleFlat-thesis-v0,PPO,77679,5482.855,500,0,500,1,88,1,10,78.85499999999922,0.0,,,,,,,,,
77,attacker,CyberBattleFlat-thesis-v0,PPO,78842,5645.005,1163,0,1163,1,92,1,10,232.00499999999758,0.0,,,,,,,,,
78,attacker,CyberBattleFlat-thesis-v0,PPO,79817,5578.195,975,0,975,1,577,1,10,143.1949999999981,0.0,,,,,,,,,
79,attacker,CyberBattleFlat-thesis-v0,PPO,80711,5552.39,894,0,894,1,294,1,10,115.39000000000077,0.0,,,,,,,,,
80,attacker,CyberBattleFlat-thesis-v0,PPO,81429,5525.175,718,0,718,1,70,1,10,128.17500000000018,0.0,,,,,,,,,
81,attacker,CyberBattleFlat-thesis-v0,PPO,82086,5547.14,657,0,657,1,33,1,10,112.13999999999909,0.0,,,,,,,,,
82,attacker,CyberBattleFlat-thesis-v0,PPO,82759,5510.24,673,0,673,1,481,1,10,69.2400000000004,0.0,,,,,,,,,
83,attacker,CyberBattleFlat-thesis-v0,PPO,83470,5536.79,711,0,711,1,106,1,10,127.78999999999843,0.0,,,,,,,,,
84,attacker,CyberBattleFlat-thesis-v0,PPO,84589,5633.375,1119,0,1119,1,25,1,10,216.37499999999585,0.0,,,,,,,,,
85,attacker,CyberBattleFlat-thesis-v0,PPO,85467,5416.165,878,0,878,1,878,1,10,89.1650000000009,0.0,,,,,,,,,
86,attacker,CyberBattleFlat-thesis-v0,PPO,87468,487.19,2001,0,2001,1,1533,0,8,77.18999999999996,0.0,,,,,,,,,
87,attacker,CyberBattleFlat-thesis-v0,PPO,88608,5644.29,1140,0,1140,1,110,1,10,215.28999999999817,0.0,,,,,,,,,
88,attacker,CyberBattleFlat-thesis-v0,PPO,89577,5619.83,969,0,969,1,30,1,10,192.82999999999805,0.0,,,,,,,,,
89,attacker,CyberBattleFlat-thesis-v0,PPO,90117,5489.865,540,0,540,1,64,1,10,90.86499999999934,0.0,,,,,,,,,
90,attacker,CyberBattleFlat-thesis-v0,PPO,90668,5476.13,551,0,551,1,291,1,10,73.12999999999961,0.0,,,,,,,,,
91,attacker,CyberBattleFlat-thesis-v0,PPO,91579,5602.24,911,0,911,1,25,1,10,189.239999999997,0.0,,,,,,,,,
92,attacker,CyberBattleFlat-thesis-v0,PPO,93467,5736.785,1888,0,1888,1,383,1,10,305.78499999999593,0.0,,,,,,,,,
93,attacker,CyberBattleFlat-thesis-v0,PPO,94111,5528.82,644,0,644,1,69,1,10,121.81999999999876,0.0,,,,,,,,,
94,attacker,CyberBattleFlat-thesis-v0,PPO,95250,5597.755,1139,0,1139,1,546,1,10,166.75500000000207,0.0,,,,,,,,,
95,attacker,CyberBattleFlat-thesis-v0,PPO,97251,841.085,2001,0,2001,1,23,0,9,422.08500000001396,0.0,,,,,,,,,
96,attacker,CyberBattleFlat-thesis-v0,PPO,98074,5577.81,823,0,823,1,131,1,10,154.80999999999872,0.0,,,,,,,,,
97,attacker,CyberBattleFlat-thesis-v0,PPO,98422,5437.635,348,0,348,1,32,1,10,58.635000000000176,0.0,,,,,,,,,
98,attacker,CyberBattleFlat-thesis-v0,PPO,100072,5797.6,1650,0,1650,1,45,1,10,350.6000000000052,0.0,,,,,,,,,
