episode,agent,env_id,algorithm,timestep,episode_reward,episode_length,atk_invalid,atk_valid,atk_cj_reached,atk_cj_step,atk_won,atk_max_owned,atk_hold_reward,atk_eviction,def_reimage,def_block,def_allow,def_stop_svc,def_stop_svc_clean,def_start_svc,def_invalid,def_recovered,def_sla_break_steps
1,attacker,CyberBattleHubSpoke-thesis-v0,PPO,1864,5852.67,1864,0,1864,1,6,1,10,395.67000000001104,0.0,,,,,,,,,
2,attacker,CyberBattleHubSpoke-thesis-v0,PPO,2849,5652.455,985,0,985,1,9,1,10,209.45499999999706,0.0,,,,,,,,,
3,attacker,CyberBattleHubSpoke-thesis-v0,PPO,4225,5757.775,1376,0,1376,1,12,1,10,290.7750000000051,0.0,,,,,,,,,
4,attacker,CyberBattleHubSpoke-thesis-v0,PPO,4831,5574.0,606,0,606,1,10,1,10,126.99999999999874,0.0,,,,,,,,,
5,attacker,CyberBattleHubSpoke-thesis-v0,PPO,6832,849.33,2001,0,2001,1,7,0,9,418.3299999999843,0.0,,,,,,,,,
6,attacker,CyberBattleHubSpoke-thesis-v0,PPO,7586,5604.295,754,0,754,1,9,1,10,153.2949999999981,0.0,,,,,,,,,
7,attacker,CyberBattleHubSpoke-thesis-v0,PPO,9587,890.945,2001,0,2001,1,9,0,9,431.9450000000171,0.0,,,,,,,,,
8,attacker,CyberBattleHubSpoke-thesis-v0,PPO,11588,890.345,2001,0,2001,1,6,0,9,441.34500000001674,0.0,,,,,,,,,
9,attacker,CyberBattleHubSpoke-thesis-v0,PPO,13035,5766.53,1447,0,1447,1,9,1,10,313.5300000000012,0.0,,,,,,,,,
10,attacker,CyberBattleHubSpoke-thesis-v0,PPO,15036,857.41,2001,0,2001,1,6,0,9,418.40999999998377,0.0,,,,,,,,,
11,attacker,CyberBattleHubSpoke-thesis-v0,PPO,16252,5705.495,1216,0,1216,1,28,1,10,258.494999999997,0.0,,,,,,,,,
12,attacker,CyberBattleHubSpoke-thesis-v0,PPO,16436,5446.915,184,0,184,1,9,1,10,33.914999999999935,0.0,,,,,,,,,
13,attacker,CyberBattleHubSpoke-thesis-v0,PPO,18437,860.65,2001,0,2001,1,7,0,9,423.649999999984,0.0,,,,,,,,,
14,attacker,CyberBattleHubSpoke-thesis-v0,PPO,19582,5684.605,1145,0,1145,1,7,1,10,237.60500000000226,0.0,,,,,,,,,
15,attacker,CyberBattleHubSpoke-thesis-v0,PPO,21583,893.785,2001,0,2001,1,11,0,9,432.7850000000148,0.0,,,,,,,,,
16,attacker,CyberBattleHubSpoke-thesis-v0,PPO,23047,5765.615,1464,0,1464,1,9,1,10,318.6150000000021,0.0,,,,,,,,,
17,attacker,CyberBattleHubSpoke-thesis-v0,PPO,24801,5840.61,1754,0,1754,1,8,1,10,385.6100000000084,0.0,,,,,,,,,
18,attacker,CyberBattleHubSpoke-thesis-v0,PPO,26379,5793.425,1578,0,1578,1,13,1,10,344.4250000000037,0.0,,,,,,,,,
19,attacker,CyberBattleHubSpoke-thesis-v0,PPO,26946,5555.505,567,0,567,1,11,1,10,122.50499999999882,0.0,,,,,,,,,
