episode,agent,env_id,algorithm,timestep,episode_reward,episode_length,atk_invalid,atk_valid,atk_cj_reached,atk_cj_step,atk_won,atk_max_owned,atk_hold_reward,atk_eviction,def_reimage,def_block,def_allow,def_stop_svc,def_stop_svc_clean,def_start_svc,def_invalid,def_recovered,def_sla_break_steps
1,attacker,CyberBattleDMZ-thesis-v0,PPO,2001,915.175,2001,0,2001,1,15,0,9,434.1750000000179,0.0,,,,,,,,,
2,attacker,CyberBattleDMZ-thesis-v0,PPO,4002,918.75,2001,0,2001,1,14,0,9,437.7500000000152,0.0,,,,,,,,,
3,attacker,CyberBattleDMZ-thesis-v0,PPO,6003,901.04,2001,0,2001,1,20,0,9,416.03999999998894,0.0,,,,,,,,,
4,attacker,CyberBattleDMZ-thesis-v0,PPO,8004,908.7,2001,0,2001,1,15,0,9,431.70000000001875,0.0,,,,,,,,,
5,attacker,CyberBattleDMZ-thesis-v0,PPO,10005,914.275,2001,0,2001,1,18,0,9,431.27500000001345,0.0,,,,,,,,,
6,attacker,CyberBattleDMZ-thesis-v0,PPO,12006,898.26,2001,0,2001,1,12,0,9,417.26000000001545,0.0,,,,,,,,,
7,attacker,CyberBattleDMZ-thesis-v0,PPO,14007,912.255,2001,0,2001,1,28,0,9,427.2550000000149,0.0,,,,,,,,,
8,attacker,CyberBattleDMZ-thesis-v0,PPO,16008,896.045,2001,0,2001,1,27,0,9,411.04500000001536,0.0,,,,,,,,,
9,attacker,CyberBattleDMZ-thesis-v0,PPO,18009,917.005,2001,0,2001,1,19,0,9,436.00500000001404,0.0,,,,,,,,,
10,attacker,CyberBattleDMZ-thesis-v0,PPO,20010,915.66,2001,0,2001,1,28,0,9,426.66000000001605,0.0,,,,,,,,,
11,attacker,CyberBattleDMZ-thesis-v0,PPO,22011,900.445,2001,0,2001,1,17,0,9,415.44500000001483,0.0,,,,,,,,,
12,attacker,CyberBattleDMZ-thesis-v0,PPO,22919,5656.56,908,0,908,1,35,1,10,185.55999999999938,0.0,,,,,,,,,
13,attacker,CyberBattleDMZ-thesis-v0,PPO,24920,924.21,2001,0,2001,1,14,0,9,439.2100000000151,0.0,,,,,,,,,
14,attacker,CyberBattleDMZ-thesis-v0,PPO,26921,915.365,2001,0,2001,1,36,0,9,440.3650000000144,0.0,,,,,,,,,
15,attacker,CyberBattleDMZ-thesis-v0,PPO,28922,914.72,2001,0,2001,1,53,0,9,433.7200000000154,0.0,,,,,,,,,
16,attacker,CyberBattleDMZ-thesis-v0,PPO,30923,900.19,2001,0,2001,1,16,0,9,425.19000000001296,0.0,,,,,,,,,
17,attacker,CyberBattleDMZ-thesis-v0,PPO,32924,926.295,2001,0,2001,1,15,0,9,441.29500000001417,0.0,,,,,,,,,
18,attacker,CyberBattleDMZ-thesis-v0,PPO,33663,5629.685,739,0,739,1,15,1,10,154.68499999999904,0.0,,,,,,,,,
19,attacker,CyberBattleDMZ-thesis-v0,PPO,35664,913.895,2001,0,2001,1,17,0,9,444.8950000000146,0.0,,,,,,,,,
20,attacker,CyberBattleDMZ-thesis-v0,PPO,37665,914.195,2001,0,2001,1,59,0,9,435.1950000000135,0.0,,,,,,,,,
21,attacker,CyberBattleDMZ-thesis-v0,PPO,39666,911.26,2001,0,2001,1,18,0,9,440.26000000001414,0.0,,,,,,,,,
22,attacker,CyberBattleDMZ-thesis-v0,PPO,41667,875.21,2001,0,2001,1,17,0,8,412.2099999999816,0.0,,,,,,,,,
23,attacker,CyberBattleDMZ-thesis-v0,PPO,43668,895.845,2001,0,2001,1,20,0,9,416.8450000000176,0.0,,,,,,,,,
24,attacker,CyberBattleDMZ-thesis-v0,PPO,44299,5609.0,631,0,631,1,47,1,10,131.99999999999858,0.0,,,,,,,,,
25,attacker,CyberBattleDMZ-thesis-v0,PPO,46300,903.905,2001,0,2001,1,40,0,9,418.905000000017,0.0,,,,,,,,,
26,attacker,CyberBattleDMZ-thesis-v0,PPO,48301,910.93,2001,0,2001,1,17,0,9,425.93000000001774,0.0,,,,,,,,,
27,attacker,CyberBattleDMZ-thesis-v0,PPO,50302,923.945,2001,0,2001,1,38,0,9,434.94500000001307,0.0,,,,,,,,,
28,attacker,CyberBattleDMZ-thesis-v0,PPO,52303,930.145,2001,0,2001,1,42,0,9,437.145000000016,0.0,,,,,,,,,
29,attacker,CyberBattleDMZ-thesis-v0,PPO,54304,912.495,2001,0,2001,1,43,0,9,419.49499999999676,0.0,,,,,,,,,
30,attacker,CyberBattleDMZ-thesis-v0,PPO,56305,900.64,2001,0,2001,1,36,0,9,421.64000000001124,0.0,,,,,,,,,
31,attacker,CyberBattleDMZ-thesis-v0,PPO,58306,915.575,2001,0,2001,1,18,0,9,430.5750000000135,0.0,,,,,,,,,
