episode,agent,env_id,algorithm,timestep,episode_reward,episode_length,atk_invalid,atk_valid,atk_cj_reached,atk_cj_step,atk_won,atk_max_owned,atk_hold_reward,atk_eviction,def_reimage,def_block,def_allow,def_stop_svc,def_stop_svc_clean,def_start_svc,def_invalid,def_recovered,def_sla_break_steps
1,attacker,CyberBattleMicroSeg-thesis-v0,PPO,2001,318.865,2001,0,2001,0,-1,0,3,89.86500000000277,0.0,,,,,,,,,
2,attacker,CyberBattleMicroSeg-thesis-v0,PPO,4002,318.805,2001,0,2001,0,-1,0,3,89.80500000000276,0.0,,,,,,,,,
3,attacker,CyberBattleMicroSeg-thesis-v0,PPO,6003,318.865,2001,0,2001,0,-1,0,3,89.86500000000277,0.0,,,,,,,,,
4,attacker,CyberBattleMicroSeg-thesis-v0,PPO,8004,318.745,2001,0,2001,0,-1,0,3,89.74500000000276,0.0,,,,,,,,,
5,attacker,CyberBattleMicroSeg-thesis-v0,PPO,10005,318.655,2001,0,2001,0,-1,0,3,89.65500000000276,0.0,,,,,,,,,
6,attacker,CyberBattleMicroSeg-thesis-v0,PPO,12006,318.805,2001,0,2001,0,-1,0,3,89.80500000000276,0.0,,,,,,,,,
7,attacker,CyberBattleMicroSeg-thesis-v0,PPO,14007,318.865,2001,0,2001,0,-1,0,3,89.86500000000277,0.0,,,,,,,,,
8,attacker,CyberBattleMicroSeg-thesis-v0,PPO,16008,318.445,2001,0,2001,0,-1,0,3,89.44500000000275,0.0,,,,,,,,,
9,attacker,CyberBattleMicroSeg-thesis-v0,PPO,18009,318.685,2001,0,2001,0,-1,0,3,89.68500000000276,0.0,,,,,,,,,
10,attacker,CyberBattleMicroSeg-thesis-v0,PPO,20010,318.16,2001,0,2001,0,-1,0,3,89.16000000000274,0.0,,,,,,,,,
11,attacker,CyberBattleMicroSeg-thesis-v0,PPO,22011,318.745,2001,0,2001,0,-1,0,3,89.74500000000276,0.0,,,,,,,,,
12,attacker,CyberBattleMicroSeg-thesis-v0,PPO,24012,318.82,2001,0,2001,0,-1,0,3,89.82000000000276,0.0,,,,,,,,,
13,attacker,CyberBattleMicroSeg-thesis-v0,PPO,26013,318.61,2001,0,2001,0,-1,0,3,89.61000000000276,0.0,,,,,,,,,
14,attacker,CyberBattleMicroSeg-thesis-v0,PPO,28014,318.7,2001,0,2001,0,-1,0,3,89.70000000000276,0.0,,,,,,,,,
15,attacker,CyberBattleMicroSeg-thesis-v0,PPO,30015,318.145,2001,0,2001,0,-1,0,3,89.14500000000274,0.0,,,,,,,,,
16,attacker,CyberBattleMicroSeg-thesis-v0,PPO,32016,318.205,2001,0,2001,0,-1,0,3,89.20500000000274,0.0,,,,,,,,,
17,attacker,CyberBattleMicroSeg-thesis-v0,PPO,34017,318.505,2001,0,2001,0,-1,0,3,89.50500000000275,0.0,,,,,,,,,
18,attacker,CyberBattleMicroSeg-thesis-v0,PPO,36018,318.565,2001,0,2001,0,-1,0,3,89.56500000000275,0.0,,,,,,,,,
19,attacker,CyberBattleMicroSeg-thesis-v0,PPO,38019,100.97,2001,0,2001,0,-1,0,2,29.970000000000756,0.0,,,,,,,,,
20,attacker,CyberBattleMicroSeg-thesis-v0,PPO,40020,318.415,2001,0,2001,0,-1,0,3,89.41500000000275,0.0,,,,,,,,,
21,attacker,CyberBattleMicroSeg-thesis-v0,PPO,42021,318.685,2001,0,2001,0,-1,0,3,89.68500000000276,0.0,,,,,,,,,
22,attacker,CyberBattleMicroSeg-thesis-v0,PPO,44022,318.64,2001,0,2001,0,-1,0,3,89.64000000000276,0.0,,,,,,,,,
