episode,agent,env_id,algorithm,timestep,episode_reward,episode_length,atk_invalid,atk_valid,atk_cj_reached,atk_cj_step,atk_won,atk_max_owned,atk_hold_reward,atk_eviction,def_reimage,def_block,def_allow,def_stop_svc,def_stop_svc_clean,def_start_svc,def_invalid,def_recovered,def_sla_break_steps
1,attacker,CyberBattleDMZ-thesis-v0,PPO,2001,38.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
2,attacker,CyberBattleDMZ-thesis-v0,PPO,4002,71.65,2001,0,2001,0,-1,0,2,1.6499999999999966,30.0,,,,,,,,,
3,attacker,CyberBattleDMZ-thesis-v0,PPO,6003,84.045,2001,0,2001,0,-1,0,2,0.045,15.0,,,,,,,,,
4,attacker,CyberBattleDMZ-thesis-v0,PPO,8004,84.09,2001,0,2001,0,-1,0,2,0.09,15.0,,,,,,,,,
5,attacker,CyberBattleDMZ-thesis-v0,PPO,10005,84.12,2001,0,2001,0,-1,0,2,0.12,30.0,,,,,,,,,
6,attacker,CyberBattleDMZ-thesis-v0,PPO,12006,32.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
7,attacker,CyberBattleDMZ-thesis-v0,PPO,14007,84.16,2001,0,2001,0,-1,0,2,2.1599999999999957,45.0,,,,,,,,,
8,attacker,CyberBattleDMZ-thesis-v0,PPO,16008,57.125,2001,0,2001,0,-1,0,2,1.125,15.0,,,,,,,,,
9,attacker,CyberBattleDMZ-thesis-v0,PPO,18009,85.245,2001,0,2001,0,-1,0,2,1.2449999999999992,15.0,,,,,,,,,
10,attacker,CyberBattleDMZ-thesis-v0,PPO,20010,90.615,2001,0,2001,0,-1,0,2,0.6150000000000004,30.0,,,,,,,,,
11,attacker,CyberBattleDMZ-thesis-v0,PPO,22011,48.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
12,attacker,CyberBattleDMZ-thesis-v0,PPO,24012,42.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
13,attacker,CyberBattleDMZ-thesis-v0,PPO,26013,66.54,2001,0,2001,0,-1,0,2,0.5400000000000004,15.0,,,,,,,,,
14,attacker,CyberBattleDMZ-thesis-v0,PPO,28014,42.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
15,attacker,CyberBattleDMZ-thesis-v0,PPO,30015,80.45,2001,0,2001,0,-1,0,2,0.4500000000000003,15.0,,,,,,,,,
16,attacker,CyberBattleDMZ-thesis-v0,PPO,32016,42.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
17,attacker,CyberBattleDMZ-thesis-v0,PPO,34017,42.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
18,attacker,CyberBattleDMZ-thesis-v0,PPO,36018,42.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
19,attacker,CyberBattleDMZ-thesis-v0,PPO,38019,42.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
20,attacker,CyberBattleDMZ-thesis-v0,PPO,40020,80.855,2001,0,2001,0,-1,0,2,0.8550000000000006,30.0,,,,,,,,,
21,attacker,CyberBattleDMZ-thesis-v0,PPO,42021,38.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
22,attacker,CyberBattleDMZ-thesis-v0,PPO,44022,62.48,2001,0,2001,0,-1,0,2,0.4800000000000003,15.0,,,,,,,,,
23,attacker,CyberBattleDMZ-thesis-v0,PPO,46023,32.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
24,attacker,CyberBattleDMZ-thesis-v0,PPO,48024,42.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
25,attacker,CyberBattleDMZ-thesis-v0,PPO,50025,71.125,2001,0,2001,0,-1,0,2,1.125,15.0,,,,,,,,,
26,attacker,CyberBattleDMZ-thesis-v0,PPO,52026,84.045,2001,0,2001,0,-1,0,2,0.045,15.0,,,,,,,,,
27,attacker,CyberBattleDMZ-thesis-v0,PPO,54027,32.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
28,attacker,CyberBattleDMZ-thesis-v0,PPO,56028,67.515,2001,0,2001,0,-1,0,2,1.5149999999999975,15.0,,,,,,,,,
29,attacker,CyberBattleDMZ-thesis-v0,PPO,58029,80.105,2001,0,2001,0,-1,0,2,0.105,15.0,,,,,,,,,
30,attacker,CyberBattleDMZ-thesis-v0,PPO,60030,42.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
31,attacker,CyberBattleDMZ-thesis-v0,PPO,62031,48.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
32,attacker,CyberBattleDMZ-thesis-v0,PPO,64032,62.555,2001,0,2001,0,-1,0,2,0.5550000000000004,30.0,,,,,,,,,
33,attacker,CyberBattleDMZ-thesis-v0,PPO,66033,86.45,2001,0,2001,0,-1,0,2,0.4500000000000003,15.0,,,,,,,,,
34,attacker,CyberBattleDMZ-thesis-v0,PPO,68034,71.68,2001,0,2001,0,-1,0,2,1.6799999999999964,45.0,,,,,,,,,
35,attacker,CyberBattleDMZ-thesis-v0,PPO,70035,38.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
36,attacker,CyberBattleDMZ-thesis-v0,PPO,72036,42.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
37,attacker,CyberBattleDMZ-thesis-v0,PPO,74037,81.14,2001,0,2001,0,-1,0,2,1.14,15.0,,,,,,,,,
38,attacker,CyberBattleDMZ-thesis-v0,PPO,76038,71.605,2001,0,2001,0,-1,0,2,1.6049999999999969,15.0,,,,,,,,,
39,attacker,CyberBattleDMZ-thesis-v0,PPO,78039,42.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
40,attacker,CyberBattleDMZ-thesis-v0,PPO,80040,48.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
41,attacker,CyberBattleDMZ-thesis-v0,PPO,82041,42.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
42,attacker,CyberBattleDMZ-thesis-v0,PPO,84042,38.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
43,attacker,CyberBattleDMZ-thesis-v0,PPO,86043,42.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
44,attacker,CyberBattleDMZ-thesis-v0,PPO,88044,44.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
45,attacker,CyberBattleDMZ-thesis-v0,PPO,90045,75.74,2001,0,2001,0,-1,0,2,1.739999999999996,30.0,,,,,,,,,
46,attacker,CyberBattleDMZ-thesis-v0,PPO,92046,42.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
47,attacker,CyberBattleDMZ-thesis-v0,PPO,94047,62.3,2001,0,2001,0,-1,0,2,0.30000000000000016,15.0,,,,,,,,,
48,attacker,CyberBattleDMZ-thesis-v0,PPO,96048,80.195,2001,0,2001,0,-1,0,2,0.19500000000000006,30.0,,,,,,,,,
49,attacker,CyberBattleDMZ-thesis-v0,PPO,98049,84.615,2001,0,2001,0,-1,0,2,0.6150000000000004,30.0,,,,,,,,,
50,attacker,CyberBattleDMZ-thesis-v0,PPO,100050,42.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
51,attacker,CyberBattleDMZ-thesis-v0,PPO,102051,74.885,2001,0,2001,0,-1,0,2,0.8850000000000007,45.0,,,,,,,,,
52,attacker,CyberBattleDMZ-thesis-v0,PPO,104052,56.99,2001,0,2001,0,-1,0,2,0.9900000000000008,15.0,,,,,,,,,
53,attacker,CyberBattleDMZ-thesis-v0,PPO,106053,80.255,2001,0,2001,0,-1,0,2,0.2550000000000001,15.0,,,,,,,,,
54,attacker,CyberBattleDMZ-thesis-v0,PPO,108054,84.015,2001,0,2001,0,-1,0,2,0.015,15.0,,,,,,,,,
55,attacker,CyberBattleDMZ-thesis-v0,PPO,110055,80.375,2001,0,2001,0,-1,0,2,0.3750000000000002,45.0,,,,,,,,,
56,attacker,CyberBattleDMZ-thesis-v0,PPO,112056,72.685,2001,0,2001,0,-1,0,2,2.685,45.0,,,,,,,,,
57,attacker,CyberBattleDMZ-thesis-v0,PPO,114057,70.555,2001,0,2001,0,-1,0,2,0.5550000000000004,15.0,,,,,,,,,
58,attacker,CyberBattleDMZ-thesis-v0,PPO,114688,70.09,631,,,,,,,,,,,,,,,,,
1,defender,CyberBattleDMZ-thesis-v0,PPO,2001,-1328.0,2001,,,,,,,,,0,116,410,144,129,0,1331,0,0
2,defender,CyberBattleDMZ-thesis-v0,PPO,4002,-991.65,2001,,,,,,,,,2,132,447,116,92,0,1304,2,0
3,defender,CyberBattleDMZ-thesis-v0,PPO,6003,-1054.045,2001,,,,,,,,,1,127,413,119,97,0,1341,1,0
4,defender,CyberBattleDMZ-thesis-v0,PPO,8004,-874.09,2001,,,,,,,,,1,124,425,101,79,0,1350,1,0
5,defender,CyberBattleDMZ-thesis-v0,PPO,10005,-744.12,2001,,,,,,,,,2,140,420,78,66,0,1361,2,0
6,defender,CyberBattleDMZ-thesis-v0,PPO,12006,-602.0,2001,,,,,,,,,0,137,478,68,57,0,1318,0,0
7,defender,CyberBattleDMZ-thesis-v0,PPO,14007,-734.16,2001,,,,,,,,,3,140,483,81,65,0,1294,3,0
8,defender,CyberBattleDMZ-thesis-v0,PPO,16008,-457.125,2001,,,,,,,,,1,123,451,52,40,0,1374,1,0
9,defender,CyberBattleDMZ-thesis-v0,PPO,18009,-535.245,2001,,,,,,,,,1,116,474,52,45,0,1358,1,0
10,defender,CyberBattleDMZ-thesis-v0,PPO,20010,-490.615,2001,,,,,,,,,2,140,518,50,40,0,1291,2,0
11,defender,CyberBattleDMZ-thesis-v0,PPO,22011,-518.0,2001,,,,,,,,,0,118,472,68,47,0,1343,0,0
12,defender,CyberBattleDMZ-thesis-v0,PPO,24012,-442.0,2001,,,,,,,,,0,120,509,54,40,0,1318,0,0
13,defender,CyberBattleDMZ-thesis-v0,PPO,26013,-236.54,2001,,,,,,,,,1,133,520,20,17,0,1327,1,0
14,defender,CyberBattleDMZ-thesis-v0,PPO,28014,-362.0,2001,,,,,,,,,0,142,435,40,32,0,1384,0,0
15,defender,CyberBattleDMZ-thesis-v0,PPO,30015,-310.45,2001,,,,,,,,,1,144,499,30,23,0,1327,1,0
16,defender,CyberBattleDMZ-thesis-v0,PPO,32016,-232.0,2001,,,,,,,,,0,150,569,26,19,0,1256,0,0
17,defender,CyberBattleDMZ-thesis-v0,PPO,34017,-192.0,2001,,,,,,,,,0,130,574,27,15,0,1270,0,0
18,defender,CyberBattleDMZ-thesis-v0,PPO,36018,-232.0,2001,,,,,,,,,0,153,565,27,19,0,1256,0,0
19,defender,CyberBattleDMZ-thesis-v0,PPO,38019,-122.0,2001,,,,,,,,,0,122,536,14,8,0,1329,0,0
20,defender,CyberBattleDMZ-thesis-v0,PPO,40020,-150.855,2001,,,,,,,,,2,127,548,12,7,0,1312,2,0
21,defender,CyberBattleDMZ-thesis-v0,PPO,42021,-88.0,2001,,,,,,,,,0,120,534,8,5,0,1339,0,0
22,defender,CyberBattleDMZ-thesis-v0,PPO,44022,-112.48,2001,,,,,,,,,1,126,561,12,5,0,1301,1,0
23,defender,CyberBattleDMZ-thesis-v0,PPO,46023,-242.0,2001,,,,,,,,,0,125,500,28,21,0,1348,0,0
24,defender,CyberBattleDMZ-thesis-v0,PPO,48024,-152.0,2001,,,,,,,,,0,124,473,18,11,0,1386,0,0
25,defender,CyberBattleDMZ-thesis-v0,PPO,50025,-181.125,2001,,,,,,,,,1,130,511,18,11,0,1341,1,0
26,defender,CyberBattleDMZ-thesis-v0,PPO,52026,-184.045,2001,,,,,,,,,1,149,502,13,10,0,1336,1,0
27,defender,CyberBattleDMZ-thesis-v0,PPO,54027,-102.0,2001,,,,,,,,,0,104,588,11,7,0,1298,0,0
28,defender,CyberBattleDMZ-thesis-v0,PPO,56028,-137.515,2001,,,,,,,,,1,111,607,8,7,0,1274,1,0
29,defender,CyberBattleDMZ-thesis-v0,PPO,58029,-140.105,2001,,,,,,,,,1,143,574,10,6,0,1273,1,0
30,defender,CyberBattleDMZ-thesis-v0,PPO,60030,-152.0,2001,,,,,,,,,0,114,417,15,11,0,1455,0,0
31,defender,CyberBattleDMZ-thesis-v0,PPO,62031,-118.0,2001,,,,,,,,,0,129,568,10,7,0,1294,0,0
32,defender,CyberBattleDMZ-thesis-v0,PPO,64032,-152.555,2001,,,,,,,,,2,144,630,12,9,0,1213,2,0
33,defender,CyberBattleDMZ-thesis-v0,PPO,66033,-96.45,2001,,,,,,,,,1,121,644,5,1,0,1230,1,0
34,defender,CyberBattleDMZ-thesis-v0,PPO,68034,-121.68,2001,,,,,,,,,3,137,651,5,5,0,1205,3,0
35,defender,CyberBattleDMZ-thesis-v0,PPO,70035,-78.0,2001,,,,,,,,,0,113,675,9,4,0,1204,0,0
36,defender,CyberBattleDMZ-thesis-v0,PPO,72036,-82.0,2001,,,,,,,,,0,149,555,5,4,0,1292,0,0
37,defender,CyberBattleDMZ-thesis-v0,PPO,74037,-131.14,2001,,,,,,,,,1,101,541,7,5,0,1351,1,0
38,defender,CyberBattleDMZ-thesis-v0,PPO,76038,-131.605,2001,,,,,,,,,1,107,623,10,6,0,1260,1,0
39,defender,CyberBattleDMZ-thesis-v0,PPO,78039,-72.0,2001,,,,,,,,,0,107,663,3,3,0,1228,0,0
40,defender,CyberBattleDMZ-thesis-v0,PPO,80040,-88.0,2001,,,,,,,,,0,123,524,5,4,0,1349,0,0
41,defender,CyberBattleDMZ-thesis-v0,PPO,82041,-62.0,2001,,,,,,,,,0,103,554,3,2,0,1341,0,0
42,defender,CyberBattleDMZ-thesis-v0,PPO,84042,-58.0,2001,,,,,,,,,0,124,684,2,2,0,1191,0,0
43,defender,CyberBattleDMZ-thesis-v0,PPO,86043,-62.0,2001,,,,,,,,,0,114,643,2,2,0,1242,0,0
44,defender,CyberBattleDMZ-thesis-v0,PPO,88044,-44.0,2001,,,,,,,,,0,122,631,1,0,0,1247,0,0
45,defender,CyberBattleDMZ-thesis-v0,PPO,90045,-105.74,2001,,,,,,,,,2,146,684,5,3,0,1164,2,0
46,defender,CyberBattleDMZ-thesis-v0,PPO,92046,-42.0,2001,,,,,,,,,0,120,600,0,0,0,1281,0,0
47,defender,CyberBattleDMZ-thesis-v0,PPO,94047,-112.3,2001,,,,,,,,,1,99,696,7,5,0,1198,1,0
