episode,agent,env_id,algorithm,timestep,episode_reward,episode_length,atk_invalid,atk_valid,atk_cj_reached,atk_cj_step,atk_won,atk_max_owned,atk_hold_reward,atk_eviction,def_reimage,def_block,def_allow,def_stop_svc,def_stop_svc_clean,def_start_svc,def_invalid,def_recovered,def_sla_break_steps
1,attacker,CyberBattleDMZ-thesis-v0,PPO,2001,224.805,2001,0,2001,1,6,0,6,32.80500000000028,675.0,,,,,,,,,
2,attacker,CyberBattleDMZ-thesis-v0,PPO,4002,178.255,2001,0,2001,1,10,0,9,22.255000000000056,430.0,,,,,,,,,
3,attacker,CyberBattleDMZ-thesis-v0,PPO,6003,226.165,2001,0,2001,1,7,0,6,36.165000000000106,755.0,,,,,,,,,
4,attacker,CyberBattleDMZ-thesis-v0,PPO,8004,163.16,2001,0,2001,0,-1,0,7,9.160000000000077,225.0,,,,,,,,,
5,attacker,CyberBattleDMZ-thesis-v0,PPO,8043,5326.12,39,0,39,1,25,1,10,5.119999999999997,20.0,,,,,,,,,
6,attacker,CyberBattleDMZ-thesis-v0,PPO,10044,116.215,2001,0,2001,1,777,0,3,16.215000000000074,325.0,,,,,,,,,
7,attacker,CyberBattleDMZ-thesis-v0,PPO,12045,199.475,2001,0,2001,1,6,0,9,31.47500000000006,935.0,,,,,,,,,
8,attacker,CyberBattleDMZ-thesis-v0,PPO,14046,205.895,2001,0,2001,1,322,0,8,39.89500000000019,825.0,,,,,,,,,
9,attacker,CyberBattleDMZ-thesis-v0,PPO,16047,236.14,2001,0,2001,1,5,0,9,44.140000000000285,985.0,,,,,,,,,
10,attacker,CyberBattleDMZ-thesis-v0,PPO,16086,5230.29,39,0,39,1,9,1,10,5.29,110.0,,,,,,,,,
11,attacker,CyberBattleDMZ-thesis-v0,PPO,18087,178.43,2001,0,2001,1,10,0,8,34.430000000000085,595.0,,,,,,,,,
12,attacker,CyberBattleDMZ-thesis-v0,PPO,20088,209.385,2001,0,2001,1,5,0,8,23.385000000000105,545.0,,,,,,,,,
13,attacker,CyberBattleDMZ-thesis-v0,PPO,22089,233.92,2001,0,2001,1,116,0,8,61.92000000000055,1415.0,,,,,,,,,
14,attacker,CyberBattleDMZ-thesis-v0,PPO,24090,193.385,2001,0,2001,1,6,0,9,21.38500000000018,580.0,,,,,,,,,
15,attacker,CyberBattleDMZ-thesis-v0,PPO,26091,194.66,2001,0,2001,1,18,0,8,28.659999999999954,565.0,,,,,,,,,
16,attacker,CyberBattleDMZ-thesis-v0,PPO,28092,215.86,2001,0,2001,1,112,0,7,47.86000000000006,1745.0,,,,,,,,,
17,attacker,CyberBattleDMZ-thesis-v0,PPO,30093,237.765,2001,0,2001,1,6,0,9,69.76499999999989,1260.0,,,,,,,,,
18,attacker,CyberBattleDMZ-thesis-v0,PPO,32094,213.305,2001,0,2001,1,14,0,9,45.3050000000005,1390.0,,,,,,,,,
19,attacker,CyberBattleDMZ-thesis-v0,PPO,34095,190.445,2001,0,2001,1,6,0,8,28.445000000000146,620.0,,,,,,,,,
20,attacker,CyberBattleDMZ-thesis-v0,PPO,36096,203.98,2001,0,2001,1,87,0,8,29.980000000000075,1130.0,,,,,,,,,
21,attacker,CyberBattleDMZ-thesis-v0,PPO,38097,204.27,2001,0,2001,1,33,0,4,20.27000000000033,660.0,,,,,,,,,
22,attacker,CyberBattleDMZ-thesis-v0,PPO,40098,167.845,2001,0,2001,1,7,0,9,17.84500000000005,320.0,,,,,,,,,
23,attacker,CyberBattleDMZ-thesis-v0,PPO,40112,5316.53,14,0,14,1,6,1,10,1.5300000000000002,0.0,,,,,,,,,
24,attacker,CyberBattleDMZ-thesis-v0,PPO,42113,176.34,2001,0,2001,1,11,0,8,20.33999999999997,680.0,,,,,,,,,
25,attacker,CyberBattleDMZ-thesis-v0,PPO,44114,186.44,2001,0,2001,1,14,0,8,24.44000000000031,495.0,,,,,,,,,
26,attacker,CyberBattleDMZ-thesis-v0,PPO,46115,201.385,2001,0,2001,1,10,0,8,27.385000000000108,965.0,,,,,,,,,
27,attacker,CyberBattleDMZ-thesis-v0,PPO,48116,170.165,2001,0,2001,1,10,0,7,16.164999999999985,370.0,,,,,,,,,
28,attacker,CyberBattleDMZ-thesis-v0,PPO,50117,233.555,2001,0,2001,1,94,0,8,59.55500000000046,1360.0,,,,,,,,,
29,attacker,CyberBattleDMZ-thesis-v0,PPO,52118,207.975,2001,0,2001,1,26,0,4,9.974999999999982,265.0,,,,,,,,,
30,attacker,CyberBattleDMZ-thesis-v0,PPO,54119,184.515,2001,0,2001,1,337,0,6,18.515000000000036,1005.0,,,,,,,,,
31,attacker,CyberBattleDMZ-thesis-v0,PPO,54165,5317.105,46,0,46,1,38,1,10,2.1050000000000004,60.0,,,,,,,,,
32,attacker,CyberBattleDMZ-thesis-v0,PPO,56166,182.835,2001,0,2001,0,-1,0,6,12.83500000000015,305.0,,,,,,,,,
33,attacker,CyberBattleDMZ-thesis-v0,PPO,56185,5307.21,19,0,19,1,9,1,10,2.21,0.0,,,,,,,,,
34,attacker,CyberBattleDMZ-thesis-v0,PPO,56201,5307.005,16,0,16,1,7,1,10,2.0050000000000003,0.0,,,,,,,,,
35,attacker,CyberBattleDMZ-thesis-v0,PPO,58202,179.985,2001,0,2001,0,-1,0,8,13.985000000000165,310.0,,,,,,,,,
36,attacker,CyberBattleDMZ-thesis-v0,PPO,60203,178.735,2001,0,2001,0,-1,0,8,6.734999999999999,200.0,,,,,,,,,
37,attacker,CyberBattleDMZ-thesis-v0,PPO,62204,194.745,2001,0,2001,1,11,0,5,16.74500000000023,625.0,,,,,,,,,
38,attacker,CyberBattleDMZ-thesis-v0,PPO,64205,185.685,2001,0,2001,1,251,0,5,11.68500000000008,840.0,,,,,,,,,
39,attacker,CyberBattleDMZ-thesis-v0,PPO,66206,203.835,2001,0,2001,1,13,0,8,31.83500000000021,860.0,,,,,,,,,
