episode,agent,env_id,algorithm,timestep,episode_reward,episode_length,atk_invalid,atk_valid,atk_cj_reached,atk_cj_step,atk_won,atk_max_owned,atk_hold_reward,atk_eviction,def_reimage,def_block,def_allow,def_stop_svc,def_stop_svc_clean,def_start_svc,def_invalid,def_recovered,def_sla_break_steps
1,attacker,CyberBattleDMZ-thesis-v0,PPO,2001,96.185,2001,0,2001,1,176,0,3,2.1849999999999974,130.0,,,,,,,,,
2,attacker,CyberBattleDMZ-thesis-v0,PPO,4002,101.06,2001,0,2001,0,-1,0,2,3.060000000000003,60.0,,,,,,,,,
3,attacker,CyberBattleDMZ-thesis-v0,PPO,6003,96.03,2001,0,2001,0,-1,0,2,0.03,15.0,,,,,,,,,
4,attacker,CyberBattleDMZ-thesis-v0,PPO,8004,105.95,2001,0,2001,0,-1,0,3,1.949999999999996,30.0,,,,,,,,,
5,attacker,CyberBattleDMZ-thesis-v0,PPO,10005,142.75,2001,0,2001,0,-1,0,3,0.7500000000000001,45.0,,,,,,,,,
6,attacker,CyberBattleDMZ-thesis-v0,PPO,12006,103.05,2001,0,2001,0,-1,0,2,1.0500000000000005,105.0,,,,,,,,,
7,attacker,CyberBattleDMZ-thesis-v0,PPO,14007,101.645,2001,0,2001,0,-1,0,2,3.645000000000008,60.0,,,,,,,,,
8,attacker,CyberBattleDMZ-thesis-v0,PPO,16008,105.38,2001,0,2001,0,-1,0,2,1.3799999999999983,75.0,,,,,,,,,
9,attacker,CyberBattleDMZ-thesis-v0,PPO,18009,121.305,2001,0,2001,1,96,0,3,11.305000000000122,190.0,,,,,,,,,
10,attacker,CyberBattleDMZ-thesis-v0,PPO,20010,149.875,2001,0,2001,0,-1,0,3,1.875,45.0,,,,,,,,,
11,attacker,CyberBattleDMZ-thesis-v0,PPO,22011,94.655,2001,0,2001,0,-1,0,2,2.655,15.0,,,,,,,,,
12,attacker,CyberBattleDMZ-thesis-v0,PPO,24012,133.005,2001,0,2001,0,-1,0,3,1.0050000000000006,60.0,,,,,,,,,
13,attacker,CyberBattleDMZ-thesis-v0,PPO,26013,99.96,2001,0,2001,1,89,0,3,1.9599999999999957,115.0,,,,,,,,,
14,attacker,CyberBattleDMZ-thesis-v0,PPO,28014,54.045,2001,0,2001,0,-1,0,2,0.045,15.0,,,,,,,,,
15,attacker,CyberBattleDMZ-thesis-v0,PPO,30015,86.195,2001,0,2001,0,-1,0,2,0.19500000000000006,15.0,,,,,,,,,
16,attacker,CyberBattleDMZ-thesis-v0,PPO,32016,98.615,2001,0,2001,0,-1,0,2,0.6150000000000004,15.0,,,,,,,,,
17,attacker,CyberBattleDMZ-thesis-v0,PPO,34017,119.615,2001,0,2001,1,425,0,3,7.614999999999985,160.0,,,,,,,,,
18,attacker,CyberBattleDMZ-thesis-v0,PPO,36018,96.165,2001,0,2001,0,-1,0,2,0.16500000000000004,30.0,,,,,,,,,
19,attacker,CyberBattleDMZ-thesis-v0,PPO,38019,95.8,2001,0,2001,0,-1,0,4,1.7999999999999987,60.0,,,,,,,,,
20,attacker,CyberBattleDMZ-thesis-v0,PPO,40020,107.74,2001,0,2001,1,411,0,3,3.740000000000003,190.0,,,,,,,,,
21,attacker,CyberBattleDMZ-thesis-v0,PPO,42021,93.845,2001,0,2001,0,-1,0,2,1.8449999999999953,90.0,,,,,,,,,
22,attacker,CyberBattleDMZ-thesis-v0,PPO,44022,98.375,2001,0,2001,0,-1,0,2,0.3750000000000002,45.0,,,,,,,,,
23,attacker,CyberBattleDMZ-thesis-v0,PPO,46023,121.505,2001,0,2001,1,253,0,3,11.504999999999997,260.0,,,,,,,,,
24,attacker,CyberBattleDMZ-thesis-v0,PPO,48024,54.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
25,attacker,CyberBattleDMZ-thesis-v0,PPO,50025,122.93,2001,0,2001,0,-1,0,3,6.930000000000012,45.0,,,,,,,,,
26,attacker,CyberBattleDMZ-thesis-v0,PPO,52026,108.755,2001,0,2001,1,14,0,3,8.754999999999987,115.0,,,,,,,,,
27,attacker,CyberBattleDMZ-thesis-v0,PPO,54027,90.27,2001,0,2001,0,-1,0,2,0.27000000000000013,15.0,,,,,,,,,
28,attacker,CyberBattleDMZ-thesis-v0,PPO,56028,102.45,2001,0,2001,0,-1,0,2,0.4500000000000003,30.0,,,,,,,,,
29,attacker,CyberBattleDMZ-thesis-v0,PPO,58029,54.15,2001,0,2001,0,-1,0,2,0.15000000000000002,15.0,,,,,,,,,
30,attacker,CyberBattleDMZ-thesis-v0,PPO,60030,92.36,2001,0,2001,0,-1,0,2,0.3600000000000002,15.0,,,,,,,,,
31,attacker,CyberBattleDMZ-thesis-v0,PPO,62031,104.055,2001,0,2001,0,-1,0,2,2.054999999999995,60.0,,,,,,,,,
32,attacker,CyberBattleDMZ-thesis-v0,PPO,64032,99.245,2001,0,2001,0,-1,0,2,1.2449999999999992,45.0,,,,,,,,,
33,attacker,CyberBattleDMZ-thesis-v0,PPO,66033,101.42,2001,0,2001,0,-1,0,2,3.420000000000006,75.0,,,,,,,,,
34,attacker,CyberBattleDMZ-thesis-v0,PPO,68034,54.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
35,attacker,CyberBattleDMZ-thesis-v0,PPO,70035,54.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
36,attacker,CyberBattleDMZ-thesis-v0,PPO,72036,107.75,2001,0,2001,1,1571,0,3,3.750000000000002,190.0,,,,,,,,,
37,attacker,CyberBattleDMZ-thesis-v0,PPO,74037,99.335,2001,0,2001,1,123,0,3,1.3349999999999982,115.0,,,,,,,,,
38,attacker,CyberBattleDMZ-thesis-v0,PPO,76038,149.0,2001,0,2001,0,-1,0,3,3.000000000000001,45.0,,,,,,,,,
39,attacker,CyberBattleDMZ-thesis-v0,PPO,78039,164.675,2001,0,2001,0,-1,0,3,0.6750000000000002,45.0,,,,,,,,,
40,attacker,CyberBattleDMZ-thesis-v0,PPO,80040,99.57,2001,0,2001,0,-1,0,2,0.5700000000000004,30.0,,,,,,,,,
41,attacker,CyberBattleDMZ-thesis-v0,PPO,82041,132.19,2001,0,2001,0,-1,0,3,2.1900000000000004,45.0,,,,,,,,,
42,attacker,CyberBattleDMZ-thesis-v0,PPO,84042,92.045,2001,0,2001,0,-1,0,2,0.045,15.0,,,,,,,,,
43,attacker,CyberBattleDMZ-thesis-v0,PPO,86043,92.525,2001,0,2001,0,-1,0,2,0.5250000000000004,15.0,,,,,,,,,
44,attacker,CyberBattleDMZ-thesis-v0,PPO,88044,101.035,2001,0,2001,1,242,0,3,3.0350000000000055,335.0,,,,,,,,,
45,attacker,CyberBattleDMZ-thesis-v0,PPO,90045,99.29,2001,0,2001,0,-1,0,2,1.289999999999999,45.0,,,,,,,,,
46,attacker,CyberBattleDMZ-thesis-v0,PPO,92046,79.14,2001,0,2001,0,-1,0,2,1.14,15.0,,,,,,,,,
47,attacker,CyberBattleDMZ-thesis-v0,PPO,94047,126.345,2001,0,2001,0,-1,0,3,0.3450000000000001,60.0,,,,,,,,,
48,attacker,CyberBattleDMZ-thesis-v0,PPO,96048,100.49,2001,0,2001,1,337,0,3,2.4900000000000007,205.0,,,,,,,,,
49,attacker,CyberBattleDMZ-thesis-v0,PPO,98049,154.165,2001,0,2001,0,-1,0,3,6.164999999999981,105.0,,,,,,,,,
50,attacker,CyberBattleDMZ-thesis-v0,PPO,100050,95.54,2001,0,2001,0,-1,0,3,0.5400000000000004,60.0,,,,,,,,,
51,attacker,CyberBattleDMZ-thesis-v0,PPO,102051,111.945,2001,0,2001,0,-1,0,3,3.9450000000000154,75.0,,,,,,,,,
52,attacker,CyberBattleDMZ-thesis-v0,PPO,104052,99.53,2001,0,2001,0,-1,0,2,1.5299999999999974,15.0,,,,,,,,,
53,attacker,CyberBattleDMZ-thesis-v0,PPO,106053,96.75,2001,0,2001,0,-1,0,2,0.7500000000000006,45.0,,,,,,,,,
54,attacker,CyberBattleDMZ-thesis-v0,PPO,106496,117.515,443,,,,,,,,,,,,,,,,,
1,defender,CyberBattleDMZ-thesis-v0,PPO,2001,-1396.185,2001,,,,,,,,,3,125,371,161,130,0,1341,3,0
2,defender,CyberBattleDMZ-thesis-v0,PPO,4002,-1141.06,2001,,,,,,,,,4,140,425,138,104,0,1294,4,0
3,defender,CyberBattleDMZ-thesis-v0,PPO,6003,-916.03,2001,,,,,,,,,1,134,416,96,82,0,1354,1,0
4,defender,CyberBattleDMZ-thesis-v0,PPO,8004,-745.95,2001,,,,,,,,,2,138,420,83,64,0,1358,2,0
5,defender,CyberBattleDMZ-thesis-v0,PPO,10005,-842.75,2001,,,,,,,,,2,153,484,84,70,0,1278,2,0
6,defender,CyberBattleDMZ-thesis-v0,PPO,12006,-663.05,2001,,,,,,,,,7,126,450,69,56,0,1349,7,0
7,defender,CyberBattleDMZ-thesis-v0,PPO,14007,-581.645,2001,,,,,,,,,4,132,432,66,48,0,1367,4,0
8,defender,CyberBattleDMZ-thesis-v0,PPO,16008,-705.38,2001,,,,,,,,,5,150,450,79,60,0,1317,5,0
9,defender,CyberBattleDMZ-thesis-v0,PPO,18009,-611.305,2001,,,,,,,,,7,140,531,71,49,0,1252,7,0
10,defender,CyberBattleDMZ-thesis-v0,PPO,20010,-469.875,2001,,,,,,,,,2,158,483,45,32,0,1313,2,0
11,defender,CyberBattleDMZ-thesis-v0,PPO,22011,-394.655,2001,,,,,,,,,1,163,525,41,30,0,1271,1,0
12,defender,CyberBattleDMZ-thesis-v0,PPO,24012,-423.005,2001,,,,,,,,,3,163,499,40,29,0,1296,3,0
13,defender,CyberBattleDMZ-thesis-v0,PPO,26013,-339.96,2001,,,,,,,,,2,142,559,31,24,0,1267,2,0
14,defender,CyberBattleDMZ-thesis-v0,PPO,28014,-264.045,2001,,,,,,,,,1,176,522,26,21,0,1276,1,0
15,defender,CyberBattleDMZ-thesis-v0,PPO,30015,-356.195,2001,,,,,,,,,1,164,539,29,27,0,1268,1,0
16,defender,CyberBattleDMZ-thesis-v0,PPO,32016,-268.615,2001,,,,,,,,,1,140,563,24,17,0,1273,1,0
17,defender,CyberBattleDMZ-thesis-v0,PPO,34017,-299.615,2001,,,,,,,,,5,142,518,34,18,0,1302,5,0
18,defender,CyberBattleDMZ-thesis-v0,PPO,36018,-246.165,2001,,,,,,,,,2,151,503,24,15,0,1321,2,0
19,defender,CyberBattleDMZ-thesis-v0,PPO,38019,-215.8,2001,,,,,,,,,3,163,551,18,12,0,1266,3,0
20,defender,CyberBattleDMZ-thesis-v0,PPO,40020,-267.74,2001,,,,,,,,,7,149,519,23,16,0,1303,7,0
21,defender,CyberBattleDMZ-thesis-v0,PPO,42021,-113.845,2001,,,,,,,,,6,157,519,6,2,0,1313,6,0
22,defender,CyberBattleDMZ-thesis-v0,PPO,44022,-208.375,2001,,,,,,,,,3,170,506,15,11,0,1307,3,0
23,defender,CyberBattleDMZ-thesis-v0,PPO,46023,-191.505,2001,,,,,,,,,6,164,524,18,7,0,1289,6,0
24,defender,CyberBattleDMZ-thesis-v0,PPO,48024,-94.0,2001,,,,,,,,,0,152,529,6,4,0,1314,0,0
25,defender,CyberBattleDMZ-thesis-v0,PPO,50025,-192.93,2001,,,,,,,,,2,146,511,10,7,0,1332,2,0
26,defender,CyberBattleDMZ-thesis-v0,PPO,52026,-168.755,2001,,,,,,,,,2,157,513,11,6,0,1318,2,0
27,defender,CyberBattleDMZ-thesis-v0,PPO,54027,-180.27,2001,,,,,,,,,1,150,588,15,9,0,1247,1,0
28,defender,CyberBattleDMZ-thesis-v0,PPO,56028,-152.45,2001,,,,,,,,,2,149,531,11,5,0,1308,2,0
29,defender,CyberBattleDMZ-thesis-v0,PPO,58029,-104.15,2001,,,,,,,,,1,158,581,11,5,0,1250,1,0
30,defender,CyberBattleDMZ-thesis-v0,PPO,60030,-152.36,2001,,,,,,,,,1,141,598,7,6,0,1254,1,0
31,defender,CyberBattleDMZ-thesis-v0,PPO,62031,-134.055,2001,,,,,,,,,4,160,610,8,3,0,1219,4,0
32,defender,CyberBattleDMZ-thesis-v0,PPO,64032,-159.245,2001,,,,,,,,,3,134,576,11,6,0,1277,3,0
33,defender,CyberBattleDMZ-thesis-v0,PPO,66033,-181.42,2001,,,,,,,,,5,128,607,10,8,0,1251,5,0
34,defender,CyberBattleDMZ-thesis-v0,PPO,68034,-124.0,2001,,,,,,,,,0,149,589,8,7,0,1255,0,0
35,defender,CyberBattleDMZ-thesis-v0,PPO,70035,-54.0,2001,,,,,,,,,0,145,618,0,0,0,1238,0,0
36,defender,CyberBattleDMZ-thesis-v0,PPO,72036,-147.75,2001,,,,,,,,,7,142,574,6,4,0,1272,7,0
37,defender,CyberBattleDMZ-thesis-v0,PPO,74037,-109.335,2001,,,,,,,,,2,138,571,3,1,0,1287,2,0
38,defender,CyberBattleDMZ-thesis-v0,PPO,76038,-209.0,2001,,,,,,,,,2,155,565,6,6,0,1273,2,0
39,defender,CyberBattleDMZ-thesis-v0,PPO,78039,-224.675,2001,,,,,,,,,2,156,576,6,6,0,1261,2,0
40,defender,CyberBattleDMZ-thesis-v0,PPO,80040,-149.57,2001,,,,,,,,,2,153,565,7,5,0,1274,2,0
