episode,agent,env_id,algorithm,timestep,episode_reward,episode_length,atk_invalid,atk_valid,atk_cj_reached,atk_cj_step,atk_won,atk_max_owned,atk_hold_reward,atk_eviction,def_reimage,def_block,def_allow,def_stop_svc,def_stop_svc_clean,def_start_svc,def_invalid,def_recovered,def_sla_break_steps
1,attacker,CyberBattleDMZ-thesis-v0,PPO,2001,38.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
2,attacker,CyberBattleDMZ-thesis-v0,PPO,4002,80.99,2001,0,2001,0,-1,0,2,0.9900000000000008,15.0,,,,,,,,,
3,attacker,CyberBattleDMZ-thesis-v0,PPO,6003,90.535,2001,0,2001,0,-1,0,2,2.534999999999999,45.0,,,,,,,,,
4,attacker,CyberBattleDMZ-thesis-v0,PPO,8004,89.71,2001,0,2001,0,-1,0,3,1.709999999999996,30.0,,,,,,,,,
5,attacker,CyberBattleDMZ-thesis-v0,PPO,10005,48.03,2001,0,2001,0,-1,0,2,0.03,15.0,,,,,,,,,
6,attacker,CyberBattleDMZ-thesis-v0,PPO,12006,82.51,2001,0,2001,0,-1,0,2,0.5100000000000003,45.0,,,,,,,,,
7,attacker,CyberBattleDMZ-thesis-v0,PPO,14007,51.18,2001,0,2001,0,-1,0,2,0.18000000000000005,30.0,,,,,,,,,
8,attacker,CyberBattleDMZ-thesis-v0,PPO,16008,76.87,2001,0,2001,0,-1,0,2,0.8700000000000007,30.0,,,,,,,,,
9,attacker,CyberBattleDMZ-thesis-v0,PPO,18009,84.7,2001,0,2001,0,-1,0,2,2.7,30.0,,,,,,,,,
10,attacker,CyberBattleDMZ-thesis-v0,PPO,20010,48.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
11,attacker,CyberBattleDMZ-thesis-v0,PPO,22011,92.445,2001,0,2001,0,-1,0,2,2.444999999999998,30.0,,,,,,,,,
12,attacker,CyberBattleDMZ-thesis-v0,PPO,24012,44.045,2001,0,2001,0,-1,0,2,0.045,15.0,,,,,,,,,
13,attacker,CyberBattleDMZ-thesis-v0,PPO,26013,97.41,2001,0,2001,0,-1,0,2,1.4099999999999981,15.0,,,,,,,,,
14,attacker,CyberBattleDMZ-thesis-v0,PPO,28014,42.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
15,attacker,CyberBattleDMZ-thesis-v0,PPO,30015,44.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
16,attacker,CyberBattleDMZ-thesis-v0,PPO,32016,44.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
17,attacker,CyberBattleDMZ-thesis-v0,PPO,34017,93.755,2001,0,2001,0,-1,0,2,1.754999999999996,15.0,,,,,,,,,
18,attacker,CyberBattleDMZ-thesis-v0,PPO,36018,44.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
19,attacker,CyberBattleDMZ-thesis-v0,PPO,38019,154.84,2001,0,2001,0,-1,0,3,0.8400000000000004,45.0,,,,,,,,,
20,attacker,CyberBattleDMZ-thesis-v0,PPO,40020,96.555,2001,0,2001,1,414,0,3,2.5549999999999984,145.0,,,,,,,,,
21,attacker,CyberBattleDMZ-thesis-v0,PPO,42021,71.14,2001,0,2001,0,-1,0,2,1.14,45.0,,,,,,,,,
22,attacker,CyberBattleDMZ-thesis-v0,PPO,44022,93.575,2001,0,2001,0,-1,0,2,1.574999999999997,30.0,,,,,,,,,
23,attacker,CyberBattleDMZ-thesis-v0,PPO,46023,98.365,2001,0,2001,1,258,0,3,4.365000000000002,175.0,,,,,,,,,
24,attacker,CyberBattleDMZ-thesis-v0,PPO,48024,38.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
25,attacker,CyberBattleDMZ-thesis-v0,PPO,50025,69.065,2001,0,2001,0,-1,0,2,1.0650000000000004,15.0,,,,,,,,,
26,attacker,CyberBattleDMZ-thesis-v0,PPO,52026,34.0,2001,0,2001,0,-1,0,2,0.0,15.0,,,,,,,,,
27,attacker,CyberBattleDMZ-thesis-v0,PPO,54027,38.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
28,attacker,CyberBattleDMZ-thesis-v0,PPO,56028,44.42,2001,0,2001,0,-1,0,2,0.42000000000000026,30.0,,,,,,,,,
29,attacker,CyberBattleDMZ-thesis-v0,PPO,58029,54.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
30,attacker,CyberBattleDMZ-thesis-v0,PPO,60030,38.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
31,attacker,CyberBattleDMZ-thesis-v0,PPO,62031,77.75,2001,0,2001,0,-1,0,2,3.750000000000009,30.0,,,,,,,,,
32,attacker,CyberBattleDMZ-thesis-v0,PPO,64032,28.15,2001,0,2001,0,-1,0,2,0.15000000000000002,15.0,,,,,,,,,
33,attacker,CyberBattleDMZ-thesis-v0,PPO,66033,54.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
34,attacker,CyberBattleDMZ-thesis-v0,PPO,68034,48.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
35,attacker,CyberBattleDMZ-thesis-v0,PPO,70035,69.8,2001,0,2001,0,-1,0,2,1.7999999999999956,15.0,,,,,,,,,
