episode,agent,env_id,algorithm,timestep,episode_reward,episode_length,atk_invalid,atk_valid,atk_cj_reached,atk_cj_step,atk_won,atk_max_owned,atk_hold_reward,atk_eviction,def_reimage,def_block,def_allow,def_stop_svc,def_stop_svc_clean,def_start_svc,def_invalid,def_recovered,def_sla_break_steps
1,attacker,CyberBattleDMZ-thesis-v0,PPO,2001,201.09,2001,0,2001,1,16,0,5,19.09000000000003,185.0,,,,,,,,,
2,attacker,CyberBattleDMZ-thesis-v0,PPO,4002,146.795,2001,0,2001,0,-1,0,3,0.7950000000000006,60.0,,,,,,,,,
3,attacker,CyberBattleDMZ-thesis-v0,PPO,6003,195.32,2001,0,2001,1,40,0,4,9.319999999999999,290.0,,,,,,,,,
4,attacker,CyberBattleDMZ-thesis-v0,PPO,8004,194.57,2001,0,2001,1,137,0,4,4.569999999999989,205.0,,,,,,,,,
5,attacker,CyberBattleDMZ-thesis-v0,PPO,10005,44.51,2001,0,2001,0,-1,0,2,0.5100000000000003,30.0,,,,,,,,,
6,attacker,CyberBattleDMZ-thesis-v0,PPO,12006,198.13,2001,0,2001,1,24,0,5,6.1300000000000106,170.0,,,,,,,,,
7,attacker,CyberBattleDMZ-thesis-v0,PPO,14007,180.875,2001,0,2001,1,9,0,5,8.874999999999998,155.0,,,,,,,,,
8,attacker,CyberBattleDMZ-thesis-v0,PPO,16008,187.72,2001,0,2001,1,22,0,5,1.7199999999999964,155.0,,,,,,,,,
9,attacker,CyberBattleDMZ-thesis-v0,PPO,18009,162.81,2001,0,2001,0,-1,0,4,0.8100000000000006,55.0,,,,,,,,,
10,attacker,CyberBattleDMZ-thesis-v0,PPO,20010,178.86,2001,0,2001,1,69,0,5,4.859999999999993,185.0,,,,,,,,,
11,attacker,CyberBattleDMZ-thesis-v0,PPO,22011,170.155,2001,0,2001,1,133,0,3,6.154999999999998,300.0,,,,,,,,,
