episode,agent,env_id,algorithm,timestep,episode_reward,episode_length,atk_invalid,atk_valid,atk_cj_reached,atk_cj_step,atk_won,atk_max_owned,atk_hold_reward,atk_eviction,def_reimage,def_block,def_allow,def_stop_svc,def_stop_svc_clean,def_start_svc,def_invalid,def_recovered,def_sla_break_steps
1,attacker,CyberBattleFlat-thesis-v0,PPO,2001,156.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
2,attacker,CyberBattleFlat-thesis-v0,PPO,4002,156.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
3,attacker,CyberBattleFlat-thesis-v0,PPO,6003,213.9,2001,0,2001,1,245,0,2,27.90000000000013,515.0,,,,,,,,,
4,attacker,CyberBattleFlat-thesis-v0,PPO,8004,156.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
5,attacker,CyberBattleFlat-thesis-v0,PPO,10005,156.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
6,attacker,CyberBattleFlat-thesis-v0,PPO,12006,156.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
7,attacker,CyberBattleFlat-thesis-v0,PPO,14007,208.27,2001,0,2001,1,512,0,3,28.270000000000007,710.0,,,,,,,,,
8,attacker,CyberBattleFlat-thesis-v0,PPO,16008,156.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
9,attacker,CyberBattleFlat-thesis-v0,PPO,18009,156.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
10,attacker,CyberBattleFlat-thesis-v0,PPO,20010,156.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
11,attacker,CyberBattleFlat-thesis-v0,PPO,22011,172.775,2001,0,2001,0,-1,0,2,2.7749999999999964,45.0,,,,,,,,,
12,attacker,CyberBattleFlat-thesis-v0,PPO,24012,156.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
13,attacker,CyberBattleFlat-thesis-v0,PPO,26013,201.71,2001,0,2001,1,460,0,3,21.710000000000022,345.0,,,,,,,,,
14,attacker,CyberBattleFlat-thesis-v0,PPO,28014,156.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
15,attacker,CyberBattleFlat-thesis-v0,PPO,30015,156.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
16,attacker,CyberBattleFlat-thesis-v0,PPO,32016,156.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
17,attacker,CyberBattleFlat-thesis-v0,PPO,34017,305.545,2001,0,2001,1,1314,0,2,19.54500000000001,415.0,,,,,,,,,
18,attacker,CyberBattleFlat-thesis-v0,PPO,36018,208.385,2001,0,2001,0,-1,0,3,6.384999999999991,155.0,,,,,,,,,
19,attacker,CyberBattleFlat-thesis-v0,PPO,38019,156.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
20,attacker,CyberBattleFlat-thesis-v0,PPO,40020,310.425,2001,0,2001,1,481,0,2,30.42500000000016,515.0,,,,,,,,,
21,attacker,CyberBattleFlat-thesis-v0,PPO,42021,190.925,2001,0,2001,1,680,0,3,16.92499999999997,475.0,,,,,,,,,
22,attacker,CyberBattleFlat-thesis-v0,PPO,44022,214.695,2001,0,2001,1,838,0,2,28.69500000000014,530.0,,,,,,,,,
23,attacker,CyberBattleFlat-thesis-v0,PPO,46023,156.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
24,attacker,CyberBattleFlat-thesis-v0,PPO,48024,156.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
25,attacker,CyberBattleFlat-thesis-v0,PPO,50025,156.165,2001,0,2001,0,-1,0,2,0.16500000000000004,15.0,,,,,,,,,
26,attacker,CyberBattleFlat-thesis-v0,PPO,52026,156.315,2001,0,2001,0,-1,0,2,0.31500000000000017,15.0,,,,,,,,,
27,attacker,CyberBattleFlat-thesis-v0,PPO,54027,156.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
28,attacker,CyberBattleFlat-thesis-v0,PPO,56028,156.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
29,attacker,CyberBattleFlat-thesis-v0,PPO,58029,156.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
30,attacker,CyberBattleFlat-thesis-v0,PPO,60030,156.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
31,attacker,CyberBattleFlat-thesis-v0,PPO,62031,156.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
32,attacker,CyberBattleFlat-thesis-v0,PPO,64032,156.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
33,attacker,CyberBattleFlat-thesis-v0,PPO,66033,231.74,2001,0,2001,1,635,0,4,23.73999999999988,525.0,,,,,,,,,
34,attacker,CyberBattleFlat-thesis-v0,PPO,68034,156.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
35,attacker,CyberBattleFlat-thesis-v0,PPO,70035,156.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
36,attacker,CyberBattleFlat-thesis-v0,PPO,72036,156.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
37,attacker,CyberBattleFlat-thesis-v0,PPO,74037,156.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
38,attacker,CyberBattleFlat-thesis-v0,PPO,76038,156.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
39,attacker,CyberBattleFlat-thesis-v0,PPO,78039,163.59,2001,0,2001,0,-1,0,2,1.589999999999997,15.0,,,,,,,,,
40,attacker,CyberBattleFlat-thesis-v0,PPO,80040,156.315,2001,0,2001,0,-1,0,2,0.31500000000000017,15.0,,,,,,,,,
41,attacker,CyberBattleFlat-thesis-v0,PPO,82041,156.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
42,attacker,CyberBattleFlat-thesis-v0,PPO,84042,189.9,2001,0,2001,1,53,0,2,19.900000000000016,315.0,,,,,,,,,
43,attacker,CyberBattleFlat-thesis-v0,PPO,86043,156.3,2001,0,2001,0,-1,0,2,0.30000000000000016,30.0,,,,,,,,,
44,attacker,CyberBattleFlat-thesis-v0,PPO,88044,183.975,2001,0,2001,1,1634,0,2,3.9750000000000028,115.0,,,,,,,,,
45,attacker,CyberBattleFlat-thesis-v0,PPO,90045,156.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
46,attacker,CyberBattleFlat-thesis-v0,PPO,92046,218.835,2001,0,2001,1,61,0,3,36.835000000000264,960.0,,,,,,,,,
47,attacker,CyberBattleFlat-thesis-v0,PPO,94047,156.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
48,attacker,CyberBattleFlat-thesis-v0,PPO,96048,156.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
49,attacker,CyberBattleFlat-thesis-v0,PPO,98049,156.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
50,attacker,CyberBattleFlat-thesis-v0,PPO,100050,150.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
51,attacker,CyberBattleFlat-thesis-v0,PPO,102051,156.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
52,attacker,CyberBattleFlat-thesis-v0,PPO,104052,156.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
53,attacker,CyberBattleFlat-thesis-v0,PPO,106053,156.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
54,attacker,CyberBattleFlat-thesis-v0,PPO,108054,176.78,2001,0,2001,1,644,0,2,2.780000000000001,215.0,,,,,,,,,
55,attacker,CyberBattleFlat-thesis-v0,PPO,110055,156.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
56,attacker,CyberBattleFlat-thesis-v0,PPO,112056,193.68,2001,0,2001,1,350,0,2,7.679999999999987,815.0,,,,,,,,,
57,attacker,CyberBattleFlat-thesis-v0,PPO,114057,156.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
58,attacker,CyberBattleFlat-thesis-v0,PPO,116058,291.63,2001,0,2001,1,363,0,2,9.629999999999978,675.0,,,,,,,,,
59,attacker,CyberBattleFlat-thesis-v0,PPO,118059,156.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
60,attacker,CyberBattleFlat-thesis-v0,PPO,118784,187.8,725,,,,,,,,,,,,,,,,,
1,defender,CyberBattleFlat-thesis-v0,PPO,2001,-1356.0,2001,,,,,,,,,0,147,426,142,120,0,1286,0,0
2,defender,CyberBattleFlat-thesis-v0,PPO,4002,-1186.0,2001,,,,,,,,,0,155,393,128,103,0,1325,0,0
3,defender,CyberBattleFlat-thesis-v0,PPO,6003,-1053.9,2001,,,,,,,,,6,168,401,103,84,0,1323,6,0
4,defender,CyberBattleFlat-thesis-v0,PPO,8004,-956.0,2001,,,,,,,,,0,158,445,102,80,0,1296,0,0
5,defender,CyberBattleFlat-thesis-v0,PPO,10005,-956.0,2001,,,,,,,,,0,149,409,98,80,0,1345,0,0
6,defender,CyberBattleFlat-thesis-v0,PPO,12006,-866.0,2001,,,,,,,,,0,160,433,94,71,0,1314,0,0
7,defender,CyberBattleFlat-thesis-v0,PPO,14007,-808.27,2001,,,,,,,,,15,144,434,83,60,0,1325,15,0
8,defender,CyberBattleFlat-thesis-v0,PPO,16008,-706.0,2001,,,,,,,,,0,166,458,71,55,0,1306,0,0
9,defender,CyberBattleFlat-thesis-v0,PPO,18009,-766.0,2001,,,,,,,,,0,159,451,75,61,0,1316,0,0
10,defender,CyberBattleFlat-thesis-v0,PPO,20010,-646.0,2001,,,,,,,,,0,143,438,63,49,0,1357,0,0
11,defender,CyberBattleFlat-thesis-v0,PPO,22011,-522.775,2001,,,,,,,,,2,154,460,48,35,0,1337,2,0
12,defender,CyberBattleFlat-thesis-v0,PPO,24012,-516.0,2001,,,,,,,,,0,187,513,46,36,0,1255,0,0
13,defender,CyberBattleFlat-thesis-v0,PPO,26013,-621.71,2001,,,,,,,,,5,148,462,53,42,0,1333,5,0
14,defender,CyberBattleFlat-thesis-v0,PPO,28014,-436.0,2001,,,,,,,,,0,161,486,39,28,0,1315,0,0
15,defender,CyberBattleFlat-thesis-v0,PPO,30015,-366.0,2001,,,,,,,,,0,181,468,27,21,0,1325,0,0
16,defender,CyberBattleFlat-thesis-v0,PPO,32016,-416.0,2001,,,,,,,,,0,153,476,37,26,0,1335,0,0
17,defender,CyberBattleFlat-thesis-v0,PPO,34017,-495.445,2001,,,,,,,,,5,167,508,26,19,0,1295,5,0
18,defender,CyberBattleFlat-thesis-v0,PPO,36018,-448.365,2001,,,,,,,,,7,138,517,27,24,0,1312,7,0
19,defender,CyberBattleFlat-thesis-v0,PPO,38019,-356.0,2001,,,,,,,,,0,159,499,28,20,0,1315,0,0
20,defender,CyberBattleFlat-thesis-v0,PPO,40020,-560.325,2001,,,,,,,,,6,168,471,32,25,0,1324,6,0
21,defender,CyberBattleFlat-thesis-v0,PPO,42021,-420.925,2001,,,,,,,,,7,170,489,28,23,0,1307,7,0
22,defender,CyberBattleFlat-thesis-v0,PPO,44022,-354.695,2001,,,,,,,,,7,190,507,20,14,0,1277,7,0
23,defender,CyberBattleFlat-thesis-v0,PPO,46023,-286.0,2001,,,,,,,,,0,184,516,18,13,0,1283,0,0
24,defender,CyberBattleFlat-thesis-v0,PPO,48024,-286.0,2001,,,,,,,,,0,183,495,13,13,0,1310,0,0
25,defender,CyberBattleFlat-thesis-v0,PPO,50025,-196.165,2001,,,,,,,,,1,179,556,6,4,0,1259,1,0
26,defender,CyberBattleFlat-thesis-v0,PPO,52026,-246.315,2001,,,,,,,,,1,167,555,13,9,0,1265,1,0
27,defender,CyberBattleFlat-thesis-v0,PPO,54027,-216.0,2001,,,,,,,,,0,194,488,9,6,0,1310,0,0
28,defender,CyberBattleFlat-thesis-v0,PPO,56028,-226.0,2001,,,,,,,,,0,190,498,10,7,0,1303,0,0
29,defender,CyberBattleFlat-thesis-v0,PPO,58029,-246.0,2001,,,,,,,,,0,186,485,11,9,0,1319,0,0
30,defender,CyberBattleFlat-thesis-v0,PPO,60030,-206.0,2001,,,,,,,,,0,193,550,8,5,0,1250,0,0
31,defender,CyberBattleFlat-thesis-v0,PPO,62031,-226.0,2001,,,,,,,,,0,196,551,7,7,0,1247,0,0
32,defender,CyberBattleFlat-thesis-v0,PPO,64032,-266.0,2001,,,,,,,,,0,184,557,15,11,0,1245,0,0
33,defender,CyberBattleFlat-thesis-v0,PPO,66033,-301.74,2001,,,,,,,,,16,186,566,9,7,0,1224,16,0
34,defender,CyberBattleFlat-thesis-v0,PPO,68034,-196.0,2001,,,,,,,,,0,193,571,8,4,0,1229,0,0
35,defender,CyberBattleFlat-thesis-v0,PPO,70035,-246.0,2001,,,,,,,,,0,203,557,11,9,0,1230,0,0
36,defender,CyberBattleFlat-thesis-v0,PPO,72036,-186.0,2001,,,,,,,,,0,192,565,7,3,0,1237,0,0
37,defender,CyberBattleFlat-thesis-v0,PPO,74037,-376.0,2001,,,,,,,,,0,202,510,29,22,0,1260,0,0
38,defender,CyberBattleFlat-thesis-v0,PPO,76038,-196.0,2001,,,,,,,,,0,197,515,12,4,0,1277,0,0
39,defender,CyberBattleFlat-thesis-v0,PPO,78039,-203.59,2001,,,,,,,,,1,199,573,5,4,0,1223,1,0
40,defender,CyberBattleFlat-thesis-v0,PPO,80040,-226.315,2001,,,,,,,,,1,191,546,8,7,0,1255,1,0
41,defender,CyberBattleFlat-thesis-v0,PPO,82041,-196.0,2001,,,,,,,,,0,184,554,9,4,0,1254,0,0
42,defender,CyberBattleFlat-thesis-v0,PPO,84042,-229.9,2001,,,,,,,,,4,174,520,5,4,0,1298,4,0
43,defender,CyberBattleFlat-thesis-v0,PPO,86043,-206.3,2001,,,,,,,,,2,175,551,8,5,0,1265,2,0
44,defender,CyberBattleFlat-thesis-v0,PPO,88044,-243.975,2001,,,,,,,,,2,181,492,8,6,0,1318,2,0
45,defender,CyberBattleFlat-thesis-v0,PPO,90045,-156.0,2001,,,,,,,,,0,203,571,0,0,0,1227,0,0
46,defender,CyberBattleFlat-thesis-v0,PPO,92046,-218.835,2001,,,,,,,,,12,181,532,3,0,0,1273,12,0
47,defender,CyberBattleFlat-thesis-v0,PPO,94047,-166.0,2001,,,,,,,,,0,166,558,2,1,0,1275,0,0
48,defender,CyberBattleFlat-thesis-v0,PPO,96048,-176.0,2001,,,,,,,,,0,175,412,3,2,0,1411,0,0
49,defender,CyberBattleFlat-thesis-v0,PPO,98049,-166.0,2001,,,,,,,,,0,174,439,1,1,0,1387,0,0
50,defender,CyberBattleFlat-thesis-v0,PPO,100050,-170.0,2001,,,,,,,,,0,188,529,3,2,0,1281,0,0
51,defender,CyberBattleFlat-thesis-v0,PPO,102051,-176.0,2001,,,,,,,,,0,183,466,3,2,0,1349,0,0
52,defender,CyberBattleFlat-thesis-v0,PPO,104052,-166.0,2001,,,,,,,,,0,186,537,2,1,0,1276,0,0
53,defender,CyberBattleFlat-thesis-v0,PPO,106053,-186.0,2001,,,,,,,,,0,194,538,4,3,0,1265,0,0
54,defender,CyberBattleFlat-thesis-v0,PPO,108054,-196.78,2001,,,,,,,,,3,177,573,4,2,0,1244,3,0
55,defender,CyberBattleFlat-thesis-v0,PPO,110055,-186.0,2001,,,,,,,,,0,212,514,5,3,0,1270,0,0
56,defender,CyberBattleFlat-thesis-v0,PPO,112056,-203.68,2001,,,,,,,,,9,204,555,1,1,0,1232,9,0
57,defender,CyberBattleFlat-thesis-v0,PPO,114057,-196.0,2001,,,,,,,,,0,202,647,4,4,0,1148,0,0
