episode,agent,env_id,algorithm,timestep,episode_reward,episode_length,atk_invalid,atk_valid,atk_cj_reached,atk_cj_step,atk_won,atk_max_owned,atk_hold_reward,atk_eviction,def_reimage,def_block,def_allow,def_stop_svc,def_stop_svc_clean,def_start_svc,def_invalid,def_recovered,def_sla_break_steps
1,attacker,CyberBattleFlat-thesis-v0,PPO,2001,192.145,2001,0,2001,1,12,0,5,36.14500000000006,450.0,,,,,,,,,
2,attacker,CyberBattleFlat-thesis-v0,PPO,4002,187.625,2001,0,2001,1,10,0,4,38.62499999999944,395.0,,,,,,,,,
3,attacker,CyberBattleFlat-thesis-v0,PPO,6003,157.765,2001,0,2001,1,9,0,4,23.764999999999606,500.0,,,,,,,,,
4,attacker,CyberBattleFlat-thesis-v0,PPO,8004,123.135,2001,0,2001,0,-1,0,3,1.1350000000000002,105.0,,,,,,,,,
5,attacker,CyberBattleFlat-thesis-v0,PPO,10005,279.58,2001,0,2001,1,168,0,3,107.57999999999817,1630.0,,,,,,,,,
6,attacker,CyberBattleFlat-thesis-v0,PPO,12006,192.4,2001,0,2001,1,25,0,3,18.399999999999967,400.0,,,,,,,,,
7,attacker,CyberBattleFlat-thesis-v0,PPO,14007,166.14,2001,0,2001,1,6,0,5,24.139999999999592,415.0,,,,,,,,,
8,attacker,CyberBattleFlat-thesis-v0,PPO,16008,146.145,2001,0,2001,1,9,0,4,14.145000000000055,380.0,,,,,,,,,
9,attacker,CyberBattleFlat-thesis-v0,PPO,18009,185.595,2001,0,2001,0,-1,0,3,24.594999999999672,620.0,,,,,,,,,
10,attacker,CyberBattleFlat-thesis-v0,PPO,20010,220.12,2001,0,2001,1,42,0,6,42.11999999999962,1045.0,,,,,,,,,
11,attacker,CyberBattleFlat-thesis-v0,PPO,22011,160.06,2001,0,2001,1,13,0,4,22.05999999999971,485.0,,,,,,,,,
12,attacker,CyberBattleFlat-thesis-v0,PPO,24012,197.73,2001,0,2001,1,44,0,4,40.729999999998626,660.0,,,,,,,,,
13,attacker,CyberBattleFlat-thesis-v0,PPO,26013,163.16,2001,0,2001,1,10,0,4,19.15999999999989,370.0,,,,,,,,,
14,attacker,CyberBattleFlat-thesis-v0,PPO,28014,191.825,2001,0,2001,1,28,0,4,22.82499999999978,655.0,,,,,,,,,
15,attacker,CyberBattleFlat-thesis-v0,PPO,30015,165.075,2001,0,2001,1,24,0,4,7.0750000000000135,315.0,,,,,,,,,
16,attacker,CyberBattleFlat-thesis-v0,PPO,32016,156.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
17,attacker,CyberBattleFlat-thesis-v0,PPO,34017,117.005,2001,0,2001,0,-1,0,3,11.005000000000084,220.0,,,,,,,,,
18,attacker,CyberBattleFlat-thesis-v0,PPO,36018,191.165,2001,0,2001,1,919,0,2,21.165000000000028,245.0,,,,,,,,,
19,attacker,CyberBattleFlat-thesis-v0,PPO,38019,230.585,2001,0,2001,1,14,0,4,64.58500000000073,1960.0,,,,,,,,,
20,attacker,CyberBattleFlat-thesis-v0,PPO,40020,177.97,2001,0,2001,1,103,0,2,5.970000000000002,260.0,,,,,,,,,
21,attacker,CyberBattleFlat-thesis-v0,PPO,42021,205.445,2001,0,2001,1,55,0,4,37.4449999999996,1375.0,,,,,,,,,
22,attacker,CyberBattleFlat-thesis-v0,PPO,44022,132.385,2001,0,2001,0,-1,0,4,4.384999999999997,230.0,,,,,,,,,
23,attacker,CyberBattleFlat-thesis-v0,PPO,46023,145.17,2001,0,2001,1,10,0,4,11.170000000000066,390.0,,,,,,,,,
24,attacker,CyberBattleFlat-thesis-v0,PPO,48024,170.42,2001,0,2001,1,4,0,4,18.41999999999995,525.0,,,,,,,,,
25,attacker,CyberBattleFlat-thesis-v0,PPO,50025,175.46,2001,0,2001,1,493,0,2,5.459999999999997,115.0,,,,,,,,,
26,attacker,CyberBattleFlat-thesis-v0,PPO,52026,188.41,2001,0,2001,1,203,0,3,16.410000000000135,830.0,,,,,,,,,
27,attacker,CyberBattleFlat-thesis-v0,PPO,54027,232.96,2001,0,2001,1,24,0,5,43.95999999999925,970.0,,,,,,,,,
28,attacker,CyberBattleFlat-thesis-v0,PPO,56028,158.82,2001,0,2001,1,10,0,4,4.819999999999992,365.0,,,,,,,,,
29,attacker,CyberBattleFlat-thesis-v0,PPO,58029,127.22,2001,0,2001,1,9,0,4,5.220000000000009,280.0,,,,,,,,,
30,attacker,CyberBattleFlat-thesis-v0,PPO,60030,136.665,2001,0,2001,1,15,0,4,14.665000000000052,305.0,,,,,,,,,
31,attacker,CyberBattleFlat-thesis-v0,PPO,62031,135.31,2001,0,2001,0,-1,0,4,7.310000000000043,245.0,,,,,,,,,
32,attacker,CyberBattleFlat-thesis-v0,PPO,64032,122.57,2001,0,2001,1,8,0,5,12.570000000000064,445.0,,,,,,,,,
33,attacker,CyberBattleFlat-thesis-v0,PPO,66033,211.405,2001,0,2001,1,125,0,2,41.40500000000032,2030.0,,,,,,,,,
34,attacker,CyberBattleFlat-thesis-v0,PPO,68034,171.395,2001,0,2001,1,17,0,4,27.394999999999623,1120.0,,,,,,,,,
35,attacker,CyberBattleFlat-thesis-v0,PPO,70035,184.6,2001,0,2001,1,6,0,4,7.600000000000021,375.0,,,,,,,,,
36,attacker,CyberBattleFlat-thesis-v0,PPO,72036,155.745,2001,0,2001,1,654,0,3,18.745,770.0,,,,,,,,,
37,attacker,CyberBattleFlat-thesis-v0,PPO,74037,156.54,2001,0,2001,1,42,0,3,28.539999999999562,1155.0,,,,,,,,,
38,attacker,CyberBattleFlat-thesis-v0,PPO,76038,116.125,2001,0,2001,1,12,0,4,4.124999999999985,380.0,,,,,,,,,
39,attacker,CyberBattleFlat-thesis-v0,PPO,78039,132.72,2001,0,2001,1,38,0,4,6.720000000000048,505.0,,,,,,,,,
40,attacker,CyberBattleFlat-thesis-v0,PPO,80040,168.91,2001,0,2001,1,8,0,4,8.910000000000007,575.0,,,,,,,,,
41,attacker,CyberBattleFlat-thesis-v0,PPO,82041,225.87,2001,0,2001,1,20,0,4,43.87000000000034,2195.0,,,,,,,,,
42,attacker,CyberBattleFlat-thesis-v0,PPO,84042,169.18,2001,0,2001,1,58,0,4,25.179999999999655,1200.0,,,,,,,,,
43,attacker,CyberBattleFlat-thesis-v0,PPO,86043,157.345,2001,0,2001,1,11,0,4,9.344999999999995,395.0,,,,,,,,,
44,attacker,CyberBattleFlat-thesis-v0,PPO,88044,193.82,2001,0,2001,1,62,0,5,19.819999999999883,1020.0,,,,,,,,,
45,attacker,CyberBattleFlat-thesis-v0,PPO,90045,131.14,2001,0,2001,1,380,0,3,9.14000000000003,470.0,,,,,,,,,
46,attacker,CyberBattleFlat-thesis-v0,PPO,92046,134.41,2001,0,2001,0,-1,0,3,6.409999999999972,220.0,,,,,,,,,
47,attacker,CyberBattleFlat-thesis-v0,PPO,94047,154.86,2001,0,2001,1,136,0,3,14.859999999999943,490.0,,,,,,,,,
48,attacker,CyberBattleFlat-thesis-v0,PPO,96048,146.925,2001,0,2001,1,5,0,4,6.925000000000028,490.0,,,,,,,,,
49,attacker,CyberBattleFlat-thesis-v0,PPO,98049,149.11,2001,0,2001,1,39,0,4,11.10999999999998,515.0,,,,,,,,,
50,attacker,CyberBattleFlat-thesis-v0,PPO,100050,151.655,2001,0,2001,1,7,0,4,13.65499999999998,760.0,,,,,,,,,
51,attacker,CyberBattleFlat-thesis-v0,PPO,102051,214.655,2001,0,2001,1,333,0,2,38.65500000000025,1890.0,,,,,,,,,
52,attacker,CyberBattleFlat-thesis-v0,PPO,104052,161.685,2001,0,2001,1,38,0,4,17.685000000000056,1480.0,,,,,,,,,
53,attacker,CyberBattleFlat-thesis-v0,PPO,106053,190.035,2001,0,2001,1,40,0,4,16.035000000000096,1070.0,,,,,,,,,
54,attacker,CyberBattleFlat-thesis-v0,PPO,108054,155.86,2001,0,2001,1,50,0,4,7.86,390.0,,,,,,,,,
55,attacker,CyberBattleFlat-thesis-v0,PPO,110055,123.33,2001,0,2001,0,-1,0,3,5.330000000000012,305.0,,,,,,,,,
56,attacker,CyberBattleFlat-thesis-v0,PPO,112056,148.12,2001,0,2001,0,-1,0,3,6.119999999999987,280.0,,,,,,,,,
57,attacker,CyberBattleFlat-thesis-v0,PPO,114057,169.705,2001,0,2001,1,63,0,4,9.705000000000037,535.0,,,,,,,,,
58,attacker,CyberBattleFlat-thesis-v0,PPO,116058,210.555,2001,0,2001,1,53,0,4,36.55499999999999,1525.0,,,,,,,,,
59,attacker,CyberBattleFlat-thesis-v0,PPO,118059,156.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
60,attacker,CyberBattleFlat-thesis-v0,PPO,120060,163.125,2001,0,2001,1,31,0,3,15.12500000000011,1105.0,,,,,,,,,
61,attacker,CyberBattleFlat-thesis-v0,PPO,122061,159.24,2001,0,2001,0,-1,0,4,13.240000000000055,1025.0,,,,,,,,,
62,attacker,CyberBattleFlat-thesis-v0,PPO,124062,176.045,2001,0,2001,1,11,0,3,21.044999999999774,1210.0,,,,,,,,,
63,attacker,CyberBattleFlat-thesis-v0,PPO,126063,157.895,2001,0,2001,1,424,0,3,3.8950000000000005,145.0,,,,,,,,,
64,attacker,CyberBattleFlat-thesis-v0,PPO,126976,217.695,913,,,,,,,,,,,,,,,,,
1,defender,CyberBattleFlat-thesis-v0,PPO,2001,-1222.145,2001,,,,,,,,,19,140,378,147,103,0,1317,19,0
2,defender,CyberBattleFlat-thesis-v0,PPO,4002,-1347.6,2001,,,,,,,,,15,166,391,157,116,0,1272,15,0
3,defender,CyberBattleFlat-thesis-v0,PPO,6003,-1057.765,2001,,,,,,,,,22,146,371,113,90,0,1349,22,0
4,defender,CyberBattleFlat-thesis-v0,PPO,8004,-913.135,2001,,,,,,,,,5,147,405,104,79,0,1340,5,0
5,defender,CyberBattleFlat-thesis-v0,PPO,10005,-1069.58,2001,,,,,,,,,18,159,386,103,79,0,1335,18,0
6,defender,CyberBattleFlat-thesis-v0,PPO,12006,-1002.4,2001,,,,,,,,,14,168,377,101,81,0,1341,14,0
7,defender,CyberBattleFlat-thesis-v0,PPO,14007,-726.14,2001,,,,,,,,,17,148,388,72,56,0,1376,17,0
8,defender,CyberBattleFlat-thesis-v0,PPO,16008,-736.145,2001,,,,,,,,,9,158,392,79,59,0,1363,9,0
9,defender,CyberBattleFlat-thesis-v0,PPO,18009,-795.57,2001,,,,,,,,,25,140,352,80,61,0,1404,25,0
10,defender,CyberBattleFlat-thesis-v0,PPO,20010,-800.12,2001,,,,,,,,,45,163,351,89,58,0,1353,45,0
11,defender,CyberBattleFlat-thesis-v0,PPO,22011,-660.06,2001,,,,,,,,,17,164,404,61,50,0,1355,17,0
12,defender,CyberBattleFlat-thesis-v0,PPO,24012,-577.705,2001,,,,,,,,,24,176,380,52,38,0,1369,24,0
13,defender,CyberBattleFlat-thesis-v0,PPO,26013,-563.16,2001,,,,,,,,,12,156,334,52,40,0,1447,12,0
14,defender,CyberBattleFlat-thesis-v0,PPO,28014,-571.8,2001,,,,,,,,,24,154,342,56,38,0,1425,24,0
15,defender,CyberBattleFlat-thesis-v0,PPO,30015,-595.075,2001,,,,,,,,,11,150,421,52,43,0,1367,11,0
16,defender,CyberBattleFlat-thesis-v0,PPO,32016,-426.0,2001,,,,,,,,,0,179,382,33,27,0,1407,0,0
17,defender,CyberBattleFlat-thesis-v0,PPO,34017,-387.005,2001,,,,,,,,,9,165,381,44,27,0,1402,9,0
18,defender,CyberBattleFlat-thesis-v0,PPO,36018,-401.165,2001,,,,,,,,,5,150,364,28,21,0,1454,5,0
19,defender,CyberBattleFlat-thesis-v0,PPO,38019,-430.585,2001,,,,,,,,,22,135,368,32,20,0,1444,22,0
20,defender,CyberBattleFlat-thesis-v0,PPO,40020,-287.97,2001,,,,,,,,,6,164,361,19,11,0,1451,6,0
21,defender,CyberBattleFlat-thesis-v0,PPO,42021,-455.445,2001,,,,,,,,,42,138,382,33,25,0,1406,42,0
22,defender,CyberBattleFlat-thesis-v0,PPO,44022,-372.385,2001,,,,,,,,,11,158,446,33,24,0,1353,11,0
23,defender,CyberBattleFlat-thesis-v0,PPO,46023,-225.17,2001,,,,,,,,,14,162,459,14,8,0,1352,14,0
24,defender,CyberBattleFlat-thesis-v0,PPO,48024,-370.42,2001,,,,,,,,,18,143,447,26,20,0,1367,18,0
25,defender,CyberBattleFlat-thesis-v0,PPO,50025,-325.46,2001,,,,,,,,,2,153,446,25,15,0,1375,2,0
26,defender,CyberBattleFlat-thesis-v0,PPO,52026,-368.41,2001,,,,,,,,,32,154,391,23,18,0,1401,32,0
27,defender,CyberBattleFlat-thesis-v0,PPO,54027,-352.935,2001,,,,,,,,,35,146,398,15,12,0,1407,35,0
28,defender,CyberBattleFlat-thesis-v0,PPO,56028,-298.82,2001,,,,,,,,,11,144,422,20,14,0,1404,11,0
29,defender,CyberBattleFlat-thesis-v0,PPO,58029,-237.22,2001,,,,,,,,,9,143,439,12,11,0,1398,9,0
30,defender,CyberBattleFlat-thesis-v0,PPO,60030,-306.665,2001,,,,,,,,,10,157,448,23,17,0,1363,10,0
31,defender,CyberBattleFlat-thesis-v0,PPO,62031,-245.31,2001,,,,,,,,,11,159,451,17,11,0,1363,11,0
32,defender,CyberBattleFlat-thesis-v0,PPO,64032,-212.57,2001,,,,,,,,,18,133,443,12,9,0,1395,18,0
33,defender,CyberBattleFlat-thesis-v0,PPO,66033,-281.405,2001,,,,,,,,,22,140,402,13,7,0,1424,22,0
34,defender,CyberBattleFlat-thesis-v0,PPO,68034,-281.395,2001,,,,,,,,,45,141,383,14,11,0,1418,45,0
35,defender,CyberBattleFlat-thesis-v0,PPO,70035,-314.575,2001,,,,,,,,,9,139,419,15,13,0,1419,9,0
36,defender,CyberBattleFlat-thesis-v0,PPO,72036,-190.745,2001,,,,,,,,,28,145,412,11,6,0,1405,28,0
37,defender,CyberBattleFlat-thesis-v0,PPO,74037,-241.54,2001,,,,,,,,,35,138,415,9,6,0,1404,35,0
38,defender,CyberBattleFlat-thesis-v0,PPO,76038,-216.125,2001,,,,,,,,,16,155,465,15,10,0,1350,16,0
39,defender,CyberBattleFlat-thesis-v0,PPO,78039,-172.72,2001,,,,,,,,,14,137,381,6,4,0,1463,14,0
40,defender,CyberBattleFlat-thesis-v0,PPO,80040,-218.91,2001,,,,,,,,,16,135,398,10,5,0,1442,16,0
41,defender,CyberBattleFlat-thesis-v0,PPO,82041,-255.87,2001,,,,,,,,,31,134,366,8,3,0,1462,31,0
42,defender,CyberBattleFlat-thesis-v0,PPO,84042,-229.18,2001,,,,,,,,,40,137,452,9,6,0,1363,40,0
43,defender,CyberBattleFlat-thesis-v0,PPO,86043,-237.345,2001,,,,,,,,,17,108,420,11,8,0,1445,17,0
44,defender,CyberBattleFlat-thesis-v0,PPO,88044,-223.82,2001,,,,,,,,,42,148,519,5,3,0,1287,42,0
45,defender,CyberBattleFlat-thesis-v0,PPO,90045,-181.14,2001,,,,,,,,,16,111,388,5,5,0,1481,16,0
46,defender,CyberBattleFlat-thesis-v0,PPO,92046,-244.41,2001,,,,,,,,,13,152,425,20,11,0,1391,13,0
47,defender,CyberBattleFlat-thesis-v0,PPO,94047,-204.86,2001,,,,,,,,,23,135,422,8,5,0,1413,23,0
48,defender,CyberBattleFlat-thesis-v0,PPO,96048,-166.925,2001,,,,,,,,,14,130,436,4,2,0,1417,14,0
