episode,agent,env_id,algorithm,timestep,episode_reward,episode_length,atk_invalid,atk_valid,atk_cj_reached,atk_cj_step,atk_won,atk_max_owned,atk_hold_reward,atk_eviction,def_reimage,def_block,def_allow,def_stop_svc,def_stop_svc_clean,def_start_svc,def_invalid,def_recovered,def_sla_break_steps
1,attacker,CyberBattleFlat-thesis-v0,PPO,2001,249.7,2001,0,2001,1,7,0,4,61.70000000000075,1945.0,,,,,,,,,
2,attacker,CyberBattleFlat-thesis-v0,PPO,4002,326.85,2001,0,2001,1,5,0,3,48.85000000000017,560.0,,,,,,,,,
3,attacker,CyberBattleFlat-thesis-v0,PPO,6003,280.73,2001,0,2001,1,7,0,4,42.73000000000002,970.0,,,,,,,,,
4,attacker,CyberBattleFlat-thesis-v0,PPO,8004,220.53,2001,0,2001,1,26,0,3,42.53000000000016,1980.0,,,,,,,,,
5,attacker,CyberBattleFlat-thesis-v0,PPO,10005,210.87,2001,0,2001,1,23,0,3,42.87000000000036,945.0,,,,,,,,,
6,attacker,CyberBattleFlat-thesis-v0,PPO,12006,268.47,2001,0,2001,1,25,0,3,90.46999999999932,2055.0,,,,,,,,,
7,attacker,CyberBattleFlat-thesis-v0,PPO,14007,240.18,2001,0,2001,1,6,0,3,62.180000000000426,1880.0,,,,,,,,,
8,attacker,CyberBattleFlat-thesis-v0,PPO,16008,188.155,2001,0,2001,1,6,0,3,26.154999999999898,705.0,,,,,,,,,
9,attacker,CyberBattleFlat-thesis-v0,PPO,18009,253.075,2001,0,2001,1,7,0,3,75.07499999999986,2585.0,,,,,,,,,
10,attacker,CyberBattleFlat-thesis-v0,PPO,20010,402.605,2001,0,2001,1,5,0,3,115.60499999999807,4065.0,,,,,,,,,
11,attacker,CyberBattleFlat-thesis-v0,PPO,22011,214.46,2001,0,2001,1,5,0,3,42.46000000000014,1835.0,,,,,,,,,
12,attacker,CyberBattleFlat-thesis-v0,PPO,24012,212.825,2001,0,2001,1,9,0,3,24.824999999999992,1125.0,,,,,,,,,
13,attacker,CyberBattleFlat-thesis-v0,PPO,26013,216.515,2001,0,2001,1,31,0,3,44.51500000000017,2095.0,,,,,,,,,
14,attacker,CyberBattleFlat-thesis-v0,PPO,28014,240.065,2001,0,2001,1,5,0,3,62.065000000000424,2825.0,,,,,,,,,
15,attacker,CyberBattleFlat-thesis-v0,PPO,30015,259.155,2001,0,2001,1,24,0,3,57.1550000000004,3005.0,,,,,,,,,
16,attacker,CyberBattleFlat-thesis-v0,PPO,32016,196.49,2001,0,2001,1,29,0,3,30.49000000000019,1145.0,,,,,,,,,
17,attacker,CyberBattleFlat-thesis-v0,PPO,34017,218.82,2001,0,2001,1,9,0,3,26.820000000000043,1345.0,,,,,,,,,
18,attacker,CyberBattleFlat-thesis-v0,PPO,36018,193.645,2001,0,2001,1,7,0,3,31.64500000000005,2055.0,,,,,,,,,
19,attacker,CyberBattleFlat-thesis-v0,PPO,38019,215.02,2001,0,2001,1,5,0,4,17.01999999999988,1435.0,,,,,,,,,
20,attacker,CyberBattleFlat-thesis-v0,PPO,40020,238.025,2001,0,2001,1,25,0,3,40.025000000000176,2555.0,,,,,,,,,
21,attacker,CyberBattleFlat-thesis-v0,PPO,42021,207.84,2001,0,2001,1,23,0,3,33.84000000000014,2125.0,,,,,,,,,
22,attacker,CyberBattleFlat-thesis-v0,PPO,44022,200.03,2001,0,2001,1,23,0,3,22.0300000000001,2280.0,,,,,,,,,
23,attacker,CyberBattleFlat-thesis-v0,PPO,46023,170.2,2001,0,2001,1,14,0,3,8.199999999999989,860.0,,,,,,,,,
