episode,agent,env_id,algorithm,timestep,episode_reward,episode_length,atk_invalid,atk_valid,atk_cj_reached,atk_cj_step,atk_won,atk_max_owned,atk_hold_reward,atk_eviction,def_reimage,def_block,def_allow,def_stop_svc,def_stop_svc_clean,def_start_svc,def_invalid,def_recovered,def_sla_break_steps
1,attacker,CyberBattleFlat-thesis-v0,PPO,2001,129.81,2001,0,2001,0,-1,0,3,3.8100000000000125,60.0,,,,,,,,,
2,attacker,CyberBattleFlat-thesis-v0,PPO,4002,156.01,2001,0,2001,0,-1,0,2,8.009999999999925,195.0,,,,,,,,,
3,attacker,CyberBattleFlat-thesis-v0,PPO,6003,141.12,2001,0,2001,0,-1,0,2,3.1200000000000037,180.0,,,,,,,,,
4,attacker,CyberBattleFlat-thesis-v0,PPO,8004,213.17,2001,0,2001,1,246,0,3,35.17000000000017,515.0,,,,,,,,,
5,attacker,CyberBattleFlat-thesis-v0,PPO,10005,184.225,2001,0,2001,1,246,0,3,18.225000000000247,455.0,,,,,,,,,
6,attacker,CyberBattleFlat-thesis-v0,PPO,12006,127.895,2001,0,2001,0,-1,0,2,5.89499999999997,225.0,,,,,,,,,
7,attacker,CyberBattleFlat-thesis-v0,PPO,14007,169.025,2001,0,2001,0,-1,0,3,17.02500000000015,520.0,,,,,,,,,
8,attacker,CyberBattleFlat-thesis-v0,PPO,16008,89.355,2001,0,2001,1,62,0,3,1.355,145.0,,,,,,,,,
9,attacker,CyberBattleFlat-thesis-v0,PPO,18009,163.005,2001,0,2001,1,356,0,3,5.004999999999982,370.0,,,,,,,,,
10,attacker,CyberBattleFlat-thesis-v0,PPO,20010,167.975,2001,0,2001,1,109,0,3,13.975000000000222,445.0,,,,,,,,,
11,attacker,CyberBattleFlat-thesis-v0,PPO,22011,118.665,2001,0,2001,0,-1,0,3,2.6649999999999876,85.0,,,,,,,,,
12,attacker,CyberBattleFlat-thesis-v0,PPO,24012,122.72,2001,0,2001,0,-1,0,2,0.7200000000000005,30.0,,,,,,,,,
13,attacker,CyberBattleFlat-thesis-v0,PPO,26013,117.965,2001,0,2001,0,-1,0,3,1.9650000000000016,150.0,,,,,,,,,
14,attacker,CyberBattleFlat-thesis-v0,PPO,28014,163.005,2001,0,2001,0,-1,0,3,13.005000000000114,465.0,,,,,,,,,
15,attacker,CyberBattleFlat-thesis-v0,PPO,30015,169.035,2001,0,2001,0,-1,0,3,7.03499999999996,390.0,,,,,,,,,
16,attacker,CyberBattleFlat-thesis-v0,PPO,32016,172.875,2001,0,2001,0,-1,0,3,4.8749999999999725,180.0,,,,,,,,,
17,attacker,CyberBattleFlat-thesis-v0,PPO,34017,101.425,2001,0,2001,0,-1,0,3,1.424999999999998,60.0,,,,,,,,,
18,attacker,CyberBattleFlat-thesis-v0,PPO,36018,148.665,2001,0,2001,0,-1,0,2,4.6649999999999965,375.0,,,,,,,,,
19,attacker,CyberBattleFlat-thesis-v0,PPO,38019,140.58,2001,0,2001,0,-1,0,2,2.579999999999999,165.0,,,,,,,,,
20,attacker,CyberBattleFlat-thesis-v0,PPO,40020,231.765,2001,0,2001,1,434,0,3,21.765000000000178,1025.0,,,,,,,,,
21,attacker,CyberBattleFlat-thesis-v0,PPO,42021,146.14,2001,0,2001,1,585,0,3,6.139999999999968,460.0,,,,,,,,,
22,attacker,CyberBattleFlat-thesis-v0,PPO,44022,110.08,2001,0,2001,1,34,0,3,6.079999999999987,175.0,,,,,,,,,
23,attacker,CyberBattleFlat-thesis-v0,PPO,46023,141.96,2001,0,2001,0,-1,0,2,3.9600000000000106,195.0,,,,,,,,,
24,attacker,CyberBattleFlat-thesis-v0,PPO,48024,172.855,2001,0,2001,1,46,0,3,4.854999999999998,580.0,,,,,,,,,
25,attacker,CyberBattleFlat-thesis-v0,PPO,50025,133.505,2001,0,2001,0,-1,0,3,5.504999999999977,390.0,,,,,,,,,
26,attacker,CyberBattleFlat-thesis-v0,PPO,52026,185.585,2001,0,2001,1,1065,0,3,19.584999999999987,400.0,,,,,,,,,
27,attacker,CyberBattleFlat-thesis-v0,PPO,54027,141.495,2001,0,2001,0,-1,0,3,3.4950000000000094,255.0,,,,,,,,,
28,attacker,CyberBattleFlat-thesis-v0,PPO,56028,180.045,2001,0,2001,1,753,0,3,20.045000000000133,735.0,,,,,,,,,
29,attacker,CyberBattleFlat-thesis-v0,PPO,58029,110.39,2001,0,2001,0,-1,0,3,0.3900000000000001,105.0,,,,,,,,,
30,attacker,CyberBattleFlat-thesis-v0,PPO,60030,138.32,2001,0,2001,0,-1,0,3,4.320000000000006,270.0,,,,,,,,,
31,attacker,CyberBattleFlat-thesis-v0,PPO,62031,158.05,2001,0,2001,0,-1,0,2,10.050000000000002,390.0,,,,,,,,,
32,attacker,CyberBattleFlat-thesis-v0,PPO,64032,36.9,2001,0,2001,0,-1,0,2,0.9000000000000007,60.0,,,,,,,,,
33,attacker,CyberBattleFlat-thesis-v0,PPO,66033,141.09,2001,0,2001,0,-1,0,2,3.0900000000000034,180.0,,,,,,,,,
34,attacker,CyberBattleFlat-thesis-v0,PPO,68034,158.235,2001,0,2001,0,-1,0,3,8.234999999999918,345.0,,,,,,,,,
35,attacker,CyberBattleFlat-thesis-v0,PPO,70035,36.69,2001,0,2001,0,-1,0,2,0.6900000000000005,75.0,,,,,,,,,
36,attacker,CyberBattleFlat-thesis-v0,PPO,72036,36.375,2001,0,2001,0,-1,0,2,0.3750000000000002,60.0,,,,,,,,,
37,attacker,CyberBattleFlat-thesis-v0,PPO,74037,148.86,2001,0,2001,0,-1,0,2,4.859999999999992,120.0,,,,,,,,,
38,attacker,CyberBattleFlat-thesis-v0,PPO,76038,36.315,2001,0,2001,0,-1,0,2,0.31500000000000017,15.0,,,,,,,,,
39,attacker,CyberBattleFlat-thesis-v0,PPO,78039,37.725,2001,0,2001,0,-1,0,2,1.724999999999996,75.0,,,,,,,,,
40,attacker,CyberBattleFlat-thesis-v0,PPO,80040,170.09,2001,0,2001,1,368,0,3,10.08999999999999,650.0,,,,,,,,,
41,attacker,CyberBattleFlat-thesis-v0,PPO,82041,113.905,2001,0,2001,0,-1,0,2,1.904999999999995,180.0,,,,,,,,,
42,attacker,CyberBattleFlat-thesis-v0,PPO,84042,158.725,2001,0,2001,0,-1,0,3,4.7250000000000085,235.0,,,,,,,,,
43,attacker,CyberBattleFlat-thesis-v0,PPO,86043,108.145,2001,0,2001,0,-1,0,3,2.144999999999998,90.0,,,,,,,,,
44,attacker,CyberBattleFlat-thesis-v0,PPO,88044,147.71,2001,0,2001,1,429,0,3,9.709999999999994,550.0,,,,,,,,,
