episode,agent,env_id,algorithm,timestep,episode_reward,episode_length,atk_invalid,atk_valid,atk_cj_reached,atk_cj_step,atk_won,atk_max_owned,atk_hold_reward,atk_eviction,def_reimage,def_block,def_allow,def_stop_svc,def_stop_svc_clean,def_start_svc,def_invalid,def_recovered,def_sla_break_steps
1,attacker,CyberBattleHubSpoke-thesis-v0,PPO,2001,36.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
2,attacker,CyberBattleHubSpoke-thesis-v0,PPO,4002,36.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
3,attacker,CyberBattleHubSpoke-thesis-v0,PPO,6003,174.9,2001,0,2001,0,-1,0,2,0.9000000000000007,15.0,,,,,,,,,
4,attacker,CyberBattleHubSpoke-thesis-v0,PPO,8004,36.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
5,attacker,CyberBattleHubSpoke-thesis-v0,PPO,10005,36.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
6,attacker,CyberBattleHubSpoke-thesis-v0,PPO,12006,36.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
7,attacker,CyberBattleHubSpoke-thesis-v0,PPO,14007,134.84,2001,0,2001,0,-1,0,2,0.8400000000000006,30.0,,,,,,,,,
8,attacker,CyberBattleHubSpoke-thesis-v0,PPO,16008,174.81,2001,0,2001,0,-1,0,2,0.8100000000000006,15.0,,,,,,,,,
9,attacker,CyberBattleHubSpoke-thesis-v0,PPO,18009,36.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
10,attacker,CyberBattleHubSpoke-thesis-v0,PPO,20010,36.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
11,attacker,CyberBattleHubSpoke-thesis-v0,PPO,22011,69.47,2001,0,2001,0,-1,0,3,1.4699999999999973,45.0,,,,,,,,,
12,attacker,CyberBattleHubSpoke-thesis-v0,PPO,24012,163.26,2001,0,2001,0,-1,0,2,1.2599999999999991,15.0,,,,,,,,,
13,attacker,CyberBattleHubSpoke-thesis-v0,PPO,26013,162.525,2001,0,2001,0,-1,0,2,0.5250000000000004,15.0,,,,,,,,,
14,attacker,CyberBattleHubSpoke-thesis-v0,PPO,28014,162.75,2001,0,2001,0,-1,0,2,0.7500000000000006,15.0,,,,,,,,,
15,attacker,CyberBattleHubSpoke-thesis-v0,PPO,30015,36.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
16,attacker,CyberBattleHubSpoke-thesis-v0,PPO,32016,163.08,2001,0,2001,0,-1,0,2,1.0800000000000003,15.0,,,,,,,,,
17,attacker,CyberBattleHubSpoke-thesis-v0,PPO,34017,36.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
18,attacker,CyberBattleHubSpoke-thesis-v0,PPO,36018,160.385,2001,0,2001,0,-1,0,2,2.3849999999999976,15.0,,,,,,,,,
19,attacker,CyberBattleHubSpoke-thesis-v0,PPO,38019,36.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
20,attacker,CyberBattleHubSpoke-thesis-v0,PPO,40020,36.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
21,attacker,CyberBattleHubSpoke-thesis-v0,PPO,42021,78.78,2001,0,2001,0,-1,0,2,0.7800000000000006,15.0,,,,,,,,,
22,attacker,CyberBattleHubSpoke-thesis-v0,PPO,44022,175.155,2001,0,2001,0,-1,0,2,1.1549999999999998,30.0,,,,,,,,,
23,attacker,CyberBattleHubSpoke-thesis-v0,PPO,46023,75.08,2001,0,2001,0,-1,0,3,1.0799999999999998,45.0,,,,,,,,,
24,attacker,CyberBattleHubSpoke-thesis-v0,PPO,48024,36.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
25,attacker,CyberBattleHubSpoke-thesis-v0,PPO,50025,78.255,2001,0,2001,0,-1,0,2,0.2550000000000001,15.0,,,,,,,,,
26,attacker,CyberBattleHubSpoke-thesis-v0,PPO,52026,156.315,2001,0,2001,0,-1,0,2,0.31500000000000017,15.0,,,,,,,,,
27,attacker,CyberBattleHubSpoke-thesis-v0,PPO,54027,78.285,2001,0,2001,0,-1,0,2,0.28500000000000014,15.0,,,,,,,,,
28,attacker,CyberBattleHubSpoke-thesis-v0,PPO,56028,36.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
29,attacker,CyberBattleHubSpoke-thesis-v0,PPO,58029,36.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
30,attacker,CyberBattleHubSpoke-thesis-v0,PPO,60030,78.135,2001,0,2001,0,-1,0,2,0.135,15.0,,,,,,,,,
31,attacker,CyberBattleHubSpoke-thesis-v0,PPO,62031,36.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
32,attacker,CyberBattleHubSpoke-thesis-v0,PPO,64032,36.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
33,attacker,CyberBattleHubSpoke-thesis-v0,PPO,66033,186.185,2001,0,2001,0,-1,0,3,4.184999999999996,45.0,,,,,,,,,
34,attacker,CyberBattleHubSpoke-thesis-v0,PPO,68034,174.405,2001,0,2001,0,-1,0,2,0.40500000000000025,15.0,,,,,,,,,
35,attacker,CyberBattleHubSpoke-thesis-v0,PPO,70035,36.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
36,attacker,CyberBattleHubSpoke-thesis-v0,PPO,72036,36.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
37,attacker,CyberBattleHubSpoke-thesis-v0,PPO,74037,36.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
38,attacker,CyberBattleHubSpoke-thesis-v0,PPO,76038,36.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
39,attacker,CyberBattleHubSpoke-thesis-v0,PPO,78039,163.62,2001,0,2001,0,-1,0,2,1.6199999999999968,30.0,,,,,,,,,
40,attacker,CyberBattleHubSpoke-thesis-v0,PPO,80040,36.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
41,attacker,CyberBattleHubSpoke-thesis-v0,PPO,82041,36.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
42,attacker,CyberBattleHubSpoke-thesis-v0,PPO,84042,168.3,2001,0,2001,0,-1,0,2,0.30000000000000016,15.0,,,,,,,,,
43,attacker,CyberBattleHubSpoke-thesis-v0,PPO,86043,36.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
44,attacker,CyberBattleHubSpoke-thesis-v0,PPO,88044,174.84,2001,0,2001,0,-1,0,2,0.8400000000000006,15.0,,,,,,,,,
45,attacker,CyberBattleHubSpoke-thesis-v0,PPO,90045,36.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
46,attacker,CyberBattleHubSpoke-thesis-v0,PPO,92046,36.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
47,attacker,CyberBattleHubSpoke-thesis-v0,PPO,94047,36.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
48,attacker,CyberBattleHubSpoke-thesis-v0,PPO,96048,36.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
49,attacker,CyberBattleHubSpoke-thesis-v0,PPO,98049,36.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
50,attacker,CyberBattleHubSpoke-thesis-v0,PPO,100050,162.525,2001,0,2001,0,-1,0,2,0.5250000000000004,15.0,,,,,,,,,
51,attacker,CyberBattleHubSpoke-thesis-v0,PPO,102051,36.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
52,attacker,CyberBattleHubSpoke-thesis-v0,PPO,104052,174.375,2001,0,2001,0,-1,0,2,0.3750000000000002,15.0,,,,,,,,,
53,attacker,CyberBattleHubSpoke-thesis-v0,PPO,106053,174.6,2001,0,2001,0,-1,0,2,0.6000000000000004,15.0,,,,,,,,,
54,attacker,CyberBattleHubSpoke-thesis-v0,PPO,108054,36.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
55,attacker,CyberBattleHubSpoke-thesis-v0,PPO,110055,36.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
56,attacker,CyberBattleHubSpoke-thesis-v0,PPO,112056,177.075,2001,0,2001,0,-1,0,2,3.0750000000000033,15.0,,,,,,,,,
57,attacker,CyberBattleHubSpoke-thesis-v0,PPO,114057,36.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
58,attacker,CyberBattleHubSpoke-thesis-v0,PPO,116058,36.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
59,attacker,CyberBattleHubSpoke-thesis-v0,PPO,118059,36.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
60,attacker,CyberBattleHubSpoke-thesis-v0,PPO,120060,36.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
61,attacker,CyberBattleHubSpoke-thesis-v0,PPO,122061,162.51,2001,0,2001,0,-1,0,2,0.5100000000000003,30.0,,,,,,,,,
62,attacker,CyberBattleHubSpoke-thesis-v0,PPO,124062,36.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
63,attacker,CyberBattleHubSpoke-thesis-v0,PPO,126063,36.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
64,attacker,CyberBattleHubSpoke-thesis-v0,PPO,128064,36.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
65,attacker,CyberBattleHubSpoke-thesis-v0,PPO,130065,169.98,2001,0,2001,0,-1,0,2,1.9799999999999944,15.0,,,,,,,,,
66,attacker,CyberBattleHubSpoke-thesis-v0,PPO,132066,169.11,2001,0,2001,0,-1,0,2,1.11,15.0,,,,,,,,,
67,attacker,CyberBattleHubSpoke-thesis-v0,PPO,134067,176.805,2001,0,2001,0,-1,0,2,2.805000000000001,30.0,,,,,,,,,
68,attacker,CyberBattleHubSpoke-thesis-v0,PPO,136068,177.0,2001,0,2001,0,-1,0,2,3.0000000000000027,15.0,,,,,,,,,
69,attacker,CyberBattleHubSpoke-thesis-v0,PPO,138069,36.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
70,attacker,CyberBattleHubSpoke-thesis-v0,PPO,140070,162.825,2001,0,2001,0,-1,0,2,0.8250000000000006,15.0,,,,,,,,,
71,attacker,CyberBattleHubSpoke-thesis-v0,PPO,142071,78.225,2001,0,2001,0,-1,0,2,0.2250000000000001,15.0,,,,,,,,,
72,attacker,CyberBattleHubSpoke-thesis-v0,PPO,144072,36.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
73,attacker,CyberBattleHubSpoke-thesis-v0,PPO,146073,175.05,2001,0,2001,0,-1,0,2,1.0500000000000005,30.0,,,,,,,,,
74,attacker,CyberBattleHubSpoke-thesis-v0,PPO,148074,74.525,2001,0,2001,0,-1,0,2,0.5250000000000004,15.0,,,,,,,,,
75,attacker,CyberBattleHubSpoke-thesis-v0,PPO,150075,78.285,2001,0,2001,0,-1,0,2,0.28500000000000014,15.0,,,,,,,,,
76,attacker,CyberBattleHubSpoke-thesis-v0,PPO,152076,36.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
77,attacker,CyberBattleHubSpoke-thesis-v0,PPO,154077,36.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
78,attacker,CyberBattleHubSpoke-thesis-v0,PPO,156078,168.435,2001,0,2001,0,-1,0,2,0.4350000000000003,15.0,,,,,,,,,
79,attacker,CyberBattleHubSpoke-thesis-v0,PPO,158079,169.26,2001,0,2001,0,-1,0,2,1.2599999999999991,15.0,,,,,,,,,
80,attacker,CyberBattleHubSpoke-thesis-v0,PPO,160080,36.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
81,attacker,CyberBattleHubSpoke-thesis-v0,PPO,162081,79.245,2001,0,2001,0,-1,0,2,1.2449999999999992,15.0,,,,,,,,,
82,attacker,CyberBattleHubSpoke-thesis-v0,PPO,164082,36.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
83,attacker,CyberBattleHubSpoke-thesis-v0,PPO,166083,36.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
84,attacker,CyberBattleHubSpoke-thesis-v0,PPO,168084,168.24,2001,0,2001,0,-1,0,2,0.2400000000000001,15.0,,,,,,,,,
85,attacker,CyberBattleHubSpoke-thesis-v0,PPO,170085,176.31,2001,0,2001,0,-1,0,2,2.309999999999997,15.0,,,,,,,,,
86,attacker,CyberBattleHubSpoke-thesis-v0,PPO,172086,36.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
87,attacker,CyberBattleHubSpoke-thesis-v0,PPO,174087,162.57,2001,0,2001,0,-1,0,2,0.5700000000000004,15.0,,,,,,,,,
88,attacker,CyberBattleHubSpoke-thesis-v0,PPO,176088,36.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
89,attacker,CyberBattleHubSpoke-thesis-v0,PPO,178089,36.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
90,attacker,CyberBattleHubSpoke-thesis-v0,PPO,180090,36.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
91,attacker,CyberBattleHubSpoke-thesis-v0,PPO,180224,30.0,134,,,,,,,,,,,,,,,,,
1,defender,CyberBattleHubSpoke-thesis-v0,PPO,2001,-1236.0,2001,,,,,,,,,0,120,427,141,120,0,1313,0,0
2,defender,CyberBattleHubSpoke-thesis-v0,PPO,4002,-986.0,2001,,,,,,,,,0,130,394,120,95,0,1357,0,0
3,defender,CyberBattleHubSpoke-thesis-v0,PPO,6003,-1054.9,2001,,,,,,,,,1,154,410,106,88,0,1330,1,0
4,defender,CyberBattleHubSpoke-thesis-v0,PPO,8004,-776.0,2001,,,,,,,,,0,133,447,94,74,0,1327,0,0
5,defender,CyberBattleHubSpoke-thesis-v0,PPO,10005,-696.0,2001,,,,,,,,,0,136,450,82,66,0,1333,0,0
6,defender,CyberBattleHubSpoke-thesis-v0,PPO,12006,-716.0,2001,,,,,,,,,0,146,409,88,68,0,1358,0,0
7,defender,CyberBattleHubSpoke-thesis-v0,PPO,14007,-654.84,2001,,,,,,,,,2,130,461,73,52,0,1335,2,0
8,defender,CyberBattleHubSpoke-thesis-v0,PPO,16008,-604.81,2001,,,,,,,,,1,164,458,55,43,0,1323,1,0
9,defender,CyberBattleHubSpoke-thesis-v0,PPO,18009,-636.0,2001,,,,,,,,,0,139,489,67,60,0,1306,0,0
10,defender,CyberBattleHubSpoke-thesis-v0,PPO,20010,-396.0,2001,,,,,,,,,0,118,443,46,36,0,1394,0,0
11,defender,CyberBattleHubSpoke-thesis-v0,PPO,22011,-339.47,2001,,,,,,,,,2,133,496,34,27,0,1336,2,0
12,defender,CyberBattleHubSpoke-thesis-v0,PPO,24012,-403.26,2001,,,,,,,,,1,156,487,32,24,0,1325,1,0
13,defender,CyberBattleHubSpoke-thesis-v0,PPO,26013,-492.525,2001,,,,,,,,,1,152,533,38,33,0,1277,1,0
14,defender,CyberBattleHubSpoke-thesis-v0,PPO,28014,-262.75,2001,,,,,,,,,1,150,551,14,10,0,1285,1,0
15,defender,CyberBattleHubSpoke-thesis-v0,PPO,30015,-146.0,2001,,,,,,,,,0,163,514,13,11,0,1311,0,0
16,defender,CyberBattleHubSpoke-thesis-v0,PPO,32016,-333.08,2001,,,,,,,,,1,146,557,22,17,0,1275,1,0
17,defender,CyberBattleHubSpoke-thesis-v0,PPO,34017,-176.0,2001,,,,,,,,,0,147,520,18,14,0,1316,0,0
18,defender,CyberBattleHubSpoke-thesis-v0,PPO,36018,-280.385,2001,,,,,,,,,1,123,566,12,12,0,1299,1,0
19,defender,CyberBattleHubSpoke-thesis-v0,PPO,38019,-116.0,2001,,,,,,,,,0,134,541,12,8,0,1314,0,0
20,defender,CyberBattleHubSpoke-thesis-v0,PPO,40020,-156.0,2001,,,,,,,,,0,117,512,14,12,0,1358,0,0
21,defender,CyberBattleHubSpoke-thesis-v0,PPO,42021,-228.78,2001,,,,,,,,,1,114,458,18,15,0,1410,1,0
22,defender,CyberBattleHubSpoke-thesis-v0,PPO,44022,-225.155,2001,,,,,,,,,2,133,475,7,5,0,1384,2,0
23,defender,CyberBattleHubSpoke-thesis-v0,PPO,46023,-135.08,2001,,,,,,,,,2,126,572,6,6,0,1295,2,0
24,defender,CyberBattleHubSpoke-thesis-v0,PPO,48024,-106.0,2001,,,,,,,,,0,127,608,8,7,0,1258,0,0
25,defender,CyberBattleHubSpoke-thesis-v0,PPO,50025,-158.255,2001,,,,,,,,,1,132,604,9,8,0,1255,1,0
26,defender,CyberBattleHubSpoke-thesis-v0,PPO,52026,-206.315,2001,,,,,,,,,1,149,669,6,5,0,1176,1,0
27,defender,CyberBattleHubSpoke-thesis-v0,PPO,54027,-108.285,2001,,,,,,,,,1,141,615,3,3,0,1241,1,0
28,defender,CyberBattleHubSpoke-thesis-v0,PPO,56028,-36.0,2001,,,,,,,,,0,132,606,1,0,0,1262,0,0
29,defender,CyberBattleHubSpoke-thesis-v0,PPO,58029,-46.0,2001,,,,,,,,,0,129,611,2,1,0,1259,0,0
30,defender,CyberBattleHubSpoke-thesis-v0,PPO,60030,-118.135,2001,,,,,,,,,1,100,583,7,4,0,1310,1,0
31,defender,CyberBattleHubSpoke-thesis-v0,PPO,62031,-66.0,2001,,,,,,,,,0,140,547,3,3,0,1311,0,0
32,defender,CyberBattleHubSpoke-thesis-v0,PPO,64032,-86.0,2001,,,,,,,,,0,111,567,7,5,0,1316,0,0
33,defender,CyberBattleHubSpoke-thesis-v0,PPO,66033,-236.185,2001,,,,,,,,,2,108,630,5,5,0,1256,2,0
34,defender,CyberBattleHubSpoke-thesis-v0,PPO,68034,-214.405,2001,,,,,,,,,1,122,546,8,4,0,1324,1,0
35,defender,CyberBattleHubSpoke-thesis-v0,PPO,70035,-86.0,2001,,,,,,,,,0,140,541,7,5,0,1313,0,0
36,defender,CyberBattleHubSpoke-thesis-v0,PPO,72036,-76.0,2001,,,,,,,,,0,140,465,8,4,0,1388,0,0
37,defender,CyberBattleHubSpoke-thesis-v0,PPO,74037,-86.0,2001,,,,,,,,,0,148,573,8,5,0,1272,0,0
38,defender,CyberBattleHubSpoke-thesis-v0,PPO,76038,-66.0,2001,,,,,,,,,0,140,504,8,3,0,1349,0,0
39,defender,CyberBattleHubSpoke-thesis-v0,PPO,78039,-213.62,2001,,,,,,,,,2,129,506,7,5,0,1357,2,0
40,defender,CyberBattleHubSpoke-thesis-v0,PPO,80040,-116.0,2001,,,,,,,,,0,141,521,10,8,0,1329,0,0
41,defender,CyberBattleHubSpoke-thesis-v0,PPO,82041,-96.0,2001,,,,,,,,,0,173,589,9,6,0,1230,0,0
42,defender,CyberBattleHubSpoke-thesis-v0,PPO,84042,-198.3,2001,,,,,,,,,1,144,551,4,3,0,1301,1,0
43,defender,CyberBattleHubSpoke-thesis-v0,PPO,86043,-66.0,2001,,,,,,,,,0,149,503,4,3,0,1345,0,0
44,defender,CyberBattleHubSpoke-thesis-v0,PPO,88044,-254.84,2001,,,,,,,,,1,143,556,8,8,0,1293,1,0
45,defender,CyberBattleHubSpoke-thesis-v0,PPO,90045,-36.0,2001,,,,,,,,,0,128,599,0,0,0,1274,0,0
46,defender,CyberBattleHubSpoke-thesis-v0,PPO,92046,-66.0,2001,,,,,,,,,0,121,493,3,3,0,1384,0,0
47,defender,CyberBattleHubSpoke-thesis-v0,PPO,94047,-56.0,2001,,,,,,,,,0,130,585,2,2,0,1284,0,0
48,defender,CyberBattleHubSpoke-thesis-v0,PPO,96048,-86.0,2001,,,,,,,,,0,128,479,6,5,0,1388,0,0
49,defender,CyberBattleHubSpoke-thesis-v0,PPO,98049,-46.0,2001,,,,,,,,,0,124,488,1,1,0,1388,0,0
50,defender,CyberBattleHubSpoke-thesis-v0,PPO,100050,-212.525,2001,,,,,,,,,1,130,623,7,5,0,1240,1,0
51,defender,CyberBattleHubSpoke-thesis-v0,PPO,102051,-66.0,2001,,,,,,,,,0,138,580,3,3,0,1280,0,0
52,defender,CyberBattleHubSpoke-thesis-v0,PPO,104052,-174.375,2001,,,,,,,,,1,113,493,1,0,0,1393,1,0
53,defender,CyberBattleHubSpoke-thesis-v0,PPO,106053,-264.6,2001,,,,,,,,,1,125,468,10,9,0,1397,1,0
54,defender,CyberBattleHubSpoke-thesis-v0,PPO,108054,-36.0,2001,,,,,,,,,0,116,549,1,0,0,1335,0,0
55,defender,CyberBattleHubSpoke-thesis-v0,PPO,110055,-116.0,2001,,,,,,,,,0,116,517,10,8,0,1358,0,0
56,defender,CyberBattleHubSpoke-thesis-v0,PPO,112056,-177.075,2001,,,,,,,,,1,126,474,0,0,0,1400,1,0
57,defender,CyberBattleHubSpoke-thesis-v0,PPO,114057,-46.0,2001,,,,,,,,,0,131,653,2,1,0,1215,0,0
58,defender,CyberBattleHubSpoke-thesis-v0,PPO,116058,-56.0,2001,,,,,,,,,0,137,585,3,2,0,1276,0,0
59,defender,CyberBattleHubSpoke-thesis-v0,PPO,118059,-76.0,2001,,,,,,,,,0,158,531,6,4,0,1306,0,0
60,defender,CyberBattleHubSpoke-thesis-v0,PPO,120060,-56.0,2001,,,,,,,,,0,162,599,2,2,0,1238,0,0
61,defender,CyberBattleHubSpoke-thesis-v0,PPO,122061,-162.51,2001,,,,,,,,,2,136,546,0,0,0,1317,2,0
62,defender,CyberBattleHubSpoke-thesis-v0,PPO,124062,-36.0,2001,,,,,,,,,0,160,583,0,0,0,1258,0,0
63,defender,CyberBattleHubSpoke-thesis-v0,PPO,126063,-66.0,2001,,,,,,,,,0,127,560,3,3,0,1311,0,0
64,defender,CyberBattleHubSpoke-thesis-v0,PPO,128064,-36.0,2001,,,,,,,,,0,148,496,0,0,0,1357,0,0
65,defender,CyberBattleHubSpoke-thesis-v0,PPO,130065,-169.98,2001,,,,,,,,,1,149,494,1,0,0,1356,1,0
66,defender,CyberBattleHubSpoke-thesis-v0,PPO,132066,-189.11,2001,,,,,,,,,1,134,556,2,2,0,1308,1,0
67,defender,CyberBattleHubSpoke-thesis-v0,PPO,134067,-186.805,2001,,,,,,,,,2,126,502,1,1,0,1370,2,0
68,defender,CyberBattleHubSpoke-thesis-v0,PPO,136068,-197.0,2001,,,,,,,,,1,115,428,5,2,0,1452,1,0
69,defender,CyberBattleHubSpoke-thesis-v0,PPO,138069,-46.0,2001,,,,,,,,,0,138,471,1,1,0,1391,0,0
70,defender,CyberBattleHubSpoke-thesis-v0,PPO,140070,-162.825,2001,,,,,,,,,1,130,489,0,0,0,1381,1,0
71,defender,CyberBattleHubSpoke-thesis-v0,PPO,142071,-98.225,2001,,,,,,,,,1,127,393,2,2,0,1478,1,0
72,defender,CyberBattleHubSpoke-thesis-v0,PPO,144072,-36.0,2001,,,,,,,,,0,109,562,0,0,0,1330,0,0
73,defender,CyberBattleHubSpoke-thesis-v0,PPO,146073,-175.05,2001,,,,,,,,,2,163,524,2,0,0,1310,2,0
74,defender,CyberBattleHubSpoke-thesis-v0,PPO,148074,-104.525,2001,,,,,,,,,1,135,485,4,3,0,1376,1,0
75,defender,CyberBattleHubSpoke-thesis-v0,PPO,150075,-78.285,2001,,,,,,,,,1,130,534,0,0,0,1336,1,0
76,defender,CyberBattleHubSpoke-thesis-v0,PPO,152076,-46.0,2001,,,,,,,,,0,137,592,1,1,0,1271,0,0
