episode,agent,env_id,algorithm,timestep,episode_reward,episode_length,atk_invalid,atk_valid,atk_cj_reached,atk_cj_step,atk_won,atk_max_owned,atk_hold_reward,atk_eviction,def_reimage,def_block,def_allow,def_stop_svc,def_stop_svc_clean,def_start_svc,def_invalid,def_recovered,def_sla_break_steps
1,attacker,CyberBattleHubSpoke-thesis-v0,PPO,2001,128.79,2001,0,2001,0,-1,0,3,2.789999999999996,45.0,,,,,,,,,
2,attacker,CyberBattleHubSpoke-thesis-v0,PPO,4002,138.355,2001,0,2001,0,-1,0,3,2.3549999999999973,45.0,,,,,,,,,
3,attacker,CyberBattleHubSpoke-thesis-v0,PPO,6003,129.945,2001,0,2001,0,-1,0,3,3.944999999999992,90.0,,,,,,,,,
4,attacker,CyberBattleHubSpoke-thesis-v0,PPO,8004,130.24,2001,0,2001,0,-1,0,3,0.24000000000000005,45.0,,,,,,,,,
5,attacker,CyberBattleHubSpoke-thesis-v0,PPO,10005,118.745,2001,0,2001,0,-1,0,3,2.7450000000000037,60.0,,,,,,,,,
6,attacker,CyberBattleHubSpoke-thesis-v0,PPO,12006,126.93,2001,0,2001,0,-1,0,3,0.9300000000000003,60.0,,,,,,,,,
7,attacker,CyberBattleHubSpoke-thesis-v0,PPO,14007,131.335,2001,0,2001,0,-1,0,3,1.3350000000000009,45.0,,,,,,,,,
8,attacker,CyberBattleHubSpoke-thesis-v0,PPO,16008,131.04,2001,0,2001,0,-1,0,3,5.039999999999989,45.0,,,,,,,,,
9,attacker,CyberBattleHubSpoke-thesis-v0,PPO,18009,126.615,2001,0,2001,0,-1,0,3,0.615,45.0,,,,,,,,,
10,attacker,CyberBattleHubSpoke-thesis-v0,PPO,20010,128.88,2001,0,2001,0,-1,0,3,2.880000000000006,45.0,,,,,,,,,
11,attacker,CyberBattleHubSpoke-thesis-v0,PPO,22011,119.75,2001,0,2001,0,-1,0,3,3.7499999999999933,90.0,,,,,,,,,
12,attacker,CyberBattleHubSpoke-thesis-v0,PPO,24012,136.96,2001,0,2001,0,-1,0,3,0.9600000000000003,45.0,,,,,,,,,
13,attacker,CyberBattleHubSpoke-thesis-v0,PPO,26013,128.325,2001,0,2001,0,-1,0,3,2.3249999999999993,90.0,,,,,,,,,
14,attacker,CyberBattleHubSpoke-thesis-v0,PPO,28014,151.24,2001,0,2001,0,-1,0,3,3.240000000000008,105.0,,,,,,,,,
15,attacker,CyberBattleHubSpoke-thesis-v0,PPO,30015,137.305,2001,0,2001,0,-1,0,3,1.3050000000000002,60.0,,,,,,,,,
16,attacker,CyberBattleHubSpoke-thesis-v0,PPO,32016,36.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
17,attacker,CyberBattleHubSpoke-thesis-v0,PPO,34017,114.005,2001,0,2001,0,-1,0,3,4.004999999999988,45.0,,,,,,,,,
18,attacker,CyberBattleHubSpoke-thesis-v0,PPO,36018,115.045,2001,0,2001,0,-1,0,3,3.0450000000000017,55.0,,,,,,,,,
19,attacker,CyberBattleHubSpoke-thesis-v0,PPO,38019,125.81,2001,0,2001,0,-1,0,3,3.8100000000000005,75.0,,,,,,,,,
20,attacker,CyberBattleHubSpoke-thesis-v0,PPO,40020,134.61,2001,0,2001,0,-1,0,3,2.6100000000000034,45.0,,,,,,,,,
21,attacker,CyberBattleHubSpoke-thesis-v0,PPO,42021,130.89,2001,0,2001,0,-1,0,3,4.88999999999999,105.0,,,,,,,,,
22,attacker,CyberBattleHubSpoke-thesis-v0,PPO,44022,127.755,2001,0,2001,0,-1,0,3,1.755000000000001,45.0,,,,,,,,,
23,attacker,CyberBattleHubSpoke-thesis-v0,PPO,46023,117.14,2001,0,2001,0,-1,0,3,1.1399999999999995,45.0,,,,,,,,,
24,attacker,CyberBattleHubSpoke-thesis-v0,PPO,48024,162.705,2001,0,2001,1,4,0,4,10.705000000000025,250.0,,,,,,,,,
25,attacker,CyberBattleHubSpoke-thesis-v0,PPO,50025,74.06,2001,0,2001,0,-1,0,2,0.06,15.0,,,,,,,,,
26,attacker,CyberBattleHubSpoke-thesis-v0,PPO,52026,149.075,2001,0,2001,0,-1,0,3,3.0749999999999926,45.0,,,,,,,,,
27,attacker,CyberBattleHubSpoke-thesis-v0,PPO,54027,116.825,2001,0,2001,0,-1,0,3,0.8250000000000002,45.0,,,,,,,,,
28,attacker,CyberBattleHubSpoke-thesis-v0,PPO,56028,128.58,2001,0,2001,0,-1,0,3,2.58,60.0,,,,,,,,,
29,attacker,CyberBattleHubSpoke-thesis-v0,PPO,58029,120.75,2001,0,2001,0,-1,0,3,0.7500000000000001,45.0,,,,,,,,,
30,attacker,CyberBattleHubSpoke-thesis-v0,PPO,60030,122.535,2001,0,2001,0,-1,0,3,2.5350000000000006,45.0,,,,,,,,,
31,attacker,CyberBattleHubSpoke-thesis-v0,PPO,62031,129.135,2001,0,2001,0,-1,0,3,3.134999999999993,45.0,,,,,,,,,
32,attacker,CyberBattleHubSpoke-thesis-v0,PPO,64032,128.925,2001,0,2001,0,-1,0,3,2.925000000000004,45.0,,,,,,,,,
33,attacker,CyberBattleHubSpoke-thesis-v0,PPO,66033,123.695,2001,0,2001,0,-1,0,3,1.694999999999998,90.0,,,,,,,,,
34,attacker,CyberBattleHubSpoke-thesis-v0,PPO,68034,124.43,2001,0,2001,0,-1,0,3,2.429999999999996,90.0,,,,,,,,,
35,attacker,CyberBattleHubSpoke-thesis-v0,PPO,70035,127.575,2001,0,2001,0,-1,0,3,1.5749999999999966,45.0,,,,,,,,,
36,attacker,CyberBattleHubSpoke-thesis-v0,PPO,72036,135.135,2001,0,2001,0,-1,0,3,3.1350000000000002,90.0,,,,,,,,,
37,attacker,CyberBattleHubSpoke-thesis-v0,PPO,74037,115.045,2001,0,2001,0,-1,0,3,9.045000000000002,45.0,,,,,,,,,
38,attacker,CyberBattleHubSpoke-thesis-v0,PPO,76038,101.515,2001,0,2001,0,-1,0,3,1.5150000000000008,45.0,,,,,,,,,
39,attacker,CyberBattleHubSpoke-thesis-v0,PPO,78039,129.945,2001,0,2001,0,-1,0,3,3.945000000000015,75.0,,,,,,,,,
40,attacker,CyberBattleHubSpoke-thesis-v0,PPO,80040,102.88,2001,0,2001,0,-1,0,3,2.8800000000000034,45.0,,,,,,,,,
41,attacker,CyberBattleHubSpoke-thesis-v0,PPO,82041,144.7,2001,0,2001,0,-1,0,3,2.7,75.0,,,,,,,,,
42,attacker,CyberBattleHubSpoke-thesis-v0,PPO,84042,116.435,2001,0,2001,0,-1,0,3,0.4350000000000001,45.0,,,,,,,,,
43,attacker,CyberBattleHubSpoke-thesis-v0,PPO,86043,196.35,2001,0,2001,1,24,0,3,10.350000000000067,130.0,,,,,,,,,
44,attacker,CyberBattleHubSpoke-thesis-v0,PPO,88044,120.04,2001,0,2001,0,-1,0,3,2.040000000000001,75.0,,,,,,,,,
45,attacker,CyberBattleHubSpoke-thesis-v0,PPO,90045,110.735,2001,0,2001,0,-1,0,3,0.7350000000000001,45.0,,,,,,,,,
46,attacker,CyberBattleHubSpoke-thesis-v0,PPO,92046,122.49,2001,0,2001,0,-1,0,3,2.49,75.0,,,,,,,,,
