episode,agent,env_id,algorithm,timestep,episode_reward,episode_length,atk_invalid,atk_valid,atk_cj_reached,atk_cj_step,atk_won,atk_max_owned,atk_hold_reward,atk_eviction,def_reimage,def_block,def_allow,def_stop_svc,def_stop_svc_clean,def_start_svc,def_invalid,def_recovered,def_sla_break_steps
1,attacker,CyberBattleHubSpoke-thesis-v0,PPO,2001,321.2,2001,0,2001,1,7,0,9,93.20000000000161,2335.0,,,,,,,,,
2,attacker,CyberBattleHubSpoke-thesis-v0,PPO,2186,5370.34,185,0,185,1,5,1,10,22.339999999999993,295.0,,,,,,,,,
3,attacker,CyberBattleHubSpoke-thesis-v0,PPO,4187,134.865,2001,0,2001,1,5,0,9,8.865000000000004,280.0,,,,,,,,,
4,attacker,CyberBattleHubSpoke-thesis-v0,PPO,6188,247.42,2001,0,2001,1,7,0,7,69.42000000000037,1575.0,,,,,,,,,
5,attacker,CyberBattleHubSpoke-thesis-v0,PPO,8189,209.645,2001,0,2001,1,6,0,3,31.644999999999918,1250.0,,,,,,,,,
6,attacker,CyberBattleHubSpoke-thesis-v0,PPO,10190,182.475,2001,0,2001,1,5,0,8,24.474999999999977,810.0,,,,,,,,,
7,attacker,CyberBattleHubSpoke-thesis-v0,PPO,12191,180.715,2001,0,2001,1,22,0,8,18.715000000000014,570.0,,,,,,,,,
8,attacker,CyberBattleHubSpoke-thesis-v0,PPO,14192,148.425,2001,0,2001,1,5,0,8,4.424999999999993,335.0,,,,,,,,,
9,attacker,CyberBattleHubSpoke-thesis-v0,PPO,16193,370.675,2001,0,2001,1,6,0,9,69.6749999999996,2725.0,,,,,,,,,
10,attacker,CyberBattleHubSpoke-thesis-v0,PPO,18194,267.59,2001,0,2001,1,7,0,8,81.59000000000037,1975.0,,,,,,,,,
11,attacker,CyberBattleHubSpoke-thesis-v0,PPO,20195,191.285,2001,0,2001,1,6,0,7,23.285000000000093,770.0,,,,,,,,,
12,attacker,CyberBattleHubSpoke-thesis-v0,PPO,22196,188.49,2001,0,2001,1,12,0,8,26.48999999999993,535.0,,,,,,,,,
13,attacker,CyberBattleHubSpoke-thesis-v0,PPO,22276,5341.255,80,0,80,1,6,1,10,8.254999999999999,210.0,,,,,,,,,
14,attacker,CyberBattleHubSpoke-thesis-v0,PPO,24277,227.935,2001,0,2001,1,8,0,8,41.93499999999988,2265.0,,,,,,,,,
15,attacker,CyberBattleHubSpoke-thesis-v0,PPO,26278,207.735,2001,0,2001,1,5,0,7,23.73500000000022,440.0,,,,,,,,,
16,attacker,CyberBattleHubSpoke-thesis-v0,PPO,28279,244.265,2001,0,2001,1,9,0,9,64.26500000000034,2240.0,,,,,,,,,
17,attacker,CyberBattleHubSpoke-thesis-v0,PPO,30280,231.225,2001,0,2001,1,6,0,6,47.22500000000038,1325.0,,,,,,,,,
18,attacker,CyberBattleHubSpoke-thesis-v0,PPO,32281,166.21,2001,0,2001,1,5,0,9,22.210000000000054,910.0,,,,,,,,,
19,attacker,CyberBattleHubSpoke-thesis-v0,PPO,34282,213.145,2001,0,2001,1,6,0,8,39.14499999999994,1460.0,,,,,,,,,
20,attacker,CyberBattleHubSpoke-thesis-v0,PPO,34298,5328.74,16,0,16,1,6,1,10,1.7400000000000002,0.0,,,,,,,,,
21,attacker,CyberBattleHubSpoke-thesis-v0,PPO,36299,204.535,2001,0,2001,1,5,0,6,30.535000000000245,1490.0,,,,,,,,,
22,attacker,CyberBattleHubSpoke-thesis-v0,PPO,38300,192.525,2001,0,2001,1,5,0,9,24.525000000000208,940.0,,,,,,,,,
23,attacker,CyberBattleHubSpoke-thesis-v0,PPO,40301,151.14,2001,0,2001,1,5,0,3,3.139999999999994,160.0,,,,,,,,,
24,attacker,CyberBattleHubSpoke-thesis-v0,PPO,42302,145.04,2001,0,2001,0,-1,0,4,7.039999999999971,260.0,,,,,,,,,
25,attacker,CyberBattleHubSpoke-thesis-v0,PPO,44303,291.85,2001,0,2001,1,6,0,8,79.8499999999998,2260.0,,,,,,,,,
26,attacker,CyberBattleHubSpoke-thesis-v0,PPO,44325,5318.68,22,0,22,1,8,1,10,2.6800000000000006,0.0,,,,,,,,,
27,attacker,CyberBattleHubSpoke-thesis-v0,PPO,46326,187.495,2001,0,2001,1,44,0,8,15.494999999999997,950.0,,,,,,,,,
28,attacker,CyberBattleHubSpoke-thesis-v0,PPO,48327,175.79,2001,0,2001,1,10,0,9,19.79000000000002,750.0,,,,,,,,,
29,attacker,CyberBattleHubSpoke-thesis-v0,PPO,50328,216.665,2001,0,2001,1,10,0,9,38.66499999999983,1515.0,,,,,,,,,
30,attacker,CyberBattleHubSpoke-thesis-v0,PPO,52329,215.485,2001,0,2001,1,6,0,6,29.484999999999996,1140.0,,,,,,,,,
31,attacker,CyberBattleHubSpoke-thesis-v0,PPO,54330,212.48,2001,0,2001,1,7,0,7,34.48000000000007,1130.0,,,,,,,,,
32,attacker,CyberBattleHubSpoke-thesis-v0,PPO,56331,177.725,2001,0,2001,1,17,0,8,23.725000000000104,1315.0,,,,,,,,,
33,attacker,CyberBattleHubSpoke-thesis-v0,PPO,58332,159.535,2001,0,2001,1,8,0,8,7.534999999999979,200.0,,,,,,,,,
34,attacker,CyberBattleHubSpoke-thesis-v0,PPO,60333,235.265,2001,0,2001,1,38,0,7,43.26500000000019,1925.0,,,,,,,,,
35,attacker,CyberBattleHubSpoke-thesis-v0,PPO,62334,140.725,2001,0,2001,1,5,0,4,2.7249999999999948,145.0,,,,,,,,,
36,attacker,CyberBattleHubSpoke-thesis-v0,PPO,64335,287.485,2001,0,2001,1,6,0,7,91.48499999999994,3505.0,,,,,,,,,
37,attacker,CyberBattleHubSpoke-thesis-v0,PPO,66336,191.77,2001,0,2001,1,11,0,3,25.770000000000046,1365.0,,,,,,,,,
38,attacker,CyberBattleHubSpoke-thesis-v0,PPO,68337,196.905,2001,0,2001,1,183,0,7,12.904999999999944,690.0,,,,,,,,,
39,attacker,CyberBattleHubSpoke-thesis-v0,PPO,70338,130.25,2001,0,2001,1,5,0,6,4.249999999999985,165.0,,,,,,,,,
40,attacker,CyberBattleHubSpoke-thesis-v0,PPO,72339,291.245,2001,0,2001,1,6,0,6,79.24500000000002,3345.0,,,,,,,,,
41,attacker,CyberBattleHubSpoke-thesis-v0,PPO,74340,169.145,2001,0,2001,1,6,0,6,9.144999999999957,505.0,,,,,,,,,
42,attacker,CyberBattleHubSpoke-thesis-v0,PPO,76341,220.09,2001,0,2001,1,5,0,8,46.08999999999976,1690.0,,,,,,,,,
43,attacker,CyberBattleHubSpoke-thesis-v0,PPO,78342,164.015,2001,0,2001,1,12,0,8,14.014999999999944,720.0,,,,,,,,,
44,attacker,CyberBattleHubSpoke-thesis-v0,PPO,80343,244.245,2001,0,2001,1,5,0,9,48.24499999999995,1790.0,,,,,,,,,
45,attacker,CyberBattleHubSpoke-thesis-v0,PPO,82344,204.36,2001,0,2001,1,8,0,7,32.36000000000001,885.0,,,,,,,,,
