episode,agent,env_id,algorithm,timestep,episode_reward,episode_length,atk_invalid,atk_valid,atk_cj_reached,atk_cj_step,atk_won,atk_max_owned,atk_hold_reward,atk_eviction,def_reimage,def_block,def_allow,def_stop_svc,def_stop_svc_clean,def_start_svc,def_invalid,def_recovered,def_sla_break_steps
1,attacker,CyberBattleHubSpoke-thesis-v0,PPO,2001,37.185,2001,0,2001,0,-1,0,2,1.1849999999999996,15.0,,,,,,,,,
2,attacker,CyberBattleHubSpoke-thesis-v0,PPO,4002,42.84,2001,0,2001,1,68,0,3,0.8400000000000006,130.0,,,,,,,,,
3,attacker,CyberBattleHubSpoke-thesis-v0,PPO,6003,37.965,2001,0,2001,0,-1,0,2,1.9649999999999945,45.0,,,,,,,,,
4,attacker,CyberBattleHubSpoke-thesis-v0,PPO,8004,44.115,2001,0,2001,0,-1,0,2,2.1149999999999953,60.0,,,,,,,,,
5,attacker,CyberBattleHubSpoke-thesis-v0,PPO,10005,146.39,2001,0,2001,0,-1,0,3,6.38999999999996,120.0,,,,,,,,,
6,attacker,CyberBattleHubSpoke-thesis-v0,PPO,12006,36.165,2001,0,2001,0,-1,0,2,0.16500000000000004,15.0,,,,,,,,,
7,attacker,CyberBattleHubSpoke-thesis-v0,PPO,14007,197.235,2001,0,2001,1,963,0,3,22.235000000000344,685.0,,,,,,,,,
8,attacker,CyberBattleHubSpoke-thesis-v0,PPO,16008,47.415,2001,0,2001,0,-1,0,2,5.4149999999999805,150.0,,,,,,,,,
9,attacker,CyberBattleHubSpoke-thesis-v0,PPO,18009,37.26,2001,0,2001,0,-1,0,2,1.2599999999999991,30.0,,,,,,,,,
10,attacker,CyberBattleHubSpoke-thesis-v0,PPO,20010,128.985,2001,0,2001,0,-1,0,3,2.985000000000007,90.0,,,,,,,,,
11,attacker,CyberBattleHubSpoke-thesis-v0,PPO,22011,37.245,2001,0,2001,0,-1,0,2,1.2449999999999992,90.0,,,,,,,,,
12,attacker,CyberBattleHubSpoke-thesis-v0,PPO,24012,137.345,2001,0,2001,1,53,0,3,3.345000000000011,160.0,,,,,,,,,
13,attacker,CyberBattleHubSpoke-thesis-v0,PPO,26013,45.36,2001,0,2001,0,-1,0,2,3.3600000000000056,150.0,,,,,,,,,
14,attacker,CyberBattleHubSpoke-thesis-v0,PPO,28014,143.9,2001,0,2001,0,-1,0,3,11.900000000000098,340.0,,,,,,,,,
15,attacker,CyberBattleHubSpoke-thesis-v0,PPO,30015,37.65,2001,0,2001,0,-1,0,2,1.6499999999999966,90.0,,,,,,,,,
16,attacker,CyberBattleHubSpoke-thesis-v0,PPO,32016,45.105,2001,0,2001,0,-1,0,2,3.1050000000000035,135.0,,,,,,,,,
17,attacker,CyberBattleHubSpoke-thesis-v0,PPO,34017,45.525,2001,0,2001,0,-1,0,2,3.525000000000007,135.0,,,,,,,,,
18,attacker,CyberBattleHubSpoke-thesis-v0,PPO,36018,109.875,2001,0,2001,0,-1,0,2,1.8749999999999951,45.0,,,,,,,,,
19,attacker,CyberBattleHubSpoke-thesis-v0,PPO,38019,129.765,2001,0,2001,0,-1,0,3,3.7650000000000015,90.0,,,,,,,,,
20,attacker,CyberBattleHubSpoke-thesis-v0,PPO,40020,113.815,2001,0,2001,1,133,0,3,3.8150000000000004,160.0,,,,,,,,,
21,attacker,CyberBattleHubSpoke-thesis-v0,PPO,42021,116.2,2001,0,2001,0,-1,0,3,4.200000000000007,165.0,,,,,,,,,
22,attacker,CyberBattleHubSpoke-thesis-v0,PPO,44022,177.41,2001,0,2001,1,1395,0,3,23.41000000000016,655.0,,,,,,,,,
23,attacker,CyberBattleHubSpoke-thesis-v0,PPO,46023,134.46,2001,0,2001,0,-1,0,3,2.4599999999999977,60.0,,,,,,,,,
24,attacker,CyberBattleHubSpoke-thesis-v0,PPO,48024,55.075,2001,0,2001,0,-1,0,2,3.0750000000000033,120.0,,,,,,,,,
25,attacker,CyberBattleHubSpoke-thesis-v0,PPO,50025,42.63,2001,0,2001,0,-1,0,2,0.6300000000000004,30.0,,,,,,,,,
26,attacker,CyberBattleHubSpoke-thesis-v0,PPO,52026,44.325,2001,0,2001,0,-1,0,2,2.324999999999997,75.0,,,,,,,,,
27,attacker,CyberBattleHubSpoke-thesis-v0,PPO,54027,140.955,2001,0,2001,0,-1,0,2,2.9550000000000023,165.0,,,,,,,,,
28,attacker,CyberBattleHubSpoke-thesis-v0,PPO,56028,111.0,2001,0,2001,0,-1,0,2,3.0000000000000027,195.0,,,,,,,,,
29,attacker,CyberBattleHubSpoke-thesis-v0,PPO,58029,37.26,2001,0,2001,0,-1,0,2,1.2599999999999991,60.0,,,,,,,,,
30,attacker,CyberBattleHubSpoke-thesis-v0,PPO,60030,135.36,2001,0,2001,0,-1,0,3,3.3600000000000096,75.0,,,,,,,,,
31,attacker,CyberBattleHubSpoke-thesis-v0,PPO,62031,36.81,2001,0,2001,0,-1,0,2,0.8100000000000006,15.0,,,,,,,,,
32,attacker,CyberBattleHubSpoke-thesis-v0,PPO,64032,158.76,2001,0,2001,0,-1,0,3,14.760000000000181,420.0,,,,,,,,,
33,attacker,CyberBattleHubSpoke-thesis-v0,PPO,66033,38.535,2001,0,2001,0,-1,0,2,2.534999999999999,90.0,,,,,,,,,
34,attacker,CyberBattleHubSpoke-thesis-v0,PPO,68034,36.39,2001,0,2001,0,-1,0,2,0.39000000000000024,15.0,,,,,,,,,
35,attacker,CyberBattleHubSpoke-thesis-v0,PPO,70035,37.605,2001,0,2001,0,-1,0,2,1.6049999999999969,15.0,,,,,,,,,
36,attacker,CyberBattleHubSpoke-thesis-v0,PPO,72036,125.885,2001,0,2001,0,-1,0,3,3.885,210.0,,,,,,,,,
