episode,agent,env_id,algorithm,timestep,episode_reward,episode_length,atk_invalid,atk_valid,atk_cj_reached,atk_cj_step,atk_won,atk_max_owned,atk_hold_reward,atk_eviction,def_reimage,def_block,def_allow,def_stop_svc,def_stop_svc_clean,def_start_svc,def_invalid,def_recovered,def_sla_break_steps
1,attacker,CyberBattleHubSpoke-thesis-v0,PPO,2001,185.435,2001,0,2001,0,-1,0,3,3.4350000000000036,75.0,,,,,,,,,
2,attacker,CyberBattleHubSpoke-thesis-v0,PPO,4002,171.56,2001,0,2001,0,-1,0,3,7.560000000000017,45.0,,,,,,,,,
3,attacker,CyberBattleHubSpoke-thesis-v0,PPO,6003,168.48,2001,0,2001,0,-1,0,3,0.48000000000000004,45.0,,,,,,,,,
4,attacker,CyberBattleHubSpoke-thesis-v0,PPO,8004,138.09,2001,0,2001,0,-1,0,2,0.09,15.0,,,,,,,,,
5,attacker,CyberBattleHubSpoke-thesis-v0,PPO,10005,188.125,2001,0,2001,0,-1,0,3,4.125000000000006,45.0,,,,,,,,,
6,attacker,CyberBattleHubSpoke-thesis-v0,PPO,12006,163.315,2001,0,2001,1,487,0,3,13.314999999999987,130.0,,,,,,,,,
7,attacker,CyberBattleHubSpoke-thesis-v0,PPO,14007,160.355,2001,0,2001,0,-1,0,3,2.354999999999999,60.0,,,,,,,,,
8,attacker,CyberBattleHubSpoke-thesis-v0,PPO,16008,158.9,2001,0,2001,0,-1,0,3,0.9000000000000006,45.0,,,,,,,,,
9,attacker,CyberBattleHubSpoke-thesis-v0,PPO,18009,144.885,2001,0,2001,0,-1,0,3,0.8850000000000006,60.0,,,,,,,,,
10,attacker,CyberBattleHubSpoke-thesis-v0,PPO,20010,156.04,2001,0,2001,0,-1,0,3,2.04,45.0,,,,,,,,,
11,attacker,CyberBattleHubSpoke-thesis-v0,PPO,22011,155.275,2001,0,2001,0,-1,0,3,1.2750000000000006,45.0,,,,,,,,,
12,attacker,CyberBattleHubSpoke-thesis-v0,PPO,24012,181.815,2001,0,2001,0,-1,0,3,1.815,60.0,,,,,,,,,
13,attacker,CyberBattleHubSpoke-thesis-v0,PPO,26013,170.07,2001,0,2001,0,-1,0,3,2.0699999999999963,45.0,,,,,,,,,
14,attacker,CyberBattleHubSpoke-thesis-v0,PPO,28014,183.44,2001,0,2001,0,-1,0,3,1.4399999999999975,45.0,,,,,,,,,
15,attacker,CyberBattleHubSpoke-thesis-v0,PPO,30015,152.435,2001,0,2001,0,-1,0,3,0.43500000000000016,60.0,,,,,,,,,
16,attacker,CyberBattleHubSpoke-thesis-v0,PPO,32016,162.29,2001,0,2001,0,-1,0,3,4.28999999999999,75.0,,,,,,,,,
17,attacker,CyberBattleHubSpoke-thesis-v0,PPO,34017,175.81,2001,0,2001,1,86,0,3,3.810000000000006,145.0,,,,,,,,,
18,attacker,CyberBattleHubSpoke-thesis-v0,PPO,36018,161.58,2001,0,2001,1,83,0,3,5.580000000000002,130.0,,,,,,,,,
19,attacker,CyberBattleHubSpoke-thesis-v0,PPO,38019,180.82,2001,0,2001,0,-1,0,3,2.8200000000000007,45.0,,,,,,,,,
20,attacker,CyberBattleHubSpoke-thesis-v0,PPO,40020,168.99,2001,0,2001,0,-1,0,3,0.9900000000000003,45.0,,,,,,,,,
21,attacker,CyberBattleHubSpoke-thesis-v0,PPO,42021,158.63,2001,0,2001,0,-1,0,3,0.63,45.0,,,,,,,,,
22,attacker,CyberBattleHubSpoke-thesis-v0,PPO,44022,162.795,2001,0,2001,0,-1,0,3,0.7950000000000002,60.0,,,,,,,,,
23,attacker,CyberBattleHubSpoke-thesis-v0,PPO,46023,175.985,2001,0,2001,1,10,0,4,1.984999999999999,145.0,,,,,,,,,
24,attacker,CyberBattleHubSpoke-thesis-v0,PPO,48024,182.56,2001,0,2001,1,46,0,4,4.56,145.0,,,,,,,,,
25,attacker,CyberBattleHubSpoke-thesis-v0,PPO,50025,167.195,2001,0,2001,1,47,0,3,3.1950000000000043,160.0,,,,,,,,,
26,attacker,CyberBattleHubSpoke-thesis-v0,PPO,52026,164.735,2001,0,2001,0,-1,0,3,0.7350000000000002,45.0,,,,,,,,,
27,attacker,CyberBattleHubSpoke-thesis-v0,PPO,54027,181.545,2001,0,2001,0,-1,0,3,1.5449999999999982,45.0,,,,,,,,,
28,attacker,CyberBattleHubSpoke-thesis-v0,PPO,56028,146.315,2001,0,2001,0,-1,0,3,0.315,45.0,,,,,,,,,
29,attacker,CyberBattleHubSpoke-thesis-v0,PPO,58029,62.045,2001,0,2001,0,-1,0,2,0.045,15.0,,,,,,,,,
30,attacker,CyberBattleHubSpoke-thesis-v0,PPO,60030,159.965,2001,0,2001,0,-1,0,3,1.9650000000000012,45.0,,,,,,,,,
31,attacker,CyberBattleHubSpoke-thesis-v0,PPO,62031,183.27,2001,0,2001,0,-1,0,3,3.2699999999999925,45.0,,,,,,,,,
32,attacker,CyberBattleHubSpoke-thesis-v0,PPO,64032,186.1,2001,0,2001,0,-1,0,3,2.099999999999999,45.0,,,,,,,,,
33,attacker,CyberBattleHubSpoke-thesis-v0,PPO,66033,136.735,2001,0,2001,0,-1,0,2,0.7350000000000005,15.0,,,,,,,,,
34,attacker,CyberBattleHubSpoke-thesis-v0,PPO,68034,63.725,2001,0,2001,0,-1,0,2,1.724999999999996,120.0,,,,,,,,,
35,attacker,CyberBattleHubSpoke-thesis-v0,PPO,70035,156.345,2001,0,2001,0,-1,0,3,0.345,45.0,,,,,,,,,
36,attacker,CyberBattleHubSpoke-thesis-v0,PPO,72036,180.78,2001,0,2001,0,-1,0,3,0.7800000000000002,45.0,,,,,,,,,
37,attacker,CyberBattleHubSpoke-thesis-v0,PPO,74037,162.315,2001,0,2001,1,5,0,3,6.314999999999998,115.0,,,,,,,,,
38,attacker,CyberBattleHubSpoke-thesis-v0,PPO,76038,196.19,2001,0,2001,0,-1,0,3,2.1899999999999986,45.0,,,,,,,,,
39,attacker,CyberBattleHubSpoke-thesis-v0,PPO,78039,154.3,2001,0,2001,0,-1,0,3,0.30000000000000004,45.0,,,,,,,,,
40,attacker,CyberBattleHubSpoke-thesis-v0,PPO,80040,152.78,2001,0,2001,0,-1,0,3,0.7800000000000002,45.0,,,,,,,,,
41,attacker,CyberBattleHubSpoke-thesis-v0,PPO,82041,165.65,2001,0,2001,0,-1,0,3,1.6500000000000008,45.0,,,,,,,,,
42,attacker,CyberBattleHubSpoke-thesis-v0,PPO,84042,187.705,2001,0,2001,0,-1,0,3,3.7049999999999894,45.0,,,,,,,,,
43,attacker,CyberBattleHubSpoke-thesis-v0,PPO,86043,62.105,2001,0,2001,0,-1,0,2,0.105,15.0,,,,,,,,,
44,attacker,CyberBattleHubSpoke-thesis-v0,PPO,88044,160.07,2001,0,2001,0,-1,0,3,2.0700000000000003,45.0,,,,,,,,,
45,attacker,CyberBattleHubSpoke-thesis-v0,PPO,90045,173.14,2001,0,2001,0,-1,0,3,1.1399999999999995,45.0,,,,,,,,,
46,attacker,CyberBattleHubSpoke-thesis-v0,PPO,92046,156.835,2001,0,2001,0,-1,0,3,2.834999999999996,45.0,,,,,,,,,
47,attacker,CyberBattleHubSpoke-thesis-v0,PPO,94047,173.575,2001,0,2001,0,-1,0,3,1.5749999999999997,75.0,,,,,,,,,
48,attacker,CyberBattleHubSpoke-thesis-v0,PPO,96048,174.465,2001,0,2001,0,-1,0,3,6.464999999999993,75.0,,,,,,,,,
49,attacker,CyberBattleHubSpoke-thesis-v0,PPO,98049,170.595,2001,0,2001,0,-1,0,3,2.594999999999996,45.0,,,,,,,,,
50,attacker,CyberBattleHubSpoke-thesis-v0,PPO,100050,156.435,2001,0,2001,0,-1,0,3,0.43500000000000016,45.0,,,,,,,,,
51,attacker,CyberBattleHubSpoke-thesis-v0,PPO,102051,63.23,2001,0,2001,0,-1,0,3,1.2299999999999993,90.0,,,,,,,,,
52,attacker,CyberBattleHubSpoke-thesis-v0,PPO,104052,149.83,2001,0,2001,0,-1,0,3,1.8300000000000012,45.0,,,,,,,,,
53,attacker,CyberBattleHubSpoke-thesis-v0,PPO,106053,154.825,2001,0,2001,0,-1,0,3,0.8250000000000004,45.0,,,,,,,,,
54,attacker,CyberBattleHubSpoke-thesis-v0,PPO,106496,165.38,443,,,,,,,,,,,,,,,,,
1,defender,CyberBattleHubSpoke-thesis-v0,PPO,2001,-1435.435,2001,,,,,,,,,3,115,410,143,125,0,1330,3,0
2,defender,CyberBattleHubSpoke-thesis-v0,PPO,4002,-1081.56,2001,,,,,,,,,2,135,446,113,91,0,1305,2,0
3,defender,CyberBattleHubSpoke-thesis-v0,PPO,6003,-1168.48,2001,,,,,,,,,2,127,395,122,100,0,1355,2,0
4,defender,CyberBattleHubSpoke-thesis-v0,PPO,8004,-878.09,2001,,,,,,,,,1,110,435,100,74,0,1355,1,0
5,defender,CyberBattleHubSpoke-thesis-v0,PPO,10005,-898.125,2001,,,,,,,,,2,138,427,85,71,0,1349,2,0
6,defender,CyberBattleHubSpoke-thesis-v0,PPO,12006,-843.315,2001,,,,,,,,,3,143,468,84,68,0,1303,3,0
7,defender,CyberBattleHubSpoke-thesis-v0,PPO,14007,-810.355,2001,,,,,,,,,3,142,458,77,65,0,1321,3,0
8,defender,CyberBattleHubSpoke-thesis-v0,PPO,16008,-588.9,2001,,,,,,,,,2,129,450,53,43,0,1367,2,0
9,defender,CyberBattleHubSpoke-thesis-v0,PPO,18009,-594.885,2001,,,,,,,,,3,125,442,51,45,0,1380,3,0
10,defender,CyberBattleHubSpoke-thesis-v0,PPO,20010,-586.04,2001,,,,,,,,,2,131,473,57,43,0,1338,2,0
11,defender,CyberBattleHubSpoke-thesis-v0,PPO,22011,-595.275,2001,,,,,,,,,2,133,485,61,44,0,1320,2,0
12,defender,CyberBattleHubSpoke-thesis-v0,PPO,24012,-511.815,2001,,,,,,,,,3,135,497,46,33,0,1320,3,0
