episode,agent,env_id,algorithm,timestep,episode_reward,episode_length,atk_invalid,atk_valid,atk_cj_reached,atk_cj_step,atk_won,atk_max_owned,atk_hold_reward,atk_eviction,def_reimage,def_block,def_allow,def_stop_svc,def_stop_svc_clean,def_start_svc,def_invalid,def_recovered,def_sla_break_steps
1,attacker,CyberBattleMicroSeg-thesis-v0,PPO,2001,24.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
2,attacker,CyberBattleMicroSeg-thesis-v0,PPO,4002,30.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
3,attacker,CyberBattleMicroSeg-thesis-v0,PPO,6003,44.825,2001,0,2001,0,-1,0,2,0.8250000000000006,15.0,,,,,,,,,
4,attacker,CyberBattleMicroSeg-thesis-v0,PPO,8004,30.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
5,attacker,CyberBattleMicroSeg-thesis-v0,PPO,10005,20.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
6,attacker,CyberBattleMicroSeg-thesis-v0,PPO,12006,14.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
7,attacker,CyberBattleMicroSeg-thesis-v0,PPO,14007,14.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
8,attacker,CyberBattleMicroSeg-thesis-v0,PPO,16008,14.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
9,attacker,CyberBattleMicroSeg-thesis-v0,PPO,18009,36.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
10,attacker,CyberBattleMicroSeg-thesis-v0,PPO,20010,24.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
11,attacker,CyberBattleMicroSeg-thesis-v0,PPO,22011,24.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
12,attacker,CyberBattleMicroSeg-thesis-v0,PPO,24012,14.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
13,attacker,CyberBattleMicroSeg-thesis-v0,PPO,26013,14.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
14,attacker,CyberBattleMicroSeg-thesis-v0,PPO,28014,24.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
15,attacker,CyberBattleMicroSeg-thesis-v0,PPO,30015,14.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
16,attacker,CyberBattleMicroSeg-thesis-v0,PPO,32016,30.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
17,attacker,CyberBattleMicroSeg-thesis-v0,PPO,34017,24.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
18,attacker,CyberBattleMicroSeg-thesis-v0,PPO,36018,48.225,2001,0,2001,0,-1,0,2,0.2250000000000001,15.0,,,,,,,,,
19,attacker,CyberBattleMicroSeg-thesis-v0,PPO,38019,24.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
20,attacker,CyberBattleMicroSeg-thesis-v0,PPO,40020,24.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
21,attacker,CyberBattleMicroSeg-thesis-v0,PPO,42021,44.81,2001,0,2001,0,-1,0,2,0.8100000000000006,15.0,,,,,,,,,
22,attacker,CyberBattleMicroSeg-thesis-v0,PPO,44022,49.395,2001,0,2001,0,-1,0,2,1.3949999999999982,30.0,,,,,,,,,
23,attacker,CyberBattleMicroSeg-thesis-v0,PPO,46023,14.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
24,attacker,CyberBattleMicroSeg-thesis-v0,PPO,48024,14.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
25,attacker,CyberBattleMicroSeg-thesis-v0,PPO,50025,24.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
26,attacker,CyberBattleMicroSeg-thesis-v0,PPO,52026,14.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
27,attacker,CyberBattleMicroSeg-thesis-v0,PPO,54027,38.06,2001,0,2001,0,-1,0,2,0.06,15.0,,,,,,,,,
28,attacker,CyberBattleMicroSeg-thesis-v0,PPO,56028,24.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
29,attacker,CyberBattleMicroSeg-thesis-v0,PPO,58029,20.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
30,attacker,CyberBattleMicroSeg-thesis-v0,PPO,60030,24.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
31,attacker,CyberBattleMicroSeg-thesis-v0,PPO,62031,24.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
32,attacker,CyberBattleMicroSeg-thesis-v0,PPO,64032,24.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
33,attacker,CyberBattleMicroSeg-thesis-v0,PPO,66033,24.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
34,attacker,CyberBattleMicroSeg-thesis-v0,PPO,68034,54.3,2001,0,2001,0,-1,0,2,0.30000000000000016,15.0,,,,,,,,,
35,attacker,CyberBattleMicroSeg-thesis-v0,PPO,70035,24.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
36,attacker,CyberBattleMicroSeg-thesis-v0,PPO,72036,44.15,2001,0,2001,0,-1,0,2,0.15000000000000002,15.0,,,,,,,,,
37,attacker,CyberBattleMicroSeg-thesis-v0,PPO,74037,30.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
38,attacker,CyberBattleMicroSeg-thesis-v0,PPO,76038,24.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
39,attacker,CyberBattleMicroSeg-thesis-v0,PPO,78039,44.195,2001,0,2001,0,-1,0,2,0.19500000000000006,30.0,,,,,,,,,
40,attacker,CyberBattleMicroSeg-thesis-v0,PPO,80040,20.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
41,attacker,CyberBattleMicroSeg-thesis-v0,PPO,82041,24.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
42,attacker,CyberBattleMicroSeg-thesis-v0,PPO,84042,14.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
43,attacker,CyberBattleMicroSeg-thesis-v0,PPO,86043,38.015,2001,0,2001,0,-1,0,2,0.015,15.0,,,,,,,,,
44,attacker,CyberBattleMicroSeg-thesis-v0,PPO,88044,20.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
45,attacker,CyberBattleMicroSeg-thesis-v0,PPO,90045,24.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
46,attacker,CyberBattleMicroSeg-thesis-v0,PPO,92046,14.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
47,attacker,CyberBattleMicroSeg-thesis-v0,PPO,94047,24.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
48,attacker,CyberBattleMicroSeg-thesis-v0,PPO,96048,24.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
49,attacker,CyberBattleMicroSeg-thesis-v0,PPO,98049,24.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
50,attacker,CyberBattleMicroSeg-thesis-v0,PPO,100050,48.075,2001,0,2001,0,-1,0,2,0.075,15.0,,,,,,,,,
51,attacker,CyberBattleMicroSeg-thesis-v0,PPO,102051,24.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
52,attacker,CyberBattleMicroSeg-thesis-v0,PPO,104052,14.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
53,attacker,CyberBattleMicroSeg-thesis-v0,PPO,106053,24.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
54,attacker,CyberBattleMicroSeg-thesis-v0,PPO,108054,24.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
55,attacker,CyberBattleMicroSeg-thesis-v0,PPO,108544,14.0,490,,,,,,,,,,,,,,,,,
1,defender,CyberBattleMicroSeg-thesis-v0,PPO,2001,-1224.0,2001,,,,,,,,,0,118,425,141,120,0,1317,0,0
2,defender,CyberBattleMicroSeg-thesis-v0,PPO,4002,-980.0,2001,,,,,,,,,0,128,393,121,95,0,1359,0,0
3,defender,CyberBattleMicroSeg-thesis-v0,PPO,6003,-904.825,2001,,,,,,,,,1,149,415,104,86,0,1332,1,0
4,defender,CyberBattleMicroSeg-thesis-v0,PPO,8004,-780.0,2001,,,,,,,,,0,126,439,96,75,0,1340,0,0
5,defender,CyberBattleMicroSeg-thesis-v0,PPO,10005,-800.0,2001,,,,,,,,,0,135,429,96,78,0,1341,0,0
6,defender,CyberBattleMicroSeg-thesis-v0,PPO,12006,-614.0,2001,,,,,,,,,0,137,412,77,60,0,1375,0,0
7,defender,CyberBattleMicroSeg-thesis-v0,PPO,14007,-574.0,2001,,,,,,,,,0,132,441,78,56,0,1350,0,0
8,defender,CyberBattleMicroSeg-thesis-v0,PPO,16008,-474.0,2001,,,,,,,,,0,144,464,59,46,0,1334,0,0
9,defender,CyberBattleMicroSeg-thesis-v0,PPO,18009,-566.0,2001,,,,,,,,,0,124,480,63,53,0,1334,0,0
10,defender,CyberBattleMicroSeg-thesis-v0,PPO,20010,-504.0,2001,,,,,,,,,0,135,459,58,48,0,1349,0,0
11,defender,CyberBattleMicroSeg-thesis-v0,PPO,22011,-384.0,2001,,,,,,,,,0,131,482,46,36,0,1342,0,0
12,defender,CyberBattleMicroSeg-thesis-v0,PPO,24012,-334.0,2001,,,,,,,,,0,176,508,39,32,0,1278,0,0
13,defender,CyberBattleMicroSeg-thesis-v0,PPO,26013,-364.0,2001,,,,,,,,,0,164,527,39,35,0,1271,0,0
14,defender,CyberBattleMicroSeg-thesis-v0,PPO,28014,-164.0,2001,,,,,,,,,0,171,535,19,14,0,1276,0,0
15,defender,CyberBattleMicroSeg-thesis-v0,PPO,30015,-174.0,2001,,,,,,,,,0,155,485,19,16,0,1342,0,0
16,defender,CyberBattleMicroSeg-thesis-v0,PPO,32016,-300.0,2001,,,,,,,,,0,132,474,34,27,0,1361,0,0
17,defender,CyberBattleMicroSeg-thesis-v0,PPO,34017,-204.0,2001,,,,,,,,,0,145,508,25,18,0,1323,0,0
18,defender,CyberBattleMicroSeg-thesis-v0,PPO,36018,-248.225,2001,,,,,,,,,1,145,537,23,20,0,1295,1,0
19,defender,CyberBattleMicroSeg-thesis-v0,PPO,38019,-114.0,2001,,,,,,,,,0,136,457,14,9,0,1394,0,0
20,defender,CyberBattleMicroSeg-thesis-v0,PPO,40020,-134.0,2001,,,,,,,,,0,128,520,17,11,0,1336,0,0
21,defender,CyberBattleMicroSeg-thesis-v0,PPO,42021,-144.81,2001,,,,,,,,,1,117,433,11,10,0,1439,1,0
22,defender,CyberBattleMicroSeg-thesis-v0,PPO,44022,-89.395,2001,,,,,,,,,2,140,418,6,4,0,1435,2,0
23,defender,CyberBattleMicroSeg-thesis-v0,PPO,46023,-94.0,2001,,,,,,,,,0,128,424,8,8,0,1441,0,0
24,defender,CyberBattleMicroSeg-thesis-v0,PPO,48024,-94.0,2001,,,,,,,,,0,132,435,8,8,0,1426,0,0
25,defender,CyberBattleMicroSeg-thesis-v0,PPO,50025,-94.0,2001,,,,,,,,,0,131,486,8,7,0,1376,0,0
26,defender,CyberBattleMicroSeg-thesis-v0,PPO,52026,-114.0,2001,,,,,,,,,0,139,427,13,10,0,1422,0,0
27,defender,CyberBattleMicroSeg-thesis-v0,PPO,54027,-88.06,2001,,,,,,,,,1,133,451,8,5,0,1408,1,0
28,defender,CyberBattleMicroSeg-thesis-v0,PPO,56028,-34.0,2001,,,,,,,,,0,130,436,2,1,0,1433,0,0
29,defender,CyberBattleMicroSeg-thesis-v0,PPO,58029,-70.0,2001,,,,,,,,,0,104,407,7,5,0,1483,0,0
30,defender,CyberBattleMicroSeg-thesis-v0,PPO,60030,-54.0,2001,,,,,,,,,0,109,398,4,3,0,1490,0,0
31,defender,CyberBattleMicroSeg-thesis-v0,PPO,62031,-74.0,2001,,,,,,,,,0,121,433,5,5,0,1442,0,0
32,defender,CyberBattleMicroSeg-thesis-v0,PPO,64032,-64.0,2001,,,,,,,,,0,107,456,8,4,0,1430,0,0
33,defender,CyberBattleMicroSeg-thesis-v0,PPO,66033,-64.0,2001,,,,,,,,,0,99,417,5,4,0,1480,0,0
34,defender,CyberBattleMicroSeg-thesis-v0,PPO,68034,-94.3,2001,,,,,,,,,1,118,416,6,4,0,1460,1,0
35,defender,CyberBattleMicroSeg-thesis-v0,PPO,70035,-104.0,2001,,,,,,,,,0,134,435,9,8,0,1423,0,0
36,defender,CyberBattleMicroSeg-thesis-v0,PPO,72036,-94.15,2001,,,,,,,,,1,121,435,8,5,0,1436,1,0
37,defender,CyberBattleMicroSeg-thesis-v0,PPO,74037,-50.0,2001,,,,,,,,,0,130,478,2,2,0,1391,0,0
38,defender,CyberBattleMicroSeg-thesis-v0,PPO,76038,-44.0,2001,,,,,,,,,0,113,399,8,2,0,1481,0,0
39,defender,CyberBattleMicroSeg-thesis-v0,PPO,78039,-84.195,2001,,,,,,,,,2,114,398,5,4,0,1482,2,0
40,defender,CyberBattleMicroSeg-thesis-v0,PPO,80040,-50.0,2001,,,,,,,,,0,118,495,3,3,0,1385,0,0
41,defender,CyberBattleMicroSeg-thesis-v0,PPO,82041,-24.0,2001,,,,,,,,,0,97,446,1,0,0,1457,0,0
42,defender,CyberBattleMicroSeg-thesis-v0,PPO,84042,-84.0,2001,,,,,,,,,0,103,358,9,7,0,1531,0,0
43,defender,CyberBattleMicroSeg-thesis-v0,PPO,86043,-48.015,2001,,,,,,,,,1,117,419,1,1,0,1463,1,0
44,defender,CyberBattleMicroSeg-thesis-v0,PPO,88044,-80.0,2001,,,,,,,,,0,129,448,7,6,0,1417,0,0
45,defender,CyberBattleMicroSeg-thesis-v0,PPO,90045,-24.0,2001,,,,,,,,,0,113,441,0,0,0,1447,0,0
46,defender,CyberBattleMicroSeg-thesis-v0,PPO,92046,-64.0,2001,,,,,,,,,0,111,373,7,5,0,1510,0,0
