episode,agent,env_id,algorithm,timestep,episode_reward,episode_length,atk_invalid,atk_valid,atk_cj_reached,atk_cj_step,atk_won,atk_max_owned,atk_hold_reward,atk_eviction,def_reimage,def_block,def_allow,def_stop_svc,def_stop_svc_clean,def_start_svc,def_invalid,def_recovered,def_sla_break_steps
1,attacker,CyberBattleMicroSeg-thesis-v0,PPO,2001,190.835,2001,0,2001,0,-1,0,3,2.8350000000000053,45.0,,,,,,,,,
2,attacker,CyberBattleMicroSeg-thesis-v0,PPO,4002,60.45,2001,0,2001,0,-1,0,2,0.4500000000000003,30.0,,,,,,,,,
3,attacker,CyberBattleMicroSeg-thesis-v0,PPO,6003,182.465,2001,0,2001,0,-1,0,3,0.4650000000000003,45.0,,,,,,,,,
4,attacker,CyberBattleMicroSeg-thesis-v0,PPO,8004,60.09,2001,0,2001,0,-1,0,2,0.09,15.0,,,,,,,,,
5,attacker,CyberBattleMicroSeg-thesis-v0,PPO,10005,81.27,2001,0,2001,0,-1,0,2,0.27000000000000013,15.0,,,,,,,,,
6,attacker,CyberBattleMicroSeg-thesis-v0,PPO,12006,54.6,2001,0,2001,0,-1,0,2,0.6000000000000004,15.0,,,,,,,,,
7,attacker,CyberBattleMicroSeg-thesis-v0,PPO,14007,60.435,2001,0,2001,0,-1,0,2,0.4350000000000003,15.0,,,,,,,,,
8,attacker,CyberBattleMicroSeg-thesis-v0,PPO,16008,181.4,2001,0,2001,0,-1,0,3,5.399999999999997,45.0,,,,,,,,,
9,attacker,CyberBattleMicroSeg-thesis-v0,PPO,18009,60.06,2001,0,2001,0,-1,0,2,0.06,15.0,,,,,,,,,
10,attacker,CyberBattleMicroSeg-thesis-v0,PPO,20010,81.975,2001,0,2001,0,-1,0,2,0.9750000000000008,15.0,,,,,,,,,
11,attacker,CyberBattleMicroSeg-thesis-v0,PPO,22011,36.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
12,attacker,CyberBattleMicroSeg-thesis-v0,PPO,24012,83.115,2001,0,2001,0,-1,0,2,2.1149999999999953,15.0,,,,,,,,,
13,attacker,CyberBattleMicroSeg-thesis-v0,PPO,26013,36.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
14,attacker,CyberBattleMicroSeg-thesis-v0,PPO,28014,83.745,2001,0,2001,0,-1,0,2,2.7450000000000006,30.0,,,,,,,,,
15,attacker,CyberBattleMicroSeg-thesis-v0,PPO,30015,36.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
16,attacker,CyberBattleMicroSeg-thesis-v0,PPO,32016,81.66,2001,0,2001,0,-1,0,2,0.6600000000000005,15.0,,,,,,,,,
17,attacker,CyberBattleMicroSeg-thesis-v0,PPO,34017,82.335,2001,0,2001,0,-1,0,2,1.3349999999999986,15.0,,,,,,,,,
18,attacker,CyberBattleMicroSeg-thesis-v0,PPO,36018,75.465,2001,0,2001,0,-1,0,2,0.4650000000000003,15.0,,,,,,,,,
19,attacker,CyberBattleMicroSeg-thesis-v0,PPO,38019,36.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
20,attacker,CyberBattleMicroSeg-thesis-v0,PPO,40020,60.51,2001,0,2001,0,-1,0,2,0.5100000000000003,15.0,,,,,,,,,
21,attacker,CyberBattleMicroSeg-thesis-v0,PPO,42021,36.03,2001,0,2001,0,-1,0,2,0.03,15.0,,,,,,,,,
22,attacker,CyberBattleMicroSeg-thesis-v0,PPO,44022,72.03,2001,0,2001,0,-1,0,2,0.03,15.0,,,,,,,,,
23,attacker,CyberBattleMicroSeg-thesis-v0,PPO,46023,83.19,2001,0,2001,0,-1,0,2,2.189999999999996,30.0,,,,,,,,,
24,attacker,CyberBattleMicroSeg-thesis-v0,PPO,48024,81.315,2001,0,2001,0,-1,0,2,0.31500000000000017,15.0,,,,,,,,,
25,attacker,CyberBattleMicroSeg-thesis-v0,PPO,50025,36.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
