episode,agent,env_id,algorithm,timestep,episode_reward,episode_length,atk_invalid,atk_valid,atk_cj_reached,atk_cj_step,atk_won,atk_max_owned,atk_hold_reward,atk_eviction,def_reimage,def_block,def_allow,def_stop_svc,def_stop_svc_clean,def_start_svc,def_invalid,def_recovered,def_sla_break_steps
1,attacker,CyberBattleMicroSeg-thesis-v0,PPO,2001,135.9,2001,0,2001,0,-1,0,3,3.899999999999988,45.0,,,,,,,,,
2,attacker,CyberBattleMicroSeg-thesis-v0,PPO,4002,77.525,2001,0,2001,0,-1,0,2,0.5250000000000004,30.0,,,,,,,,,
3,attacker,CyberBattleMicroSeg-thesis-v0,PPO,6003,78.86,2001,0,2001,0,-1,0,2,1.8599999999999952,45.0,,,,,,,,,
4,attacker,CyberBattleMicroSeg-thesis-v0,PPO,8004,146.17,2001,0,2001,0,-1,0,3,4.169999999999997,60.0,,,,,,,,,
5,attacker,CyberBattleMicroSeg-thesis-v0,PPO,10005,143.935,2001,0,2001,0,-1,0,3,7.9350000000000085,45.0,,,,,,,,,
6,attacker,CyberBattleMicroSeg-thesis-v0,PPO,12006,56.165,2001,0,2001,0,-1,0,2,0.16500000000000004,15.0,,,,,,,,,
7,attacker,CyberBattleMicroSeg-thesis-v0,PPO,14007,136.14,2001,0,2001,0,-1,0,3,4.1399999999999935,135.0,,,,,,,,,
8,attacker,CyberBattleMicroSeg-thesis-v0,PPO,16008,82.595,2001,0,2001,0,-1,0,2,5.594999999999977,120.0,,,,,,,,,
9,attacker,CyberBattleMicroSeg-thesis-v0,PPO,18009,124.535,2001,0,2001,0,-1,0,3,2.534999999999999,60.0,,,,,,,,,
10,attacker,CyberBattleMicroSeg-thesis-v0,PPO,20010,145.105,2001,0,2001,0,-1,0,3,3.104999999999994,60.0,,,,,,,,,
11,attacker,CyberBattleMicroSeg-thesis-v0,PPO,22011,157.12,2001,0,2001,0,-1,0,3,3.1199999999999934,75.0,,,,,,,,,
12,attacker,CyberBattleMicroSeg-thesis-v0,PPO,24012,146.995,2001,0,2001,0,-1,0,3,4.994999999999996,45.0,,,,,,,,,
13,attacker,CyberBattleMicroSeg-thesis-v0,PPO,26013,142.71,2001,0,2001,0,-1,0,3,4.70999999999998,105.0,,,,,,,,,
14,attacker,CyberBattleMicroSeg-thesis-v0,PPO,28014,161.18,2001,0,2001,0,-1,0,3,3.18,75.0,,,,,,,,,
15,attacker,CyberBattleMicroSeg-thesis-v0,PPO,30015,112.465,2001,0,2001,0,-1,0,3,0.4650000000000002,45.0,,,,,,,,,
16,attacker,CyberBattleMicroSeg-thesis-v0,PPO,32016,127.2,2001,0,2001,0,-1,0,3,1.2,45.0,,,,,,,,,
17,attacker,CyberBattleMicroSeg-thesis-v0,PPO,34017,163.01,2001,0,2001,0,-1,0,3,5.009999999999978,75.0,,,,,,,,,
18,attacker,CyberBattleMicroSeg-thesis-v0,PPO,36018,73.085,2001,0,2001,0,-1,0,2,2.084999999999995,45.0,,,,,,,,,
19,attacker,CyberBattleMicroSeg-thesis-v0,PPO,38019,36.0,2001,0,2001,0,-1,0,2,0.0,15.0,,,,,,,,,
20,attacker,CyberBattleMicroSeg-thesis-v0,PPO,40020,81.22,2001,0,2001,0,-1,0,3,2.219999999999997,90.0,,,,,,,,,
21,attacker,CyberBattleMicroSeg-thesis-v0,PPO,42021,130.965,2001,0,2001,0,-1,0,3,4.965,45.0,,,,,,,,,
22,attacker,CyberBattleMicroSeg-thesis-v0,PPO,44022,95.91,2001,0,2001,0,-1,0,2,14.910000000000187,360.0,,,,,,,,,
23,attacker,CyberBattleMicroSeg-thesis-v0,PPO,46023,152.605,2001,0,2001,0,-1,0,3,4.604999999999995,135.0,,,,,,,,,
24,attacker,CyberBattleMicroSeg-thesis-v0,PPO,48024,163.82,2001,0,2001,0,-1,0,3,5.8199999999999665,135.0,,,,,,,,,
25,attacker,CyberBattleMicroSeg-thesis-v0,PPO,50025,132.99,2001,0,2001,0,-1,0,3,0.9900000000000008,75.0,,,,,,,,,
26,attacker,CyberBattleMicroSeg-thesis-v0,PPO,52026,134.775,2001,0,2001,0,-1,0,3,2.774999999999995,90.0,,,,,,,,,
27,attacker,CyberBattleMicroSeg-thesis-v0,PPO,54027,93.33,2001,0,2001,0,-1,0,3,6.329999999999953,150.0,,,,,,,,,
28,attacker,CyberBattleMicroSeg-thesis-v0,PPO,56028,88.725,2001,0,2001,0,-1,0,2,7.724999999999931,285.0,,,,,,,,,
29,attacker,CyberBattleMicroSeg-thesis-v0,PPO,58029,135.69,2001,0,2001,0,-1,0,3,3.6900000000000084,60.0,,,,,,,,,
30,attacker,CyberBattleMicroSeg-thesis-v0,PPO,60030,78.995,2001,0,2001,0,-1,0,2,1.9949999999999943,45.0,,,,,,,,,
31,attacker,CyberBattleMicroSeg-thesis-v0,PPO,62031,81.78,2001,0,2001,0,-1,0,2,0.7800000000000006,15.0,,,,,,,,,
32,attacker,CyberBattleMicroSeg-thesis-v0,PPO,64032,124.085,2001,0,2001,0,-1,0,3,2.084999999999999,45.0,,,,,,,,,
33,attacker,CyberBattleMicroSeg-thesis-v0,PPO,66033,136.08,2001,0,2001,0,-1,0,3,4.080000000000007,75.0,,,,,,,,,
34,attacker,CyberBattleMicroSeg-thesis-v0,PPO,68034,107.365,2001,0,2001,0,-1,0,3,1.3649999999999982,45.0,,,,,,,,,
35,attacker,CyberBattleMicroSeg-thesis-v0,PPO,70035,56.57,2001,0,2001,0,-1,0,2,0.5700000000000004,15.0,,,,,,,,,
36,attacker,CyberBattleMicroSeg-thesis-v0,PPO,72036,91.8,2001,0,2001,0,-1,0,2,10.800000000000031,390.0,,,,,,,,,
37,attacker,CyberBattleMicroSeg-thesis-v0,PPO,74037,120.625,2001,0,2001,0,-1,0,3,2.624999999999998,60.0,,,,,,,,,
38,attacker,CyberBattleMicroSeg-thesis-v0,PPO,76038,137.425,2001,0,2001,0,-1,0,3,1.4249999999999998,45.0,,,,,,,,,
39,attacker,CyberBattleMicroSeg-thesis-v0,PPO,78039,63.755,2001,0,2001,0,-1,0,3,1.7549999999999981,45.0,,,,,,,,,
40,attacker,CyberBattleMicroSeg-thesis-v0,PPO,80040,117.755,2001,0,2001,0,-1,0,3,1.7549999999999957,60.0,,,,,,,,,
41,attacker,CyberBattleMicroSeg-thesis-v0,PPO,82041,159.44,2001,0,2001,0,-1,0,3,1.4399999999999984,75.0,,,,,,,,,
42,attacker,CyberBattleMicroSeg-thesis-v0,PPO,84042,84.165,2001,0,2001,0,-1,0,2,3.165000000000004,75.0,,,,,,,,,
43,attacker,CyberBattleMicroSeg-thesis-v0,PPO,86043,142.605,2001,0,2001,0,-1,0,3,4.604999999999993,75.0,,,,,,,,,
44,attacker,CyberBattleMicroSeg-thesis-v0,PPO,88044,134.79,2001,0,2001,0,-1,0,3,2.7899999999999943,45.0,,,,,,,,,
45,attacker,CyberBattleMicroSeg-thesis-v0,PPO,90045,60.09,2001,0,2001,0,-1,0,2,0.09,15.0,,,,,,,,,
46,attacker,CyberBattleMicroSeg-thesis-v0,PPO,92046,128.91,2001,0,2001,0,-1,0,3,2.9099999999999953,105.0,,,,,,,,,
47,attacker,CyberBattleMicroSeg-thesis-v0,PPO,94047,153.815,2001,0,2001,0,-1,0,3,1.814999999999998,165.0,,,,,,,,,
48,attacker,CyberBattleMicroSeg-thesis-v0,PPO,96048,60.24,2001,0,2001,0,-1,0,2,0.2400000000000001,15.0,,,,,,,,,
49,attacker,CyberBattleMicroSeg-thesis-v0,PPO,98049,133.275,2001,0,2001,0,-1,0,3,1.274999999999999,75.0,,,,,,,,,
50,attacker,CyberBattleMicroSeg-thesis-v0,PPO,100050,56.495,2001,0,2001,0,-1,0,2,0.49500000000000033,30.0,,,,,,,,,
51,attacker,CyberBattleMicroSeg-thesis-v0,PPO,102051,60.525,2001,0,2001,0,-1,0,2,0.5250000000000004,15.0,,,,,,,,,
52,attacker,CyberBattleMicroSeg-thesis-v0,PPO,104052,140.265,2001,0,2001,0,-1,0,3,2.265,105.0,,,,,,,,,
