episode,agent,env_id,algorithm,timestep,episode_reward,episode_length,atk_invalid,atk_valid,atk_cj_reached,atk_cj_step,atk_won,atk_max_owned,atk_hold_reward,atk_eviction,def_reimage,def_block,def_allow,def_stop_svc,def_stop_svc_clean,def_start_svc,def_invalid,def_recovered,def_sla_break_steps
1,attacker,CyberBattleMicroSeg-thesis-v0,PPO,2001,62.185,2001,0,2001,0,-1,0,2,1.1849999999999996,15.0,,,,,,,,,
2,attacker,CyberBattleMicroSeg-thesis-v0,PPO,4002,143.875,2001,0,2001,0,-1,0,3,1.874999999999995,60.0,,,,,,,,,
3,attacker,CyberBattleMicroSeg-thesis-v0,PPO,6003,56.95,2001,0,2001,0,-1,0,2,1.9499999999999946,45.0,,,,,,,,,
4,attacker,CyberBattleMicroSeg-thesis-v0,PPO,8004,63.115,2001,0,2001,0,-1,0,2,2.1149999999999953,60.0,,,,,,,,,
5,attacker,CyberBattleMicroSeg-thesis-v0,PPO,10005,80.06,2001,0,2001,0,-1,0,2,9.059999999999965,165.0,,,,,,,,,
6,attacker,CyberBattleMicroSeg-thesis-v0,PPO,12006,65.165,2001,0,2001,0,-1,0,2,0.16500000000000004,15.0,,,,,,,,,
7,attacker,CyberBattleMicroSeg-thesis-v0,PPO,14007,79.615,2001,0,2001,0,-1,0,2,12.6150000000001,300.0,,,,,,,,,
8,attacker,CyberBattleMicroSeg-thesis-v0,PPO,16008,76.655,2001,0,2001,0,-1,0,2,5.654999999999975,135.0,,,,,,,,,
9,attacker,CyberBattleMicroSeg-thesis-v0,PPO,18009,62.245,2001,0,2001,0,-1,0,2,1.2449999999999992,30.0,,,,,,,,,
10,attacker,CyberBattleMicroSeg-thesis-v0,PPO,20010,69.34,2001,0,2001,0,-1,0,2,2.339999999999997,60.0,,,,,,,,,
11,attacker,CyberBattleMicroSeg-thesis-v0,PPO,22011,72.245,2001,0,2001,0,-1,0,2,1.2449999999999992,90.0,,,,,,,,,
12,attacker,CyberBattleMicroSeg-thesis-v0,PPO,24012,139.08,2001,0,2001,0,-1,0,3,7.079999999999954,75.0,,,,,,,,,
13,attacker,CyberBattleMicroSeg-thesis-v0,PPO,26013,149.04,2001,0,2001,0,-1,0,3,11.040000000000097,120.0,,,,,,,,,
14,attacker,CyberBattleMicroSeg-thesis-v0,PPO,28014,180.74,2001,0,2001,0,-1,0,3,13.740000000000151,345.0,,,,,,,,,
15,attacker,CyberBattleMicroSeg-thesis-v0,PPO,30015,151.645,2001,0,2001,0,-1,0,3,3.6449999999999947,135.0,,,,,,,,,
16,attacker,CyberBattleMicroSeg-thesis-v0,PPO,32016,64.165,2001,0,2001,0,-1,0,2,3.165000000000004,135.0,,,,,,,,,
17,attacker,CyberBattleMicroSeg-thesis-v0,PPO,34017,159.61,2001,0,2001,0,-1,0,3,5.609999999999988,150.0,,,,,,,,,
18,attacker,CyberBattleMicroSeg-thesis-v0,PPO,36018,72.875,2001,0,2001,0,-1,0,2,1.8749999999999951,45.0,,,,,,,,,
19,attacker,CyberBattleMicroSeg-thesis-v0,PPO,38019,63.94,2001,0,2001,0,-1,0,2,2.940000000000002,60.0,,,,,,,,,
20,attacker,CyberBattleMicroSeg-thesis-v0,PPO,40020,67.205,2001,0,2001,0,-1,0,2,2.204999999999996,30.0,,,,,,,,,
21,attacker,CyberBattleMicroSeg-thesis-v0,PPO,42021,135.185,2001,0,2001,0,-1,0,3,7.184999999999956,90.0,,,,,,,,,
22,attacker,CyberBattleMicroSeg-thesis-v0,PPO,44022,85.76,2001,0,2001,0,-1,0,2,14.760000000000181,360.0,,,,,,,,,
23,attacker,CyberBattleMicroSeg-thesis-v0,PPO,46023,147.595,2001,0,2001,0,-1,0,3,5.59499999999996,225.0,,,,,,,,,
24,attacker,CyberBattleMicroSeg-thesis-v0,PPO,48024,63.55,2001,0,2001,0,-1,0,2,2.549999999999999,60.0,,,,,,,,,
25,attacker,CyberBattleMicroSeg-thesis-v0,PPO,50025,52.63,2001,0,2001,0,-1,0,2,0.6300000000000004,30.0,,,,,,,,,
26,attacker,CyberBattleMicroSeg-thesis-v0,PPO,52026,134.79,2001,0,2001,0,-1,0,3,2.789999999999998,90.0,,,,,,,,,
27,attacker,CyberBattleMicroSeg-thesis-v0,PPO,54027,139.53,2001,0,2001,0,-1,0,3,7.529999999999932,330.0,,,,,,,,,
28,attacker,CyberBattleMicroSeg-thesis-v0,PPO,56028,143.91,2001,0,2001,0,-1,0,3,5.909999999999967,345.0,,,,,,,,,
29,attacker,CyberBattleMicroSeg-thesis-v0,PPO,58029,73.985,2001,0,2001,0,-1,0,2,2.9850000000000025,150.0,,,,,,,,,
30,attacker,CyberBattleMicroSeg-thesis-v0,PPO,60030,57.565,2001,0,2001,0,-1,0,2,2.564999999999999,120.0,,,,,,,,,
31,attacker,CyberBattleMicroSeg-thesis-v0,PPO,62031,64.69,2001,0,2001,0,-1,0,2,3.6900000000000084,90.0,,,,,,,,,
32,attacker,CyberBattleMicroSeg-thesis-v0,PPO,64032,72.985,2001,0,2001,0,-1,0,2,11.985000000000076,405.0,,,,,,,,,
33,attacker,CyberBattleMicroSeg-thesis-v0,PPO,66033,151.525,2001,0,2001,0,-1,0,3,3.5250000000000004,90.0,,,,,,,,,
34,attacker,CyberBattleMicroSeg-thesis-v0,PPO,68034,72.71,2001,0,2001,0,-1,0,2,1.7099999999999962,90.0,,,,,,,,,
35,attacker,CyberBattleMicroSeg-thesis-v0,PPO,70035,72.605,2001,0,2001,0,-1,0,2,1.6049999999999969,15.0,,,,,,,,,
36,attacker,CyberBattleMicroSeg-thesis-v0,PPO,72036,139.32,2001,0,2001,0,-1,0,3,1.3200000000000005,165.0,,,,,,,,,
37,attacker,CyberBattleMicroSeg-thesis-v0,PPO,74037,62.14,2001,0,2001,0,-1,0,2,1.14,105.0,,,,,,,,,
38,attacker,CyberBattleMicroSeg-thesis-v0,PPO,76038,66.635,2001,0,2001,0,-1,0,2,1.6349999999999967,120.0,,,,,,,,,
39,attacker,CyberBattleMicroSeg-thesis-v0,PPO,78039,63.085,2001,0,2001,0,-1,0,2,2.084999999999995,195.0,,,,,,,,,
40,attacker,CyberBattleMicroSeg-thesis-v0,PPO,80040,62.02,2001,0,2001,0,-1,0,2,1.0200000000000007,45.0,,,,,,,,,
41,attacker,CyberBattleMicroSeg-thesis-v0,PPO,82041,174.365,2001,0,2001,0,-1,0,3,7.364999999999943,390.0,,,,,,,,,
42,attacker,CyberBattleMicroSeg-thesis-v0,PPO,84042,67.58,2001,0,2001,0,-1,0,2,2.579999999999999,180.0,,,,,,,,,
43,attacker,CyberBattleMicroSeg-thesis-v0,PPO,86043,56.21,2001,0,2001,0,-1,0,2,0.21000000000000008,15.0,,,,,,,,,
44,attacker,CyberBattleMicroSeg-thesis-v0,PPO,88044,65.785,2001,0,2001,0,-1,0,2,10.78500000000003,315.0,,,,,,,,,
45,attacker,CyberBattleMicroSeg-thesis-v0,PPO,90045,52.03,2001,0,2001,0,-1,0,2,0.03,15.0,,,,,,,,,
46,attacker,CyberBattleMicroSeg-thesis-v0,PPO,92046,53.685,2001,0,2001,0,-1,0,2,2.685,285.0,,,,,,,,,
47,attacker,CyberBattleMicroSeg-thesis-v0,PPO,94047,62.155,2001,0,2001,0,-1,0,2,1.1549999999999998,150.0,,,,,,,,,
48,attacker,CyberBattleMicroSeg-thesis-v0,PPO,96048,61.66,2001,0,2001,0,-1,0,2,0.6600000000000005,45.0,,,,,,,,,
49,attacker,CyberBattleMicroSeg-thesis-v0,PPO,98049,147.685,2001,0,2001,0,-1,0,3,11.68500000000004,960.0,,,,,,,,,
50,attacker,CyberBattleMicroSeg-thesis-v0,PPO,100050,63.55,2001,0,2001,0,-1,0,2,8.549999999999946,720.0,,,,,,,,,
51,attacker,CyberBattleMicroSeg-thesis-v0,PPO,102051,67.63,2001,0,2001,0,-1,0,2,0.6300000000000004,30.0,,,,,,,,,
52,attacker,CyberBattleMicroSeg-thesis-v0,PPO,104052,62.815,2001,0,2001,0,-1,0,2,1.8149999999999955,135.0,,,,,,,,,
53,attacker,CyberBattleMicroSeg-thesis-v0,PPO,106053,66.095,2001,0,2001,0,-1,0,2,1.0950000000000002,90.0,,,,,,,,,
54,attacker,CyberBattleMicroSeg-thesis-v0,PPO,108054,144.955,2001,0,2001,0,-1,0,3,2.9549999999999956,90.0,,,,,,,,,
55,attacker,CyberBattleMicroSeg-thesis-v0,PPO,110055,153.29,2001,0,2001,0,-1,0,3,1.2899999999999991,60.0,,,,,,,,,
56,attacker,CyberBattleMicroSeg-thesis-v0,PPO,112056,70.39,2001,0,2001,0,-1,0,2,3.390000000000006,195.0,,,,,,,,,
57,attacker,CyberBattleMicroSeg-thesis-v0,PPO,114057,52.03,2001,0,2001,0,-1,0,2,0.03,30.0,,,,,,,,,
58,attacker,CyberBattleMicroSeg-thesis-v0,PPO,116058,140.93,2001,0,2001,0,-1,0,3,6.929999999999955,405.0,,,,,,,,,
59,attacker,CyberBattleMicroSeg-thesis-v0,PPO,116736,40.09,678,,,,,,,,,,,,,,,,,
1,defender,CyberBattleMicroSeg-thesis-v0,PPO,2001,-1252.185,2001,,,,,,,,,1,118,425,141,119,0,1316,1,0
2,defender,CyberBattleMicroSeg-thesis-v0,PPO,4002,-1113.875,2001,,,,,,,,,3,126,395,122,97,0,1355,3,0
3,defender,CyberBattleMicroSeg-thesis-v0,PPO,6003,-946.95,2001,,,,,,,,,3,151,412,107,89,0,1328,3,0
4,defender,CyberBattleMicroSeg-thesis-v0,PPO,8004,-833.115,2001,,,,,,,,,4,130,430,97,77,0,1340,4,0
5,defender,CyberBattleMicroSeg-thesis-v0,PPO,10005,-820.06,2001,,,,,,,,,11,133,442,92,74,0,1323,11,0
6,defender,CyberBattleMicroSeg-thesis-v0,PPO,12006,-735.165,2001,,,,,,,,,1,144,436,84,67,0,1336,1,0
7,defender,CyberBattleMicroSeg-thesis-v0,PPO,14007,-589.615,2001,,,,,,,,,20,122,445,74,51,0,1340,20,0
8,defender,CyberBattleMicroSeg-thesis-v0,PPO,16008,-506.655,2001,,,,,,,,,9,148,474,53,43,0,1317,9,0
9,defender,CyberBattleMicroSeg-thesis-v0,PPO,18009,-512.245,2001,,,,,,,,,2,139,493,55,45,0,1312,2,0
10,defender,CyberBattleMicroSeg-thesis-v0,PPO,20010,-399.34,2001,,,,,,,,,4,146,506,44,33,0,1301,4,0
11,defender,CyberBattleMicroSeg-thesis-v0,PPO,22011,-312.245,2001,,,,,,,,,6,142,529,32,24,0,1292,6,0
12,defender,CyberBattleMicroSeg-thesis-v0,PPO,24012,-409.08,2001,,,,,,,,,4,171,551,36,27,0,1239,4,0
13,defender,CyberBattleMicroSeg-thesis-v0,PPO,26013,-459.04,2001,,,,,,,,,7,144,549,37,31,0,1264,7,0
14,defender,CyberBattleMicroSeg-thesis-v0,PPO,28014,-310.725,2001,,,,,,,,,22,143,550,19,13,0,1267,22,0
15,defender,CyberBattleMicroSeg-thesis-v0,PPO,30015,-301.645,2001,,,,,,,,,8,161,541,20,15,0,1271,8,0
16,defender,CyberBattleMicroSeg-thesis-v0,PPO,32016,-244.165,2001,,,,,,,,,9,132,565,23,18,0,1272,9,0
17,defender,CyberBattleMicroSeg-thesis-v0,PPO,34017,-269.61,2001,,,,,,,,,9,139,570,15,11,0,1268,9,0
18,defender,CyberBattleMicroSeg-thesis-v0,PPO,36018,-172.875,2001,,,,,,,,,3,112,666,12,10,0,1208,3,0
19,defender,CyberBattleMicroSeg-thesis-v0,PPO,38019,-153.94,2001,,,,,,,,,4,117,615,13,9,0,1252,4,0
20,defender,CyberBattleMicroSeg-thesis-v0,PPO,40020,-177.205,2001,,,,,,,,,2,134,614,14,11,0,1237,2,0
21,defender,CyberBattleMicroSeg-thesis-v0,PPO,42021,-275.185,2001,,,,,,,,,5,130,541,17,14,0,1308,5,0
22,defender,CyberBattleMicroSeg-thesis-v0,PPO,44022,-215.76,2001,,,,,,,,,24,130,538,15,13,0,1294,24,0
23,defender,CyberBattleMicroSeg-thesis-v0,PPO,46023,-217.595,2001,,,,,,,,,14,121,638,8,7,0,1220,14,0
24,defender,CyberBattleMicroSeg-thesis-v0,PPO,48024,-133.55,2001,,,,,,,,,4,113,643,8,7,0,1233,4,0
