episode,agent,env_id,algorithm,timestep,episode_reward,episode_length,atk_invalid,atk_valid,atk_cj_reached,atk_cj_step,atk_won,atk_max_owned,atk_hold_reward,atk_eviction,def_reimage,def_block,def_allow,def_stop_svc,def_stop_svc_clean,def_start_svc,def_invalid,def_recovered,def_sla_break_steps
1,attacker,CyberBattleMicroSeg-thesis-v0,PPO,2001,176.375,2001,0,2001,1,6,0,4,10.374999999999995,145.0,,,,,,,,,
2,attacker,CyberBattleMicroSeg-thesis-v0,PPO,4002,135.49,2001,0,2001,1,6,0,4,3.490000000000004,360.0,,,,,,,,,
3,attacker,CyberBattleMicroSeg-thesis-v0,PPO,6003,166.95,2001,0,2001,1,22,0,4,16.949999999999996,175.0,,,,,,,,,
4,attacker,CyberBattleMicroSeg-thesis-v0,PPO,8004,197.915,2001,0,2001,1,22,0,4,19.915000000000063,305.0,,,,,,,,,
5,attacker,CyberBattleMicroSeg-thesis-v0,PPO,10005,219.275,2001,0,2001,1,7,0,4,33.27500000000001,1120.0,,,,,,,,,
6,attacker,CyberBattleMicroSeg-thesis-v0,PPO,12006,453.4,2001,0,2001,1,6,0,4,156.3999999999976,3505.0,,,,,,,,,
7,attacker,CyberBattleMicroSeg-thesis-v0,PPO,14007,219.925,2001,0,2001,1,6,0,4,53.92500000000026,1050.0,,,,,,,,,
8,attacker,CyberBattleMicroSeg-thesis-v0,PPO,16008,220.31,2001,0,2001,1,6,0,4,42.31000000000015,1450.0,,,,,,,,,
9,attacker,CyberBattleMicroSeg-thesis-v0,PPO,18009,196.74,2001,0,2001,1,6,0,4,14.739999999999965,460.0,,,,,,,,,
10,attacker,CyberBattleMicroSeg-thesis-v0,PPO,20010,248.275,2001,0,2001,1,23,0,4,56.27500000000032,1755.0,,,,,,,,,
11,attacker,CyberBattleMicroSeg-thesis-v0,PPO,22011,185.06,2001,0,2001,1,6,0,4,13.060000000000006,505.0,,,,,,,,,
12,attacker,CyberBattleMicroSeg-thesis-v0,PPO,24012,188.28,2001,0,2001,1,6,0,4,26.279999999999955,1090.0,,,,,,,,,
13,attacker,CyberBattleMicroSeg-thesis-v0,PPO,26013,288.07,2001,0,2001,1,6,0,4,114.06999999999826,4010.0,,,,,,,,,
14,attacker,CyberBattleMicroSeg-thesis-v0,PPO,28014,284.055,2001,0,2001,1,6,0,4,90.05499999999924,2745.0,,,,,,,,,
15,attacker,CyberBattleMicroSeg-thesis-v0,PPO,30015,206.355,2001,0,2001,1,6,0,4,26.355000000000093,1210.0,,,,,,,,,
16,attacker,CyberBattleMicroSeg-thesis-v0,PPO,32016,224.19,2001,0,2001,1,6,0,4,42.19000000000015,2485.0,,,,,,,,,
17,attacker,CyberBattleMicroSeg-thesis-v0,PPO,34017,241.36,2001,0,2001,1,22,0,4,63.36000000000063,2775.0,,,,,,,,,
18,attacker,CyberBattleMicroSeg-thesis-v0,PPO,36018,181.33,2001,0,2001,1,6,0,4,15.330000000000005,475.0,,,,,,,,,
19,attacker,CyberBattleMicroSeg-thesis-v0,PPO,38019,159.005,2001,0,2001,1,6,0,3,15.005000000000047,805.0,,,,,,,,,
20,attacker,CyberBattleMicroSeg-thesis-v0,PPO,40020,186.395,2001,0,2001,1,23,0,4,24.39500000000001,1680.0,,,,,,,,,
21,attacker,CyberBattleMicroSeg-thesis-v0,PPO,42021,236.18,2001,0,2001,1,7,0,4,32.17999999999998,1335.0,,,,,,,,,
22,attacker,CyberBattleMicroSeg-thesis-v0,PPO,44022,286.37,2001,0,2001,1,6,0,4,88.3699999999995,4770.0,,,,,,,,,
23,attacker,CyberBattleMicroSeg-thesis-v0,PPO,46023,366.05,2001,0,2001,1,9,0,4,83.04999999999994,6695.0,,,,,,,,,
24,attacker,CyberBattleMicroSeg-thesis-v0,PPO,48024,293.725,2001,0,2001,1,6,0,4,80.7250000000002,7250.0,,,,,,,,,
25,attacker,CyberBattleMicroSeg-thesis-v0,PPO,50025,195.85,2001,0,2001,1,6,0,4,23.850000000000065,1795.0,,,,,,,,,
26,attacker,CyberBattleMicroSeg-thesis-v0,PPO,52026,228.685,2001,0,2001,1,6,0,4,34.68500000000014,3135.0,,,,,,,,,
27,attacker,CyberBattleMicroSeg-thesis-v0,PPO,54027,189.91,2001,0,2001,1,9,0,4,17.910000000000053,1625.0,,,,,,,,,
28,attacker,CyberBattleMicroSeg-thesis-v0,PPO,56028,195.61,2001,0,2001,1,6,0,4,29.61000000000001,3250.0,,,,,,,,,
29,attacker,CyberBattleMicroSeg-thesis-v0,PPO,58029,175.14,2001,0,2001,1,6,0,4,19.140000000000033,1510.0,,,,,,,,,
30,attacker,CyberBattleMicroSeg-thesis-v0,PPO,60030,212.425,2001,0,2001,1,6,0,4,30.42500000000012,4385.0,,,,,,,,,
31,attacker,CyberBattleMicroSeg-thesis-v0,PPO,62031,120.465,2001,0,2001,0,-1,0,3,0.4650000000000002,45.0,,,,,,,,,
32,attacker,CyberBattleMicroSeg-thesis-v0,PPO,64032,159.85,2001,0,2001,1,6,0,4,5.849999999999988,575.0,,,,,,,,,
33,attacker,CyberBattleMicroSeg-thesis-v0,PPO,66033,264.515,2001,0,2001,1,6,0,4,51.51500000000053,8250.0,,,,,,,,,
34,attacker,CyberBattleMicroSeg-thesis-v0,PPO,68034,155.76,2001,0,2001,1,6,0,4,7.759999999999991,820.0,,,,,,,,,
35,attacker,CyberBattleMicroSeg-thesis-v0,PPO,70035,137.215,2001,0,2001,1,6,0,4,3.2150000000000016,245.0,,,,,,,,,
36,attacker,CyberBattleMicroSeg-thesis-v0,PPO,72036,238.0,2001,0,2001,1,6,0,4,50.00000000000051,7225.0,,,,,,,,,
37,attacker,CyberBattleMicroSeg-thesis-v0,PPO,74037,247.115,2001,0,2001,1,6,0,4,54.11500000000054,8105.0,,,,,,,,,
38,attacker,CyberBattleMicroSeg-thesis-v0,PPO,76038,178.565,2001,0,2001,1,7,0,4,8.564999999999996,950.0,,,,,,,,,
39,attacker,CyberBattleMicroSeg-thesis-v0,PPO,78039,203.595,2001,0,2001,1,6,0,4,27.595000000000013,3655.0,,,,,,,,,
40,attacker,CyberBattleMicroSeg-thesis-v0,PPO,80040,359.385,2001,0,2001,1,8,0,4,52.385000000000495,7165.0,,,,,,,,,
41,attacker,CyberBattleMicroSeg-thesis-v0,PPO,82041,228.545,2001,0,2001,1,6,0,4,46.54500000000052,8100.0,,,,,,,,,
42,attacker,CyberBattleMicroSeg-thesis-v0,PPO,84042,178.125,2001,0,2001,1,24,0,4,10.124999999999998,1570.0,,,,,,,,,
43,attacker,CyberBattleMicroSeg-thesis-v0,PPO,86043,206.96,2001,0,2001,1,6,0,4,20.960000000000054,3325.0,,,,,,,,,
44,attacker,CyberBattleMicroSeg-thesis-v0,PPO,88044,191.97,2001,0,2001,1,6,0,4,41.97000000000038,8480.0,,,,,,,,,
45,attacker,CyberBattleMicroSeg-thesis-v0,PPO,90045,137.53,2001,0,2001,0,-1,0,3,1.5300000000000011,45.0,,,,,,,,,
46,attacker,CyberBattleMicroSeg-thesis-v0,PPO,92046,188.61,2001,0,2001,1,24,0,4,12.610000000000033,2045.0,,,,,,,,,
47,attacker,CyberBattleMicroSeg-thesis-v0,PPO,94047,242.455,2001,0,2001,1,8,0,4,50.45500000000054,8130.0,,,,,,,,,
48,attacker,CyberBattleMicroSeg-thesis-v0,PPO,96048,156.77,2001,0,2001,1,7,0,4,8.769999999999998,1265.0,,,,,,,,,
49,attacker,CyberBattleMicroSeg-thesis-v0,PPO,98049,192.925,2001,0,2001,1,6,0,4,22.92500000000004,2620.0,,,,,,,,,
50,attacker,CyberBattleMicroSeg-thesis-v0,PPO,100050,228.47,2001,0,2001,1,6,0,4,30.470000000000148,5350.0,,,,,,,,,
51,attacker,CyberBattleMicroSeg-thesis-v0,PPO,102051,197.29,2001,0,2001,1,6,0,4,21.290000000000095,2275.0,,,,,,,,,
52,attacker,CyberBattleMicroSeg-thesis-v0,PPO,104052,155.075,2001,0,2001,1,8,0,4,7.074999999999996,1150.0,,,,,,,,,
53,attacker,CyberBattleMicroSeg-thesis-v0,PPO,106053,206.12,2001,0,2001,1,6,0,4,24.12000000000018,4600.0,,,,,,,,,
54,attacker,CyberBattleMicroSeg-thesis-v0,PPO,108054,136.92,2001,0,2001,1,6,0,4,4.92,835.0,,,,,,,,,
55,attacker,CyberBattleMicroSeg-thesis-v0,PPO,110055,166.88,2001,0,2001,1,90,0,3,8.87999999999996,805.0,,,,,,,,,
56,attacker,CyberBattleMicroSeg-thesis-v0,PPO,112056,36.865,2001,0,2001,0,-1,0,2,2.8650000000000015,150.0,,,,,,,,,
57,attacker,CyberBattleMicroSeg-thesis-v0,PPO,114057,90.75,2001,0,2001,0,-1,0,3,0.7500000000000004,45.0,,,,,,,,,
58,attacker,CyberBattleMicroSeg-thesis-v0,PPO,116058,203.94,2001,0,2001,1,247,0,4,17.940000000000047,2820.0,,,,,,,,,
59,attacker,CyberBattleMicroSeg-thesis-v0,PPO,118059,156.595,2001,0,2001,1,6,0,4,6.5949999999999935,145.0,,,,,,,,,
60,attacker,CyberBattleMicroSeg-thesis-v0,PPO,120060,165.32,2001,0,2001,1,8,0,4,5.319999999999996,935.0,,,,,,,,,
61,attacker,CyberBattleMicroSeg-thesis-v0,PPO,122061,184.61,2001,0,2001,1,6,0,4,28.610000000000213,8250.0,,,,,,,,,
62,attacker,CyberBattleMicroSeg-thesis-v0,PPO,124062,145.81,2001,0,2001,1,7,0,4,3.8100000000000027,375.0,,,,,,,,,
63,attacker,CyberBattleMicroSeg-thesis-v0,PPO,126063,203.315,2001,0,2001,1,7,0,4,25.31500000000022,5655.0,,,,,,,,,
64,attacker,CyberBattleMicroSeg-thesis-v0,PPO,128064,132.48,2001,0,2001,1,6,0,4,4.480000000000007,805.0,,,,,,,,,
65,attacker,CyberBattleMicroSeg-thesis-v0,PPO,130065,234.385,2001,0,2001,1,6,0,4,36.38500000000051,8785.0,,,,,,,,,
66,attacker,CyberBattleMicroSeg-thesis-v0,PPO,132066,144.205,2001,0,2001,1,7,0,4,6.204999999999986,620.0,,,,,,,,,
67,attacker,CyberBattleMicroSeg-thesis-v0,PPO,134067,197.82,2001,0,2001,1,6,0,4,31.820000000000253,7900.0,,,,,,,,,
68,attacker,CyberBattleMicroSeg-thesis-v0,PPO,136068,159.555,2001,0,2001,1,7,0,4,9.555000000000007,1985.0,,,,,,,,,
69,attacker,CyberBattleMicroSeg-thesis-v0,PPO,138069,335.705,2001,0,2001,1,7,0,4,34.705000000000304,8990.0,,,,,,,,,
70,attacker,CyberBattleMicroSeg-thesis-v0,PPO,140070,247.465,2001,0,2001,1,6,0,4,34.46500000000041,9325.0,,,,,,,,,
71,attacker,CyberBattleMicroSeg-thesis-v0,PPO,142071,193.2,2001,0,2001,1,6,0,4,11.19999999999996,1570.0,,,,,,,,,
72,attacker,CyberBattleMicroSeg-thesis-v0,PPO,144072,218.68,2001,0,2001,1,7,0,4,26.680000000000298,7565.0,,,,,,,,,
73,attacker,CyberBattleMicroSeg-thesis-v0,PPO,146073,197.915,2001,0,2001,1,6,0,4,19.915000000000123,5550.0,,,,,,,,,
74,attacker,CyberBattleMicroSeg-thesis-v0,PPO,148074,208.115,2001,0,2001,1,6,0,4,16.114999999999995,3900.0,,,,,,,,,
75,attacker,CyberBattleMicroSeg-thesis-v0,PPO,150075,146.415,2001,0,2001,1,231,0,4,4.414999999999998,725.0,,,,,,,,,
76,attacker,CyberBattleMicroSeg-thesis-v0,PPO,152076,209.12,2001,0,2001,1,6,0,4,25.120000000000225,6720.0,,,,,,,,,
77,attacker,CyberBattleMicroSeg-thesis-v0,PPO,154077,199.79,2001,0,2001,1,7,0,4,27.79000000000016,8700.0,,,,,,,,,
78,attacker,CyberBattleMicroSeg-thesis-v0,PPO,156078,172.21,2001,0,2001,1,6,0,3,16.210000000000143,5215.0,,,,,,,,,
