episode,agent,env_id,algorithm,timestep,episode_reward,episode_length,atk_invalid,atk_valid,atk_cj_reached,atk_cj_step,atk_won,atk_max_owned,atk_hold_reward,atk_eviction,def_reimage,def_block,def_allow,def_stop_svc,def_stop_svc_clean,def_start_svc,def_invalid,def_recovered,def_sla_break_steps
1,attacker,CyberBattleMicroSeg-thesis-v0,PPO,2001,178.7,2001,0,2001,0,-1,0,3,2.7000000000000015,45.0,,,,,,,,,
2,attacker,CyberBattleMicroSeg-thesis-v0,PPO,4002,71.255,2001,0,2001,0,-1,0,3,0.2550000000000001,45.0,,,,,,,,,
3,attacker,CyberBattleMicroSeg-thesis-v0,PPO,6003,163.02,2001,0,2001,0,-1,0,3,1.0200000000000005,60.0,,,,,,,,,
4,attacker,CyberBattleMicroSeg-thesis-v0,PPO,8004,178.56,2001,0,2001,0,-1,0,3,4.56,60.0,,,,,,,,,
5,attacker,CyberBattleMicroSeg-thesis-v0,PPO,10005,175.075,2001,0,2001,0,-1,0,3,3.0750000000000037,45.0,,,,,,,,,
6,attacker,CyberBattleMicroSeg-thesis-v0,PPO,12006,174.75,2001,0,2001,0,-1,0,3,0.7500000000000003,45.0,,,,,,,,,
7,attacker,CyberBattleMicroSeg-thesis-v0,PPO,14007,152.15,2001,0,2001,0,-1,0,3,0.15000000000000002,45.0,,,,,,,,,
8,attacker,CyberBattleMicroSeg-thesis-v0,PPO,16008,195.86,2001,0,2001,0,-1,0,3,1.8599999999999963,45.0,,,,,,,,,
9,attacker,CyberBattleMicroSeg-thesis-v0,PPO,18009,150.835,2001,0,2001,0,-1,0,3,2.834999999999996,45.0,,,,,,,,,
10,attacker,CyberBattleMicroSeg-thesis-v0,PPO,20010,171.615,2001,0,2001,0,-1,0,3,3.6149999999999904,60.0,,,,,,,,,
11,attacker,CyberBattleMicroSeg-thesis-v0,PPO,22011,163.62,2001,0,2001,0,-1,0,3,1.620000000000001,45.0,,,,,,,,,
12,attacker,CyberBattleMicroSeg-thesis-v0,PPO,24012,191.195,2001,0,2001,0,-1,0,3,3.195000000000005,45.0,,,,,,,,,
13,attacker,CyberBattleMicroSeg-thesis-v0,PPO,26013,174.025,2001,0,2001,0,-1,0,3,2.0249999999999955,45.0,,,,,,,,,
