phase,stufe,topology,attacker_name,defender_algo,run_id,episode,agent,env_id,algorithm,timestep,episode_reward,episode_length,atk_invalid,atk_valid,atk_cj_reached,atk_cj_step,atk_won,atk_max_owned,atk_hold_reward,atk_eviction,def_reimage,def_block,def_allow,def_stop_svc,def_stop_svc_clean,def_start_svc,def_invalid,def_recovered,def_sla_break_steps
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed4,1,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,15,5316.6451,15,0,15,1,9,1,10,1.6450000000000002,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed4,2,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,36,5317.6801,21,0,21,1,8,1,10,2.6799999999999997,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed4,3,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,57,5317.3251,21,0,21,1,14,1,10,2.325,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed4,4,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,82,5318.4301,25,0,25,1,13,1,10,3.4300000000000006,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed4,5,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,105,5318.1701,23,0,23,1,12,1,10,3.170000000000001,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed4,6,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,124,5316.9601,19,0,19,1,15,1,10,1.9600000000000004,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed4,7,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,158,5320.7951,34,0,34,1,9,1,10,5.794999999999998,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed4,8,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,177,5316.9601,19,0,19,1,14,1,10,1.9600000000000004,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed4,9,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,200,5227.0398,23,0,23,1,23,1,10,2.04,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed4,10,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,215,5316.2001,15,0,15,1,14,1,10,1.2,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed4,11,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,235,5226.7348,20,0,20,1,20,1,10,1.735,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed4,12,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,254,5323.2051,19,0,19,1,10,1,10,2.2050000000000005,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed4,13,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,278,5318.7801,24,0,24,1,6,1,10,3.780000000000001,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed4,14,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,305,5319.3451,27,0,27,1,6,1,10,4.345000000000001,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed4,15,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,329,5318.5951,24,0,24,1,10,1,10,3.5950000000000006,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed4,16,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,346,5317.1251,17,0,17,1,8,1,10,2.125,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed4,17,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,376,5315.0502,30,0,30,1,7,1,10,5.050000000000001,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed4,18,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,393,5316.8501,17,0,17,1,9,1,10,1.8500000000000005,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed4,19,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,412,5226.2298,19,0,19,1,19,1,10,1.2299999999999998,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed4,20,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,437,5318.6251,25,0,25,1,8,1,10,3.625,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed4,21,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,454,5226.3198,17,0,17,1,17,1,10,1.3199999999999998,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed4,22,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,473,5235.8998,19,0,19,1,19,1,10,0.9,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed4,23,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,494,5317.4401,21,0,21,1,11,1,10,2.4400000000000004,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed4,24,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,516,5306.9348,22,0,22,1,21,1,10,1.935,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed4,25,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,536,5317.5851,20,0,20,1,9,1,10,2.5850000000000004,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed3,1,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,14,5306.3248,14,0,14,1,9,1,10,1.3250000000000002,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed3,2,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,38,5226.7248,24,0,24,1,24,1,10,1.725,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed3,3,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,52,5306.4098,14,0,14,1,7,1,10,1.4100000000000004,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed3,4,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,76,5318.2951,24,0,24,1,13,1,10,3.295000000000001,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed3,5,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,98,5318.4401,22,0,22,1,5,1,10,3.440000000000001,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed3,6,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,115,5306.4798,17,0,17,1,14,1,10,1.4800000000000002,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed3,7,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,138,5313.1252,23,0,23,1,7,1,10,3.125000000000001,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed3,8,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,154,5316.6001,16,0,16,1,12,1,10,1.6000000000000003,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed3,9,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,175,5326.9901,21,0,21,1,15,1,10,1.9900000000000002,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed3,10,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,192,5316.8451,17,0,17,1,10,1,10,1.8450000000000004,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed3,11,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,216,5319.3552,24,0,24,1,11,1,10,3.355000000000001,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed3,12,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,233,5316.9451,17,0,17,1,7,1,10,1.945,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed3,13,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,263,5237.7948,30,0,30,1,30,1,10,2.794999999999999,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed3,14,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,279,5316.7651,16,0,16,1,10,1,10,1.7650000000000003,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed3,15,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,307,5308.6698,28,0,28,1,13,1,10,3.6699999999999995,0.0,,,,,,,,,
