phase,stufe,topology,attacker_name,defender_algo,run_id,episode,agent,env_id,algorithm,timestep,episode_reward,episode_length,atk_invalid,atk_valid,atk_cj_reached,atk_cj_step,atk_won,atk_max_owned,atk_hold_reward,atk_eviction,def_reimage,def_block,def_allow,def_stop_svc,def_stop_svc_clean,def_start_svc,def_invalid,def_recovered,def_sla_break_steps
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed0,1,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,21,5317.7401,21,0,21,1,7,1,10,2.7400000000000007,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed0,2,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,38,5316.9501,17,0,17,1,9,1,10,1.9500000000000004,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed0,3,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,60,5318.1552,22,0,22,1,17,1,10,2.155,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed0,4,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,102,5317.6952,42,0,42,1,7,1,10,7.694999999999998,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed0,5,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,122,5317.3651,20,0,20,1,11,1,10,2.365,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed0,6,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,158,5320.2451,36,0,36,1,16,1,10,5.244999999999999,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed0,7,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,179,5317.6051,21,0,21,1,11,1,10,2.6050000000000004,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed0,8,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,195,5311.2752,16,0,16,1,15,1,10,1.275,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed0,9,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,212,5306.6898,17,0,17,1,12,1,10,1.6900000000000002,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed0,10,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,230,5312.2652,18,0,18,1,9,1,10,2.265,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed0,11,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,253,5317.3351,23,0,23,1,17,1,10,2.3350000000000004,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed0,12,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,269,5301.37,16,0,16,1,11,1,10,1.3699999999999999,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed0,13,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,292,5318.5401,23,0,23,1,6,1,10,3.540000000000001,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed0,14,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,305,5316.0701,13,0,13,1,10,1,10,1.0700000000000003,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed0,15,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,322,5317.0001,17,0,17,1,8,1,10,2.0000000000000004,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed0,16,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,341,5226.5048,19,0,19,1,19,1,10,1.5050000000000001,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed0,17,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,357,5306.1198,16,0,16,1,15,1,10,1.1199999999999999,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed0,18,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,378,5311.635,21,0,21,1,18,1,10,1.635,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed0,19,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,405,5227.1598,27,0,27,1,27,1,10,2.16,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed0,20,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,429,5308.3348,24,0,24,1,9,1,10,3.335,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed0,21,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,447,5316.6651,18,0,18,1,12,1,10,1.6650000000000003,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed0,22,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,473,5324.5301,26,0,26,1,9,1,10,3.5300000000000007,0.0,,,,,,,,,
