phase,topology,attacker_name,status,attacker_model,defender_model,csv_log,total_timesteps,duration_sec,error
attacker_pretrain,chain,chain,success,/home/mika/projects/CBS_MARLon/experiments/20260818_004656/attackers/chain/ppo_attacker_CyberBattleChain_thesis_v0_20260818_004658_761640.zip,,/home/mika/projects/CBS_MARLon/experiments/20260818_004656/attackers/chain/training_log_CyberBattleChain_thesis_v0_20260818_004658_761640.csv,500000,,
attacker_pretrain,flat,flat,success,/home/mika/projects/CBS_MARLon/experiments/20260818_004656/attackers/flat/ppo_attacker_CyberBattleFlat_thesis_v0_20260818_004658_764227.zip,,/home/mika/projects/CBS_MARLon/experiments/20260818_004656/attackers/flat/training_log_CyberBattleFlat_thesis_v0_20260818_004658_764227.csv,500000,,
attacker_pretrain,hub_and_spoke,hub_and_spoke,success,/home/mika/projects/CBS_MARLon/experiments/20260818_004656/attackers/hub_and_spoke/ppo_attacker_CyberBattleHubSpoke_thesis_v0_20260818_004658_791339.zip,,/home/mika/projects/CBS_MARLon/experiments/20260818_004656/attackers/hub_and_spoke/training_log_CyberBattleHubSpoke_thesis_v0_20260818_004658_791339.csv,500000,,
attacker_pretrain,dmz,dmz,success,/home/mika/projects/CBS_MARLon/experiments/20260818_004656/attackers/dmz/ppo_attacker_CyberBattleDMZ_thesis_v0_20260818_004658_802252.zip,,/home/mika/projects/CBS_MARLon/experiments/20260818_004656/attackers/dmz/training_log_CyberBattleDMZ_thesis_v0_20260818_004658_802252.csv,500000,,
attacker_pretrain,micro_segmented,micro_segmented,success,/home/mika/projects/CBS_MARLon/experiments/20260818_004656/attackers/micro_segmented/ppo_attacker_CyberBattleMicroSeg_thesis_v0_20260818_004658_809360.zip,,/home/mika/projects/CBS_MARLon/experiments/20260818_004656/attackers/micro_segmented/training_log_CyberBattleMicroSeg_thesis_v0_20260818_004658_809360.csv,500000,,
attacker_pretrain_super_stage,chain,super_stage1_chain,success,/home/mika/projects/CBS_MARLon/experiments/20260818_004656/attackers/super/stage1_chain/ppo_attacker_CyberBattleChain_thesis_v0_20260818_014026_399510.zip,,/home/mika/projects/CBS_MARLon/experiments/20260818_004656/attackers/super/stage1_chain/training_log_CyberBattleChain_thesis_v0_20260818_014026_399510.csv,500000,,
attacker_pretrain_super_stage,flat,super_stage2_flat,success,/home/mika/projects/CBS_MARLon/experiments/20260818_004656/attackers/super/stage2_flat/ppo_attacker_CyberBattleFlat_thesis_v0_20260818_020848_963311.zip,,/home/mika/projects/CBS_MARLon/experiments/20260818_004656/attackers/super/stage2_flat/training_log_CyberBattleFlat_thesis_v0_20260818_020848_963311.csv,500000,,
attacker_pretrain_super_stage,hub_and_spoke,super_stage3_hub_and_spoke,success,/home/mika/projects/CBS_MARLon/experiments/20260818_004656/attackers/super/stage3_hub_and_spoke/ppo_attacker_CyberBattleHubSpoke_thesis_v0_20260818_023638_930383.zip,,/home/mika/projects/CBS_MARLon/experiments/20260818_004656/attackers/super/stage3_hub_and_spoke/training_log_CyberBattleHubSpoke_thesis_v0_20260818_023638_930383.csv,500000,,
attacker_pretrain_super_stage,dmz,super_stage4_dmz,success,/home/mika/projects/CBS_MARLon/experiments/20260818_004656/attackers/super/stage4_dmz/ppo_attacker_CyberBattleDMZ_thesis_v0_20260818_030448_177090.zip,,/home/mika/projects/CBS_MARLon/experiments/20260818_004656/attackers/super/stage4_dmz/training_log_CyberBattleDMZ_thesis_v0_20260818_030448_177090.csv,500000,,
attacker_pretrain_super_stage,micro_segmented,super_stage5_micro_segmented,success,/home/mika/projects/CBS_MARLon/experiments/20260818_004656/attackers/super/stage5_micro_segmented/ppo_attacker_CyberBattleMicroSeg_thesis_v0_20260818_033237_674229.zip,,/home/mika/projects/CBS_MARLon/experiments/20260818_004656/attackers/super/stage5_micro_segmented/training_log_CyberBattleMicroSeg_thesis_v0_20260818_033237_674229.csv,500000,,
