episode,agent,env_id,algorithm,timestep,episode_reward,episode_length,atk_invalid,atk_valid,atk_cj_reached,atk_cj_step,atk_won,atk_max_owned,atk_hold_reward,atk_eviction,def_reimage,def_block,def_allow,def_stop_svc,def_stop_svc_clean,def_start_svc,def_invalid,def_recovered,def_sla_break_steps,def_abwehr_reward,def_abgeschirmt
1,attacker,CyberBattleChain-thesis-v0,PPO,54,5333.05,54,0,54,1,54,1,10,12.050000000000006,0.0,,,,,,,,,,,
2,attacker,CyberBattleChain-thesis-v0,PPO,103,5335.6,49,0,49,1,49,1,10,10.600000000000007,0.0,,,,,,,,,,,
3,attacker,CyberBattleChain-thesis-v0,PPO,151,5337.925,48,0,48,1,48,1,10,12.925000000000008,0.0,,,,,,,,,,,
4,attacker,CyberBattleChain-thesis-v0,PPO,193,5326.85,42,0,42,1,42,1,10,11.850000000000007,0.0,,,,,,,,,,,
5,attacker,CyberBattleChain-thesis-v0,PPO,256,5346.175,63,0,63,1,63,1,10,15.175000000000008,0.0,,,,,,,,,,,
6,attacker,CyberBattleChain-thesis-v0,PPO,301,5331.675,45,0,45,1,45,1,10,10.675000000000006,0.0,,,,,,,,,,,
7,attacker,CyberBattleChain-thesis-v0,PPO,358,5327.125,57,0,57,1,57,1,10,12.125000000000007,0.0,,,,,,,,,,,
8,attacker,CyberBattleChain-thesis-v0,PPO,412,5337.325,54,0,54,1,54,1,10,12.325000000000006,0.0,,,,,,,,,,,
9,attacker,CyberBattleChain-thesis-v0,PPO,463,5327.05,51,0,51,1,51,1,10,12.050000000000006,0.0,,,,,,,,,,,
10,attacker,CyberBattleChain-thesis-v0,PPO,505,5325.275,42,0,42,1,42,1,10,10.275000000000006,0.0,,,,,,,,,,,
11,attacker,CyberBattleChain-thesis-v0,PPO,567,5327.825,62,0,62,1,62,1,10,12.825000000000008,0.0,,,,,,,,,,,
12,attacker,CyberBattleChain-thesis-v0,PPO,614,5335.05,47,0,47,1,47,1,10,10.050000000000004,0.0,,,,,,,,,,,
13,attacker,CyberBattleChain-thesis-v0,PPO,675,5346.2,61,0,61,1,61,1,10,11.200000000000006,0.0,,,,,,,,,,,
14,attacker,CyberBattleChain-thesis-v0,PPO,736,5329.75,61,0,61,1,61,1,10,14.750000000000009,0.0,,,,,,,,,,,
15,attacker,CyberBattleChain-thesis-v0,PPO,791,5335.925,55,0,55,1,55,1,10,10.925000000000004,0.0,,,,,,,,,,,
16,attacker,CyberBattleChain-thesis-v0,PPO,828,5324.35,37,0,37,1,37,1,10,9.350000000000005,0.0,,,,,,,,,,,
17,attacker,CyberBattleChain-thesis-v0,PPO,873,5328.575,45,0,45,1,45,1,10,13.575000000000008,0.0,,,,,,,,,,,
18,attacker,CyberBattleChain-thesis-v0,PPO,916,5325.4,43,0,43,1,43,1,10,10.400000000000006,0.0,,,,,,,,,,,
19,attacker,CyberBattleChain-thesis-v0,PPO,968,5328.05,52,0,52,1,52,1,10,13.050000000000008,0.0,,,,,,,,,,,
20,attacker,CyberBattleChain-thesis-v0,PPO,1018,5326.0,50,0,50,1,50,1,10,11.000000000000007,0.0,,,,,,,,,,,
21,attacker,CyberBattleChain-thesis-v0,PPO,1065,5337.725,47,0,47,1,47,1,10,12.725000000000007,0.0,,,,,,,,,,,
22,attacker,CyberBattleChain-thesis-v0,PPO,1105,5334.55,40,0,40,1,40,1,10,9.550000000000004,0.0,,,,,,,,,,,
23,attacker,CyberBattleChain-thesis-v0,PPO,1157,5326.6,52,0,52,1,52,1,10,11.600000000000007,0.0,,,,,,,,,,,
24,attacker,CyberBattleChain-thesis-v0,PPO,1208,5337.15,51,0,51,1,51,1,10,12.150000000000006,0.0,,,,,,,,,,,
25,attacker,CyberBattleChain-thesis-v0,PPO,1258,5326.85,50,0,50,1,50,1,10,11.850000000000007,0.0,,,,,,,,,,,
26,attacker,CyberBattleChain-thesis-v0,PPO,1305,5335.725,47,0,47,1,47,1,10,10.725000000000007,0.0,,,,,,,,,,,
27,attacker,CyberBattleChain-thesis-v0,PPO,1356,5326.525,51,0,51,1,51,1,10,11.525000000000007,0.0,,,,,,,,,,,
28,attacker,CyberBattleChain-thesis-v0,PPO,1410,5336.175,54,0,54,1,54,1,10,11.175000000000004,0.0,,,,,,,,,,,
29,attacker,CyberBattleChain-thesis-v0,PPO,1458,5339.875,48,0,48,1,48,1,10,14.875000000000009,0.0,,,,,,,,,,,
30,attacker,CyberBattleChain-thesis-v0,PPO,1507,5338.7,49,0,49,1,49,1,10,11.700000000000006,0.0,,,,,,,,,,,
31,attacker,CyberBattleChain-thesis-v0,PPO,1559,5336.425,52,0,52,1,52,1,10,11.425000000000006,0.0,,,,,,,,,,,
32,attacker,CyberBattleChain-thesis-v0,PPO,1600,5345.825,41,0,41,1,41,1,10,10.825000000000006,0.0,,,,,,,,,,,
33,attacker,CyberBattleChain-thesis-v0,PPO,1641,5325.025,41,0,41,1,41,1,10,10.025000000000006,0.0,,,,,,,,,,,
34,attacker,CyberBattleChain-thesis-v0,PPO,1698,5328.1,57,0,57,1,57,1,10,13.100000000000009,0.0,,,,,,,,,,,
35,attacker,CyberBattleChain-thesis-v0,PPO,1753,5326.475,55,0,55,1,55,1,10,11.475000000000005,0.0,,,,,,,,,,,
36,attacker,CyberBattleChain-thesis-v0,PPO,1803,5337.2,50,0,50,1,50,1,10,12.200000000000006,0.0,,,,,,,,,,,
37,attacker,CyberBattleChain-thesis-v0,PPO,1863,5326.55,60,0,60,1,60,1,10,11.550000000000006,0.0,,,,,,,,,,,
38,attacker,CyberBattleChain-thesis-v0,PPO,1913,5327.6,50,0,50,1,50,1,10,12.600000000000007,0.0,,,,,,,,,,,
39,attacker,CyberBattleChain-thesis-v0,PPO,1981,5349.25,68,0,68,1,68,1,10,12.250000000000005,0.0,,,,,,,,,,,
40,attacker,CyberBattleChain-thesis-v0,PPO,2026,5336.1,45,0,45,1,45,1,10,11.100000000000005,0.0,,,,,,,,,,,
41,attacker,CyberBattleChain-thesis-v0,PPO,2074,5326.2,48,0,48,1,48,1,10,11.200000000000006,0.0,,,,,,,,,,,
42,attacker,CyberBattleChain-thesis-v0,PPO,2130,5326.0,56,0,56,1,56,1,10,11.000000000000007,0.0,,,,,,,,,,,
43,attacker,CyberBattleChain-thesis-v0,PPO,2184,5336.8,54,0,54,1,54,1,10,11.800000000000008,0.0,,,,,,,,,,,
44,attacker,CyberBattleChain-thesis-v0,PPO,2241,5328.15,57,0,57,1,57,1,10,13.150000000000007,0.0,,,,,,,,,,,
45,attacker,CyberBattleChain-thesis-v0,PPO,2295,5326.475,54,0,54,1,54,1,10,11.475000000000007,0.0,,,,,,,,,,,
46,attacker,CyberBattleChain-thesis-v0,PPO,2346,5326.15,51,0,51,1,51,1,10,11.150000000000006,0.0,,,,,,,,,,,
47,attacker,CyberBattleChain-thesis-v0,PPO,2387,5324.175,41,0,41,1,41,1,10,9.175000000000002,0.0,,,,,,,,,,,
48,attacker,CyberBattleChain-thesis-v0,PPO,2438,5326.8,51,0,51,1,51,1,10,11.800000000000006,0.0,,,,,,,,,,,
