episode,agent,env_id,algorithm,timestep,episode_reward,episode_length,atk_invalid,atk_valid,atk_cj_reached,atk_cj_step,atk_won,atk_max_owned,atk_hold_reward,atk_eviction,def_reimage,def_block,def_allow,def_stop_svc,def_stop_svc_clean,def_start_svc,def_invalid,def_recovered,def_sla_break_steps,def_abwehr_reward,def_abgeschirmt
1,attacker,CyberBattleDMZ-thesis-v0,PPO,18,5338.425,18,0,18,1,17,1,10,5.425000000000001,0.0,,,,,,,,,,,
2,attacker,CyberBattleDMZ-thesis-v0,PPO,46,5330.55,28,0,28,1,26,1,10,7.550000000000001,0.0,,,,,,,,,,,
3,attacker,CyberBattleDMZ-thesis-v0,PPO,79,5354.025,33,0,33,1,31,1,10,11.024999999999999,0.0,,,,,,,,,,,
4,attacker,CyberBattleDMZ-thesis-v0,PPO,102,5329.775,23,0,23,1,12,1,10,11.775,0.0,,,,,,,,,,,
5,attacker,CyberBattleDMZ-thesis-v0,PPO,127,5336.675,25,0,25,1,12,1,10,13.675,0.0,,,,,,,,,,,
6,attacker,CyberBattleDMZ-thesis-v0,PPO,157,5253.05,30,0,30,1,30,1,10,10.05,0.0,,,,,,,,,,,
7,attacker,CyberBattleDMZ-thesis-v0,PPO,206,5353.675,49,0,49,1,23,1,10,29.675,0.0,,,,,,,,,,,
8,attacker,CyberBattleDMZ-thesis-v0,PPO,240,5345.775,34,0,34,1,18,1,10,17.774999999999995,0.0,,,,,,,,,,,
9,attacker,CyberBattleDMZ-thesis-v0,PPO,273,5253.2,33,0,33,1,33,1,10,10.200000000000003,0.0,,,,,,,,,,,
10,attacker,CyberBattleDMZ-thesis-v0,PPO,308,5360.475,35,0,35,1,20,1,10,21.475,0.0,,,,,,,,,,,
11,attacker,CyberBattleDMZ-thesis-v0,PPO,339,5355.575,31,0,31,1,17,1,10,16.574999999999996,0.0,,,,,,,,,,,
12,attacker,CyberBattleDMZ-thesis-v0,PPO,364,5341.4,25,0,25,1,13,1,10,13.399999999999999,0.0,,,,,,,,,,,
13,attacker,CyberBattleDMZ-thesis-v0,PPO,400,5340.025,36,0,36,1,16,1,10,22.025000000000006,0.0,,,,,,,,,,,
14,attacker,CyberBattleDMZ-thesis-v0,PPO,434,5353.975,34,0,34,1,18,1,10,20.975,0.0,,,,,,,,,,,
15,attacker,CyberBattleDMZ-thesis-v0,PPO,466,5356.55,32,0,32,1,17,1,10,17.55,0.0,,,,,,,,,,,
16,attacker,CyberBattleDMZ-thesis-v0,PPO,485,5339.85,19,0,19,1,15,1,10,6.8500000000000005,0.0,,,,,,,,,,,
17,attacker,CyberBattleDMZ-thesis-v0,PPO,509,5326.875,24,0,24,1,18,1,10,8.875,0.0,,,,,,,,,,,
18,attacker,CyberBattleDMZ-thesis-v0,PPO,552,5258.375,43,0,43,1,43,1,10,15.375000000000005,0.0,,,,,,,,,,,
19,attacker,CyberBattleDMZ-thesis-v0,PPO,569,5328.7,17,0,17,1,13,1,10,5.7,0.0,,,,,,,,,,,
20,attacker,CyberBattleDMZ-thesis-v0,PPO,602,5337.35,33,0,33,1,16,1,10,19.350000000000005,0.0,,,,,,,,,,,
21,attacker,CyberBattleDMZ-thesis-v0,PPO,631,5345.175,29,0,29,1,19,1,10,12.175,0.0,,,,,,,,,,,
