episode,agent,env_id,algorithm,timestep,episode_reward,episode_length,atk_invalid,atk_valid,atk_cj_reached,atk_cj_step,atk_won,atk_max_owned,atk_hold_reward,atk_eviction,def_reimage,def_block,def_allow,def_stop_svc,def_stop_svc_clean,def_start_svc,def_invalid,def_recovered,def_sla_break_steps,def_abwehr_reward,def_abgeschirmt
1,attacker,CyberBattleFlat-thesis-v0,PPO,186,5531.15,186,0,186,1,13,1,10,183.14999999999932,0.0,,,,,,,,,,,
2,attacker,CyberBattleFlat-thesis-v0,PPO,248,5407.775,62,0,62,1,11,1,10,49.775000000000034,0.0,,,,,,,,,,,
3,attacker,CyberBattleFlat-thesis-v0,PPO,368,5437.85,120,0,120,1,13,1,10,114.8500000000002,0.0,,,,,,,,,,,
4,attacker,CyberBattleFlat-thesis-v0,PPO,422,5390.575,54,0,54,1,18,1,10,37.575,0.0,,,,,,,,,,,
5,attacker,CyberBattleFlat-thesis-v0,PPO,461,5356.35,39,0,39,1,17,1,10,23.350000000000005,0.0,,,,,,,,,,,
6,attacker,CyberBattleFlat-thesis-v0,PPO,530,5413.7,69,0,69,1,10,1,10,55.69999999999994,0.0,,,,,,,,,,,
7,attacker,CyberBattleFlat-thesis-v0,PPO,588,5420.55,58,0,58,1,16,1,10,47.54999999999999,0.0,,,,,,,,,,,
8,attacker,CyberBattleFlat-thesis-v0,PPO,630,5362.975,42,0,42,1,15,1,10,29.974999999999998,0.0,,,,,,,,,,,
9,attacker,CyberBattleFlat-thesis-v0,PPO,674,5381.925,44,0,44,1,20,1,10,24.924999999999994,0.0,,,,,,,,,,,
10,attacker,CyberBattleFlat-thesis-v0,PPO,794,5430.325,120,0,120,1,56,1,10,97.32499999999997,0.0,,,,,,,,,,,
11,attacker,CyberBattleFlat-thesis-v0,PPO,879,5411.8,85,0,85,1,13,1,10,72.80000000000001,0.0,,,,,,,,,,,
12,attacker,CyberBattleFlat-thesis-v0,PPO,943,5409.075,64,0,64,1,9,1,10,56.07499999999999,0.0,,,,,,,,,,,
13,attacker,CyberBattleFlat-thesis-v0,PPO,1017,5394.275,74,0,74,1,17,1,10,61.27500000000006,0.0,,,,,,,,,,,
14,attacker,CyberBattleFlat-thesis-v0,PPO,1073,5385.175,56,0,56,1,6,1,10,46.175,0.0,,,,,,,,,,,
15,attacker,CyberBattleFlat-thesis-v0,PPO,1155,5436.675,82,0,82,1,10,1,10,73.67499999999998,0.0,,,,,,,,,,,
16,attacker,CyberBattleFlat-thesis-v0,PPO,1193,5358.8,38,0,38,1,16,1,10,25.799999999999997,0.0,,,,,,,,,,,
17,attacker,CyberBattleFlat-thesis-v0,PPO,1254,5387.0,61,0,61,1,13,1,10,47.99999999999999,0.0,,,,,,,,,,,
18,attacker,CyberBattleFlat-thesis-v0,PPO,1319,5406.95,65,0,65,1,11,1,10,53.949999999999996,0.0,,,,,,,,,,,
19,attacker,CyberBattleFlat-thesis-v0,PPO,1411,5429.1,92,0,92,1,13,1,10,81.09999999999997,0.0,,,,,,,,,,,
20,attacker,CyberBattleFlat-thesis-v0,PPO,1545,5469.85,134,0,134,1,15,1,10,121.84999999999978,0.0,,,,,,,,,,,
21,attacker,CyberBattleFlat-thesis-v0,PPO,1640,5415.725,95,0,95,1,12,1,10,82.725,0.0,,,,,,,,,,,
22,attacker,CyberBattleFlat-thesis-v0,PPO,1711,5277.625,71,0,71,1,71,1,10,34.625,0.0,,,,,,,,,,,
23,attacker,CyberBattleFlat-thesis-v0,PPO,1757,5357.1,46,0,46,1,11,1,10,34.099999999999994,0.0,,,,,,,,,,,
24,attacker,CyberBattleFlat-thesis-v0,PPO,1818,5370.85,61,0,61,1,17,1,10,42.850000000000016,0.0,,,,,,,,,,,
25,attacker,CyberBattleFlat-thesis-v0,PPO,1862,5369.175,44,0,44,1,6,1,10,36.175,0.0,,,,,,,,,,,
26,attacker,CyberBattleFlat-thesis-v0,PPO,1944,5408.225,82,0,82,1,8,1,10,70.22499999999994,0.0,,,,,,,,,,,
27,attacker,CyberBattleFlat-thesis-v0,PPO,2016,5417.475,72,0,72,1,16,1,10,53.474999999999945,0.0,,,,,,,,,,,
28,attacker,CyberBattleFlat-thesis-v0,PPO,2071,5377.575,55,0,55,1,11,1,10,39.57499999999999,0.0,,,,,,,,,,,
29,attacker,CyberBattleFlat-thesis-v0,PPO,2101,5361.275,30,0,30,1,7,1,10,22.275,0.0,,,,,,,,,,,
