episode,agent,env_id,algorithm,timestep,episode_reward,episode_length,atk_invalid,atk_valid,atk_cj_reached,atk_cj_step,atk_won,atk_max_owned,atk_hold_reward,atk_eviction,def_reimage,def_block,def_allow,def_stop_svc,def_stop_svc_clean,def_start_svc,def_invalid,def_recovered,def_sla_break_steps,def_abwehr_reward,def_abgeschirmt
1,attacker,CyberBattleHubSpoke-thesis-v0,PPO,66,5380.1,66,0,66,1,11,1,10,53.09999999999998,0.0,,,,,,,,,,,
2,attacker,CyberBattleHubSpoke-thesis-v0,PPO,114,5371.775,48,0,48,1,11,1,10,34.77499999999998,0.0,,,,,,,,,,,
3,attacker,CyberBattleHubSpoke-thesis-v0,PPO,162,5364.6,48,0,48,1,13,1,10,32.6,0.0,,,,,,,,,,,
4,attacker,CyberBattleHubSpoke-thesis-v0,PPO,261,5296.275,99,0,99,1,99,1,10,49.27499999999995,0.0,,,,,,,,,,,
5,attacker,CyberBattleHubSpoke-thesis-v0,PPO,313,5363.425,52,0,52,1,9,1,10,41.425000000000004,0.0,,,,,,,,,,,
6,attacker,CyberBattleHubSpoke-thesis-v0,PPO,369,5362.55,56,0,56,1,14,1,10,35.55000000000001,0.0,,,,,,,,,,,
7,attacker,CyberBattleHubSpoke-thesis-v0,PPO,430,5377.375,61,0,61,1,11,1,10,50.37500000000002,0.0,,,,,,,,,,,
8,attacker,CyberBattleHubSpoke-thesis-v0,PPO,488,5363.925,58,0,58,1,9,1,10,46.92500000000003,0.0,,,,,,,,,,,
9,attacker,CyberBattleHubSpoke-thesis-v0,PPO,513,5340.85,25,0,25,1,10,1,10,13.85,0.0,,,,,,,,,,,
10,attacker,CyberBattleHubSpoke-thesis-v0,PPO,603,5410.65,90,0,90,1,10,1,10,83.65,0.0,,,,,,,,,,,
11,attacker,CyberBattleHubSpoke-thesis-v0,PPO,652,5358.0,49,0,49,1,12,1,10,35.99999999999999,0.0,,,,,,,,,,,
12,attacker,CyberBattleHubSpoke-thesis-v0,PPO,705,5369.875,53,0,53,1,6,1,10,42.87499999999999,0.0,,,,,,,,,,,
13,attacker,CyberBattleHubSpoke-thesis-v0,PPO,793,5419.85,88,0,88,1,13,1,10,75.84999999999994,0.0,,,,,,,,,,,
14,attacker,CyberBattleHubSpoke-thesis-v0,PPO,846,5364.375,53,0,53,1,12,1,10,37.37500000000001,0.0,,,,,,,,,,,
15,attacker,CyberBattleHubSpoke-thesis-v0,PPO,876,5328.325,30,0,30,1,27,1,10,11.325000000000001,0.0,,,,,,,,,,,
16,attacker,CyberBattleHubSpoke-thesis-v0,PPO,911,5344.95,35,0,35,1,8,1,10,22.950000000000006,0.0,,,,,,,,,,,
17,attacker,CyberBattleHubSpoke-thesis-v0,PPO,951,5345.175,40,0,40,1,13,1,10,23.175000000000004,0.0,,,,,,,,,,,
