episode,agent,env_id,algorithm,timestep,episode_reward,episode_length,atk_invalid,atk_valid,atk_cj_reached,atk_cj_step,atk_won,atk_max_owned,atk_hold_reward,atk_eviction,def_reimage,def_block,def_allow,def_stop_svc,def_stop_svc_clean,def_start_svc,def_invalid,def_recovered,def_sla_break_steps,def_abwehr_reward,def_abgeschirmt
1,attacker,CyberBattleMicroSeg-thesis-v0,PPO,2001,1647.6,2001,0,2001,1,160,0,4,1360.5999999999804,0.0,,,,,,,,,,,
2,attacker,CyberBattleMicroSeg-thesis-v0,PPO,4002,1668.2,2001,0,2001,1,108,0,4,1381.1999999999778,0.0,,,,,,,,,,,
3,attacker,CyberBattleMicroSeg-thesis-v0,PPO,6003,1575.475,2001,0,2001,1,287,0,4,1288.4749999999897,0.0,,,,,,,,,,,
4,attacker,CyberBattleMicroSeg-thesis-v0,PPO,8004,1699.175,2001,0,2001,1,66,0,4,1412.174999999974,0.0,,,,,,,,,,,
5,attacker,CyberBattleMicroSeg-thesis-v0,PPO,10005,1654.575,2001,0,2001,1,142,0,4,1367.5749999999796,0.0,,,,,,,,,,,
6,attacker,CyberBattleMicroSeg-thesis-v0,PPO,12006,1625.75,2001,0,2001,1,180,0,4,1338.7499999999832,0.0,,,,,,,,,,,
7,attacker,CyberBattleMicroSeg-thesis-v0,PPO,14007,1663.475,2001,0,2001,1,123,0,4,1376.4749999999783,0.0,,,,,,,,,,,
8,attacker,CyberBattleMicroSeg-thesis-v0,PPO,16008,1701.825,2001,0,2001,1,64,0,4,1414.8249999999737,0.0,,,,,,,,,,,
9,attacker,CyberBattleMicroSeg-thesis-v0,PPO,18009,1664.3,2001,0,2001,1,129,0,4,1377.2999999999784,0.0,,,,,,,,,,,
10,attacker,CyberBattleMicroSeg-thesis-v0,PPO,20010,1669.175,2001,0,2001,1,119,0,4,1378.1749999999781,0.0,,,,,,,,,,,
11,attacker,CyberBattleMicroSeg-thesis-v0,PPO,22011,1700.2,2001,0,2001,1,68,0,4,1413.199999999974,0.0,,,,,,,,,,,
12,attacker,CyberBattleMicroSeg-thesis-v0,PPO,24012,1721.75,2001,0,2001,1,27,0,4,1434.7499999999711,0.0,,,,,,,,,,,
13,attacker,CyberBattleMicroSeg-thesis-v0,PPO,26013,1715.475,2001,0,2001,1,40,0,4,1428.474999999972,0.0,,,,,,,,,,,
14,attacker,CyberBattleMicroSeg-thesis-v0,PPO,28014,1693.65,2001,0,2001,1,79,0,4,1406.6499999999746,0.0,,,,,,,,,,,
15,attacker,CyberBattleMicroSeg-thesis-v0,PPO,30015,1719.5,2001,0,2001,1,30,0,4,1432.4999999999714,0.0,,,,,,,,,,,
16,attacker,CyberBattleMicroSeg-thesis-v0,PPO,32016,1716.75,2001,0,2001,1,37,0,4,1429.7499999999718,0.0,,,,,,,,,,,
17,attacker,CyberBattleMicroSeg-thesis-v0,PPO,34017,1719.625,2001,0,2001,1,29,0,4,1432.6249999999714,0.0,,,,,,,,,,,
18,attacker,CyberBattleMicroSeg-thesis-v0,PPO,36018,1713.1,2001,0,2001,1,41,0,4,1426.0999999999722,0.0,,,,,,,,,,,
19,attacker,CyberBattleMicroSeg-thesis-v0,PPO,38019,1728.2,2001,0,2001,1,15,0,4,1441.1999999999703,0.0,,,,,,,,,,,
