episode,agent,env_id,algorithm,timestep,episode_reward,episode_length,atk_invalid,atk_valid,atk_cj_reached,atk_cj_step,atk_won,atk_max_owned,atk_hold_reward,atk_eviction,def_reimage,def_block,def_allow,def_stop_svc,def_stop_svc_clean,def_start_svc,def_invalid,def_recovered,def_sla_break_steps,def_abwehr_reward,def_abgeschirmt
1,attacker,CyberBattleChain-thesis-v0,PPO,41,5335.95,41,0,41,1,41,1,10,10.950000000000006,0.0,,,,,,,,,,,
2,attacker,CyberBattleChain-thesis-v0,PPO,91,5327.425,50,0,50,1,50,1,10,12.425000000000008,0.0,,,,,,,,,,,
3,attacker,CyberBattleChain-thesis-v0,PPO,131,5324.725,40,0,40,1,40,1,10,9.725000000000005,0.0,,,,,,,,,,,
4,attacker,CyberBattleChain-thesis-v0,PPO,167,5325.0,36,0,36,1,36,1,10,10.000000000000005,0.0,,,,,,,,,,,
5,attacker,CyberBattleChain-thesis-v0,PPO,209,5325.5,42,0,42,1,42,1,10,10.500000000000005,0.0,,,,,,,,,,,
6,attacker,CyberBattleChain-thesis-v0,PPO,253,5324.925,44,0,44,1,44,1,10,9.925000000000004,0.0,,,,,,,,,,,
7,attacker,CyberBattleChain-thesis-v0,PPO,294,5324.375,41,0,41,1,41,1,10,9.375000000000004,0.0,,,,,,,,,,,
8,attacker,CyberBattleChain-thesis-v0,PPO,345,5333.85,51,0,51,1,51,1,10,12.850000000000007,0.0,,,,,,,,,,,
9,attacker,CyberBattleChain-thesis-v0,PPO,392,5326.65,47,0,47,1,47,1,10,11.650000000000006,0.0,,,,,,,,,,,
10,attacker,CyberBattleChain-thesis-v0,PPO,430,5323.15,38,0,38,1,38,1,10,8.150000000000002,0.0,,,,,,,,,,,
11,attacker,CyberBattleChain-thesis-v0,PPO,473,5325.175,43,0,43,1,43,1,10,10.175000000000004,0.0,,,,,,,,,,,
12,attacker,CyberBattleChain-thesis-v0,PPO,518,5335.0,45,0,45,1,45,1,10,10.000000000000005,0.0,,,,,,,,,,,
13,attacker,CyberBattleChain-thesis-v0,PPO,565,5327.0,47,0,47,1,47,1,10,12.000000000000007,0.0,,,,,,,,,,,
14,attacker,CyberBattleChain-thesis-v0,PPO,607,5324.85,42,0,42,1,42,1,10,9.850000000000005,0.0,,,,,,,,,,,
15,attacker,CyberBattleChain-thesis-v0,PPO,647,5325.175,40,0,40,1,40,1,10,10.175000000000004,0.0,,,,,,,,,,,
16,attacker,CyberBattleChain-thesis-v0,PPO,706,5328.525,59,0,59,1,59,1,10,13.525000000000007,0.0,,,,,,,,,,,
17,attacker,CyberBattleChain-thesis-v0,PPO,754,5344.95,48,0,48,1,48,1,10,9.950000000000005,0.0,,,,,,,,,,,
18,attacker,CyberBattleChain-thesis-v0,PPO,790,5324.425,36,0,36,1,36,1,10,9.425000000000004,0.0,,,,,,,,,,,
19,attacker,CyberBattleChain-thesis-v0,PPO,831,5325.8,41,0,41,1,41,1,10,10.800000000000006,0.0,,,,,,,,,,,
20,attacker,CyberBattleChain-thesis-v0,PPO,864,5329.35,33,0,33,1,33,1,10,8.350000000000001,0.0,,,,,,,,,,,
21,attacker,CyberBattleChain-thesis-v0,PPO,925,5349.85,61,0,61,1,61,1,10,14.850000000000009,0.0,,,,,,,,,,,
22,attacker,CyberBattleChain-thesis-v0,PPO,969,5334.75,44,0,44,1,44,1,10,9.750000000000004,0.0,,,,,,,,,,,
23,attacker,CyberBattleChain-thesis-v0,PPO,1021,5327.8,52,0,52,1,52,1,10,12.800000000000006,0.0,,,,,,,,,,,
24,attacker,CyberBattleChain-thesis-v0,PPO,1070,5340.275,49,0,49,1,49,1,10,13.275000000000007,0.0,,,,,,,,,,,
25,attacker,CyberBattleChain-thesis-v0,PPO,1116,5332.625,46,0,46,1,46,1,10,11.625000000000007,0.0,,,,,,,,,,,
26,attacker,CyberBattleChain-thesis-v0,PPO,1156,5326.325,40,0,40,1,40,1,10,11.325000000000005,0.0,,,,,,,,,,,
27,attacker,CyberBattleChain-thesis-v0,PPO,1202,5325.425,46,0,46,1,46,1,10,10.425000000000006,0.0,,,,,,,,,,,
28,attacker,CyberBattleChain-thesis-v0,PPO,1252,5326.225,50,0,50,1,50,1,10,11.225000000000005,0.0,,,,,,,,,,,
29,attacker,CyberBattleChain-thesis-v0,PPO,1291,5323.825,39,0,39,1,39,1,10,8.825000000000003,0.0,,,,,,,,,,,
30,attacker,CyberBattleChain-thesis-v0,PPO,1327,5324.825,36,0,36,1,36,1,10,9.825000000000005,0.0,,,,,,,,,,,
31,attacker,CyberBattleChain-thesis-v0,PPO,1379,5327.525,52,0,52,1,52,1,10,12.525000000000006,0.0,,,,,,,,,,,
32,attacker,CyberBattleChain-thesis-v0,PPO,1426,5325.85,47,0,47,1,47,1,10,10.850000000000007,0.0,,,,,,,,,,,
33,attacker,CyberBattleChain-thesis-v0,PPO,1478,5327.2,52,0,52,1,52,1,10,12.200000000000008,0.0,,,,,,,,,,,
34,attacker,CyberBattleChain-thesis-v0,PPO,1530,5327.425,52,0,52,1,52,1,10,12.425000000000006,0.0,,,,,,,,,,,
35,attacker,CyberBattleChain-thesis-v0,PPO,1575,5326.6,45,0,45,1,45,1,10,11.600000000000007,0.0,,,,,,,,,,,
36,attacker,CyberBattleChain-thesis-v0,PPO,1616,5329.9,41,0,41,1,41,1,10,8.900000000000004,0.0,,,,,,,,,,,
37,attacker,CyberBattleChain-thesis-v0,PPO,1669,5327.8,53,0,53,1,53,1,10,12.800000000000008,0.0,,,,,,,,,,,
38,attacker,CyberBattleChain-thesis-v0,PPO,1713,5323.975,44,0,44,1,44,1,10,8.975000000000003,0.0,,,,,,,,,,,
39,attacker,CyberBattleChain-thesis-v0,PPO,1761,5325.925,48,0,48,1,48,1,10,10.925000000000006,0.0,,,,,,,,,,,
40,attacker,CyberBattleChain-thesis-v0,PPO,1813,5341.275,52,0,52,1,52,1,10,16.27500000000001,0.0,,,,,,,,,,,
41,attacker,CyberBattleChain-thesis-v0,PPO,1869,5327.5,56,0,56,1,56,1,10,12.500000000000007,0.0,,,,,,,,,,,
42,attacker,CyberBattleChain-thesis-v0,PPO,1910,5328.025,41,0,41,1,41,1,10,13.025000000000007,0.0,,,,,,,,,,,
43,attacker,CyberBattleChain-thesis-v0,PPO,1949,5324.45,39,0,39,1,39,1,10,9.450000000000005,0.0,,,,,,,,,,,
44,attacker,CyberBattleChain-thesis-v0,PPO,1990,5325.025,41,0,41,1,41,1,10,10.025000000000004,0.0,,,,,,,,,,,
45,attacker,CyberBattleChain-thesis-v0,PPO,2023,5323.475,33,0,33,1,33,1,10,8.475000000000001,0.0,,,,,,,,,,,
46,attacker,CyberBattleChain-thesis-v0,PPO,2073,5327.45,50,0,50,1,50,1,10,12.450000000000006,0.0,,,,,,,,,,,
47,attacker,CyberBattleChain-thesis-v0,PPO,2129,5328.5,56,0,56,1,56,1,10,13.500000000000009,0.0,,,,,,,,,,,
48,attacker,CyberBattleChain-thesis-v0,PPO,2171,5324.45,42,0,42,1,42,1,10,9.450000000000005,0.0,,,,,,,,,,,
49,attacker,CyberBattleChain-thesis-v0,PPO,2224,5328.1,53,0,53,1,53,1,10,13.100000000000007,0.0,,,,,,,,,,,
50,attacker,CyberBattleChain-thesis-v0,PPO,2268,5331.55,44,0,44,1,44,1,10,10.550000000000006,0.0,,,,,,,,,,,
51,attacker,CyberBattleChain-thesis-v0,PPO,2317,5326.475,49,0,49,1,49,1,10,11.475000000000007,0.0,,,,,,,,,,,
52,attacker,CyberBattleChain-thesis-v0,PPO,2361,5328.05,44,0,44,1,44,1,10,13.050000000000008,0.0,,,,,,,,,,,
53,attacker,CyberBattleChain-thesis-v0,PPO,2406,5326.475,45,0,45,1,45,1,10,11.475000000000007,0.0,,,,,,,,,,,
54,attacker,CyberBattleChain-thesis-v0,PPO,2453,5325.575,47,0,47,1,47,1,10,10.575000000000005,0.0,,,,,,,,,,,
