episode,agent,env_id,algorithm,timestep,episode_reward,episode_length,atk_invalid,atk_valid,atk_cj_reached,atk_cj_step,atk_won,atk_max_owned,atk_hold_reward,atk_eviction,def_reimage,def_block,def_allow,def_stop_svc,def_stop_svc_clean,def_start_svc,def_invalid,def_recovered,def_sla_break_steps,def_abwehr_reward,def_abgeschirmt
1,attacker,CyberBattleFlat-thesis-v0,PPO,362,5674.2,362,0,362,1,61,1,10,253.20000000000064,0.0,,,,,,,,,,,
2,attacker,CyberBattleFlat-thesis-v0,PPO,515,5505.0,153,0,153,1,24,1,10,118.00000000000017,0.0,,,,,,,,,,,
3,attacker,CyberBattleFlat-thesis-v0,PPO,817,5669.875,302,0,302,1,34,1,10,284.87500000000006,0.0,,,,,,,,,,,
4,attacker,CyberBattleFlat-thesis-v0,PPO,1105,5674.65,288,0,288,1,44,1,10,266.64999999999924,0.0,,,,,,,,,,,
5,attacker,CyberBattleFlat-thesis-v0,PPO,1445,5716.725,340,0,340,1,84,1,10,285.725,0.0,,,,,,,,,,,
6,attacker,CyberBattleFlat-thesis-v0,PPO,2238,6240.55,793,0,793,1,59,1,10,797.5500000000003,0.0,,,,,,,,,,,
7,attacker,CyberBattleFlat-thesis-v0,PPO,3194,6384.5,956,0,956,1,33,1,10,935.5000000000115,0.0,,,,,,,,,,,
8,attacker,CyberBattleFlat-thesis-v0,PPO,3447,5621.75,253,0,253,1,40,1,10,208.74999999999974,0.0,,,,,,,,,,,
9,attacker,CyberBattleFlat-thesis-v0,PPO,3701,5614.7,254,0,254,1,27,1,10,217.69999999999973,0.0,,,,,,,,,,,
10,attacker,CyberBattleFlat-thesis-v0,PPO,3888,5413.925,187,0,187,1,173,1,10,77.9250000000001,0.0,,,,,,,,,,,
11,attacker,CyberBattleFlat-thesis-v0,PPO,4269,5737.825,381,0,381,1,18,1,10,333.82500000000164,0.0,,,,,,,,,,,
12,attacker,CyberBattleFlat-thesis-v0,PPO,4661,5748.65,392,0,392,1,39,1,10,334.65000000000254,0.0,,,,,,,,,,,
13,attacker,CyberBattleFlat-thesis-v0,PPO,4976,5665.125,315,0,315,1,39,1,10,240.12499999999952,0.0,,,,,,,,,,,
14,attacker,CyberBattleFlat-thesis-v0,PPO,5562,5967.55,586,0,586,1,51,1,10,548.5499999999975,0.0,,,,,,,,,,,
15,attacker,CyberBattleFlat-thesis-v0,PPO,5837,5619.05,275,0,275,1,30,1,10,254.05000000000064,0.0,,,,,,,,,,,
16,attacker,CyberBattleFlat-thesis-v0,PPO,6225,5709.55,388,0,388,1,137,1,10,320.5499999999999,0.0,,,,,,,,,,,
17,attacker,CyberBattleFlat-thesis-v0,PPO,6547,5654.875,322,0,322,1,12,1,10,305.8749999999998,0.0,,,,,,,,,,,
18,attacker,CyberBattleFlat-thesis-v0,PPO,7010,5847.175,463,0,463,1,24,1,10,420.1749999999997,0.0,,,,,,,,,,,
19,attacker,CyberBattleFlat-thesis-v0,PPO,7538,5948.625,528,0,528,1,86,1,10,495.625,0.0,,,,,,,,,,,
20,attacker,CyberBattleFlat-thesis-v0,PPO,7767,5572.175,229,0,229,1,58,1,10,181.175,0.0,,,,,,,,,,,
21,attacker,CyberBattleFlat-thesis-v0,PPO,7940,5491.075,173,0,173,1,100,1,10,98.07500000000013,0.0,,,,,,,,,,,
22,attacker,CyberBattleFlat-thesis-v0,PPO,8167,5598.325,227,0,227,1,51,1,10,183.32500000000005,0.0,,,,,,,,,,,
23,attacker,CyberBattleFlat-thesis-v0,PPO,8421,5636.8,254,0,254,1,40,1,10,211.79999999999995,0.0,,,,,,,,,,,
24,attacker,CyberBattleFlat-thesis-v0,PPO,8983,5910.5,562,0,562,1,22,1,10,543.4999999999978,0.0,,,,,,,,,,,
25,attacker,CyberBattleFlat-thesis-v0,PPO,9214,5556.6,231,0,231,1,6,1,10,206.5999999999996,0.0,,,,,,,,,,,
26,attacker,CyberBattleFlat-thesis-v0,PPO,9328,5451.65,114,0,114,1,25,1,10,83.64999999999988,0.0,,,,,,,,,,,
27,attacker,CyberBattleFlat-thesis-v0,PPO,9461,5494.975,133,0,133,1,31,1,10,103.975,0.0,,,,,,,,,,,
28,attacker,CyberBattleFlat-thesis-v0,PPO,10182,6069.825,721,0,721,1,31,1,10,656.8250000000027,0.0,,,,,,,,,,,
29,attacker,CyberBattleFlat-thesis-v0,PPO,10586,5789.475,404,0,404,1,15,1,10,394.4750000000003,0.0,,,,,,,,,,,
30,attacker,CyberBattleFlat-thesis-v0,PPO,10990,5732.25,404,0,404,1,49,1,10,315.2499999999998,0.0,,,,,,,,,,,
31,attacker,CyberBattleFlat-thesis-v0,PPO,11134,5447.525,144,0,144,1,10,1,10,98.52500000000005,0.0,,,,,,,,,,,
32,attacker,CyberBattleFlat-thesis-v0,PPO,11532,5810.95,398,0,398,1,19,1,10,391.950000000002,0.0,,,,,,,,,,,
33,attacker,CyberBattleFlat-thesis-v0,PPO,12008,5691.15,476,0,476,1,399,1,10,256.14999999999975,0.0,,,,,,,,,,,
34,attacker,CyberBattleFlat-thesis-v0,PPO,12427,5778.475,419,0,419,1,9,1,10,397.47500000000053,0.0,,,,,,,,,,,
35,attacker,CyberBattleFlat-thesis-v0,PPO,12967,5938.225,540,0,540,1,48,1,10,519.2249999999999,0.0,,,,,,,,,,,
36,attacker,CyberBattleFlat-thesis-v0,PPO,13342,5703.5,375,0,375,1,113,1,10,287.5000000000013,0.0,,,,,,,,,,,
37,attacker,CyberBattleFlat-thesis-v0,PPO,13472,5431.55,130,0,130,1,29,1,10,93.54999999999991,0.0,,,,,,,,,,,
38,attacker,CyberBattleFlat-thesis-v0,PPO,13899,5789.3,427,0,427,1,34,1,10,392.29999999999984,0.0,,,,,,,,,,,
39,attacker,CyberBattleFlat-thesis-v0,PPO,14260,5682.45,361,0,361,1,64,1,10,282.4499999999996,0.0,,,,,,,,,,,
40,attacker,CyberBattleFlat-thesis-v0,PPO,14613,5700.45,353,0,353,1,84,1,10,258.4500000000008,0.0,,,,,,,,,,,
41,attacker,CyberBattleFlat-thesis-v0,PPO,14981,5663.2,368,0,368,1,87,1,10,278.1999999999985,0.0,,,,,,,,,,,
42,attacker,CyberBattleFlat-thesis-v0,PPO,15310,5696.675,329,0,329,1,21,1,10,315.6749999999999,0.0,,,,,,,,,,,
43,attacker,CyberBattleFlat-thesis-v0,PPO,15546,5581.9,236,0,236,1,55,1,10,176.8999999999999,0.0,,,,,,,,,,,
44,attacker,CyberBattleFlat-thesis-v0,PPO,15769,5575.2,223,0,223,1,24,1,10,186.1999999999999,0.0,,,,,,,,,,,
45,attacker,CyberBattleFlat-thesis-v0,PPO,16145,5731.4,376,0,376,1,35,1,10,343.40000000000197,0.0,,,,,,,,,,,
46,attacker,CyberBattleFlat-thesis-v0,PPO,16780,6002.6,635,0,635,1,113,1,10,565.5999999999985,0.0,,,,,,,,,,,
47,attacker,CyberBattleFlat-thesis-v0,PPO,17042,5645.875,262,0,262,1,41,1,10,217.87499999999997,0.0,,,,,,,,,,,
48,attacker,CyberBattleFlat-thesis-v0,PPO,17353,5646.3,311,0,311,1,29,1,10,241.30000000000047,0.0,,,,,,,,,,,
49,attacker,CyberBattleFlat-thesis-v0,PPO,17801,5727.525,448,0,448,1,123,1,10,308.5249999999992,0.0,,,,,,,,,,,
50,attacker,CyberBattleFlat-thesis-v0,PPO,18645,6264.7,844,0,844,1,13,1,10,845.7000000000105,0.0,,,,,,,,,,,
51,attacker,CyberBattleFlat-thesis-v0,PPO,19200,5999.775,555,0,555,1,29,1,10,560.7750000000003,0.0,,,,,,,,,,,
52,attacker,CyberBattleFlat-thesis-v0,PPO,19477,5626.8,277,0,277,1,34,1,10,227.7999999999993,0.0,,,,,,,,,,,
53,attacker,CyberBattleFlat-thesis-v0,PPO,19616,5493.875,139,0,139,1,21,1,10,118.87500000000013,0.0,,,,,,,,,,,
54,attacker,CyberBattleFlat-thesis-v0,PPO,19997,5689.225,381,0,381,1,31,1,10,285.22500000000014,0.0,,,,,,,,,,,
55,attacker,CyberBattleFlat-thesis-v0,PPO,20114,5465.075,117,0,117,1,23,1,10,74.07500000000003,0.0,,,,,,,,,,,
56,attacker,CyberBattleFlat-thesis-v0,PPO,20935,6251.5,821,0,821,1,36,1,10,826.5000000000094,0.0,,,,,,,,,,,
57,attacker,CyberBattleFlat-thesis-v0,PPO,21197,5619.2,262,0,262,1,11,1,10,230.19999999999965,0.0,,,,,,,,,,,
58,attacker,CyberBattleFlat-thesis-v0,PPO,21789,5996.0,592,0,592,1,33,1,10,590.9999999999999,0.0,,,,,,,,,,,
59,attacker,CyberBattleFlat-thesis-v0,PPO,22100,5652.675,311,0,311,1,12,1,10,261.6749999999994,0.0,,,,,,,,,,,
60,attacker,CyberBattleFlat-thesis-v0,PPO,22567,5863.575,467,0,467,1,55,1,10,418.57499999999993,0.0,,,,,,,,,,,
61,attacker,CyberBattleFlat-thesis-v0,PPO,22717,5536.525,150,0,150,1,31,1,10,123.5250000000001,0.0,,,,,,,,,,,
62,attacker,CyberBattleFlat-thesis-v0,PPO,22944,5542.225,227,0,227,1,35,1,10,177.2250000000001,0.0,,,,,,,,,,,
63,attacker,CyberBattleFlat-thesis-v0,PPO,23746,6268.9,802,0,802,1,36,1,10,829.9000000000001,0.0,,,,,,,,,,,
64,attacker,CyberBattleFlat-thesis-v0,PPO,24427,6131.8,681,0,681,1,40,1,10,712.8,0.0,,,,,,,,,,,
65,attacker,CyberBattleFlat-thesis-v0,PPO,24783,5710.675,356,0,356,1,11,1,10,337.67499999999876,0.0,,,,,,,,,,,
66,attacker,CyberBattleFlat-thesis-v0,PPO,24994,5604.725,211,0,211,1,25,1,10,177.72500000000036,0.0,,,,,,,,,,,
67,attacker,CyberBattleFlat-thesis-v0,PPO,25370,5735.975,376,0,376,1,67,1,10,300.97499999999906,0.0,,,,,,,,,,,
68,attacker,CyberBattleFlat-thesis-v0,PPO,25525,5519.125,155,0,155,1,27,1,10,120.12500000000006,0.0,,,,,,,,,,,
69,attacker,CyberBattleFlat-thesis-v0,PPO,25679,5468.4,154,0,154,1,38,1,10,107.40000000000026,0.0,,,,,,,,,,,
70,attacker,CyberBattleFlat-thesis-v0,PPO,26039,5705.3,360,0,360,1,26,1,10,324.29999999999905,0.0,,,,,,,,,,,
71,attacker,CyberBattleFlat-thesis-v0,PPO,26417,5676.325,378,0,378,1,34,1,10,269.3249999999995,0.0,,,,,,,,,,,
72,attacker,CyberBattleFlat-thesis-v0,PPO,26839,5760.1,422,0,422,1,31,1,10,343.0999999999999,0.0,,,,,,,,,,,
