episode,agent,env_id,algorithm,timestep,episode_reward,episode_length,atk_invalid,atk_valid,atk_cj_reached,atk_cj_step,atk_won,atk_max_owned,atk_hold_reward,atk_eviction,def_reimage,def_block,def_allow,def_stop_svc,def_stop_svc_clean,def_start_svc,def_invalid,def_recovered,def_sla_break_steps,def_abwehr_reward,def_abgeschirmt
1,attacker,CyberBattleHubSpoke-thesis-v0,PPO,57,5369.925,57,0,57,1,16,1,10,36.925,0.0,,,,,,,,,,,
2,attacker,CyberBattleHubSpoke-thesis-v0,PPO,284,5517.45,227,0,227,1,113,1,10,149.44999999999973,0.0,,,,,,,,,,,
3,attacker,CyberBattleHubSpoke-thesis-v0,PPO,365,5369.025,81,0,81,1,68,1,10,27.025000000000002,0.0,,,,,,,,,,,
4,attacker,CyberBattleHubSpoke-thesis-v0,PPO,422,5364.6,57,0,57,1,34,1,10,30.60000000000002,0.0,,,,,,,,,,,
5,attacker,CyberBattleHubSpoke-thesis-v0,PPO,509,5294.1,87,0,87,1,87,1,10,37.09999999999998,0.0,,,,,,,,,,,
6,attacker,CyberBattleHubSpoke-thesis-v0,PPO,777,5641.475,268,0,268,1,43,1,10,243.47499999999948,0.0,,,,,,,,,,,
7,attacker,CyberBattleHubSpoke-thesis-v0,PPO,868,5400.8,91,0,91,1,15,1,10,65.80000000000003,0.0,,,,,,,,,,,
8,attacker,CyberBattleHubSpoke-thesis-v0,PPO,934,5384.625,66,0,66,1,16,1,10,40.624999999999986,0.0,,,,,,,,,,,
9,attacker,CyberBattleHubSpoke-thesis-v0,PPO,1017,5401.75,83,0,83,1,27,1,10,42.750000000000014,0.0,,,,,,,,,,,
10,attacker,CyberBattleHubSpoke-thesis-v0,PPO,1148,5389.375,131,0,131,1,128,1,10,47.37499999999993,0.0,,,,,,,,,,,
11,attacker,CyberBattleHubSpoke-thesis-v0,PPO,1251,5393.825,103,0,103,1,35,1,10,57.824999999999974,0.0,,,,,,,,,,,
12,attacker,CyberBattleHubSpoke-thesis-v0,PPO,1640,5720.425,389,0,389,1,102,1,10,321.4250000000002,0.0,,,,,,,,,,,
13,attacker,CyberBattleHubSpoke-thesis-v0,PPO,1781,5452.1,141,0,141,1,30,1,10,108.09999999999985,0.0,,,,,,,,,,,
14,attacker,CyberBattleHubSpoke-thesis-v0,PPO,1851,5357.55,70,0,70,1,56,1,10,29.550000000000015,0.0,,,,,,,,,,,
15,attacker,CyberBattleHubSpoke-thesis-v0,PPO,1925,5357.925,74,0,74,1,66,1,10,24.924999999999986,0.0,,,,,,,,,,,
16,attacker,CyberBattleHubSpoke-thesis-v0,PPO,2013,5371.3,88,0,88,1,46,1,10,37.3,0.0,,,,,,,,,,,
