episode,agent,env_id,algorithm,timestep,episode_reward,episode_length,atk_invalid,atk_valid,atk_cj_reached,atk_cj_step,atk_won,atk_max_owned,atk_hold_reward,atk_eviction,def_reimage,def_block,def_allow,def_stop_svc,def_stop_svc_clean,def_start_svc,def_invalid,def_recovered,def_sla_break_steps,def_abwehr_reward,def_abgeschirmt
1,attacker,CyberBattleDMZ-thesis-v0,PPO,1275,6310.875,1275,0,1275,1,747,1,10,873.8750000000124,0.0,,,,,,,,,,,
2,attacker,CyberBattleDMZ-thesis-v0,PPO,2258,5876.775,983,0,983,1,983,1,10,505.77500000000225,0.0,,,,,,,,,,,
3,attacker,CyberBattleDMZ-thesis-v0,PPO,3175,6225.6,917,0,917,1,189,1,10,766.5999999999984,0.0,,,,,,,,,,,
4,attacker,CyberBattleDMZ-thesis-v0,PPO,3403,5562.7,228,0,228,1,37,1,10,167.69999999999993,0.0,,,,,,,,,,,
5,attacker,CyberBattleDMZ-thesis-v0,PPO,4071,5952.15,668,0,668,1,85,1,10,517.1499999999985,0.0,,,,,,,,,,,
6,attacker,CyberBattleDMZ-thesis-v0,PPO,4503,5556.325,432,0,432,1,381,1,10,145.32500000000044,0.0,,,,,,,,,,,
7,attacker,CyberBattleDMZ-thesis-v0,PPO,4782,5405.85,279,0,279,1,279,1,10,98.85,0.0,,,,,,,,,,,
8,attacker,CyberBattleDMZ-thesis-v0,PPO,5180,5677.325,398,0,398,1,195,1,10,282.32500000000005,0.0,,,,,,,,,,,
9,attacker,CyberBattleDMZ-thesis-v0,PPO,7181,1691.2,2001,0,2001,1,1184,0,9,1214.2000000000035,0.0,,,,,,,,,,,
10,attacker,CyberBattleDMZ-thesis-v0,PPO,7726,5658.475,545,0,545,1,426,1,10,241.47500000000014,0.0,,,,,,,,,,,
11,attacker,CyberBattleDMZ-thesis-v0,PPO,8203,5764.45,477,0,477,1,17,1,10,363.4499999999967,0.0,,,,,,,,,,,
12,attacker,CyberBattleDMZ-thesis-v0,PPO,8808,5734.5,605,0,605,1,379,1,10,321.4999999999985,0.0,,,,,,,,,,,
13,attacker,CyberBattleDMZ-thesis-v0,PPO,9283,5761.9,475,0,475,1,83,1,10,371.8999999999993,0.0,,,,,,,,,,,
14,attacker,CyberBattleDMZ-thesis-v0,PPO,9995,5695.775,712,0,712,1,628,1,10,289.77499999999935,0.0,,,,,,,,,,,
15,attacker,CyberBattleDMZ-thesis-v0,PPO,10214,5500.85,219,0,219,1,146,1,10,121.84999999999997,0.0,,,,,,,,,,,
16,attacker,CyberBattleDMZ-thesis-v0,PPO,11092,5784.55,878,0,878,1,878,1,10,441.5499999999973,0.0,,,,,,,,,,,
17,attacker,CyberBattleDMZ-thesis-v0,PPO,11740,5946.075,648,0,648,1,136,1,10,512.0750000000038,0.0,,,,,,,,,,,
18,attacker,CyberBattleDMZ-thesis-v0,PPO,11943,5485.05,203,0,203,1,109,1,10,112.05000000000017,0.0,,,,,,,,,,,
19,attacker,CyberBattleDMZ-thesis-v0,PPO,12154,5501.625,211,0,211,1,66,1,10,138.62499999999966,0.0,,,,,,,,,,,
20,attacker,CyberBattleDMZ-thesis-v0,PPO,12444,5511.525,290,0,290,1,219,1,10,123.52499999999995,0.0,,,,,,,,,,,
21,attacker,CyberBattleDMZ-thesis-v0,PPO,12716,5536.375,272,0,272,1,86,1,10,185.37499999999955,0.0,,,,,,,,,,,
22,attacker,CyberBattleDMZ-thesis-v0,PPO,12930,5565.95,214,0,214,1,53,1,10,182.95000000000005,0.0,,,,,,,,,,,
23,attacker,CyberBattleDMZ-thesis-v0,PPO,13154,5535.7,224,0,224,1,88,1,10,142.7000000000001,0.0,,,,,,,,,,,
24,attacker,CyberBattleDMZ-thesis-v0,PPO,13668,5756.825,514,0,514,1,297,1,10,336.82500000000203,0.0,,,,,,,,,,,
25,attacker,CyberBattleDMZ-thesis-v0,PPO,14410,6103.8,742,0,742,1,113,1,10,650.7999999999972,0.0,,,,,,,,,,,
26,attacker,CyberBattleDMZ-thesis-v0,PPO,14637,5453.95,227,0,227,1,127,1,10,108.95000000000007,0.0,,,,,,,,,,,
27,attacker,CyberBattleDMZ-thesis-v0,PPO,15208,5831.9,571,0,571,1,288,1,10,394.9,0.0,,,,,,,,,,,
