episode,agent,env_id,algorithm,timestep,episode_reward,episode_length,atk_invalid,atk_valid,atk_cj_reached,atk_cj_step,atk_won,atk_max_owned,atk_hold_reward,atk_eviction,def_reimage,def_block,def_allow,def_stop_svc,def_stop_svc_clean,def_start_svc,def_invalid,def_recovered,def_sla_break_steps,def_abwehr_reward,def_abgeschirmt
1,attacker,CyberBattleMicroSeg-thesis-v0,PPO,2001,1723.225,2001,0,2001,1,18,0,4,1440.2249999999704,0.0,,,,,,,,,,,
2,attacker,CyberBattleMicroSeg-thesis-v0,PPO,4002,1722.5,2001,0,2001,1,27,0,4,1435.4999999999711,0.0,,,,,,,,,,,
3,attacker,CyberBattleMicroSeg-thesis-v0,PPO,6003,1713.3,2001,0,2001,1,53,0,4,1418.2999999999731,0.0,,,,,,,,,,,
4,attacker,CyberBattleMicroSeg-thesis-v0,PPO,8004,1726.5,2001,0,2001,1,27,0,4,1435.4999999999711,0.0,,,,,,,,,,,
5,attacker,CyberBattleMicroSeg-thesis-v0,PPO,10005,1717.05,2001,0,2001,1,34,0,4,1430.0499999999718,0.0,,,,,,,,,,,
6,attacker,CyberBattleMicroSeg-thesis-v0,PPO,12006,1729.3,2001,0,2001,1,14,0,4,1442.2999999999702,0.0,,,,,,,,,,,
7,attacker,CyberBattleMicroSeg-thesis-v0,PPO,14007,1724.05,2001,0,2001,1,23,0,4,1437.0499999999709,0.0,,,,,,,,,,,
8,attacker,CyberBattleMicroSeg-thesis-v0,PPO,16008,1726.7,2001,0,2001,1,18,0,4,1439.6999999999705,0.0,,,,,,,,,,,
9,attacker,CyberBattleMicroSeg-thesis-v0,PPO,18009,1718.55,2001,0,2001,1,31,0,4,1431.5499999999715,0.0,,,,,,,,,,,
10,attacker,CyberBattleMicroSeg-thesis-v0,PPO,20010,1722.0,2001,0,2001,1,28,0,4,1434.9999999999711,0.0,,,,,,,,,,,
11,attacker,CyberBattleMicroSeg-thesis-v0,PPO,22011,1712.95,2001,0,2001,1,46,0,4,1421.9499999999728,0.0,,,,,,,,,,,
12,attacker,CyberBattleMicroSeg-thesis-v0,PPO,24012,1720.7,2001,0,2001,1,27,0,4,1433.6999999999712,0.0,,,,,,,,,,,
13,attacker,CyberBattleMicroSeg-thesis-v0,PPO,26013,1719.6,2001,0,2001,1,36,0,4,1428.599999999972,0.0,,,,,,,,,,,
14,attacker,CyberBattleMicroSeg-thesis-v0,PPO,28014,1712.65,2001,0,2001,1,46,0,4,1421.6499999999728,0.0,,,,,,,,,,,
15,attacker,CyberBattleMicroSeg-thesis-v0,PPO,30015,1724.35,2001,0,2001,1,23,0,4,1437.3499999999708,0.0,,,,,,,,,,,
16,attacker,CyberBattleMicroSeg-thesis-v0,PPO,32016,1723.325,2001,0,2001,1,24,0,4,1436.324999999971,0.0,,,,,,,,,,,
17,attacker,CyberBattleMicroSeg-thesis-v0,PPO,34017,1711.95,2001,0,2001,1,38,0,4,1428.9499999999719,0.0,,,,,,,,,,,
18,attacker,CyberBattleMicroSeg-thesis-v0,PPO,36018,1723.8,2001,0,2001,1,17,0,4,1440.7999999999704,0.0,,,,,,,,,,,
19,attacker,CyberBattleMicroSeg-thesis-v0,PPO,38019,1728.625,2001,0,2001,1,14,0,4,1441.6249999999702,0.0,,,,,,,,,,,
20,attacker,CyberBattleMicroSeg-thesis-v0,PPO,40020,1719.05,2001,0,2001,1,25,0,4,1436.0499999999709,0.0,,,,,,,,,,,
21,attacker,CyberBattleMicroSeg-thesis-v0,PPO,42021,1723.7,2001,0,2001,1,16,0,4,1440.6999999999705,0.0,,,,,,,,,,,
22,attacker,CyberBattleMicroSeg-thesis-v0,PPO,44022,1683.125,2001,0,2001,1,87,0,4,1396.124999999976,0.0,,,,,,,,,,,
23,attacker,CyberBattleMicroSeg-thesis-v0,PPO,46023,1726.5,2001,0,2001,1,11,0,4,1443.49999999997,0.0,,,,,,,,,,,
24,attacker,CyberBattleMicroSeg-thesis-v0,PPO,48024,1727.95,2001,0,2001,1,17,0,4,1440.9499999999703,0.0,,,,,,,,,,,
25,attacker,CyberBattleMicroSeg-thesis-v0,PPO,50025,1724.0,2001,0,2001,1,16,0,4,1440.9999999999702,0.0,,,,,,,,,,,
26,attacker,CyberBattleMicroSeg-thesis-v0,PPO,52026,1726.35,2001,0,2001,1,19,0,4,1439.3499999999706,0.0,,,,,,,,,,,
27,attacker,CyberBattleMicroSeg-thesis-v0,PPO,54027,1721.125,2001,0,2001,1,21,0,4,1438.1249999999707,0.0,,,,,,,,,,,
28,attacker,CyberBattleMicroSeg-thesis-v0,PPO,56028,1728.6,2001,0,2001,1,8,0,4,1445.5999999999697,0.0,,,,,,,,,,,
29,attacker,CyberBattleMicroSeg-thesis-v0,PPO,58029,1726.225,2001,0,2001,1,12,0,4,1443.2249999999701,0.0,,,,,,,,,,,
30,attacker,CyberBattleMicroSeg-thesis-v0,PPO,60030,1725.425,2001,0,2001,1,13,0,4,1442.4249999999702,0.0,,,,,,,,,,,
31,attacker,CyberBattleMicroSeg-thesis-v0,PPO,62031,1722.6,2001,0,2001,1,17,0,4,1439.5999999999706,0.0,,,,,,,,,,,
32,attacker,CyberBattleMicroSeg-thesis-v0,PPO,64032,1727.8,2001,0,2001,1,17,0,4,1440.7999999999704,0.0,,,,,,,,,,,
33,attacker,CyberBattleMicroSeg-thesis-v0,PPO,66033,1720.775,2001,0,2001,1,30,0,4,1433.7749999999712,0.0,,,,,,,,,,,
