episode,agent,env_id,algorithm,timestep,episode_reward,episode_length,atk_invalid,atk_valid,atk_cj_reached,atk_cj_step,atk_won,atk_max_owned,atk_hold_reward,atk_eviction,def_reimage,def_block,def_allow,def_stop_svc,def_stop_svc_clean,def_start_svc,def_invalid,def_recovered,def_sla_break_steps,def_abwehr_reward,def_abgeschirmt
1,attacker,CyberBattleDMZ-thesis-v0,PPO,2001,221.675,2001,0,2001,0,-1,0,3,45.67500000000008,315.0,,,,,,,,,,,
2,attacker,CyberBattleDMZ-thesis-v0,PPO,4002,219.85,2001,0,2001,0,-1,0,3,59.85000000000033,345.0,,,,,,,,,,,
3,attacker,CyberBattleDMZ-thesis-v0,PPO,6003,203.875,2001,0,2001,0,-1,0,3,43.87500000000034,300.0,,,,,,,,,,,
4,attacker,CyberBattleDMZ-thesis-v0,PPO,8004,182.95,2001,0,2001,1,493,0,3,26.949999999999946,310.0,,,,,,,,,,,
5,attacker,CyberBattleDMZ-thesis-v0,PPO,10005,219.975,2001,0,2001,1,425,0,3,57.97500000000071,620.0,,,,,,,,,,,
6,attacker,CyberBattleDMZ-thesis-v0,PPO,12006,198.175,2001,0,2001,1,817,0,3,38.17500000000011,460.0,,,,,,,,,,,
7,attacker,CyberBattleDMZ-thesis-v0,PPO,14007,209.15,2001,0,2001,0,-1,0,3,39.14999999999999,270.0,,,,,,,,,,,
8,attacker,CyberBattleDMZ-thesis-v0,PPO,16008,187.725,2001,0,2001,0,-1,0,3,25.72499999999988,360.0,,,,,,,,,,,
9,attacker,CyberBattleDMZ-thesis-v0,PPO,18009,222.325,2001,0,2001,1,633,0,3,56.32500000000031,400.0,,,,,,,,,,,
10,attacker,CyberBattleDMZ-thesis-v0,PPO,20010,148.75,2001,0,2001,1,729,0,4,46.75000000000007,635.0,,,,,,,,,,,
11,attacker,CyberBattleDMZ-thesis-v0,PPO,22011,211.175,2001,0,2001,1,1188,0,3,51.17500000000005,580.0,,,,,,,,,,,
12,attacker,CyberBattleDMZ-thesis-v0,PPO,24012,222.65,2001,0,2001,1,1636,0,4,54.64999999999983,610.0,,,,,,,,,,,
13,attacker,CyberBattleDMZ-thesis-v0,PPO,26013,190.825,2001,0,2001,0,-1,0,3,48.825000000000465,375.0,,,,,,,,,,,
14,attacker,CyberBattleDMZ-thesis-v0,PPO,28014,229.7,2001,0,2001,0,-1,0,4,44.70000000000021,505.0,,,,,,,,,,,
15,attacker,CyberBattleDMZ-thesis-v0,PPO,30015,223.175,2001,0,2001,0,-1,0,3,53.17500000000039,390.0,,,,,,,,,,,
16,attacker,CyberBattleDMZ-thesis-v0,PPO,32016,194.8,2001,0,2001,0,-1,0,3,22.799999999999898,450.0,,,,,,,,,,,
17,attacker,CyberBattleDMZ-thesis-v0,PPO,34017,186.15,2001,0,2001,0,-1,0,3,28.14999999999996,385.0,,,,,,,,,,,
