episode,agent,env_id,algorithm,timestep,episode_reward,episode_length,atk_invalid,atk_valid,atk_cj_reached,atk_cj_step,atk_won,atk_max_owned,atk_hold_reward,atk_eviction,def_reimage,def_block,def_allow,def_stop_svc,def_stop_svc_clean,def_start_svc,def_invalid,def_recovered,def_sla_break_steps,def_abwehr_reward,def_abgeschirmt
1,attacker,CyberBattleDMZ-thesis-v0,PPO,2001,209.025,2001,0,2001,1,400,0,4,49.025000000000425,250.0,,,,,,,,,,,
2,attacker,CyberBattleDMZ-thesis-v0,PPO,4002,119.525,2001,0,2001,1,1297,0,4,35.52500000000004,325.0,,,,,,,,,,,
3,attacker,CyberBattleDMZ-thesis-v0,PPO,6003,123.9,2001,0,2001,0,-1,0,2,21.89999999999988,315.0,,,,,,,,,,,
4,attacker,CyberBattleDMZ-thesis-v0,PPO,8004,134.475,2001,0,2001,0,-1,0,3,32.47499999999982,315.0,,,,,,,,,,,
5,attacker,CyberBattleDMZ-thesis-v0,PPO,10005,186.725,2001,0,2001,1,633,0,4,80.72500000000058,590.0,,,,,,,,,,,
6,attacker,CyberBattleDMZ-thesis-v0,PPO,12006,221.925,2001,0,2001,1,1003,0,3,70.92500000000062,440.0,,,,,,,,,,,
7,attacker,CyberBattleDMZ-thesis-v0,PPO,14007,173.975,2001,0,2001,1,1732,0,3,40.97499999999999,310.0,,,,,,,,,,,
8,attacker,CyberBattleDMZ-thesis-v0,PPO,16008,135.825,2001,0,2001,0,-1,0,3,33.824999999999946,225.0,,,,,,,,,,,
9,attacker,CyberBattleDMZ-thesis-v0,PPO,18009,151.725,2001,0,2001,1,1068,0,3,47.725000000000165,280.0,,,,,,,,,,,
10,attacker,CyberBattleDMZ-thesis-v0,PPO,20010,121.225,2001,0,2001,1,542,0,3,23.22499999999992,385.0,,,,,,,,,,,
11,attacker,CyberBattleDMZ-thesis-v0,PPO,22011,158.1,2001,0,2001,1,1897,0,4,48.1,415.0,,,,,,,,,,,
12,attacker,CyberBattleDMZ-thesis-v0,PPO,24012,168.825,2001,0,2001,0,-1,0,3,18.824999999999935,270.0,,,,,,,,,,,
13,attacker,CyberBattleDMZ-thesis-v0,PPO,26013,179.925,2001,0,2001,1,636,0,3,71.92500000000076,410.0,,,,,,,,,,,
14,attacker,CyberBattleDMZ-thesis-v0,PPO,28014,201.7,2001,0,2001,1,831,0,4,55.70000000000041,445.0,,,,,,,,,,,
15,attacker,CyberBattleDMZ-thesis-v0,PPO,30015,162.95,2001,0,2001,1,1404,0,3,33.95000000000004,370.0,,,,,,,,,,,
16,attacker,CyberBattleDMZ-thesis-v0,PPO,32016,151.6,2001,0,2001,1,482,0,3,26.59999999999988,445.0,,,,,,,,,,,
17,attacker,CyberBattleDMZ-thesis-v0,PPO,34017,132.25,2001,0,2001,1,1390,0,3,28.249999999999954,355.0,,,,,,,,,,,
18,attacker,CyberBattleDMZ-thesis-v0,PPO,36018,162.725,2001,0,2001,0,-1,0,3,22.724999999999977,300.0,,,,,,,,,,,
19,attacker,CyberBattleDMZ-thesis-v0,PPO,38019,112.25,2001,0,2001,0,-1,0,2,14.249999999999954,225.0,,,,,,,,,,,
20,attacker,CyberBattleDMZ-thesis-v0,PPO,40020,104.6,2001,0,2001,0,-1,0,2,12.59999999999997,225.0,,,,,,,,,,,
21,attacker,CyberBattleDMZ-thesis-v0,PPO,42021,104.25,2001,0,2001,0,-1,0,3,11.249999999999982,240.0,,,,,,,,,,,
22,attacker,CyberBattleDMZ-thesis-v0,PPO,44022,104.525,2001,0,2001,0,-1,0,2,12.52499999999997,210.0,,,,,,,,,,,
23,attacker,CyberBattleDMZ-thesis-v0,PPO,46023,120.1,2001,0,2001,1,584,0,3,16.09999999999994,440.0,,,,,,,,,,,
24,attacker,CyberBattleDMZ-thesis-v0,PPO,48024,82.825,2001,0,2001,0,-1,0,2,6.825000000000011,270.0,,,,,,,,,,,
25,attacker,CyberBattleDMZ-thesis-v0,PPO,50025,154.8,2001,0,2001,0,-1,0,3,10.8,240.0,,,,,,,,,,,
26,attacker,CyberBattleDMZ-thesis-v0,PPO,52026,83.5,2001,0,2001,0,-1,0,3,7.500000000000012,240.0,,,,,,,,,,,
27,attacker,CyberBattleDMZ-thesis-v0,PPO,54027,85.35,2001,0,2001,0,-1,0,3,10.34999999999999,240.0,,,,,,,,,,,
28,attacker,CyberBattleDMZ-thesis-v0,PPO,56028,64.0,2001,0,2001,0,-1,0,2,6.000000000000009,255.0,,,,,,,,,,,
29,attacker,CyberBattleDMZ-thesis-v0,PPO,58029,87.175,2001,0,2001,0,-1,0,2,5.175000000000007,210.0,,,,,,,,,,,
30,attacker,CyberBattleDMZ-thesis-v0,PPO,60030,102.05,2001,0,2001,1,26,0,3,10.049999999999992,310.0,,,,,,,,,,,
31,attacker,CyberBattleDMZ-thesis-v0,PPO,62031,113.6,2001,0,2001,0,-1,0,3,9.599999999999996,330.0,,,,,,,,,,,
32,attacker,CyberBattleDMZ-thesis-v0,PPO,64032,73.4,2001,0,2001,0,-1,0,3,5.400000000000006,210.0,,,,,,,,,,,
33,attacker,CyberBattleDMZ-thesis-v0,PPO,66033,70.925,2001,0,2001,0,-1,0,3,8.925000000000002,225.0,,,,,,,,,,,
34,attacker,CyberBattleDMZ-thesis-v0,PPO,68034,97.625,2001,0,2001,0,-1,0,2,5.625000000000008,165.0,,,,,,,,,,,
35,attacker,CyberBattleDMZ-thesis-v0,PPO,70035,97.6,2001,0,2001,0,-1,0,2,6.60000000000001,240.0,,,,,,,,,,,
36,attacker,CyberBattleDMZ-thesis-v0,PPO,72036,77.95,2001,0,2001,0,-1,0,2,1.9499999999999993,120.0,,,,,,,,,,,
37,attacker,CyberBattleDMZ-thesis-v0,PPO,74037,84.325,2001,0,2001,0,-1,0,2,5.325000000000007,195.0,,,,,,,,,,,
38,attacker,CyberBattleDMZ-thesis-v0,PPO,76038,98.825,2001,0,2001,0,-1,0,2,6.825000000000011,300.0,,,,,,,,,,,
39,attacker,CyberBattleDMZ-thesis-v0,PPO,78039,85.6,2001,0,2001,0,-1,0,2,6.60000000000001,405.0,,,,,,,,,,,
40,attacker,CyberBattleDMZ-thesis-v0,PPO,80040,85.6,2001,0,2001,0,-1,0,2,3.600000000000003,255.0,,,,,,,,,,,
41,attacker,CyberBattleDMZ-thesis-v0,PPO,82041,79.9,2001,0,2001,0,-1,0,3,3.900000000000004,270.0,,,,,,,,,,,
42,attacker,CyberBattleDMZ-thesis-v0,PPO,84042,64.1,2001,0,2001,0,-1,0,2,2.0999999999999996,135.0,,,,,,,,,,,
43,attacker,CyberBattleDMZ-thesis-v0,PPO,86043,88.25,2001,0,2001,0,-1,0,2,5.250000000000007,255.0,,,,,,,,,,,
44,attacker,CyberBattleDMZ-thesis-v0,PPO,88044,92.275,2001,0,2001,0,-1,0,2,4.275000000000005,315.0,,,,,,,,,,,
45,attacker,CyberBattleDMZ-thesis-v0,PPO,90045,78.625,2001,0,2001,0,-1,0,2,2.625000000000001,225.0,,,,,,,,,,,
