episode,agent,env_id,algorithm,timestep,episode_reward,episode_length,atk_invalid,atk_valid,atk_cj_reached,atk_cj_step,atk_won,atk_max_owned,atk_hold_reward,atk_eviction,def_reimage,def_block,def_allow,def_stop_svc,def_stop_svc_clean,def_start_svc,def_invalid,def_recovered,def_sla_break_steps,def_abwehr_reward,def_abgeschirmt
1,attacker,CyberBattleDMZ-thesis-v0,PPO,2001,192.825,2001,0,2001,1,1517,0,3,42.825000000000145,340.0,,,,,,,,,,,
2,attacker,CyberBattleDMZ-thesis-v0,PPO,4002,271.55,2001,0,2001,1,1659,0,3,105.55000000000082,520.0,,,,,,,,,,,
3,attacker,CyberBattleDMZ-thesis-v0,PPO,6003,224.525,2001,0,2001,0,-1,0,4,74.52500000000016,575.0,,,,,,,,,,,
4,attacker,CyberBattleDMZ-thesis-v0,PPO,8004,158.425,2001,0,2001,0,-1,0,3,28.42499999999995,330.0,,,,,,,,,,,
5,attacker,CyberBattleDMZ-thesis-v0,PPO,10005,190.15,2001,0,2001,1,1949,0,3,54.15000000000031,475.0,,,,,,,,,,,
6,attacker,CyberBattleDMZ-thesis-v0,PPO,12006,150.45,2001,0,2001,1,817,0,3,42.45000000000018,595.0,,,,,,,,,,,
7,attacker,CyberBattleDMZ-thesis-v0,PPO,14007,200.35,2001,0,2001,1,1646,0,3,60.35000000000003,430.0,,,,,,,,,,,
8,attacker,CyberBattleDMZ-thesis-v0,PPO,16008,204.7,2001,0,2001,0,-1,0,3,41.70000000000025,435.0,,,,,,,,,,,
9,attacker,CyberBattleDMZ-thesis-v0,PPO,18009,206.15,2001,0,2001,1,1220,0,4,58.15000000000007,450.0,,,,,,,,,,,
10,attacker,CyberBattleDMZ-thesis-v0,PPO,20010,155.35,2001,0,2001,0,-1,0,3,55.350000000000406,525.0,,,,,,,,,,,
11,attacker,CyberBattleDMZ-thesis-v0,PPO,22011,195.425,2001,0,2001,0,-1,0,3,61.425000000000225,555.0,,,,,,,,,,,
12,attacker,CyberBattleDMZ-thesis-v0,PPO,24012,172.15,2001,0,2001,0,-1,0,3,30.149999999999903,525.0,,,,,,,,,,,
13,attacker,CyberBattleDMZ-thesis-v0,PPO,26013,235.9,2001,0,2001,1,512,0,3,87.89999999999999,805.0,,,,,,,,,,,
14,attacker,CyberBattleDMZ-thesis-v0,PPO,28014,150.2,2001,0,2001,0,-1,0,3,37.19999999999998,570.0,,,,,,,,,,,
15,attacker,CyberBattleDMZ-thesis-v0,PPO,30015,195.875,2001,0,2001,0,-1,0,4,43.87500000000003,570.0,,,,,,,,,,,
16,attacker,CyberBattleDMZ-thesis-v0,PPO,32016,172.35,2001,0,2001,0,-1,0,3,28.349999999999884,465.0,,,,,,,,,,,
17,attacker,CyberBattleDMZ-thesis-v0,PPO,34017,161.9,2001,0,2001,0,-1,0,4,21.89999999999993,435.0,,,,,,,,,,,
18,attacker,CyberBattleDMZ-thesis-v0,PPO,36018,209.85,2001,0,2001,0,-1,0,4,41.84999999999999,675.0,,,,,,,,,,,
19,attacker,CyberBattleDMZ-thesis-v0,PPO,38019,135.275,2001,0,2001,0,-1,0,3,7.275000000000008,225.0,,,,,,,,,,,
20,attacker,CyberBattleDMZ-thesis-v0,PPO,40020,215.675,2001,0,2001,1,641,0,3,44.67500000000007,490.0,,,,,,,,,,,
21,attacker,CyberBattleDMZ-thesis-v0,PPO,42021,216.275,2001,0,2001,1,1786,0,3,45.275000000000325,745.0,,,,,,,,,,,
22,attacker,CyberBattleDMZ-thesis-v0,PPO,44022,150.625,2001,0,2001,0,-1,0,3,20.62499999999993,450.0,,,,,,,,,,,
23,attacker,CyberBattleDMZ-thesis-v0,PPO,46023,162.8,2001,0,2001,0,-1,0,3,22.799999999999915,405.0,,,,,,,,,,,
24,attacker,CyberBattleDMZ-thesis-v0,PPO,48024,161.525,2001,0,2001,0,-1,0,4,39.52500000000006,855.0,,,,,,,,,,,
25,attacker,CyberBattleDMZ-thesis-v0,PPO,50025,129.225,2001,0,2001,1,1587,0,4,31.224999999999902,580.0,,,,,,,,,,,
26,attacker,CyberBattleDMZ-thesis-v0,PPO,52026,157.1,2001,0,2001,0,-1,0,4,23.099999999999923,510.0,,,,,,,,,,,
27,attacker,CyberBattleDMZ-thesis-v0,PPO,54027,136.75,2001,0,2001,0,-1,0,4,12.74999999999997,420.0,,,,,,,,,,,
28,attacker,CyberBattleDMZ-thesis-v0,PPO,56028,199.55,2001,0,2001,1,1668,0,3,37.54999999999998,580.0,,,,,,,,,,,
29,attacker,CyberBattleDMZ-thesis-v0,PPO,58029,130.8,2001,0,2001,0,-1,0,3,16.799999999999955,495.0,,,,,,,,,,,
30,attacker,CyberBattleDMZ-thesis-v0,PPO,60030,128.925,2001,0,2001,0,-1,0,3,8.924999999999997,285.0,,,,,,,,,,,
31,attacker,CyberBattleDMZ-thesis-v0,PPO,62031,161.45,2001,0,2001,0,-1,0,3,21.449999999999967,570.0,,,,,,,,,,,
32,attacker,CyberBattleDMZ-thesis-v0,PPO,64032,182.725,2001,0,2001,1,211,0,4,36.72500000000001,770.0,,,,,,,,,,,
33,attacker,CyberBattleDMZ-thesis-v0,PPO,66033,131.875,2001,0,2001,1,1573,0,3,25.874999999999886,550.0,,,,,,,,,,,
34,attacker,CyberBattleDMZ-thesis-v0,PPO,68034,152.925,2001,0,2001,1,439,0,3,18.92499999999996,580.0,,,,,,,,,,,
35,attacker,CyberBattleDMZ-thesis-v0,PPO,70035,136.925,2001,0,2001,0,-1,0,3,8.925000000000015,360.0,,,,,,,,,,,
36,attacker,CyberBattleDMZ-thesis-v0,PPO,72036,130.875,2001,0,2001,0,-1,0,3,10.874999999999993,315.0,,,,,,,,,,,
37,attacker,CyberBattleDMZ-thesis-v0,PPO,74037,136.075,2001,0,2001,0,-1,0,3,18.074999999999974,510.0,,,,,,,,,,,
38,attacker,CyberBattleDMZ-thesis-v0,PPO,76038,137.975,2001,0,2001,0,-1,0,3,9.974999999999987,240.0,,,,,,,,,,,
39,attacker,CyberBattleDMZ-thesis-v0,PPO,78039,118.075,2001,0,2001,1,1433,0,3,14.074999999999996,650.0,,,,,,,,,,,
40,attacker,CyberBattleDMZ-thesis-v0,PPO,80040,177.45,2001,0,2001,0,-1,0,3,9.450000000000006,420.0,,,,,,,,,,,
41,attacker,CyberBattleDMZ-thesis-v0,PPO,82041,120.0,2001,0,2001,1,699,0,3,23.99999999999996,580.0,,,,,,,,,,,
42,attacker,CyberBattleDMZ-thesis-v0,PPO,84042,160.675,2001,0,2001,0,-1,0,3,18.67499999999999,555.0,,,,,,,,,,,
