episode,agent,env_id,algorithm,timestep,episode_reward,episode_length,atk_invalid,atk_valid,atk_cj_reached,atk_cj_step,atk_won,atk_max_owned,atk_hold_reward,atk_eviction,def_reimage,def_block,def_allow,def_stop_svc,def_stop_svc_clean,def_start_svc,def_invalid,def_recovered,def_sla_break_steps,def_abwehr_reward,def_abgeschirmt
1,attacker,CyberBattleDMZ-thesis-v0,PPO,2001,162.35,2001,0,2001,1,1972,0,3,49.3500000000001,355.0,,,,,,,,,,,
2,attacker,CyberBattleDMZ-thesis-v0,PPO,4002,159.475,2001,0,2001,1,1418,0,3,42.47500000000014,385.0,,,,,,,,,,,
3,attacker,CyberBattleDMZ-thesis-v0,PPO,6003,167.8,2001,0,2001,1,1928,0,3,46.80000000000002,250.0,,,,,,,,,,,
4,attacker,CyberBattleDMZ-thesis-v0,PPO,8004,106.675,2001,0,2001,0,-1,0,3,24.674999999999876,180.0,,,,,,,,,,,
5,attacker,CyberBattleDMZ-thesis-v0,PPO,10005,149.825,2001,0,2001,1,1914,0,3,30.824999999999807,340.0,,,,,,,,,,,
6,attacker,CyberBattleDMZ-thesis-v0,PPO,12006,104.2,2001,0,2001,0,-1,0,2,22.19999999999988,165.0,,,,,,,,,,,
7,attacker,CyberBattleDMZ-thesis-v0,PPO,14007,134.825,2001,0,2001,1,509,0,3,36.82500000000006,485.0,,,,,,,,,,,
8,attacker,CyberBattleDMZ-thesis-v0,PPO,16008,148.025,2001,0,2001,1,1330,0,3,37.025000000000006,370.0,,,,,,,,,,,
9,attacker,CyberBattleDMZ-thesis-v0,PPO,18009,115.675,2001,0,2001,0,-1,0,3,27.674999999999827,255.0,,,,,,,,,,,
10,attacker,CyberBattleDMZ-thesis-v0,PPO,20010,135.5,2001,0,2001,1,1187,0,3,33.49999999999996,445.0,,,,,,,,,,,
11,attacker,CyberBattleDMZ-thesis-v0,PPO,22011,116.375,2001,0,2001,0,-1,0,2,18.374999999999915,300.0,,,,,,,,,,,
12,attacker,CyberBattleDMZ-thesis-v0,PPO,24012,85.225,2001,0,2001,0,-1,0,2,9.225000000000001,150.0,,,,,,,,,,,
13,attacker,CyberBattleDMZ-thesis-v0,PPO,26013,116.15,2001,0,2001,0,-1,0,3,24.14999999999986,300.0,,,,,,,,,,,
14,attacker,CyberBattleDMZ-thesis-v0,PPO,28014,154.325,2001,0,2001,0,-1,0,3,20.32499999999999,315.0,,,,,,,,,,,
15,attacker,CyberBattleDMZ-thesis-v0,PPO,30015,83.125,2001,0,2001,0,-1,0,3,7.1250000000000115,255.0,,,,,,,,,,,
16,attacker,CyberBattleDMZ-thesis-v0,PPO,32016,84.4,2001,0,2001,0,-1,0,2,8.40000000000001,240.0,,,,,,,,,,,
17,attacker,CyberBattleDMZ-thesis-v0,PPO,34017,78.25,2001,0,2001,0,-1,0,2,2.25,150.0,,,,,,,,,,,
18,attacker,CyberBattleDMZ-thesis-v0,PPO,36018,102.125,2001,0,2001,1,949,0,3,14.124999999999952,355.0,,,,,,,,,,,
19,attacker,CyberBattleDMZ-thesis-v0,PPO,38019,80.95,2001,0,2001,0,-1,0,2,4.950000000000006,225.0,,,,,,,,,,,
20,attacker,CyberBattleDMZ-thesis-v0,PPO,40020,78.975,2001,0,2001,0,-1,0,2,6.975000000000011,135.0,,,,,,,,,,,
21,attacker,CyberBattleDMZ-thesis-v0,PPO,42021,86.575,2001,0,2001,0,-1,0,2,4.5750000000000055,120.0,,,,,,,,,,,
22,attacker,CyberBattleDMZ-thesis-v0,PPO,44022,75.375,2001,0,2001,0,-1,0,2,3.3750000000000027,60.0,,,,,,,,,,,
23,attacker,CyberBattleDMZ-thesis-v0,PPO,46023,79.825,2001,0,2001,0,-1,0,2,3.8250000000000037,105.0,,,,,,,,,,,
24,attacker,CyberBattleDMZ-thesis-v0,PPO,48024,107.7,2001,0,2001,0,-1,0,2,11.699999999999978,240.0,,,,,,,,,,,
25,attacker,CyberBattleDMZ-thesis-v0,PPO,50025,145.6,2001,0,2001,1,1614,0,3,17.59999999999999,220.0,,,,,,,,,,,
26,attacker,CyberBattleDMZ-thesis-v0,PPO,52026,66.3,2001,0,2001,0,-1,0,2,0.3,15.0,,,,,,,,,,,
27,attacker,CyberBattleDMZ-thesis-v0,PPO,54027,38.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,,,
28,attacker,CyberBattleDMZ-thesis-v0,PPO,56028,66.675,2001,0,2001,0,-1,0,2,0.6749999999999999,75.0,,,,,,,,,,,
29,attacker,CyberBattleDMZ-thesis-v0,PPO,58029,68.25,2001,0,2001,0,-1,0,2,2.25,45.0,,,,,,,,,,,
30,attacker,CyberBattleDMZ-thesis-v0,PPO,60030,90.075,2001,0,2001,0,-1,0,3,6.075000000000009,75.0,,,,,,,,,,,
31,attacker,CyberBattleDMZ-thesis-v0,PPO,62031,84.225,2001,0,2001,0,-1,0,2,6.225000000000009,135.0,,,,,,,,,,,
32,attacker,CyberBattleDMZ-thesis-v0,PPO,64032,76.425,2001,0,2001,0,-1,0,2,4.425000000000005,240.0,,,,,,,,,,,
33,attacker,CyberBattleDMZ-thesis-v0,PPO,66033,38.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,,,
34,attacker,CyberBattleDMZ-thesis-v0,PPO,68034,76.375,2001,0,2001,0,-1,0,2,0.375,30.0,,,,,,,,,,,
35,attacker,CyberBattleDMZ-thesis-v0,PPO,70035,68.925,2001,0,2001,0,-1,0,2,2.9250000000000016,135.0,,,,,,,,,,,
36,attacker,CyberBattleDMZ-thesis-v0,PPO,72036,76.975,2001,0,2001,0,-1,0,2,0.9749999999999998,60.0,,,,,,,,,,,
37,attacker,CyberBattleDMZ-thesis-v0,PPO,74037,66.825,2001,0,2001,0,-1,0,2,0.8249999999999998,45.0,,,,,,,,,,,
38,attacker,CyberBattleDMZ-thesis-v0,PPO,76038,131.15,2001,0,2001,1,1912,0,3,35.150000000000006,175.0,,,,,,,,,,,
39,attacker,CyberBattleDMZ-thesis-v0,PPO,78039,76.975,2001,0,2001,0,-1,0,2,0.9749999999999998,45.0,,,,,,,,,,,
