episode,agent,env_id,algorithm,timestep,episode_reward,episode_length,atk_invalid,atk_valid,atk_cj_reached,atk_cj_step,atk_won,atk_max_owned,atk_hold_reward,atk_eviction,def_reimage,def_block,def_allow,def_stop_svc,def_stop_svc_clean,def_start_svc,def_invalid,def_recovered,def_sla_break_steps,def_abwehr_reward,def_abgeschirmt
1,attacker,CyberBattleDMZ-thesis-v0,PPO,2001,125.25,2001,0,2001,0,-1,0,2,17.249999999999925,150.0,,,,,,,,,,,
2,attacker,CyberBattleDMZ-thesis-v0,PPO,4002,256.225,2001,0,2001,1,1301,0,3,88.22500000000005,470.0,,,,,,,,,,,
3,attacker,CyberBattleDMZ-thesis-v0,PPO,6003,154.525,2001,0,2001,1,260,0,3,44.52500000000043,370.0,,,,,,,,,,,
4,attacker,CyberBattleDMZ-thesis-v0,PPO,8004,165.05,2001,0,2001,0,-1,0,3,25.049999999999912,225.0,,,,,,,,,,,
5,attacker,CyberBattleDMZ-thesis-v0,PPO,10005,234.075,2001,0,2001,1,633,0,4,103.07500000000131,590.0,,,,,,,,,,,
6,attacker,CyberBattleDMZ-thesis-v0,PPO,12006,205.55,2001,0,2001,1,211,0,3,59.55000000000033,460.0,,,,,,,,,,,
7,attacker,CyberBattleDMZ-thesis-v0,PPO,14007,181.8,2001,0,2001,0,-1,0,3,31.7999999999998,240.0,,,,,,,,,,,
8,attacker,CyberBattleDMZ-thesis-v0,PPO,16008,154.4,2001,0,2001,1,1364,0,3,38.39999999999995,470.0,,,,,,,,,,,
9,attacker,CyberBattleDMZ-thesis-v0,PPO,18009,198.95,2001,0,2001,1,382,0,4,40.950000000000216,485.0,,,,,,,,,,,
10,attacker,CyberBattleDMZ-thesis-v0,PPO,20010,129.525,2001,0,2001,0,-1,0,2,21.524999999999885,255.0,,,,,,,,,,,
11,attacker,CyberBattleDMZ-thesis-v0,PPO,22011,163.25,2001,0,2001,0,-1,0,3,32.2499999999999,345.0,,,,,,,,,,,
12,attacker,CyberBattleDMZ-thesis-v0,PPO,24012,113.75,2001,0,2001,0,-1,0,2,15.74999999999994,240.0,,,,,,,,,,,
13,attacker,CyberBattleDMZ-thesis-v0,PPO,26013,199.85,2001,0,2001,0,-1,0,3,37.84999999999996,430.0,,,,,,,,,,,
14,attacker,CyberBattleDMZ-thesis-v0,PPO,28014,199.375,2001,0,2001,0,-1,0,4,41.3750000000002,295.0,,,,,,,,,,,
15,attacker,CyberBattleDMZ-thesis-v0,PPO,30015,196.95,2001,0,2001,1,1746,0,3,45.94999999999996,490.0,,,,,,,,,,,
16,attacker,CyberBattleDMZ-thesis-v0,PPO,32016,189.025,2001,0,2001,1,1326,0,3,26.024999999999864,610.0,,,,,,,,,,,
17,attacker,CyberBattleDMZ-thesis-v0,PPO,34017,137.25,2001,0,2001,1,707,0,3,35.25000000000008,490.0,,,,,,,,,,,
18,attacker,CyberBattleDMZ-thesis-v0,PPO,36018,114.7,2001,0,2001,0,-1,0,3,20.699999999999893,285.0,,,,,,,,,,,
19,attacker,CyberBattleDMZ-thesis-v0,PPO,38019,112.7,2001,0,2001,0,-1,0,3,14.699999999999967,375.0,,,,,,,,,,,
