episode,agent,env_id,algorithm,timestep,episode_reward,episode_length,atk_invalid,atk_valid,atk_cj_reached,atk_cj_step,atk_won,atk_max_owned,atk_hold_reward,atk_eviction,def_reimage,def_block,def_allow,def_stop_svc,def_stop_svc_clean,def_start_svc,def_invalid,def_recovered,def_sla_break_steps,def_abwehr_reward,def_abgeschirmt
1,attacker,CyberBattleFlat-thesis-v0,PPO,2001,320.325,2001,0,2001,1,1395,0,3,90.32499999999976,480.0,,,,,,,,,,,
2,attacker,CyberBattleFlat-thesis-v0,PPO,4002,339.425,2001,0,2001,1,114,0,3,123.42500000000054,875.0,,,,,,,,,,,
3,attacker,CyberBattleFlat-thesis-v0,PPO,6003,395.55,2001,0,2001,1,1209,0,4,124.55000000000082,655.0,,,,,,,,,,,
4,attacker,CyberBattleFlat-thesis-v0,PPO,8004,344.475,2001,0,2001,1,582,0,3,80.47500000000032,555.0,,,,,,,,,,,
5,attacker,CyberBattleFlat-thesis-v0,PPO,10005,323.2,2001,0,2001,1,1036,0,4,129.20000000000098,770.0,,,,,,,,,,,
6,attacker,CyberBattleFlat-thesis-v0,PPO,12006,332.925,2001,0,2001,1,1131,0,3,88.92500000000004,605.0,,,,,,,,,,,
7,attacker,CyberBattleFlat-thesis-v0,PPO,14007,339.5,2001,0,2001,1,253,0,4,93.49999999999996,640.0,,,,,,,,,,,
8,attacker,CyberBattleFlat-thesis-v0,PPO,16008,406.725,2001,0,2001,1,50,0,3,134.72499999999954,800.0,,,,,,,,,,,
9,attacker,CyberBattleFlat-thesis-v0,PPO,18009,238.55,2001,0,2001,1,319,0,3,52.55000000000003,580.0,,,,,,,,,,,
10,attacker,CyberBattleFlat-thesis-v0,PPO,20010,204.425,2001,0,2001,1,1979,0,2,24.425000000000026,235.0,,,,,,,,,,,
11,attacker,CyberBattleFlat-thesis-v0,PPO,22011,283.35,2001,0,2001,1,1239,0,4,47.34999999999985,515.0,,,,,,,,,,,
12,attacker,CyberBattleFlat-thesis-v0,PPO,24012,290.325,2001,0,2001,1,131,0,3,120.3250000000011,775.0,,,,,,,,,,,
13,attacker,CyberBattleFlat-thesis-v0,PPO,26013,287.075,2001,0,2001,1,1860,0,3,75.0750000000003,425.0,,,,,,,,,,,
14,attacker,CyberBattleFlat-thesis-v0,PPO,28014,338.725,2001,0,2001,1,120,0,3,100.72499999999954,1145.0,,,,,,,,,,,
15,attacker,CyberBattleFlat-thesis-v0,PPO,30015,339.275,2001,0,2001,1,1269,0,3,99.27500000000023,595.0,,,,,,,,,,,
16,attacker,CyberBattleFlat-thesis-v0,PPO,32016,316.875,2001,0,2001,1,288,0,2,144.8750000000001,1185.0,,,,,,,,,,,
