episode,agent,env_id,algorithm,timestep,episode_reward,episode_length,atk_invalid,atk_valid,atk_cj_reached,atk_cj_step,atk_won,atk_max_owned,atk_hold_reward,atk_eviction,def_reimage,def_block,def_allow,def_stop_svc,def_stop_svc_clean,def_start_svc,def_invalid,def_recovered,def_sla_break_steps,def_abwehr_reward,def_abgeschirmt
1,attacker,CyberBattleFlat-thesis-v0,PPO,2001,842.625,2001,0,2001,1,38,0,7,700.6250000000003,5150.0,,,,,,,,,,,
2,attacker,CyberBattleFlat-thesis-v0,PPO,4002,971.0,2001,0,2001,1,90,0,7,662.0000000000031,5075.0,,,,,,,,,,,
3,attacker,CyberBattleFlat-thesis-v0,PPO,6003,1283.25,2001,0,2001,1,52,0,8,914.249999999999,5980.0,,,,,,,,,,,
4,attacker,CyberBattleFlat-thesis-v0,PPO,8004,1322.7,2001,0,2001,1,51,0,9,994.7000000000048,5510.0,,,,,,,,,,,
5,attacker,CyberBattleFlat-thesis-v0,PPO,10005,1328.7,2001,0,2001,1,9,0,8,1090.7000000000041,4645.0,,,,,,,,,,,
6,attacker,CyberBattleFlat-thesis-v0,PPO,12006,1453.85,2001,0,2001,1,14,0,8,1154.850000000003,4500.0,,,,,,,,,,,
7,attacker,CyberBattleFlat-thesis-v0,PPO,14007,1479.925,2001,0,2001,1,8,0,9,1156.9250000000059,4810.0,,,,,,,,,,,
8,attacker,CyberBattleFlat-thesis-v0,PPO,16008,1317.95,2001,0,2001,1,99,0,8,993.9499999999971,4915.0,,,,,,,,,,,
9,attacker,CyberBattleFlat-thesis-v0,PPO,18009,1360.125,2001,0,2001,1,9,0,8,1082.1249999999957,4565.0,,,,,,,,,,,
10,attacker,CyberBattleFlat-thesis-v0,PPO,20010,1246.375,2001,0,2001,1,7,0,9,1088.3750000000045,5110.0,,,,,,,,,,,
11,attacker,CyberBattleFlat-thesis-v0,PPO,22011,1491.2,2001,0,2001,1,11,0,9,1174.2000000000019,4595.0,,,,,,,,,,,
12,attacker,CyberBattleFlat-thesis-v0,PPO,22965,5846.65,954,0,954,1,13,1,10,495.64999999999884,2230.0,,,,,,,,,,,
13,attacker,CyberBattleFlat-thesis-v0,PPO,24966,1248.525,2001,0,2001,1,20,0,9,1019.5250000000002,5260.0,,,,,,,,,,,
14,attacker,CyberBattleFlat-thesis-v0,PPO,26967,1372.15,2001,0,2001,1,13,0,9,1112.150000000003,5095.0,,,,,,,,,,,
15,attacker,CyberBattleFlat-thesis-v0,PPO,28968,1489.175,2001,0,2001,1,9,0,9,1139.1749999999975,4325.0,,,,,,,,,,,
16,attacker,CyberBattleFlat-thesis-v0,PPO,30969,1389.35,2001,0,2001,1,24,0,9,1048.3500000000067,4635.0,,,,,,,,,,,
17,attacker,CyberBattleFlat-thesis-v0,PPO,32970,1220.075,2001,0,2001,1,14,0,8,969.0749999999991,5290.0,,,,,,,,,,,
18,attacker,CyberBattleFlat-thesis-v0,PPO,34971,1452.6,2001,0,2001,1,12,0,8,1082.6000000000029,5310.0,,,,,,,,,,,
19,attacker,CyberBattleFlat-thesis-v0,PPO,36972,1486.825,2001,0,2001,1,11,0,9,1122.8249999999957,4865.0,,,,,,,,,,,
20,attacker,CyberBattleFlat-thesis-v0,PPO,38973,1277.625,2001,0,2001,1,14,0,9,993.6250000000018,5000.0,,,,,,,,,,,
21,attacker,CyberBattleFlat-thesis-v0,PPO,40974,1201.825,2001,0,2001,1,11,0,9,959.825000000001,5580.0,,,,,,,,,,,
22,attacker,CyberBattleFlat-thesis-v0,PPO,42975,1418.2,2001,0,2001,1,65,0,9,1094.2000000000007,4885.0,,,,,,,,,,,
23,attacker,CyberBattleFlat-thesis-v0,PPO,44976,1165.7,2001,0,2001,1,28,0,8,960.6999999999939,5690.0,,,,,,,,,,,
24,attacker,CyberBattleFlat-thesis-v0,PPO,46977,1241.4,2001,0,2001,1,10,0,9,1006.3999999999951,5265.0,,,,,,,,,,,
25,attacker,CyberBattleFlat-thesis-v0,PPO,48978,1160.525,2001,0,2001,1,7,0,9,946.5250000000011,6055.0,,,,,,,,,,,
26,attacker,CyberBattleFlat-thesis-v0,PPO,50979,1394.85,2001,0,2001,1,47,0,9,1049.8500000000004,5505.0,,,,,,,,,,,
27,attacker,CyberBattleFlat-thesis-v0,PPO,52980,1165.775,2001,0,2001,1,57,0,9,925.7750000000012,5305.0,,,,,,,,,,,
28,attacker,CyberBattleFlat-thesis-v0,PPO,54981,1137.85,2001,0,2001,1,11,0,9,939.8499999999968,6820.0,,,,,,,,,,,
29,attacker,CyberBattleFlat-thesis-v0,PPO,56982,1208.475,2001,0,2001,1,60,0,9,1017.4750000000012,5430.0,,,,,,,,,,,
30,attacker,CyberBattleFlat-thesis-v0,PPO,58983,1417.975,2001,0,2001,1,14,0,9,1061.974999999993,5475.0,,,,,,,,,,,
31,attacker,CyberBattleFlat-thesis-v0,PPO,60984,1143.225,2001,0,2001,1,20,0,8,929.2250000000015,5515.0,,,,,,,,,,,
32,attacker,CyberBattleFlat-thesis-v0,PPO,62985,1244.15,2001,0,2001,1,25,0,9,933.1500000000025,5780.0,,,,,,,,,,,
33,attacker,CyberBattleFlat-thesis-v0,PPO,64986,1169.35,2001,0,2001,1,12,0,9,911.3500000000056,4770.0,,,,,,,,,,,
34,attacker,CyberBattleFlat-thesis-v0,PPO,66987,1162.3,2001,0,2001,1,13,0,9,931.3000000000097,4725.0,,,,,,,,,,,
