episode,agent,env_id,algorithm,timestep,episode_reward,episode_length,atk_invalid,atk_valid,atk_cj_reached,atk_cj_step,atk_won,atk_max_owned,atk_hold_reward,atk_eviction,def_reimage,def_block,def_allow,def_stop_svc,def_stop_svc_clean,def_start_svc,def_invalid,def_recovered,def_sla_break_steps,def_abwehr_reward,def_abgeschirmt
1,attacker,CyberBattleFlat-thesis-v0,PPO,2001,273.75,2001,0,2001,1,1081,0,3,87.7500000000007,450.0,,,,,,,,,,,
2,attacker,CyberBattleFlat-thesis-v0,PPO,4002,289.8,2001,0,2001,1,552,0,4,89.79999999999951,575.0,,,,,,,,,,,
3,attacker,CyberBattleFlat-thesis-v0,PPO,6003,306.1,2001,0,2001,1,313,0,3,90.09999999999961,1210.0,,,,,,,,,,,
4,attacker,CyberBattleFlat-thesis-v0,PPO,8004,353.925,2001,0,2001,1,81,0,4,153.92500000000103,1335.0,,,,,,,,,,,
5,attacker,CyberBattleFlat-thesis-v0,PPO,10005,303.4,2001,0,2001,1,79,0,4,111.40000000000062,890.0,,,,,,,,,,,
6,attacker,CyberBattleFlat-thesis-v0,PPO,12006,313.3,2001,0,2001,1,185,0,3,99.30000000000042,715.0,,,,,,,,,,,
7,attacker,CyberBattleFlat-thesis-v0,PPO,14007,242.075,2001,0,2001,1,1092,0,3,62.074999999999875,595.0,,,,,,,,,,,
8,attacker,CyberBattleFlat-thesis-v0,PPO,16008,259.125,2001,0,2001,1,993,0,4,75.12500000000011,690.0,,,,,,,,,,,
9,attacker,CyberBattleFlat-thesis-v0,PPO,18009,335.7,2001,0,2001,1,92,0,3,165.70000000000084,1635.0,,,,,,,,,,,
10,attacker,CyberBattleFlat-thesis-v0,PPO,20010,349.65,2001,0,2001,1,245,0,3,167.6499999999976,1600.0,,,,,,,,,,,
11,attacker,CyberBattleFlat-thesis-v0,PPO,22011,293.4,2001,0,2001,1,966,0,4,83.40000000000032,635.0,,,,,,,,,,,
12,attacker,CyberBattleFlat-thesis-v0,PPO,24012,299.95,2001,0,2001,1,827,0,3,65.94999999999986,875.0,,,,,,,,,,,
13,attacker,CyberBattleFlat-thesis-v0,PPO,26013,288.625,2001,0,2001,1,29,0,3,118.62500000000075,1720.0,,,,,,,,,,,
14,attacker,CyberBattleFlat-thesis-v0,PPO,28014,311.225,2001,0,2001,1,22,0,4,109.22499999999961,1170.0,,,,,,,,,,,
15,attacker,CyberBattleFlat-thesis-v0,PPO,30015,304.0,2001,0,2001,1,21,0,4,102.00000000000055,1445.0,,,,,,,,,,,
16,attacker,CyberBattleFlat-thesis-v0,PPO,32016,248.175,2001,0,2001,1,327,0,3,54.17500000000003,835.0,,,,,,,,,,,
17,attacker,CyberBattleFlat-thesis-v0,PPO,34017,252.275,2001,0,2001,1,418,0,3,82.27500000000022,1685.0,,,,,,,,,,,
18,attacker,CyberBattleFlat-thesis-v0,PPO,36018,223.475,2001,0,2001,1,194,0,4,53.47499999999996,1145.0,,,,,,,,,,,
19,attacker,CyberBattleFlat-thesis-v0,PPO,38019,189.2,2001,0,2001,1,1725,0,3,15.199999999999998,265.0,,,,,,,,,,,
20,attacker,CyberBattleFlat-thesis-v0,PPO,40020,205.675,2001,0,2001,1,1218,0,2,31.67499999999992,480.0,,,,,,,,,,,
21,attacker,CyberBattleFlat-thesis-v0,PPO,42021,261.675,2001,0,2001,1,931,0,3,79.67500000000015,1390.0,,,,,,,,,,,
22,attacker,CyberBattleFlat-thesis-v0,PPO,44022,374.05,2001,0,2001,1,113,0,4,132.05000000000098,2000.0,,,,,,,,,,,
23,attacker,CyberBattleFlat-thesis-v0,PPO,46023,266.1,2001,0,2001,1,40,0,3,72.10000000000008,1305.0,,,,,,,,,,,
24,attacker,CyberBattleFlat-thesis-v0,PPO,48024,243.35,2001,0,2001,1,1307,0,3,63.35000000000013,815.0,,,,,,,,,,,
25,attacker,CyberBattleFlat-thesis-v0,PPO,50025,288.45,2001,0,2001,1,203,0,4,100.4500000000006,2270.0,,,,,,,,,,,
26,attacker,CyberBattleFlat-thesis-v0,PPO,52026,277.475,2001,0,2001,1,577,0,3,68.47500000000002,1365.0,,,,,,,,,,,
27,attacker,CyberBattleFlat-thesis-v0,PPO,54027,256.575,2001,0,2001,1,237,0,3,74.57500000000016,1220.0,,,,,,,,,,,
28,attacker,CyberBattleFlat-thesis-v0,PPO,56028,253.325,2001,0,2001,1,161,0,3,87.3250000000002,1605.0,,,,,,,,,,,
29,attacker,CyberBattleFlat-thesis-v0,PPO,58029,227.35,2001,0,2001,1,18,0,3,49.349999999999895,940.0,,,,,,,,,,,
30,attacker,CyberBattleFlat-thesis-v0,PPO,60030,230.025,2001,0,2001,1,52,0,3,28.024999999999977,845.0,,,,,,,,,,,
31,attacker,CyberBattleFlat-thesis-v0,PPO,62031,183.65,2001,0,2001,1,1703,0,2,21.65000000000001,450.0,,,,,,,,,,,
32,attacker,CyberBattleFlat-thesis-v0,PPO,64032,245.175,2001,0,2001,1,320,0,4,55.175000000000104,735.0,,,,,,,,,,,
33,attacker,CyberBattleFlat-thesis-v0,PPO,66033,235.025,2001,0,2001,1,1726,0,3,19.025000000000034,415.0,,,,,,,,,,,
34,attacker,CyberBattleFlat-thesis-v0,PPO,68034,193.85,2001,0,2001,1,580,0,2,31.849999999999966,880.0,,,,,,,,,,,
35,attacker,CyberBattleFlat-thesis-v0,PPO,70035,170.625,2001,0,2001,0,-1,0,2,8.625000000000007,165.0,,,,,,,,,,,
36,attacker,CyberBattleFlat-thesis-v0,PPO,72036,221.225,2001,0,2001,1,157,0,3,47.22499999999998,1255.0,,,,,,,,,,,
37,attacker,CyberBattleFlat-thesis-v0,PPO,74037,216.1,2001,0,2001,1,86,0,3,52.10000000000025,1965.0,,,,,,,,,,,
38,attacker,CyberBattleFlat-thesis-v0,PPO,76038,207.75,2001,0,2001,1,662,0,3,39.750000000000085,845.0,,,,,,,,,,,
39,attacker,CyberBattleFlat-thesis-v0,PPO,78039,152.925,2001,0,2001,0,-1,0,2,2.9250000000000016,90.0,,,,,,,,,,,
40,attacker,CyberBattleFlat-thesis-v0,PPO,80040,239.25,2001,0,2001,1,419,0,4,41.24999999999987,1230.0,,,,,,,,,,,
41,attacker,CyberBattleFlat-thesis-v0,PPO,82041,197.625,2001,0,2001,1,360,0,3,33.62499999999995,1275.0,,,,,,,,,,,
42,attacker,CyberBattleFlat-thesis-v0,PPO,84042,239.825,2001,0,2001,1,369,0,3,39.824999999999896,1255.0,,,,,,,,,,,
