episode,agent,env_id,algorithm,timestep,episode_reward,episode_length,atk_invalid,atk_valid,atk_cj_reached,atk_cj_step,atk_won,atk_max_owned,atk_hold_reward,atk_eviction,def_reimage,def_block,def_allow,def_stop_svc,def_stop_svc_clean,def_start_svc,def_invalid,def_recovered,def_sla_break_steps,def_abwehr_reward,def_abgeschirmt
1,attacker,CyberBattleFlat-thesis-v0,PPO,2001,273.0,2001,0,2001,1,514,0,3,63.0000000000001,600.0,,,,,,,,,,,
2,attacker,CyberBattleFlat-thesis-v0,PPO,4002,334.775,2001,0,2001,1,151,0,3,132.77500000000126,670.0,,,,,,,,,,,
3,attacker,CyberBattleFlat-thesis-v0,PPO,6003,238.575,2001,0,2001,1,1506,0,2,74.57499999999993,495.0,,,,,,,,,,,
4,attacker,CyberBattleFlat-thesis-v0,PPO,8004,285.475,2001,0,2001,1,121,0,3,67.4749999999998,855.0,,,,,,,,,,,
5,attacker,CyberBattleFlat-thesis-v0,PPO,10005,311.075,2001,0,2001,1,416,0,4,113.07500000000088,740.0,,,,,,,,,,,
6,attacker,CyberBattleFlat-thesis-v0,PPO,12006,364.475,2001,0,2001,1,362,0,3,138.47500000000184,680.0,,,,,,,,,,,
7,attacker,CyberBattleFlat-thesis-v0,PPO,14007,289.85,2001,0,2001,1,758,0,3,113.85000000000092,775.0,,,,,,,,,,,
8,attacker,CyberBattleFlat-thesis-v0,PPO,16008,374.125,2001,0,2001,1,76,0,3,162.12500000000048,990.0,,,,,,,,,,,
9,attacker,CyberBattleFlat-thesis-v0,PPO,18009,404.7,2001,0,2001,1,214,0,3,230.69999999999837,1110.0,,,,,,,,,,,
10,attacker,CyberBattleFlat-thesis-v0,PPO,20010,335.525,2001,0,2001,1,363,0,4,97.52499999999945,610.0,,,,,,,,,,,
11,attacker,CyberBattleFlat-thesis-v0,PPO,22011,443.05,2001,0,2001,1,238,0,3,135.05000000000044,995.0,,,,,,,,,,,
12,attacker,CyberBattleFlat-thesis-v0,PPO,24012,391.05,2001,0,2001,1,138,0,5,155.05000000000135,845.0,,,,,,,,,,,
13,attacker,CyberBattleFlat-thesis-v0,PPO,26013,318.025,2001,0,2001,1,1290,0,4,104.02500000000072,780.0,,,,,,,,,,,
14,attacker,CyberBattleFlat-thesis-v0,PPO,28014,315.925,2001,0,2001,1,185,0,3,135.92500000000072,1070.0,,,,,,,,,,,
15,attacker,CyberBattleFlat-thesis-v0,PPO,30015,337.55,2001,0,2001,1,606,0,3,114.55000000000099,680.0,,,,,,,,,,,
16,attacker,CyberBattleFlat-thesis-v0,PPO,32016,348.5,2001,0,2001,1,430,0,3,168.50000000000057,1310.0,,,,,,,,,,,
17,attacker,CyberBattleFlat-thesis-v0,PPO,34017,206.925,2001,0,2001,1,1868,0,2,32.924999999999805,415.0,,,,,,,,,,,
