episode,agent,env_id,algorithm,timestep,episode_reward,episode_length,atk_invalid,atk_valid,atk_cj_reached,atk_cj_step,atk_won,atk_max_owned,atk_hold_reward,atk_eviction,def_reimage,def_block,def_allow,def_stop_svc,def_stop_svc_clean,def_start_svc,def_invalid,def_recovered,def_sla_break_steps,def_abwehr_reward,def_abgeschirmt
1,attacker,CyberBattleFlat-thesis-v0,PPO,2001,386.725,2001,0,2001,1,38,0,4,168.72499999999894,1175.0,,,,,,,,,,,
2,attacker,CyberBattleFlat-thesis-v0,PPO,4002,598.85,2001,0,2001,1,99,0,4,310.8500000000016,2000.0,,,,,,,,,,,
3,attacker,CyberBattleFlat-thesis-v0,PPO,6003,630.2,2001,0,2001,1,137,0,4,270.20000000000135,2250.0,,,,,,,,,,,
4,attacker,CyberBattleFlat-thesis-v0,PPO,8004,683.175,2001,0,2001,1,63,0,4,401.17499999999217,3035.0,,,,,,,,,,,
5,attacker,CyberBattleFlat-thesis-v0,PPO,10005,696.625,2001,0,2001,1,31,0,4,480.62499999999073,2295.0,,,,,,,,,,,
6,attacker,CyberBattleFlat-thesis-v0,PPO,12006,699.625,2001,0,2001,1,53,0,4,451.6249999999977,3375.0,,,,,,,,,,,
7,attacker,CyberBattleFlat-thesis-v0,PPO,14007,523.425,2001,0,2001,1,316,0,4,277.42499999999905,2720.0,,,,,,,,,,,
8,attacker,CyberBattleFlat-thesis-v0,PPO,16008,431.925,2001,0,2001,1,94,0,4,191.92500000000064,2205.0,,,,,,,,,,,
9,attacker,CyberBattleFlat-thesis-v0,PPO,18009,597.275,2001,0,2001,1,55,0,5,275.2749999999999,3195.0,,,,,,,,,,,
10,attacker,CyberBattleFlat-thesis-v0,PPO,20010,577.7,2001,0,2001,1,201,0,5,347.6999999999995,2855.0,,,,,,,,,,,
11,attacker,CyberBattleFlat-thesis-v0,PPO,22011,479.725,2001,0,2001,1,24,0,4,243.72500000000113,2540.0,,,,,,,,,,,
12,attacker,CyberBattleFlat-thesis-v0,PPO,24012,527.3,2001,0,2001,1,106,0,4,245.30000000000015,2725.0,,,,,,,,,,,
13,attacker,CyberBattleFlat-thesis-v0,PPO,26013,476.4,2001,0,2001,1,96,0,3,258.39999999999895,2620.0,,,,,,,,,,,
