episode,agent,env_id,algorithm,timestep,episode_reward,episode_length,atk_invalid,atk_valid,atk_cj_reached,atk_cj_step,atk_won,atk_max_owned,atk_hold_reward,atk_eviction,def_reimage,def_block,def_allow,def_stop_svc,def_stop_svc_clean,def_start_svc,def_invalid,def_recovered,def_sla_break_steps,def_abwehr_reward,def_abgeschirmt
1,attacker,CyberBattleHubSpoke-thesis-v0,PPO,2001,206.775,2001,0,2001,0,-1,0,2,38.77500000000004,225.0,,,,,,,,,,,
2,attacker,CyberBattleHubSpoke-thesis-v0,PPO,4002,179.175,2001,0,2001,0,-1,0,3,25.17499999999986,170.0,,,,,,,,,,,
3,attacker,CyberBattleHubSpoke-thesis-v0,PPO,6003,258.875,2001,0,2001,1,455,0,3,55.87500000000024,325.0,,,,,,,,,,,
4,attacker,CyberBattleHubSpoke-thesis-v0,PPO,8004,243.725,2001,0,2001,0,-1,0,3,47.72500000000049,245.0,,,,,,,,,,,
5,attacker,CyberBattleHubSpoke-thesis-v0,PPO,10005,258.725,2001,0,2001,0,-1,0,3,64.72500000000056,330.0,,,,,,,,,,,
6,attacker,CyberBattleHubSpoke-thesis-v0,PPO,12006,233.05,2001,0,2001,1,597,0,3,27.04999999999991,380.0,,,,,,,,,,,
7,attacker,CyberBattleHubSpoke-thesis-v0,PPO,14007,291.4,2001,0,2001,1,11,0,5,131.40000000000012,395.0,,,,,,,,,,,
8,attacker,CyberBattleHubSpoke-thesis-v0,PPO,16008,213.05,2001,0,2001,1,993,0,4,57.05000000000032,360.0,,,,,,,,,,,
9,attacker,CyberBattleHubSpoke-thesis-v0,PPO,18009,233.775,2001,0,2001,1,1383,0,3,49.775000000000055,400.0,,,,,,,,,,,
10,attacker,CyberBattleHubSpoke-thesis-v0,PPO,20010,188.75,2001,0,2001,0,-1,0,3,30.7499999999998,405.0,,,,,,,,,,,
11,attacker,CyberBattleHubSpoke-thesis-v0,PPO,22011,223.15,2001,0,2001,1,27,0,3,35.14999999999994,470.0,,,,,,,,,,,
12,attacker,CyberBattleHubSpoke-thesis-v0,PPO,24012,141.65,2001,0,2001,0,-1,0,3,13.649999999999958,180.0,,,,,,,,,,,
13,attacker,CyberBattleHubSpoke-thesis-v0,PPO,26013,200.55,2001,0,2001,0,-1,0,3,26.5499999999999,330.0,,,,,,,,,,,
14,attacker,CyberBattleHubSpoke-thesis-v0,PPO,28014,185.5,2001,0,2001,1,1387,0,3,22.499999999999876,490.0,,,,,,,,,,,
15,attacker,CyberBattleHubSpoke-thesis-v0,PPO,30015,173.375,2001,0,2001,0,-1,0,3,21.37499999999989,210.0,,,,,,,,,,,
16,attacker,CyberBattleHubSpoke-thesis-v0,PPO,32016,187.7,2001,0,2001,0,-1,0,3,17.69999999999993,270.0,,,,,,,,,,,
17,attacker,CyberBattleHubSpoke-thesis-v0,PPO,34017,207.7,2001,0,2001,1,1030,0,3,27.699999999999953,325.0,,,,,,,,,,,
18,attacker,CyberBattleHubSpoke-thesis-v0,PPO,36018,144.425,2001,0,2001,0,-1,0,3,16.42499999999994,180.0,,,,,,,,,,,
19,attacker,CyberBattleHubSpoke-thesis-v0,PPO,38019,176.825,2001,0,2001,1,74,0,3,18.825,250.0,,,,,,,,,,,
20,attacker,CyberBattleHubSpoke-thesis-v0,PPO,40020,202.7,2001,0,2001,1,833,0,3,36.699999999999946,545.0,,,,,,,,,,,
21,attacker,CyberBattleHubSpoke-thesis-v0,PPO,42021,131.05,2001,0,2001,0,-1,0,2,7.050000000000011,255.0,,,,,,,,,,,
22,attacker,CyberBattleHubSpoke-thesis-v0,PPO,44022,181.775,2001,0,2001,0,-1,0,2,17.77499999999992,435.0,,,,,,,,,,,
23,attacker,CyberBattleHubSpoke-thesis-v0,PPO,46023,154.5,2001,0,2001,0,-1,0,2,10.49999999999999,390.0,,,,,,,,,,,
24,attacker,CyberBattleHubSpoke-thesis-v0,PPO,48024,133.125,2001,0,2001,1,1948,0,3,15.124999999999979,445.0,,,,,,,,,,,
25,attacker,CyberBattleHubSpoke-thesis-v0,PPO,50025,169.225,2001,0,2001,0,-1,0,2,15.224999999999945,420.0,,,,,,,,,,,
26,attacker,CyberBattleHubSpoke-thesis-v0,PPO,52026,141.8,2001,0,2001,0,-1,0,2,7.800000000000013,195.0,,,,,,,,,,,
27,attacker,CyberBattleHubSpoke-thesis-v0,PPO,54027,153.35,2001,0,2001,0,-1,0,3,13.349999999999971,345.0,,,,,,,,,,,
28,attacker,CyberBattleHubSpoke-thesis-v0,PPO,56028,109.775,2001,0,2001,0,-1,0,2,5.775000000000008,150.0,,,,,,,,,,,
29,attacker,CyberBattleHubSpoke-thesis-v0,PPO,58029,146.95,2001,0,2001,0,-1,0,2,7.9500000000000135,255.0,,,,,,,,,,,
30,attacker,CyberBattleHubSpoke-thesis-v0,PPO,60030,148.125,2001,0,2001,0,-1,0,2,10.124999999999993,315.0,,,,,,,,,,,
31,attacker,CyberBattleHubSpoke-thesis-v0,PPO,62031,148.2,2001,0,2001,0,-1,0,2,10.199999999999992,360.0,,,,,,,,,,,
32,attacker,CyberBattleHubSpoke-thesis-v0,PPO,64032,156.6,2001,0,2001,0,-1,0,2,12.59999999999997,420.0,,,,,,,,,,,
33,attacker,CyberBattleHubSpoke-thesis-v0,PPO,66033,135.875,2001,0,2001,0,-1,0,3,7.875000000000011,315.0,,,,,,,,,,,
34,attacker,CyberBattleHubSpoke-thesis-v0,PPO,68034,151.925,2001,0,2001,0,-1,0,2,8.925000000000004,360.0,,,,,,,,,,,
35,attacker,CyberBattleHubSpoke-thesis-v0,PPO,70035,124.075,2001,0,2001,0,-1,0,2,6.075000000000009,225.0,,,,,,,,,,,
36,attacker,CyberBattleHubSpoke-thesis-v0,PPO,72036,119.825,2001,0,2001,1,79,0,3,13.824999999999987,220.0,,,,,,,,,,,
37,attacker,CyberBattleHubSpoke-thesis-v0,PPO,74037,106.225,2001,0,2001,0,-1,0,3,6.225000000000008,450.0,,,,,,,,,,,
38,attacker,CyberBattleHubSpoke-thesis-v0,PPO,76038,101.15,2001,0,2001,0,-1,0,2,3.150000000000002,285.0,,,,,,,,,,,
39,attacker,CyberBattleHubSpoke-thesis-v0,PPO,78039,99.75,2001,0,2001,0,-1,0,2,3.7500000000000036,315.0,,,,,,,,,,,
40,attacker,CyberBattleHubSpoke-thesis-v0,PPO,80040,121.075,2001,0,2001,0,-1,0,2,3.075000000000002,210.0,,,,,,,,,,,
41,attacker,CyberBattleHubSpoke-thesis-v0,PPO,82041,84.975,2001,0,2001,0,-1,0,2,0.9749999999999998,75.0,,,,,,,,,,,
42,attacker,CyberBattleHubSpoke-thesis-v0,PPO,84042,126.4,2001,0,2001,0,-1,0,2,2.4000000000000004,180.0,,,,,,,,,,,
43,attacker,CyberBattleHubSpoke-thesis-v0,PPO,86043,85.425,2001,0,2001,0,-1,0,2,1.4249999999999996,105.0,,,,,,,,,,,
