episode,agent,env_id,algorithm,timestep,episode_reward,episode_length,atk_invalid,atk_valid,atk_cj_reached,atk_cj_step,atk_won,atk_max_owned,atk_hold_reward,atk_eviction,def_reimage,def_block,def_allow,def_stop_svc,def_stop_svc_clean,def_start_svc,def_invalid,def_recovered,def_sla_break_steps,def_abwehr_reward,def_abgeschirmt
1,attacker,CyberBattleHubSpoke-thesis-v0,PPO,2001,172.1,2001,0,2001,0,-1,0,3,38.0999999999998,105.0,,,,,,,,,,,
2,attacker,CyberBattleHubSpoke-thesis-v0,PPO,4002,150.375,2001,0,2001,0,-1,0,3,12.375000000000018,60.0,,,,,,,,,,,
3,attacker,CyberBattleHubSpoke-thesis-v0,PPO,6003,172.45,2001,0,2001,0,-1,0,3,24.4499999999999,120.0,,,,,,,,,,,
4,attacker,CyberBattleHubSpoke-thesis-v0,PPO,8004,175.25,2001,0,2001,0,-1,0,4,17.249999999999968,175.0,,,,,,,,,,,
5,attacker,CyberBattleHubSpoke-thesis-v0,PPO,10005,212.45,2001,0,2001,1,1368,0,3,46.45000000000012,250.0,,,,,,,,,,,
6,attacker,CyberBattleHubSpoke-thesis-v0,PPO,12006,30.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,,,
7,attacker,CyberBattleHubSpoke-thesis-v0,PPO,14007,124.65,2001,0,2001,0,-1,0,3,10.649999999999986,120.0,,,,,,,,,,,
8,attacker,CyberBattleHubSpoke-thesis-v0,PPO,16008,293.0,2001,0,2001,1,472,0,4,127.00000000000018,480.0,,,,,,,,,,,
9,attacker,CyberBattleHubSpoke-thesis-v0,PPO,18009,106.775,2001,0,2001,0,-1,0,3,2.7750000000000012,60.0,,,,,,,,,,,
10,attacker,CyberBattleHubSpoke-thesis-v0,PPO,20010,198.55,2001,0,2001,1,50,0,3,42.550000000000004,380.0,,,,,,,,,,,
11,attacker,CyberBattleHubSpoke-thesis-v0,PPO,22011,132.175,2001,0,2001,0,-1,0,3,14.175000000000022,45.0,,,,,,,,,,,
12,attacker,CyberBattleHubSpoke-thesis-v0,PPO,24012,154.75,2001,0,2001,0,-1,0,3,24.750000000000018,165.0,,,,,,,,,,,
13,attacker,CyberBattleHubSpoke-thesis-v0,PPO,26013,173.9,2001,0,2001,0,-1,0,3,15.89999999999999,165.0,,,,,,,,,,,
14,attacker,CyberBattleHubSpoke-thesis-v0,PPO,28014,112.95,2001,0,2001,0,-1,0,3,4.950000000000003,60.0,,,,,,,,,,,
15,attacker,CyberBattleHubSpoke-thesis-v0,PPO,30015,157.95,2001,0,2001,1,805,0,3,9.95000000000001,190.0,,,,,,,,,,,
16,attacker,CyberBattleHubSpoke-thesis-v0,PPO,32016,122.8,2001,0,2001,0,-1,0,3,4.8000000000000025,75.0,,,,,,,,,,,
17,attacker,CyberBattleHubSpoke-thesis-v0,PPO,34017,116.775,2001,0,2001,0,-1,0,3,2.774999999999999,60.0,,,,,,,,,,,
18,attacker,CyberBattleHubSpoke-thesis-v0,PPO,36018,86.925,2001,0,2001,0,-1,0,2,2.9250000000000016,60.0,,,,,,,,,,,
19,attacker,CyberBattleHubSpoke-thesis-v0,PPO,38019,139.475,2001,0,2001,0,-1,0,3,5.475000000000002,60.0,,,,,,,,,,,
20,attacker,CyberBattleHubSpoke-thesis-v0,PPO,40020,89.575,2001,0,2001,0,-1,0,2,1.5749999999999995,15.0,,,,,,,,,,,
21,attacker,CyberBattleHubSpoke-thesis-v0,PPO,42021,107.425,2001,0,2001,0,-1,0,3,7.425000000000009,90.0,,,,,,,,,,,
22,attacker,CyberBattleHubSpoke-thesis-v0,PPO,44022,175.6,2001,0,2001,0,-1,0,3,21.599999999999923,150.0,,,,,,,,,,,
23,attacker,CyberBattleHubSpoke-thesis-v0,PPO,46023,125.25,2001,0,2001,1,64,0,4,11.249999999999986,145.0,,,,,,,,,,,
24,attacker,CyberBattleHubSpoke-thesis-v0,PPO,48024,100.05,2001,0,2001,1,1000,0,3,2.05,130.0,,,,,,,,,,,
25,attacker,CyberBattleHubSpoke-thesis-v0,PPO,50025,134.2,2001,0,2001,0,-1,0,3,10.199999999999996,75.0,,,,,,,,,,,
26,attacker,CyberBattleHubSpoke-thesis-v0,PPO,52026,52.15,2001,0,2001,0,-1,0,2,0.15,15.0,,,,,,,,,,,
27,attacker,CyberBattleHubSpoke-thesis-v0,PPO,54027,136.825,2001,0,2001,0,-1,0,3,6.825000000000002,120.0,,,,,,,,,,,
28,attacker,CyberBattleHubSpoke-thesis-v0,PPO,56028,149.95,2001,0,2001,1,1313,0,4,15.949999999999973,340.0,,,,,,,,,,,
29,attacker,CyberBattleHubSpoke-thesis-v0,PPO,58029,117.25,2001,0,2001,1,1016,0,3,7.249999999999999,205.0,,,,,,,,,,,
30,attacker,CyberBattleHubSpoke-thesis-v0,PPO,60030,109.4,2001,0,2001,0,-1,0,3,5.400000000000003,90.0,,,,,,,,,,,
31,attacker,CyberBattleHubSpoke-thesis-v0,PPO,62031,132.125,2001,0,2001,0,-1,0,3,4.125,105.0,,,,,,,,,,,
32,attacker,CyberBattleHubSpoke-thesis-v0,PPO,64032,89.8,2001,0,2001,0,-1,0,3,1.8,60.0,,,,,,,,,,,
33,attacker,CyberBattleHubSpoke-thesis-v0,PPO,66033,137.75,2001,0,2001,0,-1,0,3,9.750000000000009,90.0,,,,,,,,,,,
34,attacker,CyberBattleHubSpoke-thesis-v0,PPO,68034,128.875,2001,0,2001,0,-1,0,3,4.875000000000002,75.0,,,,,,,,,,,
35,attacker,CyberBattleHubSpoke-thesis-v0,PPO,70035,109.35,2001,0,2001,0,-1,0,2,1.3499999999999996,15.0,,,,,,,,,,,
36,attacker,CyberBattleHubSpoke-thesis-v0,PPO,72036,131.95,2001,0,2001,0,-1,0,3,7.95000000000001,180.0,,,,,,,,,,,
37,attacker,CyberBattleHubSpoke-thesis-v0,PPO,74037,89.425,2001,0,2001,0,-1,0,2,1.4249999999999996,45.0,,,,,,,,,,,
38,attacker,CyberBattleHubSpoke-thesis-v0,PPO,76038,123.925,2001,0,2001,0,-1,0,3,5.925000000000005,165.0,,,,,,,,,,,
39,attacker,CyberBattleHubSpoke-thesis-v0,PPO,78039,132.875,2001,0,2001,0,-1,0,3,4.875,45.0,,,,,,,,,,,
40,attacker,CyberBattleHubSpoke-thesis-v0,PPO,80040,106.4,2001,0,2001,0,-1,0,2,2.4000000000000004,45.0,,,,,,,,,,,
41,attacker,CyberBattleHubSpoke-thesis-v0,PPO,82041,105.95,2001,0,2001,0,-1,0,3,1.9499999999999993,75.0,,,,,,,,,,,
42,attacker,CyberBattleHubSpoke-thesis-v0,PPO,84042,96.325,2001,0,2001,0,-1,0,3,2.3249999999999993,60.0,,,,,,,,,,,
