episode,agent,env_id,algorithm,timestep,episode_reward,episode_length,atk_invalid,atk_valid,atk_cj_reached,atk_cj_step,atk_won,atk_max_owned,atk_hold_reward,atk_eviction,def_reimage,def_block,def_allow,def_stop_svc,def_stop_svc_clean,def_start_svc,def_invalid,def_recovered,def_sla_break_steps,def_abwehr_reward,def_abgeschirmt
1,attacker,CyberBattleHubSpoke-thesis-v0,PPO,2001,233.825,2001,0,2001,0,-1,0,3,69.82500000000124,510.0,,,,,,,,,,,
2,attacker,CyberBattleHubSpoke-thesis-v0,PPO,4002,274.25,2001,0,2001,1,914,0,3,89.25000000000178,595.0,,,,,,,,,,,
3,attacker,CyberBattleHubSpoke-thesis-v0,PPO,6003,320.9,2001,0,2001,1,1341,0,4,134.90000000000094,835.0,,,,,,,,,,,
4,attacker,CyberBattleHubSpoke-thesis-v0,PPO,8004,337.4,2001,0,2001,1,1193,0,3,134.40000000000026,785.0,,,,,,,,,,,
5,attacker,CyberBattleHubSpoke-thesis-v0,PPO,10005,302.2,2001,0,2001,1,600,0,3,92.20000000000122,755.0,,,,,,,,,,,
6,attacker,CyberBattleHubSpoke-thesis-v0,PPO,12006,271.85,2001,0,2001,1,641,0,3,107.8500000000014,820.0,,,,,,,,,,,
7,attacker,CyberBattleHubSpoke-thesis-v0,PPO,14007,377.95,2001,0,2001,1,450,0,3,140.95000000000113,880.0,,,,,,,,,,,
8,attacker,CyberBattleHubSpoke-thesis-v0,PPO,16008,304.6,2001,0,2001,0,-1,0,3,95.60000000000103,590.0,,,,,,,,,,,
9,attacker,CyberBattleHubSpoke-thesis-v0,PPO,18009,345.55,2001,0,2001,1,803,0,3,126.55000000000115,1200.0,,,,,,,,,,,
10,attacker,CyberBattleHubSpoke-thesis-v0,PPO,20010,295.725,2001,0,2001,1,283,0,3,116.72500000000173,1250.0,,,,,,,,,,,
11,attacker,CyberBattleHubSpoke-thesis-v0,PPO,22011,280.325,2001,0,2001,0,-1,0,4,76.32500000000076,1025.0,,,,,,,,,,,
12,attacker,CyberBattleHubSpoke-thesis-v0,PPO,24012,277.4,2001,0,2001,1,300,0,3,103.40000000000195,1140.0,,,,,,,,,,,
13,attacker,CyberBattleHubSpoke-thesis-v0,PPO,26013,225.325,2001,0,2001,1,1366,0,3,59.32500000000059,910.0,,,,,,,,,,,
14,attacker,CyberBattleHubSpoke-thesis-v0,PPO,28014,276.425,2001,0,2001,0,-1,0,3,70.42500000000058,770.0,,,,,,,,,,,
15,attacker,CyberBattleHubSpoke-thesis-v0,PPO,30015,298.675,2001,0,2001,0,-1,0,3,51.675000000000026,855.0,,,,,,,,,,,
16,attacker,CyberBattleHubSpoke-thesis-v0,PPO,32016,189.7,2001,0,2001,0,-1,0,2,41.70000000000015,915.0,,,,,,,,,,,
17,attacker,CyberBattleHubSpoke-thesis-v0,PPO,34017,191.875,2001,0,2001,0,-1,0,2,37.87500000000001,900.0,,,,,,,,,,,
18,attacker,CyberBattleHubSpoke-thesis-v0,PPO,36018,154.15,2001,0,2001,0,-1,0,2,30.149999999999803,855.0,,,,,,,,,,,
19,attacker,CyberBattleHubSpoke-thesis-v0,PPO,38019,169.325,2001,0,2001,0,-1,0,2,26.32499999999984,840.0,,,,,,,,,,,
20,attacker,CyberBattleHubSpoke-thesis-v0,PPO,40020,234.775,2001,0,2001,1,761,0,3,50.77499999999987,985.0,,,,,,,,,,,
21,attacker,CyberBattleHubSpoke-thesis-v0,PPO,42021,234.8,2001,0,2001,1,1152,0,3,50.799999999999926,1105.0,,,,,,,,,,,
22,attacker,CyberBattleHubSpoke-thesis-v0,PPO,44022,123.2,2001,0,2001,0,-1,0,2,19.199999999999907,660.0,,,,,,,,,,,
23,attacker,CyberBattleHubSpoke-thesis-v0,PPO,46023,173.85,2001,0,2001,0,-1,0,3,23.849999999999863,810.0,,,,,,,,,,,
24,attacker,CyberBattleHubSpoke-thesis-v0,PPO,48024,210.275,2001,0,2001,1,871,0,4,64.27500000000039,1105.0,,,,,,,,,,,
25,attacker,CyberBattleHubSpoke-thesis-v0,PPO,50025,135.575,2001,0,2001,0,-1,0,3,25.57499999999988,930.0,,,,,,,,,,,
26,attacker,CyberBattleHubSpoke-thesis-v0,PPO,52026,170.2,2001,0,2001,1,1741,0,3,22.199999999999964,1105.0,,,,,,,,,,,
27,attacker,CyberBattleHubSpoke-thesis-v0,PPO,54027,126.45,2001,0,2001,0,-1,0,2,12.44999999999997,900.0,,,,,,,,,,,
28,attacker,CyberBattleHubSpoke-thesis-v0,PPO,56028,174.175,2001,0,2001,0,-1,0,2,20.174999999999898,1350.0,,,,,,,,,,,
29,attacker,CyberBattleHubSpoke-thesis-v0,PPO,58029,145.025,2001,0,2001,0,-1,0,3,11.024999999999983,885.0,,,,,,,,,,,
30,attacker,CyberBattleHubSpoke-thesis-v0,PPO,60030,149.9,2001,0,2001,0,-1,0,3,15.899999999999999,990.0,,,,,,,,,,,
31,attacker,CyberBattleHubSpoke-thesis-v0,PPO,62031,182.9,2001,0,2001,0,-1,0,3,18.899999999999924,1440.0,,,,,,,,,,,
32,attacker,CyberBattleHubSpoke-thesis-v0,PPO,64032,211.4,2001,0,2001,0,-1,0,3,17.399999999999967,1455.0,,,,,,,,,,,
33,attacker,CyberBattleHubSpoke-thesis-v0,PPO,66033,156.425,2001,0,2001,0,-1,0,2,13.424999999999962,1245.0,,,,,,,,,,,
34,attacker,CyberBattleHubSpoke-thesis-v0,PPO,68034,80.425,2001,0,2001,0,-1,0,2,13.424999999999962,1350.0,,,,,,,,,,,
35,attacker,CyberBattleHubSpoke-thesis-v0,PPO,70035,61.95,2001,0,2001,0,-1,0,2,13.949999999999957,1500.0,,,,,,,,,,,
36,attacker,CyberBattleHubSpoke-thesis-v0,PPO,72036,166.35,2001,0,2001,0,-1,0,2,13.349999999999962,1365.0,,,,,,,,,,,
37,attacker,CyberBattleHubSpoke-thesis-v0,PPO,74037,162.075,2001,0,2001,0,-1,0,3,18.074999999999967,1350.0,,,,,,,,,,,
38,attacker,CyberBattleHubSpoke-thesis-v0,PPO,76038,127.05,2001,0,2001,0,-1,0,2,13.049999999999965,1530.0,,,,,,,,,,,
39,attacker,CyberBattleHubSpoke-thesis-v0,PPO,78039,129.1,2001,0,2001,0,-1,0,2,11.099999999999984,1500.0,,,,,,,,,,,
40,attacker,CyberBattleHubSpoke-thesis-v0,PPO,80040,150.5,2001,0,2001,0,-1,0,3,16.499999999999932,1470.0,,,,,,,,,,,
41,attacker,CyberBattleHubSpoke-thesis-v0,PPO,82041,124.95,2001,0,2001,0,-1,0,2,10.949999999999985,1530.0,,,,,,,,,,,
42,attacker,CyberBattleHubSpoke-thesis-v0,PPO,84042,147.725,2001,0,2001,0,-1,0,2,13.724999999999959,1455.0,,,,,,,,,,,
43,attacker,CyberBattleHubSpoke-thesis-v0,PPO,86043,62.2,2001,0,2001,0,-1,0,2,10.199999999999992,1320.0,,,,,,,,,,,
44,attacker,CyberBattleHubSpoke-thesis-v0,PPO,88044,171.8,2001,0,2001,1,1147,0,3,45.80000000000014,1730.0,,,,,,,,,,,
45,attacker,CyberBattleHubSpoke-thesis-v0,PPO,90045,211.5,2001,0,2001,1,1294,0,3,65.50000000000014,1675.0,,,,,,,,,,,
46,attacker,CyberBattleHubSpoke-thesis-v0,PPO,92046,114.275,2001,0,2001,0,-1,0,2,10.274999999999991,1485.0,,,,,,,,,,,
