episode,agent,env_id,algorithm,timestep,episode_reward,episode_length,atk_invalid,atk_valid,atk_cj_reached,atk_cj_step,atk_won,atk_max_owned,atk_hold_reward,atk_eviction,def_reimage,def_block,def_allow,def_stop_svc,def_stop_svc_clean,def_start_svc,def_invalid,def_recovered,def_sla_break_steps,def_abwehr_reward,def_abgeschirmt
1,attacker,CyberBattleHubSpoke-thesis-v0,PPO,2001,227.65,2001,0,2001,0,-1,0,2,73.65000000000136,420.0,,,,,,,,,,,
2,attacker,CyberBattleHubSpoke-thesis-v0,PPO,4002,239.75,2001,0,2001,0,-1,0,2,75.75000000000144,570.0,,,,,,,,,,,
3,attacker,CyberBattleHubSpoke-thesis-v0,PPO,6003,215.025,2001,0,2001,0,-1,0,3,56.025000000000745,430.0,,,,,,,,,,,
4,attacker,CyberBattleHubSpoke-thesis-v0,PPO,8004,282.65,2001,0,2001,1,192,0,3,107.65000000000215,695.0,,,,,,,,,,,
5,attacker,CyberBattleHubSpoke-thesis-v0,PPO,10005,266.0,2001,0,2001,0,-1,0,2,87.00000000000186,480.0,,,,,,,,,,,
6,attacker,CyberBattleHubSpoke-thesis-v0,PPO,12006,289.725,2001,0,2001,1,239,0,3,102.72500000000227,715.0,,,,,,,,,,,
7,attacker,CyberBattleHubSpoke-thesis-v0,PPO,14007,251.525,2001,0,2001,1,909,0,3,87.52500000000154,665.0,,,,,,,,,,,
8,attacker,CyberBattleHubSpoke-thesis-v0,PPO,16008,240.275,2001,0,2001,0,-1,0,3,73.27500000000137,645.0,,,,,,,,,,,
9,attacker,CyberBattleHubSpoke-thesis-v0,PPO,18009,272.775,2001,0,2001,1,1383,0,3,79.77500000000146,715.0,,,,,,,,,,,
10,attacker,CyberBattleHubSpoke-thesis-v0,PPO,20010,195.2,2001,0,2001,1,774,0,3,60.200000000000884,800.0,,,,,,,,,,,
11,attacker,CyberBattleHubSpoke-thesis-v0,PPO,22011,242.9,2001,0,2001,0,-1,0,3,74.90000000000093,760.0,,,,,,,,,,,
12,attacker,CyberBattleHubSpoke-thesis-v0,PPO,24012,198.625,2001,0,2001,0,-1,0,3,56.62500000000076,705.0,,,,,,,,,,,
13,attacker,CyberBattleHubSpoke-thesis-v0,PPO,26013,199.425,2001,0,2001,0,-1,0,3,55.42500000000068,795.0,,,,,,,,,,,
14,attacker,CyberBattleHubSpoke-thesis-v0,PPO,28014,227.0,2001,0,2001,1,297,0,3,63.00000000000104,1090.0,,,,,,,,,,,
15,attacker,CyberBattleHubSpoke-thesis-v0,PPO,30015,197.775,2001,0,2001,0,-1,0,3,53.77500000000061,765.0,,,,,,,,,,,
