episode,agent,env_id,algorithm,timestep,episode_reward,episode_length,atk_invalid,atk_valid,atk_cj_reached,atk_cj_step,atk_won,atk_max_owned,atk_hold_reward,atk_eviction,def_reimage,def_block,def_allow,def_stop_svc,def_stop_svc_clean,def_start_svc,def_invalid,def_recovered,def_sla_break_steps,def_abwehr_reward,def_abgeschirmt
1,attacker,CyberBattleHubSpoke-thesis-v0,PPO,2001,266.775,2001,0,2001,0,-1,0,4,88.77500000000109,625.0,,,,,,,,,,,
2,attacker,CyberBattleHubSpoke-thesis-v0,PPO,4002,269.175,2001,0,2001,1,131,0,4,99.17500000000123,685.0,,,,,,,,,,,
3,attacker,CyberBattleHubSpoke-thesis-v0,PPO,6003,289.05,2001,0,2001,0,-1,0,3,82.05000000000096,650.0,,,,,,,,,,,
4,attacker,CyberBattleHubSpoke-thesis-v0,PPO,8004,337.775,2001,0,2001,0,-1,0,4,165.77500000000052,720.0,,,,,,,,,,,
5,attacker,CyberBattleHubSpoke-thesis-v0,PPO,10005,272.375,2001,0,2001,0,-1,0,4,116.3750000000016,685.0,,,,,,,,,,,
6,attacker,CyberBattleHubSpoke-thesis-v0,PPO,12006,252.975,2001,0,2001,0,-1,0,4,96.97500000000085,745.0,,,,,,,,,,,
7,attacker,CyberBattleHubSpoke-thesis-v0,PPO,14007,224.775,2001,0,2001,1,1784,0,4,68.77500000000045,595.0,,,,,,,,,,,
8,attacker,CyberBattleHubSpoke-thesis-v0,PPO,16008,242.825,2001,0,2001,1,692,0,3,58.82500000000067,485.0,,,,,,,,,,,
9,attacker,CyberBattleHubSpoke-thesis-v0,PPO,18009,199.225,2001,0,2001,1,1720,0,4,57.22500000000018,665.0,,,,,,,,,,,
10,attacker,CyberBattleHubSpoke-thesis-v0,PPO,20010,218.95,2001,0,2001,0,-1,0,3,46.95000000000019,580.0,,,,,,,,,,,
11,attacker,CyberBattleHubSpoke-thesis-v0,PPO,22011,240.225,2001,0,2001,1,1240,0,4,78.22500000000072,885.0,,,,,,,,,,,
12,attacker,CyberBattleHubSpoke-thesis-v0,PPO,24012,233.35,2001,0,2001,0,-1,0,3,75.35000000000049,745.0,,,,,,,,,,,
13,attacker,CyberBattleHubSpoke-thesis-v0,PPO,26013,220.55,2001,0,2001,1,1467,0,3,38.550000000000026,805.0,,,,,,,,,,,
14,attacker,CyberBattleHubSpoke-thesis-v0,PPO,28014,207.15,2001,0,2001,0,-1,0,3,39.14999999999998,615.0,,,,,,,,,,,
15,attacker,CyberBattleHubSpoke-thesis-v0,PPO,30015,224.5,2001,0,2001,0,-1,0,4,42.50000000000006,715.0,,,,,,,,,,,
16,attacker,CyberBattleHubSpoke-thesis-v0,PPO,32016,144.825,2001,0,2001,0,-1,0,3,26.824999999999918,710.0,,,,,,,,,,,
17,attacker,CyberBattleHubSpoke-thesis-v0,PPO,34017,214.425,2001,0,2001,1,1688,0,3,50.42499999999995,730.0,,,,,,,,,,,
18,attacker,CyberBattleHubSpoke-thesis-v0,PPO,36018,178.8,2001,0,2001,1,798,0,3,34.79999999999994,835.0,,,,,,,,,,,
19,attacker,CyberBattleHubSpoke-thesis-v0,PPO,38019,201.825,2001,0,2001,1,1018,0,4,43.82500000000024,850.0,,,,,,,,,,,
20,attacker,CyberBattleHubSpoke-thesis-v0,PPO,40020,211.65,2001,0,2001,1,963,0,3,32.64999999999994,870.0,,,,,,,,,,,
21,attacker,CyberBattleHubSpoke-thesis-v0,PPO,42021,169.425,2001,0,2001,0,-1,0,3,25.4249999999999,865.0,,,,,,,,,,,
22,attacker,CyberBattleHubSpoke-thesis-v0,PPO,44022,181.85,2001,0,2001,0,-1,0,3,17.84999999999992,795.0,,,,,,,,,,,
23,attacker,CyberBattleHubSpoke-thesis-v0,PPO,46023,197.025,2001,0,2001,0,-1,0,4,29.024999999999977,800.0,,,,,,,,,,,
24,attacker,CyberBattleHubSpoke-thesis-v0,PPO,48024,154.6,2001,0,2001,0,-1,0,3,16.59999999999994,955.0,,,,,,,,,,,
25,attacker,CyberBattleHubSpoke-thesis-v0,PPO,50025,232.125,2001,0,2001,1,237,0,3,76.12500000000043,1030.0,,,,,,,,,,,
26,attacker,CyberBattleHubSpoke-thesis-v0,PPO,52026,165.675,2001,0,2001,0,-1,0,3,21.674999999999937,1215.0,,,,,,,,,,,
27,attacker,CyberBattleHubSpoke-thesis-v0,PPO,54027,163.675,2001,0,2001,1,335,0,4,23.674999999999873,1060.0,,,,,,,,,,,
28,attacker,CyberBattleHubSpoke-thesis-v0,PPO,56028,149.025,2001,0,2001,0,-1,0,3,11.024999999999986,750.0,,,,,,,,,,,
29,attacker,CyberBattleHubSpoke-thesis-v0,PPO,58029,143.875,2001,0,2001,0,-1,0,3,13.874999999999961,750.0,,,,,,,,,,,
30,attacker,CyberBattleHubSpoke-thesis-v0,PPO,60030,141.525,2001,0,2001,0,-1,0,3,9.525000000000007,765.0,,,,,,,,,,,
31,attacker,CyberBattleHubSpoke-thesis-v0,PPO,62031,123.3,2001,0,2001,0,-1,0,2,9.3,915.0,,,,,,,,,,,
32,attacker,CyberBattleHubSpoke-thesis-v0,PPO,64032,175.4,2001,0,2001,0,-1,0,3,11.39999999999999,930.0,,,,,,,,,,,
33,attacker,CyberBattleHubSpoke-thesis-v0,PPO,66033,107.525,2001,0,2001,0,-1,0,2,3.525000000000003,330.0,,,,,,,,,,,
34,attacker,CyberBattleHubSpoke-thesis-v0,PPO,68034,153.65,2001,0,2001,0,-1,0,3,19.649999999999928,1095.0,,,,,,,,,,,
35,attacker,CyberBattleHubSpoke-thesis-v0,PPO,70035,106.85,2001,0,2001,0,-1,0,2,2.8500000000000014,360.0,,,,,,,,,,,
36,attacker,CyberBattleHubSpoke-thesis-v0,PPO,72036,127.375,2001,0,2001,0,-1,0,3,9.375000000000002,480.0,,,,,,,,,,,
37,attacker,CyberBattleHubSpoke-thesis-v0,PPO,74037,109.775,2001,0,2001,0,-1,0,2,5.775000000000008,510.0,,,,,,,,,,,
38,attacker,CyberBattleHubSpoke-thesis-v0,PPO,76038,144.65,2001,0,2001,0,-1,0,3,10.649999999999999,855.0,,,,,,,,,,,
39,attacker,CyberBattleHubSpoke-thesis-v0,PPO,78039,120.6,2001,0,2001,0,-1,0,2,6.60000000000001,615.0,,,,,,,,,,,
40,attacker,CyberBattleHubSpoke-thesis-v0,PPO,80040,109.175,2001,0,2001,0,-1,0,2,5.175000000000007,615.0,,,,,,,,,,,
41,attacker,CyberBattleHubSpoke-thesis-v0,PPO,82041,107.225,2001,0,2001,0,-1,0,2,3.2250000000000023,300.0,,,,,,,,,,,
42,attacker,CyberBattleHubSpoke-thesis-v0,PPO,84042,143.25,2001,0,2001,0,-1,0,3,5.2500000000000036,375.0,,,,,,,,,,,
43,attacker,CyberBattleHubSpoke-thesis-v0,PPO,86043,146.425,2001,0,2001,0,-1,0,3,12.424999999999985,995.0,,,,,,,,,,,
44,attacker,CyberBattleHubSpoke-thesis-v0,PPO,88044,120.025,2001,0,2001,0,-1,0,3,2.0249999999999995,375.0,,,,,,,,,,,
45,attacker,CyberBattleHubSpoke-thesis-v0,PPO,90045,158.925,2001,0,2001,0,-1,0,3,8.924999999999999,660.0,,,,,,,,,,,
46,attacker,CyberBattleHubSpoke-thesis-v0,PPO,92046,149.975,2001,0,2001,0,-1,0,3,9.974999999999994,945.0,,,,,,,,,,,
47,attacker,CyberBattleHubSpoke-thesis-v0,PPO,94047,160.325,2001,0,2001,1,193,0,3,20.324999999999907,985.0,,,,,,,,,,,
48,attacker,CyberBattleHubSpoke-thesis-v0,PPO,96048,158.275,2001,0,2001,0,-1,0,3,10.275000000000007,750.0,,,,,,,,,,,
49,attacker,CyberBattleHubSpoke-thesis-v0,PPO,98049,155.825,2001,0,2001,0,-1,0,3,11.824999999999974,1075.0,,,,,,,,,,,
50,attacker,CyberBattleHubSpoke-thesis-v0,PPO,100050,145.025,2001,0,2001,0,-1,0,3,11.024999999999974,945.0,,,,,,,,,,,
51,attacker,CyberBattleHubSpoke-thesis-v0,PPO,102051,131.425,2001,0,2001,0,-1,0,3,7.425000000000007,660.0,,,,,,,,,,,
52,attacker,CyberBattleHubSpoke-thesis-v0,PPO,104052,133.6,2001,0,2001,0,-1,0,3,9.600000000000003,840.0,,,,,,,,,,,
53,attacker,CyberBattleHubSpoke-thesis-v0,PPO,106053,135.575,2001,0,2001,0,-1,0,2,7.575000000000013,1485.0,,,,,,,,,,,
54,attacker,CyberBattleHubSpoke-thesis-v0,PPO,108054,103.275,2001,0,2001,0,-1,0,3,7.275000000000011,1110.0,,,,,,,,,,,
55,attacker,CyberBattleHubSpoke-thesis-v0,PPO,110055,157.3,2001,0,2001,0,-1,0,3,9.30000000000001,1080.0,,,,,,,,,,,
56,attacker,CyberBattleHubSpoke-thesis-v0,PPO,112056,139.025,2001,0,2001,0,-1,0,3,5.025000000000003,615.0,,,,,,,,,,,
57,attacker,CyberBattleHubSpoke-thesis-v0,PPO,114057,123.45,2001,0,2001,1,301,0,3,17.449999999999978,1250.0,,,,,,,,,,,
58,attacker,CyberBattleHubSpoke-thesis-v0,PPO,116058,140.45,2001,0,2001,0,-1,0,3,6.45000000000001,975.0,,,,,,,,,,,
59,attacker,CyberBattleHubSpoke-thesis-v0,PPO,118059,133.25,2001,0,2001,0,-1,0,3,5.2500000000000036,780.0,,,,,,,,,,,
60,attacker,CyberBattleHubSpoke-thesis-v0,PPO,120060,109.625,2001,0,2001,0,-1,0,2,5.625000000000008,1365.0,,,,,,,,,,,
61,attacker,CyberBattleHubSpoke-thesis-v0,PPO,122061,94.525,2001,0,2001,0,-1,0,2,0.525,150.0,,,,,,,,,,,
62,attacker,CyberBattleHubSpoke-thesis-v0,PPO,124062,122.125,2001,0,2001,0,-1,0,2,4.125000000000004,1095.0,,,,,,,,,,,
63,attacker,CyberBattleHubSpoke-thesis-v0,PPO,126063,133.025,2001,0,2001,0,-1,0,3,5.025000000000007,1230.0,,,,,,,,,,,
64,attacker,CyberBattleHubSpoke-thesis-v0,PPO,128064,124.275,2001,0,2001,0,-1,0,3,4.275000000000003,1440.0,,,,,,,,,,,
65,attacker,CyberBattleHubSpoke-thesis-v0,PPO,130065,128.95,2001,0,2001,0,-1,0,3,4.950000000000002,930.0,,,,,,,,,,,
66,attacker,CyberBattleHubSpoke-thesis-v0,PPO,132066,89.625,2001,0,2001,0,-1,0,2,5.625000000000008,1485.0,,,,,,,,,,,
67,attacker,CyberBattleHubSpoke-thesis-v0,PPO,134067,155.15,2001,0,2001,0,-1,0,3,6.150000000000008,1395.0,,,,,,,,,,,
68,attacker,CyberBattleHubSpoke-thesis-v0,PPO,136068,138.275,2001,0,2001,0,-1,0,3,4.275000000000001,1230.0,,,,,,,,,,,
69,attacker,CyberBattleHubSpoke-thesis-v0,PPO,138069,147.175,2001,0,2001,0,-1,0,3,5.175000000000007,1320.0,,,,,,,,,,,
70,attacker,CyberBattleHubSpoke-thesis-v0,PPO,140070,146.45,2001,0,2001,0,-1,0,3,12.450000000000005,945.0,,,,,,,,,,,
71,attacker,CyberBattleHubSpoke-thesis-v0,PPO,142071,95.95,2001,0,2001,0,-1,0,2,1.9499999999999993,585.0,,,,,,,,,,,
72,attacker,CyberBattleHubSpoke-thesis-v0,PPO,144072,103.45,2001,0,2001,0,-1,0,3,3.450000000000003,1200.0,,,,,,,,,,,
73,attacker,CyberBattleHubSpoke-thesis-v0,PPO,146073,130.15,2001,0,2001,0,-1,0,3,6.150000000000002,1060.0,,,,,,,,,,,
74,attacker,CyberBattleHubSpoke-thesis-v0,PPO,148074,109.625,2001,0,2001,0,-1,0,3,5.625000000000006,1440.0,,,,,,,,,,,
75,attacker,CyberBattleHubSpoke-thesis-v0,PPO,150075,124.3,2001,0,2001,0,-1,0,3,6.300000000000005,870.0,,,,,,,,,,,
76,attacker,CyberBattleHubSpoke-thesis-v0,PPO,152076,120.225,2001,0,2001,0,-1,0,2,6.225000000000009,1485.0,,,,,,,,,,,
77,attacker,CyberBattleHubSpoke-thesis-v0,PPO,154077,94.525,2001,0,2001,0,-1,0,2,0.525,225.0,,,,,,,,,,,
