episode,agent,env_id,algorithm,timestep,episode_reward,episode_length,atk_invalid,atk_valid,atk_cj_reached,atk_cj_step,atk_won,atk_max_owned,atk_hold_reward,atk_eviction,def_reimage,def_block,def_allow,def_stop_svc,def_stop_svc_clean,def_start_svc,def_invalid,def_recovered,def_sla_break_steps,def_abwehr_reward,def_abgeschirmt
1,attacker,CyberBattleMicroSeg-thesis-v0,PPO,2001,173.55,2001,0,2001,1,414,0,3,41.55000000000029,280.0,,,,,,,,,,,
2,attacker,CyberBattleMicroSeg-thesis-v0,PPO,4002,241.9,2001,0,2001,1,412,0,3,105.90000000000096,455.0,,,,,,,,,,,
3,attacker,CyberBattleMicroSeg-thesis-v0,PPO,6003,197.425,2001,0,2001,1,1818,0,3,63.425000000000665,445.0,,,,,,,,,,,
4,attacker,CyberBattleMicroSeg-thesis-v0,PPO,8004,203.675,2001,0,2001,1,1772,0,3,57.675000000000054,355.0,,,,,,,,,,,
5,attacker,CyberBattleMicroSeg-thesis-v0,PPO,10005,233.125,2001,0,2001,1,1365,0,4,83.1250000000002,430.0,,,,,,,,,,,
6,attacker,CyberBattleMicroSeg-thesis-v0,PPO,12006,279.55,2001,0,2001,1,1235,0,3,133.54999999999956,295.0,,,,,,,,,,,
7,attacker,CyberBattleMicroSeg-thesis-v0,PPO,14007,300.725,2001,0,2001,1,1411,0,3,139.72499999999943,685.0,,,,,,,,,,,
8,attacker,CyberBattleMicroSeg-thesis-v0,PPO,16008,190.25,2001,0,2001,0,-1,0,3,47.25000000000045,240.0,,,,,,,,,,,
9,attacker,CyberBattleMicroSeg-thesis-v0,PPO,18009,176.375,2001,0,2001,0,-1,0,3,42.37500000000021,345.0,,,,,,,,,,,
10,attacker,CyberBattleMicroSeg-thesis-v0,PPO,20010,192.65,2001,0,2001,0,-1,0,3,43.65000000000028,210.0,,,,,,,,,,,
11,attacker,CyberBattleMicroSeg-thesis-v0,PPO,22011,163.9,2001,0,2001,0,-1,0,3,33.899999999999984,210.0,,,,,,,,,,,
12,attacker,CyberBattleMicroSeg-thesis-v0,PPO,24012,157.4,2001,0,2001,0,-1,0,3,23.39999999999993,255.0,,,,,,,,,,,
13,attacker,CyberBattleMicroSeg-thesis-v0,PPO,26013,208.025,2001,0,2001,1,635,0,3,62.02500000000074,635.0,,,,,,,,,,,
14,attacker,CyberBattleMicroSeg-thesis-v0,PPO,28014,179.175,2001,0,2001,0,-1,0,3,41.17500000000019,330.0,,,,,,,,,,,
15,attacker,CyberBattleMicroSeg-thesis-v0,PPO,30015,137.0,2001,0,2001,0,-1,0,3,9.000000000000002,180.0,,,,,,,,,,,
16,attacker,CyberBattleMicroSeg-thesis-v0,PPO,32016,151.4,2001,0,2001,0,-1,0,3,23.399999999999874,480.0,,,,,,,,,,,
17,attacker,CyberBattleMicroSeg-thesis-v0,PPO,34017,117.075,2001,0,2001,0,-1,0,3,9.075,195.0,,,,,,,,,,,
18,attacker,CyberBattleMicroSeg-thesis-v0,PPO,36018,163.95,2001,0,2001,1,398,0,3,27.949999999999946,355.0,,,,,,,,,,,
19,attacker,CyberBattleMicroSeg-thesis-v0,PPO,38019,128.6,2001,0,2001,0,-1,0,3,6.6000000000000085,180.0,,,,,,,,,,,
20,attacker,CyberBattleMicroSeg-thesis-v0,PPO,40020,97.625,2001,0,2001,0,-1,0,3,17.624999999999922,570.0,,,,,,,,,,,
21,attacker,CyberBattleMicroSeg-thesis-v0,PPO,42021,167.85,2001,0,2001,1,1309,0,3,27.849999999999984,370.0,,,,,,,,,,,
22,attacker,CyberBattleMicroSeg-thesis-v0,PPO,44022,126.675,2001,0,2001,0,-1,0,3,12.674999999999969,345.0,,,,,,,,,,,
23,attacker,CyberBattleMicroSeg-thesis-v0,PPO,46023,140.725,2001,0,2001,0,-1,0,3,10.724999999999984,225.0,,,,,,,,,,,
24,attacker,CyberBattleMicroSeg-thesis-v0,PPO,48024,156.15,2001,0,2001,0,-1,0,3,18.149999999999924,555.0,,,,,,,,,,,
25,attacker,CyberBattleMicroSeg-thesis-v0,PPO,50025,119.7,2001,0,2001,0,-1,0,3,5.7000000000000055,225.0,,,,,,,,,,,
26,attacker,CyberBattleMicroSeg-thesis-v0,PPO,52026,125.425,2001,0,2001,0,-1,0,3,7.4250000000000105,270.0,,,,,,,,,,,
27,attacker,CyberBattleMicroSeg-thesis-v0,PPO,54027,77.425,2001,0,2001,0,-1,0,2,16.424999999999933,615.0,,,,,,,,,,,
28,attacker,CyberBattleMicroSeg-thesis-v0,PPO,56028,94.05,2001,0,2001,0,-1,0,2,19.04999999999991,585.0,,,,,,,,,,,
29,attacker,CyberBattleMicroSeg-thesis-v0,PPO,58029,155.325,2001,0,2001,0,-1,0,3,17.324999999999964,360.0,,,,,,,,,,,
