episode,agent,env_id,algorithm,timestep,episode_reward,episode_length,atk_invalid,atk_valid,atk_cj_reached,atk_cj_step,atk_won,atk_max_owned,atk_hold_reward,atk_eviction,def_reimage,def_block,def_allow,def_stop_svc,def_stop_svc_clean,def_start_svc,def_invalid,def_recovered,def_sla_break_steps,def_abwehr_reward,def_abgeschirmt
1,attacker,CyberBattleMicroSeg-thesis-v0,PPO,2001,71.15,2001,0,2001,0,-1,0,2,6.150000000000009,75.0,,,,,,,,,,,
2,attacker,CyberBattleMicroSeg-thesis-v0,PPO,4002,65.675,2001,0,2001,0,-1,0,2,0.6749999999999999,15.0,,,,,,,,,,,
3,attacker,CyberBattleMicroSeg-thesis-v0,PPO,6003,97.925,2001,0,2001,0,-1,0,2,26.924999999999834,105.0,,,,,,,,,,,
4,attacker,CyberBattleMicroSeg-thesis-v0,PPO,8004,78.825,2001,0,2001,0,-1,0,3,21.824999999999914,150.0,,,,,,,,,,,
5,attacker,CyberBattleMicroSeg-thesis-v0,PPO,10005,85.1,2001,0,2001,0,-1,0,3,14.100000000000025,75.0,,,,,,,,,,,
6,attacker,CyberBattleMicroSeg-thesis-v0,PPO,12006,56.5,2001,0,2001,0,-1,0,2,1.4999999999999996,15.0,,,,,,,,,,,
7,attacker,CyberBattleMicroSeg-thesis-v0,PPO,14007,69.625,2001,0,2001,0,-1,0,2,8.625000000000007,60.0,,,,,,,,,,,
8,attacker,CyberBattleMicroSeg-thesis-v0,PPO,16008,67.55,2001,0,2001,0,-1,0,2,2.5500000000000007,30.0,,,,,,,,,,,
9,attacker,CyberBattleMicroSeg-thesis-v0,PPO,18009,67.1,2001,0,2001,0,-1,0,2,2.0999999999999996,30.0,,,,,,,,,,,
10,attacker,CyberBattleMicroSeg-thesis-v0,PPO,20010,58.3,2001,0,2001,0,-1,0,3,3.3000000000000003,90.0,,,,,,,,,,,
11,attacker,CyberBattleMicroSeg-thesis-v0,PPO,22011,85.025,2001,0,2001,0,-1,0,2,5.025000000000007,15.0,,,,,,,,,,,
12,attacker,CyberBattleMicroSeg-thesis-v0,PPO,24012,56.5,2001,0,2001,0,-1,0,2,1.4999999999999996,30.0,,,,,,,,,,,
13,attacker,CyberBattleMicroSeg-thesis-v0,PPO,26013,64.675,2001,0,2001,0,-1,0,2,3.6750000000000034,45.0,,,,,,,,,,,
14,attacker,CyberBattleMicroSeg-thesis-v0,PPO,28014,55.3,2001,0,2001,0,-1,0,2,0.3,15.0,,,,,,,,,,,
15,attacker,CyberBattleMicroSeg-thesis-v0,PPO,30015,63.925,2001,0,2001,0,-1,0,2,2.9250000000000016,45.0,,,,,,,,,,,
16,attacker,CyberBattleMicroSeg-thesis-v0,PPO,32016,127.7,2001,0,2001,0,-1,0,3,5.700000000000005,45.0,,,,,,,,,,,
17,attacker,CyberBattleMicroSeg-thesis-v0,PPO,34017,133.675,2001,0,2001,0,-1,0,3,15.675000000000004,90.0,,,,,,,,,,,
18,attacker,CyberBattleMicroSeg-thesis-v0,PPO,36018,129.475,2001,0,2001,0,-1,0,3,11.475000000000016,60.0,,,,,,,,,,,
19,attacker,CyberBattleMicroSeg-thesis-v0,PPO,38019,62.05,2001,0,2001,0,-1,0,2,1.0499999999999998,45.0,,,,,,,,,,,
20,attacker,CyberBattleMicroSeg-thesis-v0,PPO,40020,78.9,2001,0,2001,0,-1,0,2,3.900000000000004,60.0,,,,,,,,,,,
21,attacker,CyberBattleMicroSeg-thesis-v0,PPO,42021,56.05,2001,0,2001,0,-1,0,2,1.0499999999999998,60.0,,,,,,,,,,,
22,attacker,CyberBattleMicroSeg-thesis-v0,PPO,44022,74.225,2001,0,2001,0,-1,0,2,3.2250000000000023,75.0,,,,,,,,,,,
23,attacker,CyberBattleMicroSeg-thesis-v0,PPO,46023,55.45,2001,0,2001,0,-1,0,2,0.45,45.0,,,,,,,,,,,
24,attacker,CyberBattleMicroSeg-thesis-v0,PPO,48024,66.425,2001,0,2001,0,-1,0,2,1.4249999999999996,45.0,,,,,,,,,,,
25,attacker,CyberBattleMicroSeg-thesis-v0,PPO,50025,71.275,2001,0,2001,0,-1,0,2,1.2749999999999997,15.0,,,,,,,,,,,
26,attacker,CyberBattleMicroSeg-thesis-v0,PPO,52026,62.25,2001,0,2001,0,-1,0,3,5.250000000000002,90.0,,,,,,,,,,,
27,attacker,CyberBattleMicroSeg-thesis-v0,PPO,54027,66.2,2001,0,2001,0,-1,0,2,1.1999999999999997,45.0,,,,,,,,,,,
28,attacker,CyberBattleMicroSeg-thesis-v0,PPO,56028,56.5,2001,0,2001,0,-1,0,2,1.4999999999999996,30.0,,,,,,,,,,,
29,attacker,CyberBattleMicroSeg-thesis-v0,PPO,58029,55.225,2001,0,2001,0,-1,0,2,0.22499999999999998,15.0,,,,,,,,,,,
30,attacker,CyberBattleMicroSeg-thesis-v0,PPO,60030,77.8,2001,0,2001,0,-1,0,3,10.800000000000015,60.0,,,,,,,,,,,
31,attacker,CyberBattleMicroSeg-thesis-v0,PPO,62031,120.825,2001,0,2001,0,-1,0,3,12.825000000000005,135.0,,,,,,,,,,,
32,attacker,CyberBattleMicroSeg-thesis-v0,PPO,64032,46.15,2001,0,2001,0,-1,0,2,0.15,15.0,,,,,,,,,,,
33,attacker,CyberBattleMicroSeg-thesis-v0,PPO,66033,52.05,2001,0,2001,0,-1,0,2,1.0499999999999998,60.0,,,,,,,,,,,
34,attacker,CyberBattleMicroSeg-thesis-v0,PPO,68034,56.125,2001,0,2001,0,-1,0,2,1.1249999999999998,30.0,,,,,,,,,,,
35,attacker,CyberBattleMicroSeg-thesis-v0,PPO,70035,56.95,2001,0,2001,0,-1,0,3,1.9499999999999993,75.0,,,,,,,,,,,
36,attacker,CyberBattleMicroSeg-thesis-v0,PPO,72036,51.3,2001,0,2001,0,-1,0,2,0.3,45.0,,,,,,,,,,,
37,attacker,CyberBattleMicroSeg-thesis-v0,PPO,74037,55.675,2001,0,2001,0,-1,0,2,0.6749999999999999,45.0,,,,,,,,,,,
38,attacker,CyberBattleMicroSeg-thesis-v0,PPO,76038,46.075,2001,0,2001,0,-1,0,2,0.075,15.0,,,,,,,,,,,
39,attacker,CyberBattleMicroSeg-thesis-v0,PPO,78039,46.075,2001,0,2001,0,-1,0,2,0.075,15.0,,,,,,,,,,,
40,attacker,CyberBattleMicroSeg-thesis-v0,PPO,80040,51.45,2001,0,2001,0,-1,0,2,0.45,30.0,,,,,,,,,,,
41,attacker,CyberBattleMicroSeg-thesis-v0,PPO,82041,55.75,2001,0,2001,0,-1,0,2,0.7499999999999999,15.0,,,,,,,,,,,
42,attacker,CyberBattleMicroSeg-thesis-v0,PPO,84042,51.975,2001,0,2001,0,-1,0,2,0.9749999999999998,30.0,,,,,,,,,,,
43,attacker,CyberBattleMicroSeg-thesis-v0,PPO,86043,55.15,2001,0,2001,0,-1,0,2,0.15,15.0,,,,,,,,,,,
44,attacker,CyberBattleMicroSeg-thesis-v0,PPO,88044,55.225,2001,0,2001,0,-1,0,2,0.22499999999999998,15.0,,,,,,,,,,,
45,attacker,CyberBattleMicroSeg-thesis-v0,PPO,90045,62.35,2001,0,2001,0,-1,0,2,1.3499999999999996,30.0,,,,,,,,,,,
46,attacker,CyberBattleMicroSeg-thesis-v0,PPO,92046,55.525,2001,0,2001,0,-1,0,2,0.525,60.0,,,,,,,,,,,
47,attacker,CyberBattleMicroSeg-thesis-v0,PPO,94047,30.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,,,
48,attacker,CyberBattleMicroSeg-thesis-v0,PPO,96048,30.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,,,
49,attacker,CyberBattleMicroSeg-thesis-v0,PPO,98049,30.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,,,
50,attacker,CyberBattleMicroSeg-thesis-v0,PPO,100050,30.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,,,
51,attacker,CyberBattleMicroSeg-thesis-v0,PPO,102051,116.275,2001,0,2001,0,-1,0,3,4.274999999999999,45.0,,,,,,,,,,,
52,attacker,CyberBattleMicroSeg-thesis-v0,PPO,104052,56.275,2001,0,2001,0,-1,0,2,1.2749999999999997,45.0,,,,,,,,,,,
53,attacker,CyberBattleMicroSeg-thesis-v0,PPO,106053,44.075,2001,0,2001,0,-1,0,2,0.075,15.0,,,,,,,,,,,
54,attacker,CyberBattleMicroSeg-thesis-v0,PPO,108054,55.225,2001,0,2001,0,-1,0,2,0.22499999999999998,15.0,,,,,,,,,,,
55,attacker,CyberBattleMicroSeg-thesis-v0,PPO,110055,51.675,2001,0,2001,0,-1,0,2,0.6749999999999999,30.0,,,,,,,,,,,
56,attacker,CyberBattleMicroSeg-thesis-v0,PPO,112056,30.0,2001,0,2001,0,-1,0,2,0.0,15.0,,,,,,,,,,,
