episode,agent,env_id,algorithm,timestep,episode_reward,episode_length,atk_invalid,atk_valid,atk_cj_reached,atk_cj_step,atk_won,atk_max_owned,atk_hold_reward,atk_eviction,def_reimage,def_block,def_allow,def_stop_svc,def_stop_svc_clean,def_start_svc,def_invalid,def_recovered,def_sla_break_steps,def_abwehr_reward,def_abgeschirmt
1,attacker,CyberBattleMicroSeg-thesis-v0,PPO,2001,207.275,2001,0,2001,0,-1,0,3,79.27500000000133,615.0,,,,,,,,,,,
2,attacker,CyberBattleMicroSeg-thesis-v0,PPO,4002,403.725,2001,0,2001,1,1317,0,3,159.7249999999998,800.0,,,,,,,,,,,
3,attacker,CyberBattleMicroSeg-thesis-v0,PPO,6003,240.25,2001,0,2001,0,-1,0,3,95.250000000001,630.0,,,,,,,,,,,
4,attacker,CyberBattleMicroSeg-thesis-v0,PPO,8004,301.325,2001,0,2001,1,1738,0,3,150.32499999999993,760.0,,,,,,,,,,,
5,attacker,CyberBattleMicroSeg-thesis-v0,PPO,10005,264.1,2001,0,2001,1,1722,0,3,122.1000000000025,670.0,,,,,,,,,,,
6,attacker,CyberBattleMicroSeg-thesis-v0,PPO,12006,276.45,2001,0,2001,1,963,0,3,116.45000000000203,840.0,,,,,,,,,,,
7,attacker,CyberBattleMicroSeg-thesis-v0,PPO,14007,266.225,2001,0,2001,1,699,0,3,136.22500000000127,650.0,,,,,,,,,,,
8,attacker,CyberBattleMicroSeg-thesis-v0,PPO,16008,195.575,2001,0,2001,0,-1,0,3,52.5750000000004,690.0,,,,,,,,,,,
9,attacker,CyberBattleMicroSeg-thesis-v0,PPO,18009,144.4,2001,0,2001,0,-1,0,3,56.400000000000595,750.0,,,,,,,,,,,
10,attacker,CyberBattleMicroSeg-thesis-v0,PPO,20010,224.35,2001,0,2001,1,1258,0,3,73.35000000000088,730.0,,,,,,,,,,,
11,attacker,CyberBattleMicroSeg-thesis-v0,PPO,22011,130.625,2001,0,2001,0,-1,0,3,53.62500000000054,915.0,,,,,,,,,,,
12,attacker,CyberBattleMicroSeg-thesis-v0,PPO,24012,210.4,2001,0,2001,1,348,0,3,84.40000000000121,865.0,,,,,,,,,,,
13,attacker,CyberBattleMicroSeg-thesis-v0,PPO,26013,253.325,2001,0,2001,1,1138,0,3,111.32500000000061,1045.0,,,,,,,,,,,
14,attacker,CyberBattleMicroSeg-thesis-v0,PPO,28014,220.4,2001,0,2001,1,1467,0,3,65.40000000000052,995.0,,,,,,,,,,,
15,attacker,CyberBattleMicroSeg-thesis-v0,PPO,30015,202.0,2001,0,2001,1,1596,0,3,62.00000000000031,1220.0,,,,,,,,,,,
16,attacker,CyberBattleMicroSeg-thesis-v0,PPO,32016,130.05,2001,0,2001,0,-1,0,3,34.04999999999988,990.0,,,,,,,,,,,
17,attacker,CyberBattleMicroSeg-thesis-v0,PPO,34017,187.85,2001,0,2001,0,-1,0,3,44.849999999999916,945.0,,,,,,,,,,,
18,attacker,CyberBattleMicroSeg-thesis-v0,PPO,36018,175.5,2001,0,2001,0,-1,0,3,37.500000000000064,915.0,,,,,,,,,,,
19,attacker,CyberBattleMicroSeg-thesis-v0,PPO,38019,172.7,2001,0,2001,0,-1,0,3,38.700000000000124,1005.0,,,,,,,,,,,
20,attacker,CyberBattleMicroSeg-thesis-v0,PPO,40020,100.15,2001,0,2001,0,-1,0,3,27.149999999999874,1065.0,,,,,,,,,,,
21,attacker,CyberBattleMicroSeg-thesis-v0,PPO,42021,90.175,2001,0,2001,0,-1,0,3,29.174999999999834,1320.0,,,,,,,,,,,
22,attacker,CyberBattleMicroSeg-thesis-v0,PPO,44022,96.8,2001,0,2001,0,-1,0,3,25.79999999999986,1065.0,,,,,,,,,,,
23,attacker,CyberBattleMicroSeg-thesis-v0,PPO,46023,209.525,2001,0,2001,1,1147,0,3,65.52500000000018,1360.0,,,,,,,,,,,
24,attacker,CyberBattleMicroSeg-thesis-v0,PPO,48024,97.4,2001,0,2001,0,-1,0,3,26.39999999999984,1275.0,,,,,,,,,,,
25,attacker,CyberBattleMicroSeg-thesis-v0,PPO,50025,89.9,2001,0,2001,0,-1,0,3,18.89999999999991,1110.0,,,,,,,,,,,
26,attacker,CyberBattleMicroSeg-thesis-v0,PPO,52026,94.225,2001,0,2001,0,-1,0,3,27.224999999999863,1380.0,,,,,,,,,,,
27,attacker,CyberBattleMicroSeg-thesis-v0,PPO,54027,59.875,2001,0,2001,0,-1,0,2,19.8749999999999,1305.0,,,,,,,,,,,
28,attacker,CyberBattleMicroSeg-thesis-v0,PPO,56028,96.0,2001,0,2001,0,-1,0,3,20.99999999999992,1275.0,,,,,,,,,,,
29,attacker,CyberBattleMicroSeg-thesis-v0,PPO,58029,144.05,2001,0,2001,0,-1,0,3,16.04999999999994,1035.0,,,,,,,,,,,
30,attacker,CyberBattleMicroSeg-thesis-v0,PPO,60030,168.925,2001,0,2001,1,1319,0,3,19.924999999999958,1420.0,,,,,,,,,,,
31,attacker,CyberBattleMicroSeg-thesis-v0,PPO,62031,99.3,2001,0,2001,0,-1,0,3,18.29999999999994,1470.0,,,,,,,,,,,
32,attacker,CyberBattleMicroSeg-thesis-v0,PPO,64032,151.4,2001,0,2001,0,-1,0,3,17.399999999999924,1380.0,,,,,,,,,,,
33,attacker,CyberBattleMicroSeg-thesis-v0,PPO,66033,148.95,2001,0,2001,0,-1,0,3,16.94999999999998,1230.0,,,,,,,,,,,
34,attacker,CyberBattleMicroSeg-thesis-v0,PPO,68034,146.525,2001,0,2001,0,-1,0,3,18.524999999999945,1470.0,,,,,,,,,,,
35,attacker,CyberBattleMicroSeg-thesis-v0,PPO,70035,66.625,2001,0,2001,0,-1,0,2,5.625000000000008,645.0,,,,,,,,,,,
36,attacker,CyberBattleMicroSeg-thesis-v0,PPO,72036,87.7,2001,0,2001,0,-1,0,3,14.699999999999953,1455.0,,,,,,,,,,,
37,attacker,CyberBattleMicroSeg-thesis-v0,PPO,74037,98.675,2001,0,2001,0,-1,0,3,12.674999999999969,1545.0,,,,,,,,,,,
38,attacker,CyberBattleMicroSeg-thesis-v0,PPO,76038,145.175,2001,0,2001,1,1217,0,3,21.17499999999998,1510.0,,,,,,,,,,,
39,attacker,CyberBattleMicroSeg-thesis-v0,PPO,78039,49.525,2001,0,2001,0,-1,0,2,9.524999999999999,1395.0,,,,,,,,,,,
40,attacker,CyberBattleMicroSeg-thesis-v0,PPO,80040,46.6,2001,0,2001,0,-1,0,2,6.60000000000001,960.0,,,,,,,,,,,
41,attacker,CyberBattleMicroSeg-thesis-v0,PPO,82041,47.3,2001,0,2001,0,-1,0,2,3.3000000000000025,525.0,,,,,,,,,,,
