episode,agent,env_id,algorithm,timestep,episode_reward,episode_length,atk_invalid,atk_valid,atk_cj_reached,atk_cj_step,atk_won,atk_max_owned,atk_hold_reward,atk_eviction,def_reimage,def_block,def_allow,def_stop_svc,def_stop_svc_clean,def_start_svc,def_invalid,def_recovered,def_sla_break_steps,def_abwehr_reward,def_abgeschirmt
1,attacker,CyberBattleMicroSeg-thesis-v0,PPO,2001,201.075,2001,0,2001,0,-1,0,3,69.075000000001,510.0,,,,,,,,,,,
2,attacker,CyberBattleMicroSeg-thesis-v0,PPO,4002,203.325,2001,0,2001,0,-1,0,3,71.32500000000118,540.0,,,,,,,,,,,
3,attacker,CyberBattleMicroSeg-thesis-v0,PPO,6003,250.125,2001,0,2001,1,1399,0,3,91.12500000000115,725.0,,,,,,,,,,,
4,attacker,CyberBattleMicroSeg-thesis-v0,PPO,8004,190.325,2001,0,2001,0,-1,0,3,62.3250000000009,570.0,,,,,,,,,,,
5,attacker,CyberBattleMicroSeg-thesis-v0,PPO,10005,188.975,2001,0,2001,0,-1,0,3,60.97500000000077,555.0,,,,,,,,,,,
6,attacker,CyberBattleMicroSeg-thesis-v0,PPO,12006,174.925,2001,0,2001,0,-1,0,3,56.925000000000765,570.0,,,,,,,,,,,
7,attacker,CyberBattleMicroSeg-thesis-v0,PPO,14007,244.225,2001,0,2001,1,676,0,3,85.22500000000159,640.0,,,,,,,,,,,
8,attacker,CyberBattleMicroSeg-thesis-v0,PPO,16008,219.225,2001,0,2001,0,-1,0,3,66.22500000000113,435.0,,,,,,,,,,,
9,attacker,CyberBattleMicroSeg-thesis-v0,PPO,18009,196.4,2001,0,2001,0,-1,0,3,68.40000000000096,675.0,,,,,,,,,,,
10,attacker,CyberBattleMicroSeg-thesis-v0,PPO,20010,206.875,2001,0,2001,0,-1,0,3,67.87500000000114,615.0,,,,,,,,,,,
11,attacker,CyberBattleMicroSeg-thesis-v0,PPO,22011,200.4,2001,0,2001,0,-1,0,3,62.40000000000048,825.0,,,,,,,,,,,
12,attacker,CyberBattleMicroSeg-thesis-v0,PPO,24012,169.4,2001,0,2001,1,1899,0,3,51.400000000000304,790.0,,,,,,,,,,,
13,attacker,CyberBattleMicroSeg-thesis-v0,PPO,26013,181.925,2001,0,2001,0,-1,0,3,59.92500000000086,675.0,,,,,,,,,,,
14,attacker,CyberBattleMicroSeg-thesis-v0,PPO,28014,177.5,2001,0,2001,0,-1,0,3,49.500000000000185,660.0,,,,,,,,,,,
15,attacker,CyberBattleMicroSeg-thesis-v0,PPO,30015,99.225,2001,0,2001,0,-1,0,3,42.225000000000044,915.0,,,,,,,,,,,
16,attacker,CyberBattleMicroSeg-thesis-v0,PPO,32016,156.9,2001,0,2001,0,-1,0,3,42.90000000000021,1005.0,,,,,,,,,,,
17,attacker,CyberBattleMicroSeg-thesis-v0,PPO,34017,148.45,2001,0,2001,0,-1,0,3,30.44999999999985,750.0,,,,,,,,,,,
18,attacker,CyberBattleMicroSeg-thesis-v0,PPO,36018,176.025,2001,0,2001,0,-1,0,3,38.02500000000001,930.0,,,,,,,,,,,
19,attacker,CyberBattleMicroSeg-thesis-v0,PPO,38019,151.675,2001,0,2001,0,-1,0,3,33.67499999999987,870.0,,,,,,,,,,,
20,attacker,CyberBattleMicroSeg-thesis-v0,PPO,40020,102.25,2001,0,2001,0,-1,0,3,35.24999999999995,1290.0,,,,,,,,,,,
21,attacker,CyberBattleMicroSeg-thesis-v0,PPO,42021,145.0,2001,0,2001,0,-1,0,3,26.999999999999876,900.0,,,,,,,,,,,
22,attacker,CyberBattleMicroSeg-thesis-v0,PPO,44022,103.325,2001,0,2001,0,-1,0,2,32.3249999999998,1110.0,,,,,,,,,,,
23,attacker,CyberBattleMicroSeg-thesis-v0,PPO,46023,94.775,2001,0,2001,0,-1,0,2,23.774999999999864,1185.0,,,,,,,,,,,
24,attacker,CyberBattleMicroSeg-thesis-v0,PPO,48024,155.375,2001,0,2001,0,-1,0,3,27.37499999999989,1215.0,,,,,,,,,,,
25,attacker,CyberBattleMicroSeg-thesis-v0,PPO,50025,95.3,2001,0,2001,0,-1,0,3,18.299999999999926,1335.0,,,,,,,,,,,
26,attacker,CyberBattleMicroSeg-thesis-v0,PPO,52026,149.35,2001,0,2001,0,-1,0,3,25.349999999999905,1065.0,,,,,,,,,,,
27,attacker,CyberBattleMicroSeg-thesis-v0,PPO,54027,86.45,2001,0,2001,0,-1,0,2,15.449999999999942,1305.0,,,,,,,,,,,
28,attacker,CyberBattleMicroSeg-thesis-v0,PPO,56028,102.275,2001,0,2001,0,-1,0,2,16.274999999999935,1290.0,,,,,,,,,,,
29,attacker,CyberBattleMicroSeg-thesis-v0,PPO,58029,146.375,2001,0,2001,0,-1,0,3,18.374999999999968,960.0,,,,,,,,,,,
30,attacker,CyberBattleMicroSeg-thesis-v0,PPO,60030,140.6,2001,0,2001,0,-1,0,3,12.59999999999998,1035.0,,,,,,,,,,,
31,attacker,CyberBattleMicroSeg-thesis-v0,PPO,62031,120.025,2001,0,2001,0,-1,0,3,8.025000000000013,915.0,,,,,,,,,,,
32,attacker,CyberBattleMicroSeg-thesis-v0,PPO,64032,72.625,2001,0,2001,0,-1,0,2,11.624999999999979,1365.0,,,,,,,,,,,
33,attacker,CyberBattleMicroSeg-thesis-v0,PPO,66033,143.375,2001,0,2001,0,-1,0,3,15.375000000000009,1245.0,,,,,,,,,,,
34,attacker,CyberBattleMicroSeg-thesis-v0,PPO,68034,117.15,2001,0,2001,0,-1,0,3,9.15,930.0,,,,,,,,,,,
35,attacker,CyberBattleMicroSeg-thesis-v0,PPO,70035,124.575,2001,0,2001,0,-1,0,3,10.574999999999985,1110.0,,,,,,,,,,,
36,attacker,CyberBattleMicroSeg-thesis-v0,PPO,72036,132.275,2001,0,2001,0,-1,0,3,10.274999999999991,1095.0,,,,,,,,,,,
37,attacker,CyberBattleMicroSeg-thesis-v0,PPO,74037,153.675,2001,0,2001,0,-1,0,3,15.675000000000004,1200.0,,,,,,,,,,,
38,attacker,CyberBattleMicroSeg-thesis-v0,PPO,76038,99.475,2001,0,2001,0,-1,0,3,11.474999999999978,1440.0,,,,,,,,,,,
39,attacker,CyberBattleMicroSeg-thesis-v0,PPO,78039,86.55,2001,0,2001,0,-1,0,2,11.54999999999998,1350.0,,,,,,,,,,,
40,attacker,CyberBattleMicroSeg-thesis-v0,PPO,80040,76.575,2001,0,2001,0,-1,0,3,13.574999999999966,1365.0,,,,,,,,,,,
41,attacker,CyberBattleMicroSeg-thesis-v0,PPO,82041,70.975,2001,0,2001,0,-1,0,2,9.974999999999994,1365.0,,,,,,,,,,,
42,attacker,CyberBattleMicroSeg-thesis-v0,PPO,84042,123.75,2001,0,2001,0,-1,0,3,9.749999999999996,1080.0,,,,,,,,,,,
43,attacker,CyberBattleMicroSeg-thesis-v0,PPO,86043,60.6,2001,0,2001,0,-1,0,2,9.599999999999998,1305.0,,,,,,,,,,,
44,attacker,CyberBattleMicroSeg-thesis-v0,PPO,88044,71.35,2001,0,2001,0,-1,0,2,10.34999999999999,1335.0,,,,,,,,,,,
45,attacker,CyberBattleMicroSeg-thesis-v0,PPO,90045,78.7,2001,0,2001,0,-1,0,2,8.700000000000006,1245.0,,,,,,,,,,,
46,attacker,CyberBattleMicroSeg-thesis-v0,PPO,92046,120.45,2001,0,2001,0,-1,0,3,12.449999999999994,1125.0,,,,,,,,,,,
47,attacker,CyberBattleMicroSeg-thesis-v0,PPO,94047,80.0,2001,0,2001,0,-1,0,2,9.000000000000004,1275.0,,,,,,,,,,,
48,attacker,CyberBattleMicroSeg-thesis-v0,PPO,96048,71.425,2001,0,2001,0,-1,0,3,10.424999999999988,1440.0,,,,,,,,,,,
49,attacker,CyberBattleMicroSeg-thesis-v0,PPO,98049,80.75,2001,0,2001,0,-1,0,2,9.749999999999996,1275.0,,,,,,,,,,,
50,attacker,CyberBattleMicroSeg-thesis-v0,PPO,100050,70.75,2001,0,2001,0,-1,0,2,9.749999999999996,1290.0,,,,,,,,,,,
51,attacker,CyberBattleMicroSeg-thesis-v0,PPO,102051,113.925,2001,0,2001,0,-1,0,3,5.925000000000009,930.0,,,,,,,,,,,
52,attacker,CyberBattleMicroSeg-thesis-v0,PPO,104052,70.825,2001,0,2001,0,-1,0,2,9.824999999999996,1395.0,,,,,,,,,,,
53,attacker,CyberBattleMicroSeg-thesis-v0,PPO,106053,74.45,2001,0,2001,0,-1,0,2,9.45,1320.0,,,,,,,,,,,
54,attacker,CyberBattleMicroSeg-thesis-v0,PPO,108054,69.7,2001,0,2001,0,-1,0,2,8.700000000000006,1470.0,,,,,,,,,,,
55,attacker,CyberBattleMicroSeg-thesis-v0,PPO,110055,128.35,2001,0,2001,0,-1,0,3,10.34999999999999,1080.0,,,,,,,,,,,
56,attacker,CyberBattleMicroSeg-thesis-v0,PPO,112056,85.125,2001,0,2001,0,-1,0,2,10.124999999999993,1380.0,,,,,,,,,,,
57,attacker,CyberBattleMicroSeg-thesis-v0,PPO,114057,80.375,2001,0,2001,0,-1,0,2,9.375,1440.0,,,,,,,,,,,
58,attacker,CyberBattleMicroSeg-thesis-v0,PPO,116058,83.625,2001,0,2001,0,-1,0,2,8.625000000000007,1230.0,,,,,,,,,,,
59,attacker,CyberBattleMicroSeg-thesis-v0,PPO,118059,67.8,2001,0,2001,0,-1,0,3,10.799999999999986,1440.0,,,,,,,,,,,
60,attacker,CyberBattleMicroSeg-thesis-v0,PPO,120060,81.425,2001,0,2001,0,-1,0,2,10.42499999999999,1335.0,,,,,,,,,,,
61,attacker,CyberBattleMicroSeg-thesis-v0,PPO,122061,127.15,2001,0,2001,0,-1,0,3,9.150000000000002,1155.0,,,,,,,,,,,
62,attacker,CyberBattleMicroSeg-thesis-v0,PPO,124062,135.625,2001,0,2001,0,-1,0,3,8.625000000000007,1140.0,,,,,,,,,,,
63,attacker,CyberBattleMicroSeg-thesis-v0,PPO,126063,120.3,2001,0,2001,0,-1,0,3,6.30000000000001,855.0,,,,,,,,,,,
64,attacker,CyberBattleMicroSeg-thesis-v0,PPO,128064,84.15,2001,0,2001,0,-1,0,2,9.150000000000002,1320.0,,,,,,,,,,,
65,attacker,CyberBattleMicroSeg-thesis-v0,PPO,130065,76.375,2001,0,2001,0,-1,0,3,9.375,1350.0,,,,,,,,,,,
66,attacker,CyberBattleMicroSeg-thesis-v0,PPO,132066,83.7,2001,0,2001,0,-1,0,2,8.700000000000006,1305.0,,,,,,,,,,,
67,attacker,CyberBattleMicroSeg-thesis-v0,PPO,134067,119.95,2001,0,2001,0,-1,0,3,7.950000000000008,825.0,,,,,,,,,,,
68,attacker,CyberBattleMicroSeg-thesis-v0,PPO,136068,130.4,2001,0,2001,0,-1,0,3,8.400000000000007,990.0,,,,,,,,,,,
69,attacker,CyberBattleMicroSeg-thesis-v0,PPO,138069,71.05,2001,0,2001,0,-1,0,2,10.049999999999994,1305.0,,,,,,,,,,,
70,attacker,CyberBattleMicroSeg-thesis-v0,PPO,140070,126.4,2001,0,2001,0,-1,0,3,8.40000000000001,1125.0,,,,,,,,,,,
71,attacker,CyberBattleMicroSeg-thesis-v0,PPO,142071,132.575,2001,0,2001,0,-1,0,3,10.574999999999987,1140.0,,,,,,,,,,,
72,attacker,CyberBattleMicroSeg-thesis-v0,PPO,144072,59.625,2001,0,2001,0,-1,0,2,8.625000000000007,1320.0,,,,,,,,,,,
73,attacker,CyberBattleMicroSeg-thesis-v0,PPO,146073,69.625,2001,0,2001,0,-1,0,2,8.625000000000007,1380.0,,,,,,,,,,,
74,attacker,CyberBattleMicroSeg-thesis-v0,PPO,148074,70.225,2001,0,2001,0,-1,0,2,9.225000000000001,1455.0,,,,,,,,,,,
75,attacker,CyberBattleMicroSeg-thesis-v0,PPO,150075,69.1,2001,0,2001,0,-1,0,2,8.100000000000012,1455.0,,,,,,,,,,,
76,attacker,CyberBattleMicroSeg-thesis-v0,PPO,152076,89.225,2001,0,2001,0,-1,0,2,9.225000000000001,1380.0,,,,,,,,,,,
