episode,agent,env_id,algorithm,timestep,episode_reward,episode_length,atk_invalid,atk_valid,atk_cj_reached,atk_cj_step,atk_won,atk_max_owned,atk_hold_reward,atk_eviction,def_reimage,def_block,def_allow,def_stop_svc,def_stop_svc_clean,def_start_svc,def_invalid,def_recovered,def_sla_break_steps,def_abwehr_reward,def_abgeschirmt
1,attacker,CyberBattleMicroSeg-thesis-v0,PPO,2001,645.825,2001,0,2001,1,86,0,4,503.8249999999937,2580.0,,,,,,,,,,,
2,attacker,CyberBattleMicroSeg-thesis-v0,PPO,4002,718.025,2001,0,2001,1,9,0,4,476.0249999999951,3255.0,,,,,,,,,,,
3,attacker,CyberBattleMicroSeg-thesis-v0,PPO,6003,551.8,2001,0,2001,1,15,0,4,394.7999999999956,3395.0,,,,,,,,,,,
4,attacker,CyberBattleMicroSeg-thesis-v0,PPO,8004,698.525,2001,0,2001,1,102,0,4,441.5249999999951,3065.0,,,,,,,,,,,
5,attacker,CyberBattleMicroSeg-thesis-v0,PPO,10005,601.175,2001,0,2001,1,119,0,4,459.17499999999274,3955.0,,,,,,,,,,,
6,attacker,CyberBattleMicroSeg-thesis-v0,PPO,12006,637.95,2001,0,2001,1,26,0,4,465.94999999999766,4185.0,,,,,,,,,,,
7,attacker,CyberBattleMicroSeg-thesis-v0,PPO,14007,670.825,2001,0,2001,1,12,0,4,528.824999999994,4640.0,,,,,,,,,,,
8,attacker,CyberBattleMicroSeg-thesis-v0,PPO,16008,633.55,2001,0,2001,1,57,0,4,476.54999999999507,4060.0,,,,,,,,,,,
9,attacker,CyberBattleMicroSeg-thesis-v0,PPO,18009,502.85,2001,0,2001,1,10,0,4,351.8499999999996,3350.0,,,,,,,,,,,
10,attacker,CyberBattleMicroSeg-thesis-v0,PPO,20010,741.625,2001,0,2001,1,9,0,4,484.6249999999967,4500.0,,,,,,,,,,,
11,attacker,CyberBattleMicroSeg-thesis-v0,PPO,22011,751.65,2001,0,2001,1,91,0,4,564.6499999999969,4215.0,,,,,,,,,,,
12,attacker,CyberBattleMicroSeg-thesis-v0,PPO,24012,679.725,2001,0,2001,1,9,0,4,437.72499999999724,4815.0,,,,,,,,,,,
13,attacker,CyberBattleMicroSeg-thesis-v0,PPO,26013,544.7,2001,0,2001,1,9,0,4,402.6999999999972,4990.0,,,,,,,,,,,
14,attacker,CyberBattleMicroSeg-thesis-v0,PPO,28014,475.775,2001,0,2001,1,9,0,4,333.774999999998,4705.0,,,,,,,,,,,
15,attacker,CyberBattleMicroSeg-thesis-v0,PPO,30015,477.425,2001,0,2001,1,96,0,4,335.4249999999978,5990.0,,,,,,,,,,,
16,attacker,CyberBattleMicroSeg-thesis-v0,PPO,32016,377.05,2001,0,2001,1,63,0,4,235.0499999999992,5060.0,,,,,,,,,,,
17,attacker,CyberBattleMicroSeg-thesis-v0,PPO,34017,504.925,2001,0,2001,1,51,0,4,262.92499999999814,4655.0,,,,,,,,,,,
18,attacker,CyberBattleMicroSeg-thesis-v0,PPO,36018,496.275,2001,0,2001,1,52,0,4,328.2749999999946,5615.0,,,,,,,,,,,
19,attacker,CyberBattleMicroSeg-thesis-v0,PPO,38019,388.625,2001,0,2001,1,10,0,4,246.62499999999838,4880.0,,,,,,,,,,,
20,attacker,CyberBattleMicroSeg-thesis-v0,PPO,40020,456.275,2001,0,2001,1,36,0,4,214.27499999999762,6420.0,,,,,,,,,,,
21,attacker,CyberBattleMicroSeg-thesis-v0,PPO,42021,378.225,2001,0,2001,1,73,0,4,236.22499999999863,5880.0,,,,,,,,,,,
22,attacker,CyberBattleMicroSeg-thesis-v0,PPO,44022,327.425,2001,0,2001,1,43,0,4,201.4249999999993,5515.0,,,,,,,,,,,
23,attacker,CyberBattleMicroSeg-thesis-v0,PPO,46023,480.25,2001,0,2001,1,72,0,4,238.24999999999798,5670.0,,,,,,,,,,,
24,attacker,CyberBattleMicroSeg-thesis-v0,PPO,48024,359.125,2001,0,2001,1,49,0,4,202.12500000000045,6375.0,,,,,,,,,,,
