episode,agent,env_id,algorithm,timestep,episode_reward,episode_length,atk_invalid,atk_valid,atk_cj_reached,atk_cj_step,atk_won,atk_max_owned,atk_hold_reward,atk_eviction,def_reimage,def_block,def_allow,def_stop_svc,def_stop_svc_clean,def_start_svc,def_invalid,def_recovered,def_sla_break_steps,def_abwehr_reward,def_abgeschirmt
1,attacker,CyberBattleMicroSeg-thesis-v0,PPO,2001,441.525,2001,0,2001,1,88,0,4,299.5249999999978,2090.0,,,,,,,,,,,
2,attacker,CyberBattleMicroSeg-thesis-v0,PPO,4002,383.15,2001,0,2001,1,13,0,4,237.14999999999822,2205.0,,,,,,,,,,,
3,attacker,CyberBattleMicroSeg-thesis-v0,PPO,6003,429.925,2001,0,2001,1,112,0,4,272.92499999999785,1920.0,,,,,,,,,,,
4,attacker,CyberBattleMicroSeg-thesis-v0,PPO,8004,501.65,2001,0,2001,1,50,0,4,355.6500000000002,2330.0,,,,,,,,,,,
5,attacker,CyberBattleMicroSeg-thesis-v0,PPO,10005,466.925,2001,0,2001,1,294,0,4,316.92499999999364,2580.0,,,,,,,,,,,
6,attacker,CyberBattleMicroSeg-thesis-v0,PPO,12006,424.625,2001,0,2001,1,193,0,4,282.6249999999962,2595.0,,,,,,,,,,,
7,attacker,CyberBattleMicroSeg-thesis-v0,PPO,14007,444.5,2001,0,2001,1,13,0,4,306.4999999999956,2605.0,,,,,,,,,,,
8,attacker,CyberBattleMicroSeg-thesis-v0,PPO,16008,401.275,2001,0,2001,1,74,0,4,263.2749999999983,2335.0,,,,,,,,,,,
9,attacker,CyberBattleMicroSeg-thesis-v0,PPO,18009,259.15,2001,0,2001,1,178,0,4,123.15000000000045,1510.0,,,,,,,,,,,
10,attacker,CyberBattleMicroSeg-thesis-v0,PPO,20010,277.275,2001,0,2001,1,18,0,4,131.27500000000117,1395.0,,,,,,,,,,,
11,attacker,CyberBattleMicroSeg-thesis-v0,PPO,22011,335.5,2001,0,2001,1,61,0,4,193.50000000000054,2005.0,,,,,,,,,,,
12,attacker,CyberBattleMicroSeg-thesis-v0,PPO,24012,311.425,2001,0,2001,1,28,0,4,179.4249999999993,1895.0,,,,,,,,,,,
13,attacker,CyberBattleMicroSeg-thesis-v0,PPO,26013,256.0,2001,0,2001,1,67,0,4,114.00000000000094,1600.0,,,,,,,,,,,
14,attacker,CyberBattleMicroSeg-thesis-v0,PPO,28014,299.55,2001,0,2001,1,27,0,4,153.5500000000001,2160.0,,,,,,,,,,,
15,attacker,CyberBattleMicroSeg-thesis-v0,PPO,30015,277.05,2001,0,2001,1,325,0,4,127.05000000000075,2345.0,,,,,,,,,,,
16,attacker,CyberBattleMicroSeg-thesis-v0,PPO,32016,223.275,2001,0,2001,1,15,0,4,81.27500000000032,1950.0,,,,,,,,,,,
17,attacker,CyberBattleMicroSeg-thesis-v0,PPO,34017,204.425,2001,0,2001,1,422,0,4,58.424999999999976,1060.0,,,,,,,,,,,
18,attacker,CyberBattleMicroSeg-thesis-v0,PPO,36018,278.625,2001,0,2001,1,81,0,4,136.62500000000057,2070.0,,,,,,,,,,,
19,attacker,CyberBattleMicroSeg-thesis-v0,PPO,38019,215.125,2001,0,2001,1,654,0,4,75.1250000000002,1230.0,,,,,,,,,,,
20,attacker,CyberBattleMicroSeg-thesis-v0,PPO,40020,161.45,2001,0,2001,1,469,0,3,22.449999999999942,550.0,,,,,,,,,,,
21,attacker,CyberBattleMicroSeg-thesis-v0,PPO,42021,135.85,2001,0,2001,0,-1,0,3,11.849999999999975,510.0,,,,,,,,,,,
22,attacker,CyberBattleMicroSeg-thesis-v0,PPO,44022,164.725,2001,0,2001,1,1496,0,3,18.724999999999962,625.0,,,,,,,,,,,
23,attacker,CyberBattleMicroSeg-thesis-v0,PPO,46023,338.475,2001,0,2001,1,75,0,4,77.47500000000035,1680.0,,,,,,,,,,,
24,attacker,CyberBattleMicroSeg-thesis-v0,PPO,48024,148.9,2001,0,2001,1,87,0,4,22.899999999999935,725.0,,,,,,,,,,,
25,attacker,CyberBattleMicroSeg-thesis-v0,PPO,50025,207.85,2001,0,2001,1,689,0,4,65.85000000000011,1080.0,,,,,,,,,,,
26,attacker,CyberBattleMicroSeg-thesis-v0,PPO,52026,186.625,2001,0,2001,1,165,0,4,46.62500000000002,760.0,,,,,,,,,,,
27,attacker,CyberBattleMicroSeg-thesis-v0,PPO,54027,160.9,2001,0,2001,1,952,0,4,24.89999999999998,635.0,,,,,,,,,,,
28,attacker,CyberBattleMicroSeg-thesis-v0,PPO,56028,157.025,2001,0,2001,1,1650,0,3,11.024999999999991,380.0,,,,,,,,,,,
29,attacker,CyberBattleMicroSeg-thesis-v0,PPO,58029,141.825,2001,0,2001,1,452,0,3,11.824999999999983,445.0,,,,,,,,,,,
30,attacker,CyberBattleMicroSeg-thesis-v0,PPO,60030,190.65,2001,0,2001,1,385,0,3,44.65000000000008,945.0,,,,,,,,,,,
31,attacker,CyberBattleMicroSeg-thesis-v0,PPO,62031,72.475,2001,0,2001,0,-1,0,3,5.475000000000007,345.0,,,,,,,,,,,
32,attacker,CyberBattleMicroSeg-thesis-v0,PPO,64032,132.225,2001,0,2001,1,29,0,4,6.2250000000000005,190.0,,,,,,,,,,,
33,attacker,CyberBattleMicroSeg-thesis-v0,PPO,66033,234.975,2001,0,2001,1,1996,0,3,4.975,225.0,,,,,,,,,,,
34,attacker,CyberBattleMicroSeg-thesis-v0,PPO,68034,158.2,2001,0,2001,1,1399,0,3,22.199999999999996,485.0,,,,,,,,,,,
35,attacker,CyberBattleMicroSeg-thesis-v0,PPO,70035,131.15,2001,0,2001,0,-1,0,3,3.1499999999999995,225.0,,,,,,,,,,,
36,attacker,CyberBattleMicroSeg-thesis-v0,PPO,72036,143.9,2001,0,2001,1,997,0,4,15.899999999999991,575.0,,,,,,,,,,,
37,attacker,CyberBattleMicroSeg-thesis-v0,PPO,74037,162.525,2001,0,2001,1,957,0,3,30.525,440.0,,,,,,,,,,,
38,attacker,CyberBattleMicroSeg-thesis-v0,PPO,76038,137.975,2001,0,2001,1,1533,0,4,7.9750000000000085,445.0,,,,,,,,,,,
39,attacker,CyberBattleMicroSeg-thesis-v0,PPO,78039,111.8,2001,0,2001,1,1800,0,3,3.8000000000000016,370.0,,,,,,,,,,,
40,attacker,CyberBattleMicroSeg-thesis-v0,PPO,80040,127.55,2001,0,2001,1,12,0,4,7.55000000000001,500.0,,,,,,,,,,,
41,attacker,CyberBattleMicroSeg-thesis-v0,PPO,82041,243.125,2001,0,2001,1,130,0,4,5.125000000000004,400.0,,,,,,,,,,,
42,attacker,CyberBattleMicroSeg-thesis-v0,PPO,84042,132.725,2001,0,2001,0,-1,0,3,4.725000000000001,150.0,,,,,,,,,,,
43,attacker,CyberBattleMicroSeg-thesis-v0,PPO,86043,139.325,2001,0,2001,1,13,0,4,19.324999999999996,290.0,,,,,,,,,,,
44,attacker,CyberBattleMicroSeg-thesis-v0,PPO,88044,125.225,2001,0,2001,0,-1,0,3,3.2249999999999988,150.0,,,,,,,,,,,
45,attacker,CyberBattleMicroSeg-thesis-v0,PPO,90045,125.075,2001,0,2001,1,149,0,3,7.075000000000002,365.0,,,,,,,,,,,
